region,month,track_id,streams
Germany,2017-01,00vk0sEfb6mr2ehwSw0Uhn,1317675.0
Germany,2017-01,014J7jX1wSv0manSdRnveo,137971.0
Germany,2017-01,01dCuK62A6QZ8L9ONTyMVo,1045476.0
Germany,2017-01,02WacdrRpm4zlP8H7X6bnQ,1118000.0
Germany,2017-01,03n91BgbUx5fv8ZEbuoJTk,60407.0
Germany,2017-01,042x9bsUBWW2fJgJ6fUh61,519938.0
Germany,2017-01,044qU7kwVZaDwzWnRsmVVL,37394.0
Germany,2017-01,04CttTezSnv71USiiG9mIo,761770.0
Germany,2017-01,04DwTuZ2VBdJCCC5TROn7L,2737478.0
Germany,2017-01,05Mp2UJulSttxQ4E6hQPH3,5563771.0
Germany,2017-01,08WPvDEsHvTFuB9w8tC2OS,713308.0
Germany,2017-01,08XQqKCJS2ogjrvkOymRYq,42311.0
Germany,2017-01,0ADG9OgdVTL7fgREP75BrZ,1221637.0
Germany,2017-01,0B8B8cVRFIG1yznoQe7c9s,530479.0
Germany,2017-01,0Emc3uS6WzgkxgR6gP0llz,25943.0
Germany,2017-01,0FuTx2s3YH1ppmtiM6l0zI,115649.0
Germany,2017-01,0InjGAVVEsp38MnkRNDy8v,62596.0
Germany,2017-01,0JiVRyTJcJnmlwCZ854K4p,6757658.0
Germany,2017-01,0KlOfCE4H3eldPqsKVLK3Z,584823.0
Germany,2017-01,0L7loeTIg6akW84aEQZpCT,1227214.0
Germany,2017-01,0L87MffumRNWrY2SNUFcvs,3813834.0
Germany,2017-01,0LxZXcG9LliQpgWPPgPmuX,30091.0
Germany,2017-01,0MhAmNC40AUHdpHSq04wsT,589523.0
Germany,2017-01,0N6AZnQlHXMBjRkoJHE7hy,120778.0
Germany,2017-01,0OwX5aROoW1Iip8FV51Efg,1351960.0
Germany,2017-01,0QjewL57d6QobAvn1JoQd9,1028788.0
Germany,2017-01,0QsvXIfqM0zZoerQfsI9lm,2573875.0
Germany,2017-01,0SGkqnVQo9KPytSri1H6cF,872250.0
Germany,2017-01,0SuG9kyzGRpDqrCWtgD6Lq,27879.0
Germany,2017-01,0WCEaydwN65cvwaW8aqptF,301541.0
Germany,2017-01,0YHUITU3w6ws1v8ehT264g,715313.0
Germany,2017-01,0Z4AOIqWrH3pNwHGScZFuJ,257569.0
Germany,2017-01,0Zx8khUcEfCFK2AEoIhC92,1170185.0
Germany,2017-01,0azC730Exh71aQlOt9Zj3y,866409.0
Germany,2017-01,0bZcstGSV52WWUR8WkrW5p,179246.0
Germany,2017-01,0cAuqPI1R8RlFsXXWWO039,24944.0
Germany,2017-01,0eZBeB2xFIS65jQHerispi,1353062.0
Germany,2017-01,0ekFioHmdtwcITYOYXavl6,886363.0
Germany,2017-01,0fg8CqpjdojMyXLNzM2PaJ,401650.0
Germany,2017-01,0gb1J5UrTpzaU1s3nupgCd,1016150.0
Germany,2017-01,0h4FK0CnlZ3oJnZ6quEk1P,436315.0
Germany,2017-01,0hNduWmlWmEmuwEFcYvRu1,2984827.0
Germany,2017-01,0lmdsH1MIoLsMymnNpd6HU,1134907.0
Germany,2017-01,0lsbbaa7nj7LtUXVdk0BQe,23752.0
Germany,2017-01,0oq3HqazmZgAjs4UTCqeTz,459375.0
Germany,2017-01,0prNGof3XqfTvNDxHonvdK,4113924.0
Germany,2017-01,0t4v7Q4yzb9SOQohayL33W,3567525.0
Germany,2017-01,0tICYNayWWhH9GPeFrfjfD,1079069.0
Germany,2017-01,0xCXcq4y44uHJtJ7zZDF3d,237660.0
Germany,2017-01,0y1QJc3SJVPKJ1OvFmFqe6,757185.0
Germany,2017-01,0zMzyHAeMvwq5CRstru1Fp,316598.0
Germany,2017-01,0ziVAEjBZypLrL9Z2xLsOv,27301.0
Germany,2017-01,10v6eAurYyxX9UCmI4xTBO,153097.0
Germany,2017-01,11KJSRSgaDxqydKYiD2Jew,953535.0
Germany,2017-01,12SH8NE1e17yItgsb2gitp,74903.0
Germany,2017-01,140GdyvzODCuH2w5oL8F4e,143705.0
Germany,2017-01,14OLkF8PnpsE7z9zt7FMu1,1261820.0
Germany,2017-01,14SZQ3k55sfzGLuv9WZ4Xe,154202.0
Germany,2017-01,14WWzenpaEgQZlqPq2nk4v,320147.0
Germany,2017-01,17Fd6Yb7mSbinKG8LoWfFl,1390708.0
Germany,2017-01,1Bqxj0aH5KewYHKUg1IdrF,200739.0
Germany,2017-01,1CUVN2kn7mW5FjkqXTR2W1,964336.0
Germany,2017-01,1CnPYaKxTVb4LWOtiGOm0m,2352737.0
Germany,2017-01,1D3ODoXHBLpdxolZRHWV1j,3767830.0
Germany,2017-01,1FUViuNSldssMIawrOXF2i,1700661.0
Germany,2017-01,1Je1IMUlBXcx1Fz0WE7oPT,34339.0
Germany,2017-01,1KiA2qmRxsedA1mKPceIov,1314763.0
Germany,2017-01,1OAiWI2oPmglaOiv9fdioU,964664.0
Germany,2017-01,1PSBzsahR2AKwLJgx8ehBj,2771368.0
Germany,2017-01,1QGj4FP9nmxnBsbc17oKHE,670464.0
Germany,2017-01,1Rl40PsX4mh9xVOeGHq86B,111045.0
Germany,2017-01,1Slwb6dOYkBlWal1PGtnNg,742764.0
Germany,2017-01,1Syhm4vkn6n2DYuFnyI60s,50321.0
