region,month,track_id,streams
Russia,2020-07,017PF4Q3l4DBUiWoXk4OWT,281957.0
Russia,2020-07,01YXdW54ueMc1ZgleIrQlL,53881.0
Russia,2020-07,02ZNcMtFpToVAlirwhNxS0,198045.0
Russia,2020-07,02mPTM1usfKo8tsTGEJuuk,384848.0
Russia,2020-07,04gmklgYhNhZxRnAvSofoE,186608.0
Russia,2020-07,06jEcxzahUi9GdN5RFsqO4,295689.0
Russia,2020-07,06m1YCR0BOnPVWnbu9bNNU,41677.0
Russia,2020-07,08pVm2BCyMSevBLXYLysqi,214932.0
Russia,2020-07,0C2YeGXjCRdZ8aXpcsuNQz,8109.0
Russia,2020-07,0EhpEsp4L0oRGM0vmeaN5e,7918.0
Russia,2020-07,0FteOiRhT8thk8drmF0Te4,150845.0
Russia,2020-07,0H3psucTJQLU4sS6wVU1dg,79022.0
Russia,2020-07,0H4ugk6rhnXmTl47ayy9O5,191953.0
Russia,2020-07,0Jlcvv8IykzHaSmj49uNW8,29335.0
Russia,2020-07,0LYYnnXoORfx9ldA3vBPzg,67179.0
Russia,2020-07,0OukVtUSfeSV8Mr7otfyMZ,311259.0
Russia,2020-07,0PvFJmanyNQMseIFrU708S,29576.0
Russia,2020-07,0RzT9tBLcQhofW2TNiHP9B,205614.0
Russia,2020-07,0V8Q2u0yxJ9yURkjblmPU9,9268.0
Russia,2020-07,0VF357Gjay5vvCqWA1kSu6,14992.0
Russia,2020-07,0VjIjW4GlUZAMYd2vXMi3b,813787.0
Russia,2020-07,0VuH7MPnLYkFO0i25rDPGT,28495.0
Russia,2020-07,0XSxhXEd9Ery8eXsfuHt1u,271098.0
Russia,2020-07,0XkmeG97T4mtYlWRJcrxec,34112.0
Russia,2020-07,0Y84vLtyOj2demvSdJ2l7N,209733.0
Russia,2020-07,0YXpDiXEQlRmVSAFcub7sE,23307.0
Russia,2020-07,0ZNU020wNYvgW84iljPkPP,9199.0
Russia,2020-07,0bhFmbqYNTWsRycbyxlC8H,196945.0
Russia,2020-07,0eEGnTuwqPIKV6xq0ekZJN,110699.0
Russia,2020-07,0eou4g499YFO8jSxYQjvFH,308704.0
Russia,2020-07,0h1W3XWa5wo3CDMx0z9E1a,148661.0
Russia,2020-07,0nbXyq5TXYPCO7pr3N8S4I,219295.0
Russia,2020-07,0ono6UCNVZ1XqOm6j78Blu,32536.0
Russia,2020-07,0pEKFJ6OH0HZjinQHgsNA3,50190.0
Russia,2020-07,0pJQI29n8ZfWTTUWn6Ncvb,50086.0
Russia,2020-07,0pqnGHJpmpxLKifKRmU6WP,55110.0
Russia,2020-07,0qU1xquGo2PZhS75bOCEFt,108410.0
Russia,2020-07,0t66WOHS2gTyP9UnjFTqra,36901.0
Russia,2020-07,0thwmx7fPtvzOwRwe4emu4,115026.0
Russia,2020-07,0u2P5u6lvoDfwTYjAADbn4,69444.0
Russia,2020-07,0x7M4FOGrnNX2QqXHt9wU3,188643.0
Russia,2020-07,0yJF3zE5pxzNoK9kZl5Ru2,301574.0
Russia,2020-07,0yY9YxDbLYR0RNbdGZpvtZ,239452.0
Russia,2020-07,10pXYKoJOxNAWkeGkNeNnH,107089.0
Russia,2020-07,11LvzydIsU5wbkyQplxuoT,72347.0
Russia,2020-07,14JceK2UBLd0UUm23N5lRy,307862.0
Russia,2020-07,15epnOVXX9PRB7A6z3YtZV,386020.0
Russia,2020-07,19guFw87TvSkoxnC9EBu2Y,488073.0
Russia,2020-07,1DNfspfRRy59nYnxAVeqK0,213717.0
Russia,2020-07,1DnpjwTbSwV2V6O4PABMjW,10883.0
Russia,2020-07,1GAAUZBTaIM1LwNpOJQJrZ,13634.0
Russia,2020-07,1GOiMxQXZUzjzH0Sxpck0B,661830.0
Russia,2020-07,1H7KnK26kc1YyellpbINEn,29478.0
Russia,2020-07,1IWNylpZ477gIVUDpJL66u,27441.0
Russia,2020-07,1K5KBOgreBi5fkEHvg5ap3,66974.0
Russia,2020-07,1KWRf0ZISGMBgwMMCUYVDr,239491.0
Russia,2020-07,1KuT6HbB5WKlesMuWWNeCv,212142.0
Russia,2020-07,1P9oRiZJWnxe2pZmYUZ5eC,195043.0
Russia,2020-07,1SccjD8RvJ6vegZLFdgy5a,195184.0
Russia,2020-07,1Sh3BZwxWAU04hrGRjB1Vx,8061.0
Russia,2020-07,1X2cYhcDMfDtiRIYHZCpQu,9633.0
Russia,2020-07,1YP4unEiWaLBmrPnmHTANH,147679.0
Russia,2020-07,1aKuG1GG76xPLUkjBbQo3W,6011.0
Russia,2020-07,1eFk8R4OobU7kaAZdfYBKz,9330.0
Russia,2020-07,1eIsyfDHoEbemSnQFsgyAv,147596.0
Russia,2020-07,1gendg1aFXeHaMD2IdT0C8,200396.0
Russia,2020-07,1hfISzdAwnywAKxaSpfloo,334184.0
Russia,2020-07,1jSxIzFzDSdMqPnc7R5hfM,117352.0
Russia,2020-07,1jaTQ3nqY3oAAYyCTbIvnM,7918.0
Russia,2020-07,1mtsSGjgiNaWUt5ZyVCQQN,38428.0
Russia,2020-07,1njtH8PzXon812lONDSXJi,25370.0
Russia,2020-07,1ose449N3hm96087FUw3Hl,8027.0
Russia,2020-07,1q7Ie8Tgphv4iBwUlr5B9j,184221.0
Russia,2020-07,1qtmO3AkZ2OBrPaxnaKnS6,327185.0
Russia,2020-07,1rgnBhdG2JDFTbYkYRZAku,206066.0
Russia,2020-07,1sIArrTWriaYJC2rz8CM4Z,44608.0
Russia,2020-07,1sPiVQ1bYTfSp75gBJD3EX,187871.0
Russia,2020-07,1tjM9dP8GWkYl4orF7yLWD,40257.0
Russia,2020-07,1tkVLH17qwuisyRIVgBhSO,124312.0
Russia,2020-07,1w6yKhAgRhIaZhsWEay2H3,79526.0
Russia,2020-07,1xQ6trAsedVPCdbtDAmk0c,335216.0
Russia,2020-07,21jGcNKet2qwijlDFuPiPb,54624.0
Russia,2020-07,22LAwLoDA5b4AaGSkg6bKW,259864.0
Russia,2020-07,24IgCW19L8lXKyFZwzFtD3,202233.0
Russia,2020-07,24OPKdtiI2NGNhXE3mBfUm,44812.0
Russia,2020-07,24Yi9hE78yPEbZ4kxyoXAI,358144.0
Russia,2020-07,272fe0z4cll7gJM3G8HFA8,302358.0
Russia,2020-07,285pBltuF7vW8TeWk8hdRR,90264.0
