rank,date,region,trend,streams,track_id
1,2019-12-01,Argentina,SAME_POSITION,282063.0,6cy3ki60hLwimwIje7tALf
2,2019-12-01,Argentina,SAME_POSITION,226203.0,6mAN61JH0dzyZpWslS11jy
3,2019-12-01,Argentina,SAME_POSITION,223725.0,6RyaV7owmVU6fzEPE17sF1
4,2019-12-01,Argentina,SAME_POSITION,217989.0,4BCPItsB94KDLuERZT3aNM
5,2019-12-01,Argentina,SAME_POSITION,205538.0,2ksOAxtIxY8yElEWw8RhgK
6,2019-12-01,Argentina,SAME_POSITION,180877.0,5stPVcRqb4qixbafP9e8lt
7,2019-12-01,Argentina,SAME_POSITION,177896.0,3jbT1Y5MoPwEIpZndDDwVq
8,2019-12-01,Argentina,SAME_POSITION,161664.0,6Y4PDQv4XjYjHLeLmvyOt0
9,2019-12-01,Argentina,MOVE_UP,160434.0,57kdZIOAaolxAjB67d2yU3
10,2019-12-01,Argentina,MOVE_DOWN,155867.0,5Id5B3dxJZhPcV9GzgYZZe
11,2019-12-01,Argentina,SAME_POSITION,154344.0,1ndyl3wJCFs872XZ3ztPk6
12,2019-12-01,Argentina,SAME_POSITION,151243.0,7k4t7uLgtOxPwTpFmtJNTY
13,2019-12-01,Argentina,SAME_POSITION,150126.0,1nocRtwyNPVtGcIJqfgdzZ
14,2019-12-01,Argentina,SAME_POSITION,142585.0,5DxXgozhkPLgrbKFY91w0c
15,2019-12-01,Argentina,SAME_POSITION,138834.0,37zdqI4r1gswIzczSBkRon
16,2019-12-01,Argentina,SAME_POSITION,138449.0,08ilexedmUuccTWTeK7Dvb
17,2019-12-01,Argentina,SAME_POSITION,137845.0,1Xnn1TPyr5h0hpRAT4B4EA
18,2019-12-01,Argentina,SAME_POSITION,134374.0,4R8BJggjosTswLxtkw8V7P
19,2019-12-01,Argentina,SAME_POSITION,125823.0,2pWOMNQJW3g2zmGjP0Vkb0
20,2019-12-01,Argentina,SAME_POSITION,125783.0,2TH65lNHgvLxCKXM3apjxI
21,2019-12-01,Argentina,SAME_POSITION,122759.0,0fea68AdmYNygeTGI4RC18
22,2019-12-01,Argentina,SAME_POSITION,118123.0,09nSCeCs6eYfAIJVfye1CE
23,2019-12-01,Argentina,MOVE_UP,114542.0,2UAWYufVaO3EnUUNzl0ppO
24,2019-12-01,Argentina,MOVE_DOWN,112512.0,1tpbAGsGpZee5jDHMcLrUJ
25,2019-12-01,Argentina,SAME_POSITION,110352.0,7BlBVFwvbWvcwNcUarQmjk
26,2019-12-01,Argentina,MOVE_UP,108234.0,4dqoJHdxf9Ez4DDqGh2PBc
27,2019-12-01,Argentina,MOVE_DOWN,106693.0,1rgnBhdG2JDFTbYkYRZAku
28,2019-12-01,Argentina,MOVE_DOWN,105540.0,4bTZeO72FwMa6wKOiqoynL
29,2019-12-01,Argentina,MOVE_UP,103131.0,4t9a07PAghtQMRAIP9FQ7Z
30,2019-12-01,Argentina,MOVE_DOWN,100535.0,59s0s39NFWScuHDbHytI14
31,2019-12-01,Argentina,SAME_POSITION,100252.0,6v3KW9xbzN5yKLt9YKDYA2
32,2019-12-01,Argentina,MOVE_UP,94887.0,0RDgqtvOHLwcI6yz9bjsZV
33,2019-12-01,Argentina,MOVE_DOWN,94709.0,2S93hylQBYLndMnaJuso8S
34,2019-12-01,Argentina,MOVE_UP,91562.0,07L6tEZIfCX3GZAWCpGj0e
