rank,trend,streams,track_id
1,SAME_POSITION,510827.0,4MzXwWMhyBbmu6hOcLVD49
2,SAME_POSITION,405304.0,3lCbsHaN1wCxyDzcNN2x4N
3,SAME_POSITION,352424.0,7vrJn5hDSXRmdXoR30KgF1
4,SAME_POSITION,328398.0,5uD4fcXch2qE5LYeyDipA1
5,SAME_POSITION,273137.0,78SeXVRJ7KCqVmOwTiFjnI
6,MOVE_UP,245238.0,2XIc1pqjXV3Cr2BQUGNBck
7,MOVE_DOWN,241831.0,1yoMvmasuxZfqHEipJhRbp
8,MOVE_DOWN,241162.0,73nAK3HgQK8dak83Y2WQ8F
9,MOVE_DOWN,230311.0,3GtnId3Cm1Xa6joCj08nzW
10,MOVE_DOWN,225859.0,21N4Buj4xsyLb218lYle61
11,SAME_POSITION,211519.0,35UUpTmrcFXNIVIN26ujXl
12,SAME_POSITION,208091.0,15OjBeqNX3bShsGYQbteRv
13,MOVE_UP,196293.0,7ndTONDDRFGiPnnhOzOXxq
14,MOVE_DOWN,194112.0,4RJz8NfIe09gpKMiRUWKhJ
15,SAME_POSITION,179923.0,4loQgPwJHocL3dFwLfjb1J
16,SAME_POSITION,175624.0,5y7DaS3jAc9eZzcSOoUIwU
17,SAME_POSITION,164277.0,1jtkP2Vj67mcBTXJgIOZsW
18,SAME_POSITION,161308.0,4G3PTss3mU33Tau7t4KbwE
19,SAME_POSITION,159985.0,4HYDUMY0xSpeBr0AMY9cUz
20,SAME_POSITION,159831.0,2HpbDdD3JLpAPMJFYCeC6o
21,SAME_POSITION,158177.0,7x4ASXYEKfQBCewcZhK776
22,SAME_POSITION,148329.0,0JAZWvvqttGFm4UMDsPQXC
23,SAME_POSITION,140350.0,11EnQRgRMJwMAesfkB5pnu
24,SAME_POSITION,135966.0,2bgcUk2A3jjKbCJ7KPquTi
25,SAME_POSITION,130044.0,59nnGpAU3AiL2tD0o2It11
26,MOVE_UP,128209.0,4pXW6ZAHBz7ODXTRKklWrM
27,MOVE_DOWN,124733.0,2I3qA0KslRCxFTfZnPyDhf
28,SAME_POSITION,120182.0,5RubKOuDoPn5Kj5TLVxSxY
