rank,trend,streams,track_id
1,MOVE_UP,107350.0,5aAx2yezTd8zXrkmtKl66Z
2,MOVE_UP,105111.0,5knuzwU65gJK7IF5yJsuaW
3,MOVE_DOWN,100617.0,7BKLCZ1jbUBVqRi2FVlTVw
4,MOVE_UP,88335.0,3NdDpSvN911VPGivFlV5d0
5,MOVE_UP,83729.0,78rIJddV4X0HkNAInEcYde
6,MOVE_UP,81542.0,5uCax9HTNlzGybIStD3vDh
7,MOVE_UP,81455.0,5GXAXm5YOmYT0kL5jHvYBt
8,MOVE_DOWN,80609.0,3AsAuGTaDQzavZZThyYlop
9,MOVE_DOWN,75363.0,4pdPtRcBmOSQDlJ3Fk945m
10,MOVE_UP,74950.0,7aV2mflaASUmGhCErm7kBO
11,MOVE_UP,72216.0,5MFzQMkrl1FOOng9tq6R9r
12,SAME_POSITION,72054.0,6b8Be6ljOzmkOmFslEb23P
13,SAME_POSITION,70552.0,0jVPEBd4wyHupkTHwzQRyc
14,MOVE_DOWN,68561.0,6DNtNfH8hXkqOX1sjqmI7p
15,MOVE_DOWN,67650.0,6fujklziTHa8uoM5OQSfIo
16,MOVE_UP,65459.0,4nMlau89VAjmV7agkl7OY3
17,SAME_POSITION,64332.0,7Kq16WtEJzdRSNQgdXsn7Y
18,MOVE_UP,63033.0,4Q4jmPHwu0wrJvqrld0FQ6
19,MOVE_UP,62689.0,0prNGof3XqfTvNDxHonvdK
20,MOVE_DOWN,62524.0,343YBumqHu19cGoGARUTsd
21,MOVE_UP,60863.0,2XMTqoHHSH0lvuXrvIEdco
22,MOVE_UP,60512.0,2rizacJSyD9S1IQUxUxnsK
23,MOVE_UP,60100.0,1qOLh0tI7trd1zdDKxYZTe
24,MOVE_DOWN,57205.0,1vvNmPOiUuyCbgWmtc6yfm
25,MOVE_UP,57085.0,04DwTuZ2VBdJCCC5TROn7L
26,MOVE_UP,56014.0,4b4KcovePX8Ke2cLIQTLM0
27,MOVE_DOWN,55526.0,1xznGGDReH1oQq0xzbwXa3
28,MOVE_UP,54925.0,3EmmCZoqpWOTY1g2GBwJoR
29,SAME_POSITION,54698.0,1D3ODoXHBLpdxolZRHWV1j
30,MOVE_DOWN,54379.0,4sQMalN597HdggTu196aL0
31,MOVE_UP,53622.0,2bWrml86uwGVvznX8KKtwx
32,MOVE_UP,52765.0,0L87MffumRNWrY2SNUFcvs
33,MOVE_UP,50681.0,4TZy1wLyHec06pwgFYDh1a
34,MOVE_DOWN,49628.0,08WPvDEsHvTFuB9w8tC2OS
35,MOVE_UP,48701.0,1cG0umU5TKStygKsPFZ9pY
36,MOVE_DOWN,48445.0,2CPqh63wRVscbceKcPxwvv
37,MOVE_UP,47468.0,0B8B8cVRFIG1yznoQe7c9s
38,MOVE_UP,45886.0,2wDjpPW3HZdA9quPPmZAMu
39,MOVE_DOWN,45779.0,6JV2JOEocMgcZxYSZelKcc
40,MOVE_DOWN,45680.0,4pLwZjInHj3SimIyN9SnOz
41,MOVE_UP,42626.0,2MHCiOohBZEQuLgDTPvSzF
42,MOVE_DOWN,40297.0,12REd1n8PeiHHWOh066tpr
43,MOVE_DOWN,40114.0,4rex1k9pBVFaIVKBBssZzi
44,MOVE_UP,39312.0,5bZtRlMBU76vHuDOb1GM5u
45,MOVE_UP,37738.0,02WacdrRpm4zlP8H7X6bnQ
46,MOVE_UP,35557.0,3kxfsdsCpFgN412fpnW85Y
47,MOVE_DOWN,35532.0,6vXHaWpqkbuvzIDvR3LnKd
48,MOVE_UP,35340.0,1PSBzsahR2AKwLJgx8ehBj
49,MOVE_DOWN,35018.0,1lItf5ZXJc1by9SbPeljFd
50,MOVE_DOWN,34061.0,0QsvXIfqM0zZoerQfsI9lm
51,MOVE_UP,32679.0,7xHWNBFm6ObGEQPaUxHuKO
52,MOVE_DOWN,30804.0,0azC730Exh71aQlOt9Zj3y
53,MOVE_UP,29086.0,4Hf7WnR761jpxPr5D46Bcd
54,MOVE_UP,28821.0,6i0V12jOa3mr6uu4WYhUBr
55,MOVE_DOWN,28250.0,69bp2EbF7Q2rqc5N3ylezZ
56,MOVE_UP,27967.0,6nxQdXa1uAL0rY72wPZu89
57,MOVE_UP,27541.0,2BrzlUj1u1CtvaJDGIKpsP
58,MOVE_UP,27506.0,0y8Wf6ltWpGCpgqVa21QNX
59,MOVE_DOWN,27371.0,27SdWb2rFzO6GWiYDBTD9j
60,MOVE_DOWN,26302.0,17Fd6Yb7mSbinKG8LoWfFl
61,MOVE_DOWN,26286.0,4WjH9Bzt3kx7z8kl0awxh4
62,MOVE_UP,25547.0,4qqArAiTPueDxIp7cf87h7
63,MOVE_UP,25477.0,5hYTyyh2odQKphUbMqc5gN
64,MOVE_UP,25042.0,4Km5HrUvYTaSUfiSGPJeQR
65,MOVE_UP,24648.0,7yyRTcZmCiyzzJlNzGC9Ol
66,MOVE_DOWN,24466.0,4F7A0DXBrmUAkp32uenhZt
67,MOVE_UP,24463.0,1sTUEdVO85YU8Ymk2jeAls
68,MOVE_UP,24031.0,0YHUITU3w6ws1v8ehT264g
69,MOVE_UP,23598.0,3cNjgVBKTJ1SvKhunrCdVy
70,MOVE_UP,23595.0,5CPqOpKSk0QcJ3dGdaWcRB
71,SAME_POSITION,22725.0,3REzEumDuXBpQH45WEHAr6
72,MOVE_DOWN,22704.0,11KJSRSgaDxqydKYiD2Jew
73,MOVE_UP,22608.0,3hB5DgAiMAQ4DzYbsMq1IT
74,MOVE_UP,22188.0,4tCtwWceOPWzenK2HAIJSb
75,MOVE_UP,21806.0,58zsLZPvfflaiIbNWoA22O
76,MOVE_UP,21464.0,2TdJsyNijI5jUvMnsjQcb3
77,MOVE_UP,21383.0,4vb4mFvYsr2h6enhjJsq9Y
78,MOVE_UP,21150.0,68EMU2RD1ECNeOeJ5qAXCV
79,MOVE_DOWN,21112.0,6oSmp7qnvAxUXeUKhl67a6
80,MOVE_UP,20557.0,1OAiWI2oPmglaOiv9fdioU
81,MOVE_UP,20549.0,6I6NX6tjGsxFAsIfGzY9lJ
82,MOVE_DOWN,20513.0,5OOkp4U9P9oL23maHFHL1h
83,MOVE_UP,20333.0,7mTgsbq7n8jgnwLswpgugB
84,MOVE_UP,20175.0,1rPCgtaIF0CyKRgAwhtpbF
85,MOVE_UP,20087.0,7FB8l7UA1HKqnuSLjP9qDc
86,MOVE_DOWN,19949.0,6OZh916QF8XNunWaP97WEZ
87,MOVE_UP,19933.0,7129iqBafaphfc3WPCGC0L
88,MOVE_UP,19906.0,7vRriwrloYVaoAe3a9wJHe
89,MOVE_UP,19773.0,6bLopGnirdrilrpdVB6Um1
90,MOVE_DOWN,19290.0,3pzjHKrQSvXGHQ98dx18HI
91,MOVE_UP,19163.0,2Z8WuEywRWYTKe1NybPQEW
92,MOVE_UP,19070.0,7yHEDfrJNd0zWOfXwydNH0
93,MOVE_UP,18903.0,7gHs73wELdeycvS48JfIos
94,MOVE_UP,18355.0,4dASQiO1Eoo3RJvt74FtXB
95,MOVE_DOWN,18321.0,14WWzenpaEgQZlqPq2nk4v
96,MOVE_UP,18260.0,5dKyZWlgjWw1oJgLa4GCZD
97,MOVE_UP,18256.0,0lmdsH1MIoLsMymnNpd6HU
98,MOVE_UP,18095.0,0L7loeTIg6akW84aEQZpCT
99,MOVE_UP,17989.0,0hNduWmlWmEmuwEFcYvRu1
100,MOVE_UP,17845.0,3CRDbSIZ4r5MsZ0YwxuEkn
101,MOVE_UP,17830.0,4BHzQ9C00ceJxfG16AlNWb
102,MOVE_UP,17666.0,5fo4LbJ8lOaB54wcM5wPMv
103,MOVE_UP,17071.0,5DA77EqppDmCTWGovd4oTP
104,MOVE_UP,16870.0,2aFiaMXmWsM3Vj72F9ksBl
105,MOVE_UP,16772.0,1Tt4sE4pXi57mTD1GCzsqm
106,MOVE_DOWN,16740.0,7oK9VyNzrYvRFo7nQEYkWN
107,MOVE_UP,16651.0,36YCdzT57us0LhDmCYtrNE
108,MOVE_UP,16366.0,7yq4Qj7cqayVTp3FF9CWbm
109,MOVE_UP,16061.0,1Slwb6dOYkBlWal1PGtnNg
110,MOVE_DOWN,16001.0,6WhzFzROw3aq3rPWjgYlxr
111,MOVE_UP,15990.0,6F609ICg9Spjrw1epsAnpa
112,MOVE_DOWN,15767.0,32OlwWuMpZ6b0aN2RZOeMS
113,MOVE_UP,15465.0,6O6M7pJLABmfBRoGZMu76Y
114,MOVE_UP,15026.0,5Z01UMMf7V1o0MzF86s6WJ
115,MOVE_DOWN,15022.0,0tICYNayWWhH9GPeFrfjfD
116,MOVE_UP,14778.0,4sPmO7WMQUAf45kwMOtONw
117,MOVE_UP,14768.0,1rIKgCH4H52lrvDcz50hS8
118,MOVE_DOWN,14554.0,6TaqooOXAEcijL6G1AWS2K
119,MOVE_UP,14552.0,6cAKeFFYW2aClZSUyvqAEW
120,MOVE_UP,14519.0,0OwX5aROoW1Iip8FV51Efg
121,MOVE_DOWN,14465.0,5dNfHmqgr128gMY2tc5CeJ
122,MOVE_DOWN,14334.0,2KpCpk6HjXXLb7nnXoXA5O
123,NEW_ENTRY,14308.0,1CnPYaKxTVb4LWOtiGOm0m
124,MOVE_UP,14087.0,0PDUDa38GO8lMxLCRc4lL1
125,MOVE_UP,13969.0,4OZEu0Vwq0RB2LAq14v99n
126,MOVE_DOWN,13966.0,6C7RJEIUDqKkJRZVWdkfkH
127,NEW_ENTRY,13938.0,0kN8xEmgMW9mh7UmDYHlJP
128,NEW_ENTRY,13897.0,2HzfRSfCogBSsgW2CckVA2
129,MOVE_UP,13871.0,0SGkqnVQo9KPytSri1H6cF
