rank,date,region,trend,streams,track_id
1,2021-07-01,Australia,SAME_POSITION,306157.0,4ZtFanR9U6ndgddUvNcjcG
2,2021-07-01,Australia,SAME_POSITION,231883.0,6PQ88X9TkUIAUIZJHW2upE
3,2021-07-01,Australia,SAME_POSITION,198098.0,3DarAbFujv6eYNliUTyqtz
4,2021-07-01,Australia,SAME_POSITION,191368.0,3Wrjm47oTz2sjIgck11l5e
5,2021-07-01,Australia,SAME_POSITION,139093.0,6HU7h9RYOaPRFeh0R3UeAr
6,2021-07-01,Australia,SAME_POSITION,138610.0,67BtfxlNbhBmCDR2L2l8qd
7,2021-07-01,Australia,SAME_POSITION,136561.0,5CZ40GBx1sQ9agT82CLQCT
8,2021-07-01,Australia,SAME_POSITION,132112.0,5nujrmhLynf4yMoMtj8AQF
9,2021-07-01,Australia,SAME_POSITION,130087.0,02MWAaffLxlfxAUY7c5dvx
10,2021-07-01,Australia,SAME_POSITION,121720.0,0k4d5YPDr1r7FX77VdqWez
11,2021-07-01,Australia,MOVE_UP,116131.0,4pt5fDVTg5GhEvEtlz9dKk
12,2021-07-01,Australia,MOVE_DOWN,114810.0,0BGwAKW4u8kWOhWFflZxfl
13,2021-07-01,Australia,MOVE_DOWN,111796.0,6uvMKqNlrSvcC4NaKnrwjZ
14,2021-07-01,Australia,MOVE_UP,110430.0,4cG7HUWYHBV6R6tHn1gxrl
15,2021-07-01,Australia,MOVE_DOWN,108475.0,5wANPM4fQCJwkGd4rN57mH
16,2021-07-01,Australia,MOVE_DOWN,107435.0,37BZB0z9T8Xu7U3e65qxFy
17,2021-07-01,Australia,MOVE_DOWN,102263.0,4iJyoBOLtHqaGxP12qzhQI
18,2021-07-01,Australia,SAME_POSITION,95580.0,18vXApRmJSgQ6wG2ll9AOg
19,2021-07-01,Australia,SAME_POSITION,94644.0,5JCoSi02qi3jJeHdZXMmR8
20,2021-07-01,Australia,SAME_POSITION,90633.0,5YqdiryRmdAzYFlxo43hAJ
21,2021-07-01,Australia,SAME_POSITION,88678.0,0siYMEsGrzzzlWLXK5zJfS
22,2021-07-01,Australia,MOVE_UP,88417.0,2tGvwE8GcFKwNdAXMnlbfl
23,2021-07-01,Australia,MOVE_UP,84217.0,0UKUfxIkDAMZz7hMdiVX3m
24,2021-07-01,Australia,SAME_POSITION,83791.0,27OeeYzk6klgBh83TSvGMA
25,2021-07-01,Australia,MOVE_DOWN,82691.0,5B0kgjHULYJhAQkK5XsMoC
26,2021-07-01,Australia,MOVE_UP,80605.0,0b18g3G5spr4ZCkz7Y6Q0Q
27,2021-07-01,Australia,MOVE_DOWN,80210.0,6f3Slt0GbA2bPZlz0aIFXN
28,2021-07-01,Australia,SAME_POSITION,78285.0,5YaskwnGDZFDRipaqzbwQx
29,2021-07-01,Australia,MOVE_UP,77960.0,7MAibcTli4IisCtbHKrGMh
30,2021-07-01,Australia,MOVE_UP,77807.0,3Iba59sFmGhQ4kbCY5L8AX
31,2021-07-01,Australia,SAME_POSITION,77752.0,6SRsiMl7w1USE4mFqrOhHC
32,2021-07-01,Australia,MOVE_DOWN,77716.0,4wqzOaLxiCRy2Et8tRyNSX
33,2021-07-01,Australia,MOVE_DOWN,76186.0,5uEYRdEIh9Bo4fpjDd4Na9
34,2021-07-01,Australia,SAME_POSITION,75367.0,0MMyJUC3WNnFS1lit5pTjk
35,2021-07-01,Australia,SAME_POSITION,70881.0,0VjIjW4GlUZAMYd2vXMi3b
36,2021-07-01,Australia,SAME_POSITION,70111.0,1QL7nSDZCwZMnbisV4KOXt
37,2021-07-01,Australia,MOVE_UP,68694.0,6nV2dFZXpv1JlqDWBeTXRl
38,2021-07-01,Australia,MOVE_DOWN,67804.0,7qEHsqek33rTcFNT9PFqLf
39,2021-07-01,Australia,SAME_POSITION,67469.0,2bgTY4UwhfBYhGT4HUYStN
40,2021-07-01,Australia,MOVE_UP,67421.0,4qu63nuBpdn0qHUHuObEj1
41,2021-07-01,Australia,SAME_POSITION,66477.0,0ofHAoxe9vBkTCp2UQIavz
42,2021-07-01,Australia,MOVE_UP,65692.0,4jPy3l0RUwlUI9T5XHBW2m
43,2021-07-01,Australia,SAME_POSITION,65619.0,1nahzW3kfMuwReTka28tH5
44,2021-07-01,Australia,MOVE_DOWN,65194.0,3Vi5XqYrmQgOYBajMWSvCi
45,2021-07-01,Australia,MOVE_UP,64098.0,003vvx7Niy0yvhvHt4a68B
46,2021-07-01,Australia,MOVE_UP,63111.0,6cx06DFPPHchuUAcTxznu9
47,2021-07-01,Australia,SAME_POSITION,62253.0,7BoobGhD4x5K96Me0hqC8Q
