rank,trend,streams,track_id
1,SAME_POSITION,50565.0,1g3J9W88hTG173ySZR6E9S
2,MOVE_UP,47690.0,1xQ6trAsedVPCdbtDAmk0c
3,MOVE_UP,36899.0,1XdMp6v9Q3N80WnKSbGfl4
4,SAME_POSITION,34062.0,2WRTnY0slmFgWcrmEr8dPj
5,MOVE_DOWN,31861.0,4CyCHkhRsDXUeP5K4Y3xjU
6,SAME_POSITION,28010.0,5PAAUJTKLT0nCmHUlLdPXb
7,MOVE_UP,27272.0,5TGcyccg8Hkgn9jB7gUpMN
8,MOVE_UP,26901.0,7ytR5pFWmSjzHJIeQkgog4
9,MOVE_UP,26394.0,2u6Jm2klS4yvAlbSHlxUwI
10,MOVE_DOWN,25491.0,7oJW8vNkosiWuKJtsq3mZs
11,MOVE_UP,23933.0,6UelLqGlWMcVH1E5c4H7lY
12,MOVE_UP,23087.0,6BXyD6UUPizpRpA7iOi99r
13,MOVE_DOWN,22553.0,0QjjaCaXE45mvhCnV3C0TA
14,MOVE_UP,22252.0,0VjIjW4GlUZAMYd2vXMi3b
15,MOVE_UP,22038.0,24Yi9hE78yPEbZ4kxyoXAI
16,MOVE_UP,20999.0,3Nicl8C2nJMUwdekcgZWZC
17,MOVE_DOWN,20465.0,3JDPPLA5oReVAkrEDcBllG
18,MOVE_UP,19965.0,5CqkgDH8QZjSqqI3HmYxDD
19,MOVE_DOWN,19678.0,7xvofve6KAoCIsqVVxH20J
20,MOVE_UP,19312.0,3H7ihDc1dqLriiWXwsc2po
21,MOVE_UP,18155.0,62aP9fBQKYKxi7PDXwcUAS
22,MOVE_DOWN,18151.0,1Y8V7yhFFrFjzBQtOH4ap7
23,MOVE_UP,17417.0,76nqCfJOcFFWBJN32PAksn
24,MOVE_UP,17245.0,7vdDVWWrTkg7LYwkgcWha9
25,MOVE_UP,17139.0,7C1trmcQQ5n5RNy4l6ziCv
26,MOVE_UP,16257.0,7y7w4tl4MaRC2UMEj1mPtr
27,MOVE_UP,16115.0,51Of5p3lKZeOg6itfs4og4
28,MOVE_DOWN,15953.0,12KENAKQY5JvAsRURN7TzB
29,MOVE_UP,15349.0,6hw1Sy9wZ8UCxYGdpKrU6M
30,MOVE_UP,14752.0,68lAxWGvGc9yGheEkFDFiT
31,MOVE_UP,14544.0,2WOJ7D52Ng3myrKlEf4Azj
32,MOVE_UP,14465.0,6KiEsqGg0HBOSMflVH7Onx
33,MOVE_UP,14422.0,0p3euGPg5LgFeQGC7bBFuR
34,MOVE_DOWN,13697.0,2ygvZOXrIeVL4xZmAWJT2C
35,MOVE_UP,13457.0,1rgnBhdG2JDFTbYkYRZAku
36,MOVE_UP,13447.0,1XTUu81IEyoi5nU5H6Bf3H
37,MOVE_UP,13169.0,1NP7bzm8UksJUWXsuFoOwE
38,MOVE_UP,12861.0,0Dw8hUbjXORzIWp7mjbh0t
39,MOVE_UP,12858.0,525GY0mXYnxajolwgS8Eaz
40,MOVE_UP,12768.0,35RJhm1pEovTBwnNR0zWad
41,MOVE_UP,12741.0,4nK5YrxbMGZstTLbvj6Gxw
42,MOVE_UP,12443.0,2A0CxheiQGQdCiKtOR7jMP
43,MOVE_DOWN,12421.0,0DRBQsCUcl3H3NTRPxXsU2
44,MOVE_UP,12380.0,7hr6WRm7HUlVdkfnhSTm0G
45,MOVE_DOWN,12374.0,5yLM9Guje2ZxeCgrKiyJay
46,MOVE_DOWN,12223.0,3G67H7EzEhwITQn1gPuPwA
47,MOVE_UP,12051.0,0BwO44CBPFWxAIO5ZbPf3N
48,MOVE_DOWN,11699.0,6TL7b76AWgto4ulxoUB3qB
49,MOVE_DOWN,11424.0,3EmCRdONSwuGJJJWPghRjd
50,MOVE_UP,11286.0,6bRR9tU3WUBsC4aywSgHEO
51,MOVE_UP,11101.0,3yZCjDTxzZxx1kll1sRjGc
52,MOVE_DOWN,11081.0,3VXJy5nUYOuOw4nXsAIHrH
53,MOVE_UP,10950.0,3Be7CLdHZpyzsVijme39cW
54,MOVE_UP,10859.0,24IgCW19L8lXKyFZwzFtD3
55,MOVE_UP,10732.0,4KfL3Ne8bc9bC2PUB8QGwA
56,MOVE_DOWN,10666.0,7bDSLyTjZ1VjU5kPHTL3Ko
57,MOVE_DOWN,10522.0,6o3QUC5oAE4g6WxRIFcZtb
58,MOVE_DOWN,10228.0,2hkOwMb5AzWK8aW2wKQZ7t
59,MOVE_UP,10105.0,5DV4ZSCqbFv74ui3ZhimXo
60,MOVE_UP,9964.0,3ZjkQbe5JzzQbzRtkXyZNv
61,MOVE_UP,9898.0,0X4hMHBj4Ra6h1tIQGl1CH
62,MOVE_UP,9771.0,4AqN8IdKCfItCSbuaFch81
63,MOVE_DOWN,9768.0,4dYoZfSK7BwVr6CCjPoVPE
64,MOVE_DOWN,9706.0,6ZIfKSsEOdcJn7VHRoXKUw
65,MOVE_UP,9662.0,7ju97lgwC2rKQ6wwsf9no9
66,MOVE_UP,9581.0,6cx06DFPPHchuUAcTxznu9
67,MOVE_UP,9574.0,61ZM92T2zaXIVsqncThQzC
