rank,date,region,trend,streams,track_id
1,2021-02-01,Austria,SAME_POSITION,47151.0,4hSJUp6k7QeHLxU32MrLIU
2,2021-02-01,Austria,SAME_POSITION,40750.0,7lPN2DXiMsVn7XUKtOW1CS
3,2021-02-01,Austria,SAME_POSITION,25087.0,6lWncv0txvt3Qwf5jY3ogH
4,2021-02-01,Austria,SAME_POSITION,23459.0,27OeeYzk6klgBh83TSvGMA
5,2021-02-01,Austria,SAME_POSITION,20734.0,3tjFYV6RSFtuktYl3ZtYcq
6,2021-02-01,Austria,SAME_POSITION,19249.0,1FP9s72rDYty6mfoOEYKnE
7,2021-02-01,Austria,SAME_POSITION,17536.0,6f3Slt0GbA2bPZlz0aIFXN
8,2021-02-01,Austria,MOVE_UP,16703.0,5vGLcdRuSbUhD8ScwsGSdA
9,2021-02-01,Austria,MOVE_DOWN,16216.0,0E4Y1XIbs8GrAT1YqVy6dq
10,2021-02-01,Austria,MOVE_UP,16104.0,6qNLO4HzHeVvHxTaCFMXrf
11,2021-02-01,Austria,MOVE_DOWN,15509.0,6i7zAdNhzUN2k1HcrBxPHG
12,2021-02-01,Austria,MOVE_UP,14492.0,5QO79kh1waicV47BqGRL3g
13,2021-02-01,Austria,MOVE_DOWN,14425.0,7HZMdCSq7oUYmn6OHU6kSB
14,2021-02-01,Austria,SAME_POSITION,14365.0,6cx06DFPPHchuUAcTxznu9
15,2021-02-01,Austria,MOVE_UP,13960.0,6ft4hAq6yde8jPZY2i5zLr
16,2021-02-01,Austria,MOVE_DOWN,13793.0,0VjIjW4GlUZAMYd2vXMi3b
17,2021-02-01,Austria,MOVE_DOWN,13680.0,7hxHWCCAIIxFLCzvDgnQHX
18,2021-02-01,Austria,SAME_POSITION,13430.0,45bE4HXI0AwGZXfZtMp8JR
19,2021-02-01,Austria,MOVE_UP,13298.0,5yUzqd3H7cmJ1no6B4uTzu
20,2021-02-01,Austria,SAME_POSITION,13287.0,3ECbHfRSFMjfm99YFvAD4x
21,2021-02-01,Austria,MOVE_DOWN,13004.0,3Ofmpyhv5UAQ70mENzB277
22,2021-02-01,Austria,MOVE_UP,12474.0,6zFMeegAMYQo0mt8rXtrli
23,2021-02-01,Austria,MOVE_UP,12090.0,1CFBjAXDYaKLyxGMrijeo1
24,2021-02-01,Austria,SAME_POSITION,11922.0,3ipliatTDndCmnYGaNiAbI
25,2021-02-01,Austria,MOVE_DOWN,11775.0,2MlOUXmcofMackX3bxfSwi
