rank,trend,streams,track_id
1,SAME_POSITION,73125.0,3tjFYV6RSFtuktYl3ZtYcq
2,MOVE_UP,48562.0,6cx06DFPPHchuUAcTxznu9
3,MOVE_DOWN,48183.0,205HNJ73cgpC0LAOnuQiWT
4,SAME_POSITION,42521.0,4Oun2ylbjFKMPTiaSbbCih
5,SAME_POSITION,41106.0,7hxHWCCAIIxFLCzvDgnQHX
6,SAME_POSITION,38536.0,2MlOUXmcofMackX3bxfSwi
7,SAME_POSITION,38325.0,45bE4HXI0AwGZXfZtMp8JR
8,SAME_POSITION,34345.0,7BO3y8lmogACezwHqZ1HTB
9,SAME_POSITION,32564.0,0PvFJmanyNQMseIFrU708S
10,SAME_POSITION,32387.0,7ytR5pFWmSjzHJIeQkgog4
11,SAME_POSITION,31379.0,6UelLqGlWMcVH1E5c4H7lY
12,SAME_POSITION,31143.0,1xQ6trAsedVPCdbtDAmk0c
13,MOVE_UP,30675.0,34FbkFgAbv4ffvhL2XQMVm
14,MOVE_DOWN,30538.0,1tkg4EHVoqnhR6iFEXb60y
15,SAME_POSITION,27634.0,7yN9Qx1HtE4c1fhakBz8Ay
16,SAME_POSITION,27521.0,5u1n1kITHCxxp8twBcZxWy
17,MOVE_UP,26401.0,0VjIjW4GlUZAMYd2vXMi3b
18,MOVE_DOWN,26226.0,1InCpEliLCkWHOBdXW7XSx
19,MOVE_DOWN,26156.0,3H7ihDc1dqLriiWXwsc2po
20,MOVE_UP,23946.0,6ARJHbYGKNatxHVghTkWWp
21,MOVE_UP,23069.0,50Td3qilgs8BLtv8mHyT1t
22,MOVE_DOWN,22621.0,0t1kP63rueHleOhQkYSXFY
23,MOVE_UP,21893.0,59qrUpoplZxbIZxk6X0Bm3
24,SAME_POSITION,21812.0,24IgCW19L8lXKyFZwzFtD3
25,MOVE_DOWN,21649.0,5rZlwNFl01HqLWBQGryKSm
26,MOVE_UP,21190.0,2u6Jm2klS4yvAlbSHlxUwI
27,MOVE_UP,20646.0,2SAqBLGA283SUiwJ3xOUVI
28,MOVE_DOWN,20386.0,4FnWH9l7gxQmrNpfA5AZKP
29,MOVE_DOWN,20273.0,2f0pn9DkEJwAzXApnFh5cr
30,SAME_POSITION,20207.0,2Wo6QQD1KMDWeFkkjLqwx5
31,MOVE_UP,18866.0,1rgnBhdG2JDFTbYkYRZAku
32,MOVE_UP,18861.0,525GY0mXYnxajolwgS8Eaz
33,MOVE_DOWN,18347.0,4xqrdfXkTW4T0RauPLv3WA
34,SAME_POSITION,18056.0,27ycaQnQAxaPiyeg3nr2aB
35,MOVE_UP,17614.0,7qEHsqek33rTcFNT9PFqLf
36,MOVE_DOWN,17565.0,32arZ09m8FH1vTNJn2xdmH
37,MOVE_DOWN,17123.0,2fHZHwEp6TP2ClC1S8ihVN
38,SAME_POSITION,16650.0,1zx0P48KC7UeDhBEZkbCvo
39,MOVE_UP,16437.0,33yBcb2caSp1dZWhKqiUK0
40,SAME_POSITION,16309.0,7ju97lgwC2rKQ6wwsf9no9
41,MOVE_DOWN,16144.0,2gMXnyrvIjhVBUZwvLZDMP
42,MOVE_UP,16125.0,1fyVvRQsa095P7QK5Um7xH
43,MOVE_UP,16109.0,6ab3CQvDlAVttThZucwGQ1
