rank,trend,streams,track_id
1,SAME_POSITION,6784.0,3AEZUABDXNtecAOSC1qTfo
2,SAME_POSITION,5748.0,3QwBODjSEzelZyVjxPOHdq
3,SAME_POSITION,5506.0,6mICuAdrwEjh6Y6lroV2Kg
4,MOVE_UP,4804.0,7DM4BPaS7uofFul3ywMe46
5,MOVE_DOWN,4780.0,5J1c3M4EldCfNxXwrwt8mT
6,SAME_POSITION,4399.0,6rQSrBHf7HlZjtcMZ4S4bO
7,SAME_POSITION,3542.0,4pdPtRcBmOSQDlJ3Fk945m
8,MOVE_UP,3507.0,0sXvAOmXgjR2QUqLK1MltU
9,MOVE_DOWN,3446.0,6stYbAJgTszHAHZMPxWWCY
10,SAME_POSITION,2979.0,5hEM0JchdVzQ5PwvSfITeX
11,MOVE_DOWN,2898.0,7BKLCZ1jbUBVqRi2FVlTVw
12,MOVE_UP,2882.0,58IL315gMSTD37DOZPJ2hf
13,MOVE_UP,2747.0,3dQDid3IUNhZy1OehIfYfE
14,MOVE_UP,2735.0,5mey7CLLuFToM2P68Qu1gF
15,MOVE_DOWN,2566.0,5MFzQMkrl1FOOng9tq6R9r
16,MOVE_UP,2504.0,20ZAJdsKB5IGbGj4ilRt2o
17,MOVE_DOWN,2480.0,5aAx2yezTd8zXrkmtKl66Z
18,MOVE_DOWN,2449.0,1xznGGDReH1oQq0xzbwXa3
19,SAME_POSITION,2221.0,3jpqMaJREkmVDYlRvW1qWC
20,MOVE_UP,2216.0,6DUdDIRgLqCGq1DwkNWQTN
21,MOVE_UP,2214.0,6YZdkObH88npeKrrkb8Ggf
22,MOVE_UP,2114.0,6De0lHrwBfPfrhorm9q1Xl
23,MOVE_UP,2102.0,6b8Be6ljOzmkOmFslEb23P
24,MOVE_DOWN,2090.0,68EMU2RD1ECNeOeJ5qAXCV
25,MOVE_DOWN,2085.0,04DwTuZ2VBdJCCC5TROn7L
26,MOVE_DOWN,2084.0,17Fd6Yb7mSbinKG8LoWfFl
27,MOVE_DOWN,2082.0,6DNtNfH8hXkqOX1sjqmI7p
28,MOVE_DOWN,2081.0,0JoHqmlqE0W0i9prt6kcHR
29,MOVE_UP,2046.0,0gzcET27nREY6aD8LJU9wD
30,MOVE_UP,2004.0,1lxswgIpzV6HhENRvkflES
31,MOVE_DOWN,1987.0,1vvNmPOiUuyCbgWmtc6yfm
32,MOVE_UP,1957.0,1pWYnQIlqxTh5bxuPmTG4E
33,MOVE_DOWN,1925.0,1AkTW13ysu0AJrwuM6UY0I
34,MOVE_UP,1912.0,1mSzZKMIPZIkn3jFV7v62b
35,SAME_POSITION,1819.0,4OaTpLJIa2harufGxfOPUu
36,MOVE_DOWN,1803.0,0QsvXIfqM0zZoerQfsI9lm
37,MOVE_UP,1742.0,7AtlMCIauSQZqiXSlbBPW6
38,MOVE_DOWN,1738.0,4Hf7WnR761jpxPr5D46Bcd
39,MOVE_UP,1724.0,0B38YZydPDJz9N4uR9hULg
40,MOVE_DOWN,1642.0,5knuzwU65gJK7IF5yJsuaW
41,MOVE_DOWN,1615.0,2SSYqDX8KTgy01NlqtUo0F
42,MOVE_DOWN,1498.0,6i0V12jOa3mr6uu4WYhUBr
43,MOVE_UP,1492.0,6JV2JOEocMgcZxYSZelKcc
44,MOVE_DOWN,1461.0,2Z8WuEywRWYTKe1NybPQEW
45,MOVE_DOWN,1440.0,4pLwZjInHj3SimIyN9SnOz
46,MOVE_UP,1435.0,0OMRAvrtLWE2TvcXorRiB9
47,MOVE_UP,1387.0,5Fim1gaXBgsiFfsQAfQSDS
48,MOVE_DOWN,1385.0,27SdWb2rFzO6GWiYDBTD9j
49,MOVE_DOWN,1381.0,4efQTJSX6Jca1hHZNi74Zd
50,MOVE_UP,1376.0,5dH7o4TP3HYLvCjo4QAhhv
51,MOVE_UP,1336.0,2xjcDF21U2ccgE2LEeiMbf
52,MOVE_DOWN,1307.0,4VXejnj5WgM6H72ct2fSgQ
53,MOVE_DOWN,1273.0,772io14jrMTxGJbijtDccQ
54,MOVE_DOWN,1266.0,3BY2mafsbsoKGqS380Xnuz
55,MOVE_UP,1235.0,3GpvoKKWZyTwgbLEM9RmWM
56,MOVE_DOWN,1215.0,5GXAXm5YOmYT0kL5jHvYBt
