rank,date,region,trend,streams,track_id
1,2020-11-01,Bolivia,SAME_POSITION,30794.0,1yoMvmasuxZfqHEipJhRbp
2,2020-11-01,Bolivia,SAME_POSITION,29367.0,47EiUVwUp4C9fGccaPuUCS
3,2020-11-01,Bolivia,SAME_POSITION,22737.0,21N4Buj4xsyLb218lYle61
4,2020-11-01,Bolivia,SAME_POSITION,20742.0,35UUpTmrcFXNIVIN26ujXl
5,2020-11-01,Bolivia,MOVE_UP,20411.0,73nAK3HgQK8dak83Y2WQ8F
6,2020-11-01,Bolivia,MOVE_DOWN,20329.0,4RJz8NfIe09gpKMiRUWKhJ
7,2020-11-01,Bolivia,SAME_POSITION,19319.0,4HYDUMY0xSpeBr0AMY9cUz
8,2020-11-01,Bolivia,MOVE_UP,19208.0,15OjBeqNX3bShsGYQbteRv
9,2020-11-01,Bolivia,MOVE_DOWN,18717.0,3GtnId3Cm1Xa6joCj08nzW
10,2020-11-01,Bolivia,SAME_POSITION,18675.0,7x4ASXYEKfQBCewcZhK776
11,2020-11-01,Bolivia,SAME_POSITION,15895.0,11EnQRgRMJwMAesfkB5pnu
12,2020-11-01,Bolivia,SAME_POSITION,14919.0,2bgcUk2A3jjKbCJ7KPquTi
13,2020-11-01,Bolivia,SAME_POSITION,14434.0,0JAZWvvqttGFm4UMDsPQXC
14,2020-11-01,Bolivia,SAME_POSITION,14327.0,4ZRrLHqzhGRXYj2qcB4s5S
15,2020-11-01,Bolivia,SAME_POSITION,13433.0,6bvfJf4KjonPMuPfGfy3S2
16,2020-11-01,Bolivia,SAME_POSITION,12175.0,6fmQjRuo7XvRFCK2qex5hQ
17,2020-11-01,Bolivia,SAME_POSITION,12022.0,7ndTONDDRFGiPnnhOzOXxq
18,2020-11-01,Bolivia,SAME_POSITION,11843.0,5y7DaS3jAc9eZzcSOoUIwU
19,2020-11-01,Bolivia,SAME_POSITION,11793.0,7vrJn5hDSXRmdXoR30KgF1
20,2020-11-01,Bolivia,MOVE_UP,10221.0,2lCkncy6bIB0LTMT7kvrD1
21,2020-11-01,Bolivia,SAME_POSITION,10187.0,0EhpEsp4L0oRGM0vmeaN5e
