rank,date,region,trend,streams,track_id
1,2019-02-01,Brazil,NEW_ENTRY,1084938.0,7G2XZhDNHo7SSDWSVxC0UT
2,2019-02-01,Brazil,MOVE_DOWN,640922.0,5EKHbW7mXcAR4hCyS3YXjb
3,2019-02-01,Brazil,SAME_POSITION,565599.0,5yH8pYxNckOU1cxfPsMIaz
4,2019-02-01,Brazil,SAME_POSITION,563277.0,1T7aSWZQIorPMzRT8jTMXc
5,2019-02-01,Brazil,MOVE_DOWN,549752.0,2qkNnJvQvhLiZ63X1L3eFz
6,2019-02-01,Brazil,SAME_POSITION,528390.0,7wMAgaPiKzTNxpDWu2BPfk
7,2019-02-01,Brazil,MOVE_DOWN,517032.0,2lAyctg5FocS67eksHoyIg
8,2019-02-01,Brazil,MOVE_DOWN,482396.0,3Hb9kUdm4yf839Fle4RIdT
9,2019-02-01,Brazil,MOVE_DOWN,461203.0,5Wmg5LPPJnbMsKA9fthM3l
10,2019-02-01,Brazil,MOVE_DOWN,432571.0,2X8sssaxS5GReg6945B6RW
11,2019-02-01,Brazil,MOVE_UP,425320.0,0IQCOAw9ZAI6WnXIrl481F
12,2019-02-01,Brazil,MOVE_DOWN,401231.0,7rLegaz7zKB6EtDNzcslKE
13,2019-02-01,Brazil,MOVE_UP,384982.0,7KdcbYcVF8LkQeQcTYOixJ
14,2019-02-01,Brazil,MOVE_DOWN,378475.0,7FiIQXpIeLo3ITfGGpb8PB
15,2019-02-01,Brazil,MOVE_DOWN,374130.0,0kCqaybZgYcLYxzZymmBoc
16,2019-02-01,Brazil,MOVE_DOWN,366386.0,1qCLx3nX25NuhfPjM5E1qV
17,2019-02-01,Brazil,MOVE_UP,342237.0,0XEJ7eph2IWFYZc73Jm3n2
18,2019-02-01,Brazil,MOVE_DOWN,320724.0,14msK75pk3pA33pzPVNtBF
19,2019-02-01,Brazil,MOVE_DOWN,315411.0,7LPR6AdkOQR9WpEixCGNCk
20,2019-02-01,Brazil,MOVE_UP,309752.0,4xc6RrWzEOdprPqYn9Cyen
21,2019-02-01,Brazil,MOVE_DOWN,306890.0,13Rf6RaZT13TW4xLQR3MQr
22,2019-02-01,Brazil,MOVE_DOWN,298925.0,0PaAB17axL9hn88mHiw8g0
23,2019-02-01,Brazil,MOVE_DOWN,297959.0,2H1liABu20HXBOmbt5SQz1
24,2019-02-01,Brazil,MOVE_UP,293294.0,3o67Yt3Ua1qlSNV22zWUAn
25,2019-02-01,Brazil,MOVE_UP,290892.0,3mNmUjoDHYDYj08IaRPtg0
26,2019-02-01,Brazil,MOVE_DOWN,289987.0,4eB8rsNNm5791m3uvEBNLR
27,2019-02-01,Brazil,MOVE_DOWN,288114.0,1IJH7QjV5V99eJBtKXqGXE
28,2019-02-01,Brazil,MOVE_DOWN,287459.0,0E5S49GCejjIo9Bjmo5Q4z
29,2019-02-01,Brazil,MOVE_UP,285068.0,5eMmT4Ava5BGThju0AD8vQ
30,2019-02-01,Brazil,MOVE_UP,279272.0,0H8CBal2Dcu5Yc001VotZN
31,2019-02-01,Brazil,SAME_POSITION,271778.0,1KFN3kB4hc6r7ILpifFsqf
32,2019-02-01,Brazil,SAME_POSITION,268294.0,51HrDv54pSe1IqynORNXBd
33,2019-02-01,Brazil,MOVE_DOWN,266334.0,2PMLdLt5QeOuOgxfAvx1in
34,2019-02-01,Brazil,MOVE_UP,264619.0,5MMrkwK6AgNAsgHVdC7daZ
35,2019-02-01,Brazil,MOVE_DOWN,264089.0,2dmGj5Nf01FcR6N4HPzAbL
36,2019-02-01,Brazil,MOVE_DOWN,251976.0,5U28PY9MekLyCBYtLHGQpe
37,2019-02-01,Brazil,MOVE_DOWN,243321.0,4HTrlT5mmxPaZZKs4JSPeI
38,2019-02-01,Brazil,MOVE_DOWN,240879.0,6zdrUt0j8guhZfcSF6X2Sb
39,2019-02-01,Brazil,MOVE_DOWN,224470.0,3fLqmaO4vvZpFZSZy52VMp
40,2019-02-01,Brazil,MOVE_UP,221281.0,2odzriVVZBwYOiYJEj30tm
41,2019-02-01,Brazil,MOVE_UP,218294.0,7oEr56KG6odStlQH0nvdyr
42,2019-02-01,Brazil,MOVE_UP,215167.0,36UiRg8wGUOFC3E0gdyvFA
43,2019-02-01,Brazil,MOVE_DOWN,213058.0,7uU04pPMnKELpv8mIJ3yLa
44,2019-02-01,Brazil,MOVE_UP,208999.0,7E5cJjrgYLHo13pI0hpmWw
45,2019-02-01,Brazil,MOVE_UP,207827.0,74n5d5M21JnC4WJ6gdkggK
46,2019-02-01,Brazil,MOVE_DOWN,205936.0,2VxeLyX666F8uXCJ0dZF8B
47,2019-02-01,Brazil,MOVE_DOWN,198652.0,6pgoGpBkKUvXrrU95j0khl
48,2019-02-01,Brazil,MOVE_UP,196716.0,1xyVMQx51Kab6eLVtE6twx
49,2019-02-01,Brazil,MOVE_UP,196195.0,67B2zQQTGWplLAnOHMigke
