rank,trend,streams,track_id
1,SAME_POSITION,971699.0,1vG3YuKRYqPwTmNmYgqkpg
2,MOVE_UP,788984.0,2bPtwnrpFNEe8N7Q85kLHw
3,MOVE_DOWN,785670.0,4lKuzrdZrJuCAedbIslF3A
4,MOVE_UP,747509.0,3GmJxfnUDrIs1iCfKUELFz
5,SAME_POSITION,741082.0,2PWjKmjyTZeDpmOUa3a5da
6,MOVE_DOWN,719970.0,5F8ffc8KWKNawllr5WsW0r
7,SAME_POSITION,687134.0,3tv697PZNnaQN0Mn2zGhS5
8,SAME_POSITION,665913.0,2Q9TaUXNM4mNSCgJjbmsJe
9,SAME_POSITION,629915.0,2qD7VoDYcrAPY0cVEfpsR5
10,MOVE_UP,598134.0,5dKesZwp6deuhEeW8F1UEi
11,MOVE_UP,592587.0,1uryupl9hqVZYurJwH4G9k
12,MOVE_UP,574889.0,6QwFUcPc5nhsqZuhXUYtV7
13,MOVE_DOWN,574622.0,2RMOwSvOGQyy985Vx4VSGQ
14,SAME_POSITION,548153.0,3J5Pu25BODMex4Jpy4l6FL
15,MOVE_UP,541673.0,4RC2nzqaQygxoVQOVv3XlT
16,MOVE_UP,528400.0,6lK3nCiigk34SGqEjpQoqO
17,MOVE_UP,518400.0,72xB2J9ZeBl0Rzxq2XmzdY
18,MOVE_DOWN,514793.0,14kRWkCWBYfQqILflEcpSJ
19,MOVE_DOWN,504713.0,3Uq45ipGutypFPmETfaoaH
20,SAME_POSITION,495004.0,4k20Ie47EcWtS4wMBn8w8S
21,MOVE_UP,479737.0,5MArTXEVyKBwoodjdy04fk
22,MOVE_UP,468516.0,3RbXsVQr4jeTxvT35Hssq3
23,MOVE_UP,459712.0,4E6RdcCWMiHTu7zy1VTNDo
24,MOVE_DOWN,459626.0,1U3tv41tFRgOfbytpuYQrR
25,MOVE_DOWN,449850.0,6V43u5SCjkfMpxMAXRPifr
26,SAME_POSITION,438031.0,5q0NlM6Pm8Pp3orq7zGiRn
27,MOVE_UP,433161.0,5fY9bVl1Wj4PIM3wnduWop
28,SAME_POSITION,423471.0,5gvrBqNFFEWcxYPt3mamvJ
29,MOVE_DOWN,397299.0,7HLU2aJTAQfSIgJ2dMASsP
30,MOVE_UP,394745.0,2PqPSf3gtTED79rWGwVtYg
31,SAME_POSITION,392817.0,2BU6XXSG8SqiptRuj6EiLA
32,MOVE_UP,392003.0,1MmS7UIy3J1BTxfGCRvVqN
33,MOVE_UP,385202.0,4jGzR5Vri06Y5T9SxM7m5P
34,MOVE_DOWN,382554.0,1rgnBhdG2JDFTbYkYRZAku
35,MOVE_UP,369831.0,2KyXyTrp3kp1Fsg7B1osYD
36,MOVE_UP,369051.0,4UUtssVRs2aQTLQCAAtZg1
37,MOVE_DOWN,368765.0,26WpOBpHiIMoBuMEIwtOCH
38,MOVE_UP,361787.0,17Ryox5vWKp92IDW87C5PI
39,SAME_POSITION,360648.0,159ntSAEWJ9zIMOSXmQ530
40,MOVE_UP,353875.0,5n8Y78Pl5q8lqS7sJP61qw
41,MOVE_DOWN,353060.0,31yFXM26dazFnWI2eoOM5R
42,MOVE_DOWN,351761.0,0CgMeXQiNYJxPVQ2EMJxdL
43,MOVE_DOWN,350096.0,6sRLrSetyIwIKhW1eMlUNP
44,MOVE_UP,349033.0,4lEw9Id7kLDSJ6KRdaenM9
45,MOVE_UP,346176.0,4gDvg62vG96w0qJaF6wzcd
46,MOVE_UP,341436.0,7oEr56KG6odStlQH0nvdyr
47,MOVE_UP,313930.0,1G60NjxeOS7veR1EXuKPaW
48,MOVE_DOWN,313438.0,2MOq63fxuFLYQM3CsDcFs1
49,MOVE_DOWN,287395.0,7yYsyXQa2JgbyL9fkEiUNt
50,MOVE_UP,285593.0,3tU3UAasaDA9OixXGC3O33
51,MOVE_UP,285302.0,5EKHbW7mXcAR4hCyS3YXjb
52,MOVE_DOWN,272757.0,2kOmW169C7UV4SZDN9u0YO
53,MOVE_UP,272437.0,0WhDotK0QXigmsrlw0DxKK
54,MOVE_UP,264084.0,3rDAHk73LZmgJIyGZstWQ0
55,MOVE_UP,261937.0,1xyVMQx51Kab6eLVtE6twx
56,MOVE_UP,259551.0,3vSXPjfcebTt5mB8DXHWM6
57,MOVE_DOWN,255467.0,3NnW2EqJxvHYrRy3upaznl
58,MOVE_DOWN,239396.0,3MkdA6vwF0ifRl86yzTlJW
59,MOVE_UP,235193.0,2H8ETIUEoN9YMf56X66bxd
60,MOVE_DOWN,234084.0,6v3KW9xbzN5yKLt9YKDYA2
61,MOVE_UP,232130.0,7qLnSuxwLNlcapat8OCWZp
62,MOVE_UP,231804.0,1oQppEGTHYN53xfEaTz4ua
63,SAME_POSITION,230833.0,7vZqxuOvEwRHsGVaDykzpY
64,MOVE_UP,230027.0,5MMrkwK6AgNAsgHVdC7daZ
65,MOVE_UP,229757.0,3L2uyIJoJPjYkSETVNSPBQ
66,MOVE_DOWN,228472.0,5FFpRbsH9WDYNoLauRAHpj
67,MOVE_DOWN,228273.0,59WWulo1LM0njpIkcduCMn
68,MOVE_UP,225891.0,49pu85144Xir6PgWjeyJhG
69,MOVE_UP,225074.0,0IQCOAw9ZAI6WnXIrl481F
70,MOVE_DOWN,224124.0,63SHcJzckFykS8faA5zojY
71,MOVE_UP,223708.0,64ePZsgVWO1zRVpHxY2VYC
72,MOVE_UP,222405.0,5rwdmpN5eMWIIwK4R96vv1
73,MOVE_UP,222082.0,72N0CRIAqjETbhghrkCUW2
74,MOVE_UP,221394.0,4rnI4obabjGCPI2CCCs5VR
75,MOVE_UP,220023.0,7sl95MXCpM8WWsaH1BqvR3
76,MOVE_UP,218460.0,1nqaSoiLuqevDes4S18sO7
77,MOVE_UP,218297.0,7D5F5BzIon5zhzQrOU2pdN
78,MOVE_UP,215904.0,6mdU8glNHYdBBj5DuKSL1B
79,MOVE_UP,209669.0,24YUl9cgjcEvgJTr2WIT1q
80,MOVE_UP,208752.0,5cN5ZOVcYBl4Lnq50Zeqsx
81,MOVE_DOWN,206665.0,3tA0vALUwrzkTgHcm9j6oJ
82,MOVE_DOWN,206425.0,7Gk5OrMYaMRtT2JmgJVAfk
83,MOVE_DOWN,205362.0,6e8X0VVUO6BIZMnDvICDOR
84,MOVE_UP,195438.0,5GHA824FwkHeBl5u1T6kLj
85,MOVE_UP,192112.0,6hrV6KYL9zM8vFAbOSxFHY
86,MOVE_UP,189039.0,5eMmT4Ava5BGThju0AD8vQ
87,MOVE_DOWN,186101.0,52vPpP2gEYaBROIS77J38P
88,MOVE_DOWN,185447.0,6WrI0LAC5M1Rw2MnX2ZvEg
89,SAME_POSITION,185018.0,5rNNZ6fVYxkhwqUfImVhU1
90,MOVE_DOWN,181487.0,2UxeBJPanPvF3Q2xH6zkbC
91,MOVE_UP,179616.0,0rUL7vUZmCKxB0gS83W3aM
