rank,trend,streams,track_id
1,SAME_POSITION,5791.0,7qiZfU4dY1lWllzX7mPBI3
2,SAME_POSITION,1940.0,3NdDpSvN911VPGivFlV5d0
3,SAME_POSITION,1837.0,5aAx2yezTd8zXrkmtKl66Z
4,MOVE_UP,1650.0,72jbDTw1piOOj770jWNeaG
5,MOVE_DOWN,1609.0,6PCUP3dWmTjcTtXY02oFdT
6,SAME_POSITION,1576.0,5knuzwU65gJK7IF5yJsuaW
7,MOVE_UP,1452.0,3ebXMykcMXOcLeJ9xZ17XH
8,MOVE_DOWN,1406.0,4Km5HrUvYTaSUfiSGPJeQR
9,SAME_POSITION,1275.0,5GXAXm5YOmYT0kL5jHvYBt
10,MOVE_DOWN,1247.0,78rIJddV4X0HkNAInEcYde
11,SAME_POSITION,1060.0,6mICuAdrwEjh6Y6lroV2Kg
12,SAME_POSITION,1054.0,4F7A0DXBrmUAkp32uenhZt
1,SAME_POSITION,5620.0,7qiZfU4dY1lWllzX7mPBI3
2,MOVE_UP,2033.0,5aAx2yezTd8zXrkmtKl66Z
3,MOVE_DOWN,1867.0,3NdDpSvN911VPGivFlV5d0
4,SAME_POSITION,1627.0,72jbDTw1piOOj770jWNeaG
5,MOVE_UP,1572.0,5knuzwU65gJK7IF5yJsuaW
6,MOVE_DOWN,1536.0,6PCUP3dWmTjcTtXY02oFdT
7,SAME_POSITION,1459.0,3ebXMykcMXOcLeJ9xZ17XH
8,SAME_POSITION,1354.0,4Km5HrUvYTaSUfiSGPJeQR
9,SAME_POSITION,1353.0,5GXAXm5YOmYT0kL5jHvYBt
10,SAME_POSITION,1191.0,78rIJddV4X0HkNAInEcYde
11,MOVE_UP,1136.0,4F7A0DXBrmUAkp32uenhZt
12,MOVE_DOWN,1103.0,6mICuAdrwEjh6Y6lroV2Kg
1,SAME_POSITION,5939.0,7qiZfU4dY1lWllzX7mPBI3
2,SAME_POSITION,2014.0,5aAx2yezTd8zXrkmtKl66Z
3,SAME_POSITION,1969.0,3NdDpSvN911VPGivFlV5d0
4,MOVE_UP,1732.0,3ebXMykcMXOcLeJ9xZ17XH
5,MOVE_UP,1663.0,6PCUP3dWmTjcTtXY02oFdT
6,MOVE_DOWN,1589.0,5knuzwU65gJK7IF5yJsuaW
7,MOVE_DOWN,1510.0,72jbDTw1piOOj770jWNeaG
8,SAME_POSITION,1466.0,4Km5HrUvYTaSUfiSGPJeQR
9,MOVE_UP,1267.0,78rIJddV4X0HkNAInEcYde
10,MOVE_DOWN,1198.0,5GXAXm5YOmYT0kL5jHvYBt
11,NEW_ENTRY,1149.0,0fg8CqpjdojMyXLNzM2PaJ
12,SAME_POSITION,1112.0,6mICuAdrwEjh6Y6lroV2Kg
13,MOVE_DOWN,1019.0,4F7A0DXBrmUAkp32uenhZt
14,NEW_ENTRY,1011.0,7BKLCZ1jbUBVqRi2FVlTVw
15,NEW_ENTRY,1004.0,6fujklziTHa8uoM5OQSfIo
1,SAME_POSITION,4835.0,7qiZfU4dY1lWllzX7mPBI3
2,SAME_POSITION,1792.0,5aAx2yezTd8zXrkmtKl66Z
3,SAME_POSITION,1735.0,3NdDpSvN911VPGivFlV5d0
4,SAME_POSITION,1400.0,3ebXMykcMXOcLeJ9xZ17XH
