rank,date,region,trend,streams,track_id
1,2021-01-01,Bulgaria,MOVE_UP,2567.0,7hxHWCCAIIxFLCzvDgnQHX
2,2021-01-01,Bulgaria,MOVE_UP,2561.0,6zFMeegAMYQo0mt8rXtrli
3,2021-01-01,Bulgaria,SAME_POSITION,2237.0,35mvY5S1H3J2QZyna3TFe0
4,2021-01-01,Bulgaria,MOVE_DOWN,2214.0,0VjIjW4GlUZAMYd2vXMi3b
5,2021-01-01,Bulgaria,SAME_POSITION,2201.0,3tjFYV6RSFtuktYl3ZtYcq
6,2021-01-01,Bulgaria,SAME_POSITION,2085.0,1AE3geuJdEBiitm81QuuOi
7,2021-01-01,Bulgaria,MOVE_UP,2083.0,5vGLcdRuSbUhD8ScwsGSdA
8,2021-01-01,Bulgaria,MOVE_UP,1888.0,0PvFJmanyNQMseIFrU708S
9,2021-01-01,Bulgaria,MOVE_DOWN,1851.0,4Oun2ylbjFKMPTiaSbbCih
10,2021-01-01,Bulgaria,SAME_POSITION,1845.0,0txHI0BUicGtEOT6FClpiU
11,2021-01-01,Bulgaria,MOVE_DOWN,1829.0,1bwLTopYsL8A0j0fg7fi79
12,2021-01-01,Bulgaria,MOVE_DOWN,1826.0,2Oycxb8QbPkpHTo8ZrmG0B
13,2021-01-01,Bulgaria,MOVE_DOWN,1734.0,2c5uQMBQb3KyUG7YiP3cOF
14,2021-01-01,Bulgaria,MOVE_UP,1685.0,79s5XnCN4TJKTVMSmOx8Ep
15,2021-01-01,Bulgaria,MOVE_UP,1672.0,7ytR5pFWmSjzHJIeQkgog4
16,2021-01-01,Bulgaria,MOVE_UP,1633.0,6Im9k8u9iIzKMrmV7BWtlF
17,2021-01-01,Bulgaria,MOVE_UP,1610.0,2QjOHCTQ1Jl3zawyYOpxh6
18,2021-01-01,Bulgaria,MOVE_UP,1607.0,3eekarcy7kvN4yt5ZFzltW
19,2021-01-01,Bulgaria,MOVE_UP,1582.0,54bFM56PmE4YLRnqpW6Tha
20,2021-01-01,Bulgaria,MOVE_DOWN,1581.0,2rFZhVHWOwDxAy59qLUzLy
21,2021-01-01,Bulgaria,MOVE_UP,1547.0,7bCfHiRcfUjG0YVVNUL7Ve
22,2021-01-01,Bulgaria,MOVE_UP,1532.0,1tkg4EHVoqnhR6iFEXb60y
23,2021-01-01,Bulgaria,MOVE_UP,1530.0,6gBFPUFcJLzWGx4lenP6h2
24,2021-01-01,Bulgaria,MOVE_DOWN,1517.0,5oE4QPgCrAs3itnmj2GmsM
25,2021-01-01,Bulgaria,MOVE_DOWN,1488.0,0zLCBJZSiELJf02ucPP9wb
26,2021-01-01,Bulgaria,MOVE_DOWN,1457.0,0fZTtyWq3HIfYzZNrRUNBl
27,2021-01-01,Bulgaria,MOVE_DOWN,1429.0,5KhisjtC9RpYuwpGs8eG60
28,2021-01-01,Bulgaria,MOVE_UP,1400.0,2r6OAV3WsYtXuXjvJ1lIDi
29,2021-01-01,Bulgaria,MOVE_UP,1394.0,27OeeYzk6klgBh83TSvGMA
30,2021-01-01,Bulgaria,MOVE_UP,1394.0,0nbXyq5TXYPCO7pr3N8S4I
31,2021-01-01,Bulgaria,MOVE_DOWN,1390.0,5nujrmhLynf4yMoMtj8AQF
32,2021-01-01,Bulgaria,MOVE_DOWN,1347.0,2VLkqMSEuj10HushVQ93jD
33,2021-01-01,Bulgaria,MOVE_DOWN,1334.0,1K5KBOgreBi5fkEHvg5ap3
34,2021-01-01,Bulgaria,MOVE_DOWN,1318.0,4jVBIpuOiMj1crqd8LoCrJ
35,2021-01-01,Bulgaria,MOVE_UP,1283.0,0WAJMHi3i8cGl7nj5jaIc0
36,2021-01-01,Bulgaria,MOVE_DOWN,1282.0,6UelLqGlWMcVH1E5c4H7lY
37,2021-01-01,Bulgaria,MOVE_DOWN,1274.0,1HbA4N1MiOsPthALesGFR1
38,2021-01-01,Bulgaria,MOVE_DOWN,1263.0,5oqf078enQDAmnC3yspLMm
39,2021-01-01,Bulgaria,MOVE_DOWN,1234.0,42M0ZFw1roZOOQGEpvGXxC
40,2021-01-01,Bulgaria,MOVE_UP,1234.0,0jdso14vaFnpRazMLEZovF
41,2021-01-01,Bulgaria,MOVE_DOWN,1233.0,6EDO9iiTtwNv6waLwa1UUq
42,2021-01-01,Bulgaria,MOVE_UP,1228.0,2xLMifQCjDGFmkHkpNLD9h
43,2021-01-01,Bulgaria,MOVE_DOWN,1219.0,1iIIsJlKQW7E4eLw7x5XOI
44,2021-01-01,Bulgaria,MOVE_DOWN,1198.0,6veSbPnFR3ABt3AnSDr5uI
45,2021-01-01,Bulgaria,MOVE_UP,1194.0,2C6ij9W4mmv0IYtX8L6ErW
46,2021-01-01,Bulgaria,MOVE_UP,1182.0,45bE4HXI0AwGZXfZtMp8JR
47,2021-01-01,Bulgaria,MOVE_DOWN,1173.0,1B9c9f5AzzMu66UOexfRoq
48,2021-01-01,Bulgaria,MOVE_UP,1161.0,5E30LdtzQTGqRvNd7l6kG5
49,2021-01-01,Bulgaria,MOVE_UP,1161.0,39Yp9wwQiSRIDOvrVg7mbk
50,2021-01-01,Bulgaria,MOVE_DOWN,1157.0,4ix0ntu244dcdAoSml7trs
51,2021-01-01,Bulgaria,MOVE_UP,1157.0,22LAwLoDA5b4AaGSkg6bKW
52,2021-01-01,Bulgaria,MOVE_UP,1148.0,48q0vSHcJdhK3IiXH8C5WJ
53,2021-01-01,Bulgaria,SAME_POSITION,1134.0,3zF91nuE7bEP6POLHdYF3k
54,2021-01-01,Bulgaria,MOVE_UP,1127.0,20McUFi8KCIVdNDLrkTDuZ
55,2021-01-01,Bulgaria,MOVE_UP,1122.0,0AUvWawuP0ibk4SQ3sIZjk
56,2021-01-01,Bulgaria,MOVE_UP,1121.0,6gi6y1xwmVszDWkUqab1qw
57,2021-01-01,Bulgaria,MOVE_DOWN,1110.0,2WdSG9V5Pgxb0lNXVmzm7k
58,2021-01-01,Bulgaria,MOVE_UP,1079.0,285pBltuF7vW8TeWk8hdRR
59,2021-01-01,Bulgaria,MOVE_DOWN,1076.0,6cx06DFPPHchuUAcTxznu9
60,2021-01-01,Bulgaria,MOVE_UP,1069.0,2kS6td1yvmpNgZTt1q5pQq
61,2021-01-01,Bulgaria,MOVE_UP,1058.0,3rq5w4bQGigXOfdN30ATJt
62,2021-01-01,Bulgaria,MOVE_DOWN,1057.0,6cFnPXiP22nmwG5LjGXnBS
63,2021-01-01,Bulgaria,MOVE_DOWN,1045.0,4saklk6nie3yiGePpBwUoc
64,2021-01-01,Bulgaria,MOVE_DOWN,1043.0,3H7ihDc1dqLriiWXwsc2po
65,2021-01-01,Bulgaria,MOVE_UP,1033.0,5Z0WQAMDFoO4YnXVmK8uUL
66,2021-01-01,Bulgaria,MOVE_DOWN,1029.0,7AYf4DucWVvjm5NQy8paAl
67,2021-01-01,Bulgaria,MOVE_DOWN,1026.0,4i2qxFEVVUi8yOYoxB8TCX
68,2021-01-01,Bulgaria,MOVE_UP,1025.0,0AUyNF6iFxMNQsNx2nhtrw
69,2021-01-01,Bulgaria,MOVE_DOWN,1020.0,3Uo7WG0vmLQ07WB4BDwy7D
70,2021-01-01,Bulgaria,MOVE_DOWN,1014.0,7FIWs0pqAYbP91WWM0vlTQ
71,2021-01-01,Bulgaria,MOVE_DOWN,1007.0,0A1hoCfMLkiAgvhWkkucJa
1,2021-01-02,Bulgaria,SAME_POSITION,3131.0,7hxHWCCAIIxFLCzvDgnQHX
2,2021-01-02,Bulgaria,MOVE_UP,2986.0,1AE3geuJdEBiitm81QuuOi
3,2021-01-02,Bulgaria,MOVE_DOWN,2975.0,6zFMeegAMYQo0mt8rXtrli
4,2021-01-02,Bulgaria,MOVE_DOWN,2842.0,35mvY5S1H3J2QZyna3TFe0
