rank,trend,streams,track_id
1,MOVE_UP,264394.0,6u7jPi22kF8CTQ3rb9DHE7
2,MOVE_DOWN,236886.0,3HVWdVOQ0ZA45FuZGSfvns
3,SAME_POSITION,217931.0,2Fxmhks0bxGSBdJ92vM42m
4,SAME_POSITION,188663.0,7DcvwMAiqKJQD1rrdfxSDx
5,MOVE_UP,161249.0,53CJANUxooaqGOtdsBTh7O
6,MOVE_DOWN,156727.0,6LsAAHotRLMOHfCsSfYCsz
7,MOVE_DOWN,146853.0,543bCW2ruMPmxUBWirQ3MR
8,SAME_POSITION,145053.0,3KkXRkHbMCARz0aVfEt68P
9,SAME_POSITION,128002.0,5hVghJ4KaYES3BFUATCYn0
10,MOVE_UP,127359.0,5PYQUBXc7NYeI1obMKSJK0
11,MOVE_DOWN,121360.0,5qmq61DAAOUaW8AUo8xKhh
12,MOVE_DOWN,120804.0,5AjINjwKyRvQJhSe2zpPHi
13,SAME_POSITION,112411.0,4y3OI86AEP6PQoDE6olYhO
14,SAME_POSITION,106661.0,2WyRfGeHo97VC5mP1BBSzr
15,MOVE_UP,106470.0,6MWtB6iiXyIwun0YzU6DFP
16,SAME_POSITION,105740.0,7Feaw9WAEREY0DUOSXJLOM
17,MOVE_UP,102310.0,1kK6DwzyXJSp58u5HYWwuD
18,MOVE_DOWN,102079.0,2gwkD6igEhQbDQegRCcdoB
19,MOVE_DOWN,102028.0,6dPyzkyZwoj9LqjQXOFdVv
20,MOVE_UP,99529.0,7qEHsqek33rTcFNT9PFqLf
21,MOVE_UP,95599.0,0n2nEtLP3OzDdi12ziIekx
22,MOVE_UP,95309.0,6TqXcAFInzjp0bODyvrWEq
23,SAME_POSITION,94287.0,2JvzF1RMd7lE3KmFlsyZD8
24,MOVE_DOWN,93536.0,1wJRveJZLSb1rjhnUHQiv6
25,MOVE_DOWN,93407.0,36TO60sxDduIsO3xH8IcUh
26,MOVE_UP,92275.0,6ocbgoVGwYJhOv1GgI9NsF
27,SAME_POSITION,88744.0,4tNXntkAzQ5A2dfYRYGIIQ
28,MOVE_DOWN,87863.0,2MuMD298IpYqKF367wegUd
29,MOVE_UP,87271.0,1HpzOCZbNWzxvvXfSGtSrX
30,MOVE_DOWN,86721.0,2IRZnDFmlqMuOrYOLnZZyc
31,MOVE_UP,86184.0,4MsUsFfWseB9M2plGJyuIw
32,MOVE_DOWN,85818.0,63cd4JkwGgYJrbOizbfmsp
33,SAME_POSITION,85537.0,7njKgVl3AnLflRad38o7AG
34,SAME_POSITION,84285.0,0mjAU3yKR1QnXnHtjGJqTM
35,MOVE_UP,80595.0,2VxeLyX666F8uXCJ0dZF8B
36,MOVE_DOWN,78750.0,7FGq80cy8juXBCD2nrqdWU
37,SAME_POSITION,77823.0,5icOoE6VgqFKohjWWNp0Ac
38,MOVE_UP,76714.0,2dpaYNEQHiRxtZbfNsse99
39,MOVE_DOWN,76519.0,5CKtlUULFD5aPVX4PL02H6
40,MOVE_UP,75987.0,6Qs4SXO9dwPj5GKvVOv8Ki
41,MOVE_UP,72801.0,2xLMifQCjDGFmkHkpNLD9h
42,NEW_ENTRY,72272.0,1VsqQEYObJsOPaeZwEXRPg
43,MOVE_DOWN,71947.0,5WHTFyqSii0lmT9R21abT8
44,MOVE_UP,71865.0,05CwHjIk71RXVU40boRMnR
45,MOVE_DOWN,69878.0,4SSnFejRGlZikf02HLewEF
46,MOVE_DOWN,69806.0,340UVheS8z3ncW9TTUhAbc
47,MOVE_DOWN,68019.0,3XiNC94b4Tq1xwv70sQJGN
48,MOVE_UP,65189.0,7eBqSVxrzQZtK2mmgRG6lC
