rank,date,region,trend,streams,track_id
1,2019-10-01,Canada,SAME_POSITION,212472.0,21jGcNKet2qwijlDFuPiPb
2,2019-10-01,Canada,SAME_POSITION,165464.0,7qEHsqek33rTcFNT9PFqLf
3,2019-10-01,Canada,SAME_POSITION,161215.0,6v3KW9xbzN5yKLt9YKDYA2
4,2019-10-01,Canada,SAME_POSITION,151016.0,6EOKwHETwSkZ9gW2b6ASE0
5,2019-10-01,Canada,SAME_POSITION,138271.0,5qmq61DAAOUaW8AUo8xKhh
6,2019-10-01,Canada,MOVE_UP,130877.0,7CZyCXKG6d5ALeq41sLzbw
7,2019-10-01,Canada,MOVE_DOWN,130760.0,6vBdBCoOhKHiYDDOcorfNo
8,2019-10-01,Canada,MOVE_UP,129817.0,4B7fTyj1FIPvP9tT5X3DnR
9,2019-10-01,Canada,MOVE_DOWN,129145.0,51Fjme0JiitpyXKuyQiCDo
10,2019-10-01,Canada,SAME_POSITION,128024.0,7aiClxsDWFRQ0Kzk5KI5ku
11,2019-10-01,Canada,SAME_POSITION,124018.0,05mDaV9Vb3wrzjF6OPZnhq
12,2019-10-01,Canada,MOVE_UP,121669.0,1rgnBhdG2JDFTbYkYRZAku
13,2019-10-01,Canada,MOVE_DOWN,121125.0,70eFcWOvlMObDhURTqT4Fv
14,2019-10-01,Canada,SAME_POSITION,114916.0,5ry2OE6R2zPQFDO85XkgRb
15,2019-10-01,Canada,SAME_POSITION,112856.0,1000nHvUdawXuUHgBod4Wv
16,2019-10-01,Canada,SAME_POSITION,109726.0,4sjiIpEv617LDXaidKioOI
17,2019-10-01,Canada,SAME_POSITION,109625.0,0RiRZpuVRbi7oqRdSMwhQY
18,2019-10-01,Canada,SAME_POSITION,109557.0,4sWuPniHClkInYAnzXAYUF
19,2019-10-01,Canada,MOVE_UP,106936.0,4hPpVbbakQNv8YTHYaOJP4
20,2019-10-01,Canada,SAME_POSITION,106230.0,0Xek5rqai2jcOWCYWJfVCF
21,2019-10-01,Canada,MOVE_UP,105058.0,2Fxmhks0bxGSBdJ92vM42m
22,2019-10-01,Canada,MOVE_DOWN,103135.0,6Ozh9Ok6h4Oi1wUSLtBseN
23,2019-10-01,Canada,MOVE_UP,102376.0,2b8fOow8UzyDFAE27YhOZM
24,2019-10-01,Canada,MOVE_DOWN,101758.0,7x9nXsowok1JszkVztI5NI
25,2019-10-01,Canada,MOVE_DOWN,98908.0,3Yh9lZcWyKrK9GjbhuS0hR
26,2019-10-01,Canada,MOVE_UP,91058.0,6b2RcmUt1g9N9mQ3CbjX2Y
27,2019-10-01,Canada,MOVE_DOWN,91010.0,0hVXuCcriWRGvwMV1r5Yn9
28,2019-10-01,Canada,SAME_POSITION,90740.0,6XHVuErjQ4XNm6nDPVCxVX
29,2019-10-01,Canada,MOVE_UP,87920.0,5Z8HZM6iQMhhqyPcCGY5g9
30,2019-10-01,Canada,SAME_POSITION,87788.0,7LzouaWGFCy4tkXDOOnEyM
31,2019-10-01,Canada,MOVE_UP,87235.0,3NkJNL3WqO1Lqc3uNDxvCN
32,2019-10-01,Canada,MOVE_DOWN,85687.0,77KMttn3Lic7ZQKDlPqp8v
33,2019-10-01,Canada,SAME_POSITION,80862.0,7sWRlDoTDX8geTR8zzr2vt
34,2019-10-01,Canada,SAME_POSITION,79239.0,6alCTRgBPoeAFi2N4il9Q4
35,2019-10-01,Canada,MOVE_UP,78966.0,12Fkyg9lpmaz2zmKOfw2Y2
36,2019-10-01,Canada,MOVE_UP,78447.0,6wo37KVqFJhtuxPTpLCcfe
37,2019-10-01,Canada,MOVE_DOWN,77790.0,0Ryd8975WihbObpp5cPW1t
38,2019-10-01,Canada,MOVE_DOWN,77229.0,3s4mrPrEFFPF0LmAfutW0n
39,2019-10-01,Canada,MOVE_DOWN,76763.0,0fySG6A6qLE8IvDpayb5bM
40,2019-10-01,Canada,SAME_POSITION,76220.0,2YpeDb67231RjR0MgVLzsG
41,2019-10-01,Canada,MOVE_DOWN,76219.0,5hDAT527wXWNBnJlujhuUs
42,2019-10-01,Canada,SAME_POSITION,74820.0,7xQAfvXzm3AkraOtGPWIZg
43,2019-10-01,Canada,MOVE_UP,72739.0,0UPBidRYcgJ2mjZlk08V8x
44,2019-10-01,Canada,SAME_POSITION,72718.0,4otVP2TcJliXWq2GjkvWkR
45,2019-10-01,Canada,MOVE_DOWN,72571.0,2zjGJ0dChMR0KxBZS15aqo
46,2019-10-01,Canada,MOVE_UP,72074.0,6oJ6le65B3SEqPwMRNXWjY
47,2019-10-01,Canada,MOVE_UP,71079.0,6V9fHiv84WlVTg7CSnIVY2
48,2019-10-01,Canada,MOVE_DOWN,69834.0,0DZJACISivjWjscIp5Kg1q
49,2019-10-01,Canada,MOVE_DOWN,69496.0,6uFn47ACjqYkc0jADwEdj1
50,2019-10-01,Canada,SAME_POSITION,68045.0,2gwkD6igEhQbDQegRCcdoB
51,2019-10-01,Canada,SAME_POSITION,66358.0,1dGr1c8CrMLDpV6mPbImSI
52,2019-10-01,Canada,SAME_POSITION,65466.0,0c7K73roy6RW4ebDkf4yGh
53,2019-10-01,Canada,MOVE_UP,64590.0,5MPPttjfGap2C6j6eKcO6J
54,2019-10-01,Canada,SAME_POSITION,63755.0,2C6WXnmZ66tHhHlnvwePiK
55,2019-10-01,Canada,MOVE_DOWN,63148.0,5dW1VZPcFqB4n0P08rGDgm
56,2019-10-01,Canada,MOVE_UP,62469.0,6RRNNciQGZEXnqk8SQ9yv5
57,2019-10-01,Canada,MOVE_UP,62372.0,4vUmTMuQqjdnvlZmAH61Qk
58,2019-10-01,Canada,MOVE_DOWN,61478.0,6moU77g9RQyMzHNuKEaQKq
59,2019-10-01,Canada,MOVE_UP,60065.0,1GeNui6m825V8jP4uKiIaH
60,2019-10-01,Canada,SAME_POSITION,58830.0,1wJRveJZLSb1rjhnUHQiv6
61,2019-10-01,Canada,MOVE_UP,58331.0,0rFQ5cKYJ9WtHSKp9sxVYt
62,2019-10-01,Canada,MOVE_UP,58219.0,5xjei7JnROsAzLY2a7RdZU
63,2019-10-01,Canada,MOVE_DOWN,57479.0,1CCDIow4pPYyJYzhtTUYz2
64,2019-10-01,Canada,MOVE_DOWN,57343.0,6TqXcAFInzjp0bODyvrWEq
65,2019-10-01,Canada,MOVE_UP,55162.0,2xE16muNCmhZwSOv3i1d1H
66,2019-10-01,Canada,MOVE_UP,54954.0,2tnVG71enUj33Ic2nFN6kZ
67,2019-10-01,Canada,MOVE_UP,54790.0,44ADyYoY5liaRa3EOAl4uf
68,2019-10-01,Canada,MOVE_UP,54719.0,2JvzF1RMd7lE3KmFlsyZD8
69,2019-10-01,Canada,MOVE_DOWN,54602.0,2IRZnDFmlqMuOrYOLnZZyc
70,2019-10-01,Canada,MOVE_UP,54392.0,4fwo6czG5nvOQMzhOto1ya
71,2019-10-01,Canada,MOVE_DOWN,54296.0,2bT1PH7Cw3J9p3t7nlXCdh
72,2019-10-01,Canada,SAME_POSITION,54171.0,2VxeLyX666F8uXCJ0dZF8B
73,2019-10-01,Canada,MOVE_UP,53897.0,322tcqPhma7F6hfCeLisx0
74,2019-10-01,Canada,MOVE_DOWN,53751.0,3TLwAp3uX1nKsVxrDhNPOL
75,2019-10-01,Canada,MOVE_UP,53033.0,0rIAC4PXANcKmitJfoqmVm
76,2019-10-01,Canada,SAME_POSITION,52298.0,2xLMifQCjDGFmkHkpNLD9h
77,2019-10-01,Canada,MOVE_UP,52296.0,26wLOs3ZuHJa2Ihhx6QIE6
78,2019-10-01,Canada,MOVE_DOWN,51816.0,7FGq80cy8juXBCD2nrqdWU
79,2019-10-01,Canada,MOVE_UP,51362.0,67XyC1GdSkKb9sbRRkUDXS
80,2019-10-01,Canada,MOVE_UP,49671.0,22vgEDb5hykfaTwLuskFGD
81,2019-10-01,Canada,SAME_POSITION,49663.0,4a6q8CR2hzLk2plDkSxkfD
82,2019-10-01,Canada,MOVE_UP,49602.0,6osaMSJh9NguagEDQcZaKx
83,2019-10-01,Canada,MOVE_DOWN,49578.0,2FvD20Z8aoWIePi7PoN8sG
84,2019-10-01,Canada,SAME_POSITION,47770.0,2dpaYNEQHiRxtZbfNsse99
85,2019-10-01,Canada,MOVE_UP,47654.0,2J0NXdHr6MYvKDSxB7k3V2
86,2019-10-01,Canada,SAME_POSITION,47592.0,0DiDStADDVh3SvAsoJAFMk
87,2019-10-01,Canada,MOVE_DOWN,47473.0,1SNiXDwSilLujcYdvfqVpT
88,2019-10-01,Canada,MOVE_UP,45523.0,6ocbgoVGwYJhOv1GgI9NsF
89,2019-10-01,Canada,MOVE_DOWN,45483.0,3j84U36KvLeXNDPv4t5pI8
90,2019-10-01,Canada,MOVE_UP,45301.0,6zeeWid2sgw4lap2jV61PZ
91,2019-10-01,Canada,MOVE_UP,45167.0,6PYnUsNEpYC7A4BS2sjw3L
92,2019-10-01,Canada,MOVE_DOWN,44829.0,78QR3Wp35dqAhFEc2qAGjE
