rank,date,region,trend,streams,track_id
1,2021-05-01,Chile,SAME_POSITION,328729.0,7Bk0uXKk1uPT0XuQbpFzvs
2,2021-05-01,Chile,SAME_POSITION,292283.0,2rCbl9naJYhaxjLsfx88uM
3,2021-05-01,Chile,SAME_POSITION,284855.0,2dNhNlpZAtV4lwAFW45LIv
4,2021-05-01,Chile,SAME_POSITION,212223.0,2p2Q23iaaPSEa1tI6TsCVX
5,2021-05-01,Chile,SAME_POSITION,194029.0,1xK1Gg9SxG8fy2Ya373oqb
6,2021-05-01,Chile,SAME_POSITION,176335.0,2FSGUA0gFgGeQdprjtGM2M
7,2021-05-01,Chile,SAME_POSITION,170862.0,4MzXwWMhyBbmu6hOcLVD49
8,2021-05-01,Chile,SAME_POSITION,154274.0,6qraVL4IJaIj0IuEexYJNa
9,2021-05-01,Chile,SAME_POSITION,138124.0,2XIc1pqjXV3Cr2BQUGNBck
10,2021-05-01,Chile,SAME_POSITION,131617.0,2mM3gZ0BbPwPPMelbA8vgt
11,2021-05-01,Chile,MOVE_UP,128897.0,5YYW3yRktprLRr47WK219Y
12,2021-05-01,Chile,MOVE_DOWN,128232.0,3VvA1wSxukMLsvXoXtlwWx
13,2021-05-01,Chile,MOVE_UP,122906.0,1Ymx1Q7EXkxd7FwKypAQ6o
14,2021-05-01,Chile,MOVE_UP,115457.0,4loQgPwJHocL3dFwLfjb1J
15,2021-05-01,Chile,MOVE_DOWN,115339.0,079Ey5uxL04AKPQgVQwx5h
16,2021-05-01,Chile,MOVE_UP,115177.0,3ymRYcYHxXMmyvCaKcJ46k
17,2021-05-01,Chile,MOVE_DOWN,113255.0,2MnLkFqY9Rpg9s3Zv6ZJdK
18,2021-05-01,Chile,SAME_POSITION,108530.0,0VWLId2RwPCno9s1cJm2Vy
19,2021-05-01,Chile,MOVE_UP,106069.0,1C91EF0FrgTMat91LnsiUh
20,2021-05-01,Chile,SAME_POSITION,101056.0,5RubKOuDoPn5Kj5TLVxSxY
21,2021-05-01,Chile,MOVE_DOWN,97527.0,1mauYRwbpoGQX6itP2FAJC
22,2021-05-01,Chile,MOVE_UP,96667.0,68mrW6gXHgupgSiDHgaDi5
23,2021-05-01,Chile,MOVE_DOWN,95877.0,5VzNsUnLmYcRfRfxpQsusa
24,2021-05-01,Chile,MOVE_DOWN,94154.0,4iJyoBOLtHqaGxP12qzhQI
25,2021-05-01,Chile,MOVE_UP,89309.0,2bgcUk2A3jjKbCJ7KPquTi
26,2021-05-01,Chile,MOVE_UP,88650.0,4C6BlqqMwjFzOXzqpTeoWR
27,2021-05-01,Chile,MOVE_UP,87314.0,6tDDoYIxWvMLTdKpjFkc1B
28,2021-05-01,Chile,MOVE_DOWN,86776.0,6Et5KimMg3IXwD6lJPGmQw
29,2021-05-01,Chile,SAME_POSITION,83200.0,7MAibcTli4IisCtbHKrGMh
30,2021-05-01,Chile,MOVE_UP,82159.0,4PEfJZpVjdclfzZ9XO8uDw
31,2021-05-01,Chile,MOVE_DOWN,81663.0,5RAIMjdrCEjpjaR5tBATXU
32,2021-05-01,Chile,MOVE_UP,81482.0,1Crj1zkRMpsEjb9NOR6Zof
33,2021-05-01,Chile,SAME_POSITION,79531.0,4jOBQxq4Ffd8DDrsN4wPOR
34,2021-05-01,Chile,MOVE_DOWN,78965.0,3ymdUMzgylwrSfpxdlCUWV
35,2021-05-01,Chile,SAME_POSITION,77955.0,6RV9pRLIQiXm3qTGeyQluf
36,2021-05-01,Chile,SAME_POSITION,77443.0,2dl5K2ScW7jYhAhuem06cm
37,2021-05-01,Chile,SAME_POSITION,76257.0,5vQy9fwVJTeLsaX9IOpCcp
38,2021-05-01,Chile,SAME_POSITION,74163.0,5y7DaS3jAc9eZzcSOoUIwU
39,2021-05-01,Chile,SAME_POSITION,73342.0,09WuqcTbf8iMRn8W4N8xBX
40,2021-05-01,Chile,MOVE_UP,70840.0,7wWqLiOmDfjGTwrz95niTD
41,2021-05-01,Chile,MOVE_DOWN,70445.0,67BtfxlNbhBmCDR2L2l8qd
42,2021-05-01,Chile,MOVE_UP,69966.0,1WvrDdouh6C51In1SdATbq
43,2021-05-01,Chile,MOVE_UP,68872.0,5jzEwSyyymBlf1fa1o39T2
44,2021-05-01,Chile,MOVE_DOWN,67451.0,0VjIjW4GlUZAMYd2vXMi3b
45,2021-05-01,Chile,MOVE_UP,66657.0,3lCbsHaN1wCxyDzcNN2x4N
46,2021-05-01,Chile,MOVE_UP,65955.0,2L95U6syP0bV3fkYYOzmiW
47,2021-05-01,Chile,MOVE_DOWN,64629.0,478g4LSkyMB1PMkVOVmIaE
48,2021-05-01,Chile,MOVE_DOWN,57967.0,0EhpEsp4L0oRGM0vmeaN5e
49,2021-05-01,Chile,MOVE_UP,57098.0,33IHBjSXpamVSajAQ3wSER
50,2021-05-01,Chile,MOVE_DOWN,55443.0,22Sh5dlwbERqJAq1fZk5b2
51,2021-05-01,Chile,MOVE_UP,54211.0,1yoMvmasuxZfqHEipJhRbp
52,2021-05-01,Chile,MOVE_DOWN,53244.0,5nujrmhLynf4yMoMtj8AQF
53,2021-05-01,Chile,SAME_POSITION,51079.0,7LE1K0lZyRFZjSlrnm7lfD
54,2021-05-01,Chile,SAME_POSITION,50476.0,2tFwfmceQa1Y6nRPhYbEtC
55,2021-05-01,Chile,MOVE_UP,49888.0,4HYDUMY0xSpeBr0AMY9cUz
56,2021-05-01,Chile,MOVE_UP,49208.0,5ddFjrPG8NgQQ6xlOQIVd2
57,2021-05-01,Chile,MOVE_UP,47544.0,1UmZpd5navRsg2ukqCKJjc
58,2021-05-01,Chile,MOVE_UP,47012.0,21N4Buj4xsyLb218lYle61
59,2021-05-01,Chile,MOVE_DOWN,46232.0,15OjBeqNX3bShsGYQbteRv
60,2021-05-01,Chile,MOVE_DOWN,46206.0,3ke6it1vTmHtz2ApcIVUz5
61,2021-05-01,Chile,MOVE_DOWN,45684.0,7G1o084VGIPA5TAbUSgADQ
62,2021-05-01,Chile,MOVE_UP,45667.0,71R8HJxQk5qMiRstrlXN9t
63,2021-05-01,Chile,MOVE_UP,45257.0,26QApq0cuO9brJigr0C0W4
64,2021-05-01,Chile,MOVE_UP,45041.0,6exVzFtvqiO9zWqfT3Mn0M
65,2021-05-01,Chile,MOVE_DOWN,44813.0,7I8L3vYCLThw2FDrE6LuzE
66,2021-05-01,Chile,MOVE_DOWN,44354.0,1v1oIWf2Xgh54kIWuKsDf6
67,2021-05-01,Chile,MOVE_UP,43905.0,3Zf4GutWZ7Hv3wsVQsSQPs
68,2021-05-01,Chile,MOVE_UP,42461.0,33xXoj49p8LSUqIsRPxFOO
69,2021-05-01,Chile,MOVE_UP,42446.0,4RJz8NfIe09gpKMiRUWKhJ
70,2021-05-01,Chile,MOVE_DOWN,42348.0,37BZB0z9T8Xu7U3e65qxFy
71,2021-05-01,Chile,MOVE_DOWN,42216.0,5RmSunLqeDqNWww8LWhAiK
72,2021-05-01,Chile,MOVE_DOWN,41796.0,3PfIrDoz19wz7qK7tYeu62
73,2021-05-01,Chile,MOVE_DOWN,41775.0,2B4nQ6yvVVBMqfgOrYtubb
