rank,date,region,trend,streams,track_id
1,2018-10-01,Colombia,SAME_POSITION,59907.0,0NKoPGc72yUKTIneVhFfg1
2,2018-10-01,Colombia,SAME_POSITION,57721.0,48zFZh27QU5qsrBjn4C2FA
3,2018-10-01,Colombia,MOVE_UP,55921.0,4w8niZpiMy6qz1mntFA5uM
4,2018-10-01,Colombia,MOVE_DOWN,52265.0,5qFeMRz4TvetPmzjre9Dq7
5,2018-10-01,Colombia,SAME_POSITION,51784.0,7ATATJztoWLcqDAcVVof0C
6,2018-10-01,Colombia,SAME_POSITION,51755.0,3RD0PGolM0mETGHaprwgMn
7,2018-10-01,Colombia,MOVE_UP,48655.0,1DcxnVNFAyVl2sDQ646pXS
8,2018-10-01,Colombia,MOVE_DOWN,46429.0,7uQmJ1jgNzBpATSoWKSPFu
9,2018-10-01,Colombia,SAME_POSITION,42221.0,62o8KoI44JfN7aYxgTnPvh
10,2018-10-01,Colombia,MOVE_UP,41627.0,6q8Lb50EtqNeeJXXe8mMAH
11,2018-10-01,Colombia,MOVE_UP,39978.0,2XXMDz7SPZ4mSFN1PXfHUy
12,2018-10-01,Colombia,MOVE_DOWN,39567.0,3rPAD722s5FFNnwjC91t7Z
13,2018-10-01,Colombia,MOVE_DOWN,38625.0,0VKkyBKCXyR99navhVRqcP
14,2018-10-01,Colombia,SAME_POSITION,31980.0,6ipp8Dhs33KinlF4BStgca
15,2018-10-01,Colombia,SAME_POSITION,31373.0,2ijef6ni2amuunRoKTlgww
16,2018-10-01,Colombia,MOVE_UP,29585.0,6xAhkN7uE1qdhPa8jZwhTb
17,2018-10-01,Colombia,MOVE_UP,28448.0,7nD2JPaxIKUdxd2UWgnaGL
18,2018-10-01,Colombia,MOVE_UP,28216.0,2zDj4WjbNDmrRL6Z4YjjCA
19,2018-10-01,Colombia,MOVE_DOWN,28186.0,2alIsNw1mqEShbWyO1HXZZ
20,2018-10-01,Colombia,MOVE_UP,28144.0,1h9P5WJwyvK8OB7O2YiXgp
21,2018-10-01,Colombia,MOVE_DOWN,27334.0,2RVrdr062uLFxXwIxwdXPH
22,2018-10-01,Colombia,MOVE_DOWN,26695.0,0r9d60ZYPAlFHq8qnUtkXN
23,2018-10-01,Colombia,MOVE_DOWN,26443.0,3V8UKqhEK5zBkBb6d6ub8i
24,2018-10-01,Colombia,SAME_POSITION,24523.0,6VrBWh90BiwWmwKtvwWFcq
25,2018-10-01,Colombia,MOVE_UP,24453.0,6XBjCetHKdO5L9cwMDVffw
26,2018-10-01,Colombia,MOVE_UP,24222.0,6jA8JUuPCGYjFcgw0AoM5T
27,2018-10-01,Colombia,MOVE_DOWN,23988.0,58q2HKrzhC3ozto2nDdN4z
28,2018-10-01,Colombia,MOVE_UP,23022.0,1j6xOGusnyXq3l6IryKF3G
29,2018-10-01,Colombia,MOVE_UP,22993.0,2QmsKag0YaqhAbpR9Nwmpn
30,2018-10-01,Colombia,SAME_POSITION,22845.0,6rbhaJsE4uLzpPf8WYSHDK
31,2018-10-01,Colombia,SAME_POSITION,22529.0,33b2wX9d0kxqxhi7lcsC1A
32,2018-10-01,Colombia,MOVE_DOWN,22266.0,28O1p0bQXH2F6Qn8jBZZR4
33,2018-10-01,Colombia,MOVE_UP,21240.0,5bITfqKGaPakO1l99hOMsI
34,2018-10-01,Colombia,SAME_POSITION,21107.0,1nfyE13arjOuO54HH0zmqj
35,2018-10-01,Colombia,MOVE_UP,20958.0,7fa9MBXhVfQ8P8Df9OEbD8
36,2018-10-01,Colombia,MOVE_UP,20809.0,04cd1MHVq1D8v1nuTZoCdv
37,2018-10-01,Colombia,MOVE_DOWN,20773.0,7DrluKkTviBwCc8AV3VGmf
38,2018-10-01,Colombia,MOVE_DOWN,20633.0,50c90QkLEHoUknqxwUrPls
39,2018-10-01,Colombia,MOVE_DOWN,20443.0,17UUYZ290omPaJY4wKeyHh
40,2018-10-01,Colombia,MOVE_DOWN,20308.0,3IPJg1sdqLj12kFIndaonN
41,2018-10-01,Colombia,MOVE_DOWN,18901.0,6JjPBQfI2Y8nIjnm65X6Pw
42,2018-10-01,Colombia,MOVE_UP,18723.0,6WSAPEkvEfcEUgSTAo1D3S
43,2018-10-01,Colombia,SAME_POSITION,18240.0,2EzRdhuoPyNJDlep7lnNf2
44,2018-10-01,Colombia,MOVE_DOWN,18125.0,7glCSQqV5o6NU88Cn4zPZn
45,2018-10-01,Colombia,MOVE_DOWN,18103.0,38QmUDpkoYlNbMKvpvAsrE
46,2018-10-01,Colombia,SAME_POSITION,17755.0,2G7V7zsVDxg1yRsu7Ew9RJ
47,2018-10-01,Colombia,MOVE_UP,17742.0,6x5LBP3nYXVdIDoomChGr3
48,2018-10-01,Colombia,MOVE_DOWN,17393.0,0SaYeGhSXN0dDWstyNTQ56
49,2018-10-01,Colombia,MOVE_DOWN,17152.0,1juHIWqgFiDFAKuEBP24Lt
50,2018-10-01,Colombia,MOVE_DOWN,17009.0,3TnhQSRwT3AVMdXw5JPq0x
51,2018-10-01,Colombia,MOVE_DOWN,16573.0,1RvL7eHoeUolnQbWm2Hnba
52,2018-10-01,Colombia,MOVE_UP,13700.0,3tRtlS9YUyYqVgqO3iM4bW
53,2018-10-01,Colombia,MOVE_UP,13442.0,2wRkBumdItthjYP9XknImg
54,2018-10-01,Colombia,MOVE_UP,13388.0,5KgdtjmglXPjJNKvMvSjgo
55,2018-10-01,Colombia,MOVE_UP,12730.0,4HRDBtek0ayfLQ6uc7rjO9
56,2018-10-01,Colombia,SAME_POSITION,12636.0,2fKwgxMdLZ1IZPUXEG1Si7
57,2018-10-01,Colombia,MOVE_DOWN,12427.0,2yBWnRKj0Zx7AF1kufajvW
58,2018-10-01,Colombia,MOVE_UP,12048.0,4iCJFRTRsFlj4UWoEd7bS9
59,2018-10-01,Colombia,MOVE_UP,11999.0,7JnFZ24rWPKVxFZd1xw6dm
60,2018-10-01,Colombia,SAME_POSITION,11517.0,6SVEw266UzbkAKfCLeBPGy
61,2018-10-01,Colombia,MOVE_DOWN,11254.0,0JcNysfWVWaMS7R6vzGB2k
62,2018-10-01,Colombia,MOVE_DOWN,11162.0,6De0lHrwBfPfrhorm9q1Xl
63,2018-10-01,Colombia,MOVE_UP,11078.0,76cy1WJvNGJTj78UqeA5zr
64,2018-10-01,Colombia,MOVE_DOWN,10864.0,39N9RPD9MRb5WmoLzNzPeA
65,2018-10-01,Colombia,MOVE_UP,10839.0,1Cxd4ZJJ9VOQQpNcpdcZEQ
66,2018-10-01,Colombia,MOVE_DOWN,10749.0,5Y9fnynLlIvqtM710MHzfz
67,2018-10-01,Colombia,MOVE_UP,10731.0,5N5k9nd479b1xpDZ4usjrg
68,2018-10-01,Colombia,MOVE_UP,10651.0,6G6DiIkasBrTbARK74U7kv
69,2018-10-01,Colombia,MOVE_UP,10591.0,7ef4DlsgrMEH11cDZd32M6
70,2018-10-01,Colombia,MOVE_DOWN,10537.0,58smOywZbVu8AjWutppiQA
71,2018-10-01,Colombia,MOVE_DOWN,10536.0,7qiZfU4dY1lWllzX7mPBI3
72,2018-10-01,Colombia,MOVE_UP,10384.0,4hi9OTFKomNUlAIhp1fmap
73,2018-10-01,Colombia,MOVE_UP,10268.0,4S8d14HvHb70ImctNgVzQQ
74,2018-10-01,Colombia,MOVE_DOWN,10101.0,0MIcPSq9n2z5H8TAfEstri
75,2018-10-01,Colombia,MOVE_DOWN,10083.0,32lexhcz93AinKK0qLTZaZ
