rank,trend,streams,track_id
1,SAME_POSITION,88110.0,2ksOAxtIxY8yElEWw8RhgK
2,MOVE_UP,73964.0,1nocRtwyNPVtGcIJqfgdzZ
3,MOVE_DOWN,72785.0,0fea68AdmYNygeTGI4RC18
4,SAME_POSITION,71934.0,2TH65lNHgvLxCKXM3apjxI
5,SAME_POSITION,62858.0,4R8BJggjosTswLxtkw8V7P
6,SAME_POSITION,59004.0,25ZAibhr3bdlMCLmubZDVt
7,SAME_POSITION,49879.0,4bTZeO72FwMa6wKOiqoynL
8,SAME_POSITION,46482.0,2qMnZF5Ja2WvmfbblByQza
9,SAME_POSITION,45595.0,7KbF6AdprOXEEHlsq11Z6d
10,SAME_POSITION,43770.0,7BlBVFwvbWvcwNcUarQmjk
11,SAME_POSITION,41315.0,6K5BsR04ijf3FHNzjbaagD
12,SAME_POSITION,39246.0,3KekO5WUfJsh7kYU9o2w50
13,MOVE_UP,37985.0,6v3KW9xbzN5yKLt9YKDYA2
14,MOVE_DOWN,37152.0,3jbT1Y5MoPwEIpZndDDwVq
15,SAME_POSITION,35113.0,59s0s39NFWScuHDbHytI14
16,MOVE_UP,34733.0,2qG5sZ7Si6sdK74qLxedYM
17,MOVE_DOWN,34024.0,4lzxJ4jCuFDXXGkE1LmpKR
18,SAME_POSITION,32367.0,7anSoGdgtmJTAPZBzcPhO6
19,SAME_POSITION,32172.0,1Ej96GIBCTvgH7tNX1r3qr
20,MOVE_UP,29925.0,7fODjB7BrQTGqh0hogW6XD
21,MOVE_DOWN,29525.0,7pxL0DzPpCjjcdfQccvnus
22,MOVE_DOWN,29423.0,4kitLAHbmBBXYHt9g22md3
23,SAME_POSITION,29207.0,6osaMSJh9NguagEDQcZaKx
24,SAME_POSITION,28503.0,5jW3rF4URMdK7tO2xjS5EI
25,MOVE_UP,27385.0,56f5qnyAlZdlz8wrUDA50h
26,MOVE_UP,27139.0,684EjRHwNsZQ9hCQxL4NYL
27,SAME_POSITION,26962.0,6v0lAdFF4haL8xjBIUjtOw
28,MOVE_UP,26837.0,7g8YaUQABMal0zWe7a2ijz
29,MOVE_DOWN,26666.0,041Kcvnw8nOdq8xiRibPTG
30,MOVE_DOWN,26365.0,4fj7e6Tc48Bmomwyz2Z2XC
31,SAME_POSITION,25577.0,2EEmzqzM70CybVspgM7YRT
32,SAME_POSITION,25406.0,0UQwlF2pRkr1lMN6kNNUj3
33,SAME_POSITION,24048.0,7MRU4vOkywuhZ9kbFiPuiu
34,SAME_POSITION,23066.0,7BuSE9uTIw931wtZYzvZcQ
35,SAME_POSITION,22846.0,0tJCo71s7HT9Mu5Z4juuLw
36,SAME_POSITION,22708.0,059bcIhyc2SBwm6sw2AZzd
37,MOVE_UP,22031.0,5iwz1NiezX7WWjnCgY5TH4
38,MOVE_DOWN,21843.0,1kMUGCt7XLDc5Q64Vl0H8S
39,MOVE_DOWN,21694.0,5Qykmc6YTWMvZMmBcHUdMU
40,MOVE_UP,21041.0,4k9byIhs9ppbYWE22waJMB
41,MOVE_UP,21003.0,2vrpcQNg6itmgVZWsNjWe0
42,MOVE_DOWN,20815.0,0WpwK09agFbwEUaNrGnXoe
43,MOVE_DOWN,20516.0,3bDD7GGvIzAZeHz2TOYD3A
44,MOVE_UP,19884.0,5w9c2J52mkdntKOmRLeM2m
45,MOVE_DOWN,19837.0,1LIqNVhaIgxXUt2eVoIQJ3
46,MOVE_UP,18505.0,2ktoFujjJtantyMoVdBJlX
47,MOVE_UP,18458.0,6rXxAohZzTDsP5KT3IDFIU
48,MOVE_DOWN,18058.0,3dWpRjCmaHbroNahuSeX11
49,MOVE_DOWN,17910.0,4cccqGxzMZXzBrdNUKjnIl
50,SAME_POSITION,17855.0,5KbBGUpIZd6gVFUU8tqYiQ
51,SAME_POSITION,17527.0,7hynhxDoDpgMIV12JuVtNa
52,MOVE_UP,15702.0,132ALUzVLmqYB4UsBj5qD6
53,MOVE_DOWN,15644.0,5W83ErFkO3aKAIS1WMi6u0
54,MOVE_UP,14936.0,4Clmg1g8n2yBYG13Z1oSdG
55,SAME_POSITION,14849.0,3mN2DtljBhnrIpc3Nu2pJ8
56,MOVE_UP,14761.0,0r3VcnXA2bjXjFjRa8ittm
57,MOVE_DOWN,14597.0,54FoR5osiOJtVae7SCdSnq
58,MOVE_UP,13378.0,5qFeMRz4TvetPmzjre9Dq7
59,MOVE_DOWN,13301.0,3f5lA8nnc4YYF1qf78WpHw
60,SAME_POSITION,13206.0,2Fxmhks0bxGSBdJ92vM42m
61,MOVE_UP,12347.0,7IpRYJ71dk98P0SmgnNLYh
62,MOVE_UP,11888.0,0jeS8PyyIRAG0A3t5DtL71
63,SAME_POSITION,11802.0,1LiN0Z98FkR1t0m8KmLcAH
64,MOVE_UP,11504.0,4EKZsrsCKyqr64FBHLc0DU
65,MOVE_UP,11480.0,7nA81Ek0kuTkwXOyt4UgFN
66,MOVE_DOWN,11385.0,3TqLIW3qd4qFYkfYsBjVN6
67,MOVE_DOWN,11318.0,4o7sjNZ3EtL7b8CDalIAlo
68,SAME_POSITION,11228.0,00Ia46AgCNfnXjzgH8PIKH
69,MOVE_DOWN,11100.0,71pEiUWwfDFiRO6RmFpnBf
70,MOVE_DOWN,11027.0,7mWFF4gPADjTQjC97CgFVt
71,MOVE_UP,10986.0,0hVXuCcriWRGvwMV1r5Yn9
72,MOVE_UP,10828.0,4zAmejUNIsPCWsj5t1lGo4
73,MOVE_UP,10805.0,1dcPvuDlIyEZSCtYXtZlMm
74,MOVE_UP,10788.0,6qoIFQfdmaQF9A1gb67tR7
75,MOVE_UP,10787.0,1mlGScrDQqHqmhdIqE8MmA
76,MOVE_DOWN,10770.0,1j6xOGusnyXq3l6IryKF3G
77,MOVE_UP,10762.0,116H0KvKr2Zl4RPuVBruDO
78,MOVE_DOWN,10579.0,0VKkyBKCXyR99navhVRqcP
79,MOVE_DOWN,10560.0,37eGbhE1xVFSvcKkqGb6i1
80,MOVE_UP,10552.0,2YpeDb67231RjR0MgVLzsG
81,MOVE_DOWN,10541.0,23CsjGOYDQiJpX44BSn9TM
82,MOVE_DOWN,10458.0,7vFmnmcsp41uzBUiw1zxfw
83,MOVE_UP,10376.0,0KHhNlHN5lWn7q332PiPys
84,MOVE_UP,10309.0,7uQmJ1jgNzBpATSoWKSPFu
85,MOVE_DOWN,10290.0,63LC0DlzmPd9TOYON8blfc
86,MOVE_DOWN,10247.0,7lR4UmEDJ1ngczVX2NiNi4
87,MOVE_DOWN,10130.0,2zufEOvbBeIzYnRktwYk1W
88,MOVE_UP,10093.0,48zFZh27QU5qsrBjn4C2FA
89,MOVE_DOWN,10090.0,2B94bbI1a4LyBpK1439oP7
90,MOVE_UP,10007.0,7hbk4BaF66O09R1gq0bKwj
91,MOVE_UP,9840.0,6xAhkN7uE1qdhPa8jZwhTb
92,MOVE_DOWN,9754.0,7BuHdm4lQqcyG3qTwdkxus
93,MOVE_DOWN,9726.0,6b2RcmUt1g9N9mQ3CbjX2Y
94,MOVE_UP,9723.0,71iAechwVKGu26pahzFL0k
95,MOVE_DOWN,9683.0,32lexhcz93AinKK0qLTZaZ
96,MOVE_DOWN,9668.0,4u7EnebtmKWzUH433cf5Qv
97,MOVE_UP,9664.0,49dwc91esnpPYpVNPS01bX
98,MOVE_UP,9599.0,6ifUES3keWjwXgae8pXI3o
99,MOVE_DOWN,9558.0,0JcNysfWVWaMS7R6vzGB2k
100,MOVE_DOWN,9556.0,5qN1G8fSHq4Sv5FRoOkNGu
101,MOVE_UP,9462.0,0pqnGHJpmpxLKifKRmU6WP
102,MOVE_UP,9421.0,7qiZfU4dY1lWllzX7mPBI3
103,MOVE_DOWN,9350.0,703iVQrfbQsXt7Uzgy1h8k
104,MOVE_DOWN,9347.0,04cd1MHVq1D8v1nuTZoCdv
105,MOVE_DOWN,9189.0,1ndlOUUT3Eq1SDCSdKJASw
106,MOVE_DOWN,9115.0,3nymR2pRbiDq89qS2osIVX
107,MOVE_UP,9060.0,2V4hc5gplg7EXlrRUvD4rp
108,MOVE_DOWN,8941.0,6MJUCumnQsQEKbCy28tbCP
109,MOVE_UP,8861.0,7DhYjNLksXZhbRQeheAums
110,MOVE_UP,8791.0,6ipp8Dhs33KinlF4BStgca
111,MOVE_DOWN,8781.0,51uLQESb4VnYAbs5WtGxho
112,MOVE_DOWN,8780.0,53uKGbcMjEc2gIWbfmvpdS
113,MOVE_DOWN,8756.0,2IA8cFA46DkjgbsRG7kKbp
114,MOVE_DOWN,8736.0,1GBLO0NFODuL31A5fgw0uR
115,MOVE_DOWN,8696.0,2D3z17LBMJ2HEHeBFFjTLi
116,MOVE_UP,8616.0,2YRvdf9cdS88y1wB1WhKoE
117,MOVE_DOWN,8527.0,0uIfrUwwg0Z7KTitul7E3T
118,MOVE_DOWN,8522.0,3QwBODjSEzelZyVjxPOHdq
119,MOVE_UP,8396.0,2in1gSZtv2lRbcZUmN9aAl
120,MOVE_DOWN,8231.0,6SYSu569pfYdkDT9A5lZqi
121,SAME_POSITION,8161.0,7q3NthaBqFI6s0WnAlnIvq
122,MOVE_UP,8140.0,3IPJg1sdqLj12kFIndaonN
123,MOVE_UP,8053.0,2XXMDz7SPZ4mSFN1PXfHUy
124,MOVE_UP,8027.0,2LsbizbOeNa4x6qsi2jAMb
125,SAME_POSITION,7998.0,7gL0eIncXB5ELO8BFMR3Uv
126,MOVE_DOWN,7933.0,1ScD7XQYCKmJ3fdNh71lUE
127,MOVE_DOWN,7903.0,6pK5edDoyrn4mWwRSVc2a5
