rank,date,region,trend,streams,track_id
1,2018-03-01,Costa Rica,SAME_POSITION,37759.0,3ITvHA9zhZZdBJsOsAUegF
2,2018-03-01,Costa Rica,SAME_POSITION,25816.0,2j2fIJGh4PMdXt9ULI5Tlc
3,2018-03-01,Costa Rica,SAME_POSITION,24123.0,5Y9fnynLlIvqtM710MHzfz
4,2018-03-01,Costa Rica,SAME_POSITION,23966.0,33bnxcjePIkcmNjEFTJX0l
5,2018-03-01,Costa Rica,SAME_POSITION,21059.0,0MIcPSq9n2z5H8TAfEstri
6,2018-03-01,Costa Rica,SAME_POSITION,18939.0,5hcisvFMidkMJlElTO9Qmw
7,2018-03-01,Costa Rica,SAME_POSITION,17813.0,6Za3190Sbw39BBC77WSS1C
8,2018-03-01,Costa Rica,SAME_POSITION,17368.0,1m69ELEgE6k5ZWsap40ozt
9,2018-03-01,Costa Rica,SAME_POSITION,16681.0,2XW4DbS6NddZxRPm5rMCeY
10,2018-03-01,Costa Rica,SAME_POSITION,15987.0,2m2ZGfJcs3lHWNPzhWH3XH
11,2018-03-01,Costa Rica,SAME_POSITION,15221.0,4lESS6vuruP6a79KWRaQou
12,2018-03-01,Costa Rica,MOVE_UP,14894.0,6jA8JUuPCGYjFcgw0AoM5T
13,2018-03-01,Costa Rica,MOVE_DOWN,14757.0,2EzRdhuoPyNJDlep7lnNf2
14,2018-03-01,Costa Rica,MOVE_DOWN,14598.0,3Ga6eKrUFf12ouh9Yw3v2D
15,2018-03-01,Costa Rica,SAME_POSITION,14093.0,7rwX0O3RlxqqIjQM8evm5E
16,2018-03-01,Costa Rica,SAME_POSITION,12590.0,1zsG4eaZmkA1dvjDDsAGLK
17,2018-03-01,Costa Rica,SAME_POSITION,12534.0,7ofxPmTNMj2GP07g1VZa0O
18,2018-03-01,Costa Rica,SAME_POSITION,11707.0,2U7Hu2RaNQNRi7izoJyZaX
19,2018-03-01,Costa Rica,SAME_POSITION,11284.0,5EId1m4DNwTf3at31w8bPJ
20,2018-03-01,Costa Rica,SAME_POSITION,11196.0,1nfyE13arjOuO54HH0zmqj
21,2018-03-01,Costa Rica,SAME_POSITION,11106.0,6De0lHrwBfPfrhorm9q1Xl
22,2018-03-01,Costa Rica,SAME_POSITION,10635.0,4R55IUi2x7S5ek2SpebOiE
23,2018-03-01,Costa Rica,SAME_POSITION,10294.0,1KSqYYJFyfTecXFk9M0prc
24,2018-03-01,Costa Rica,SAME_POSITION,10204.0,6wos8Ds5FKMe33GjBHRake
25,2018-03-01,Costa Rica,MOVE_UP,9921.0,0lJCqIx5BhZtf6QtYI2fbv
26,2018-03-01,Costa Rica,MOVE_UP,9895.0,0ERbK7qVqveCaBWIiYCrl3
27,2018-03-01,Costa Rica,MOVE_UP,9826.0,0tgVpDi06FyKpA1z0VMD4v
28,2018-03-01,Costa Rica,MOVE_DOWN,9785.0,76cy1WJvNGJTj78UqeA5zr
29,2018-03-01,Costa Rica,SAME_POSITION,9693.0,5ojXuKXBYq0apcNucYSDXq
30,2018-03-01,Costa Rica,MOVE_DOWN,9629.0,6tHWl8ows5JOZq9Yfaqn3M
31,2018-03-01,Costa Rica,SAME_POSITION,9576.0,5TysCiZtv1HnSWcTcUFusI
32,2018-03-01,Costa Rica,MOVE_UP,9559.0,6m2LNopVJKsvBB9l7Z1rwn
33,2018-03-01,Costa Rica,MOVE_DOWN,9520.0,0JcNysfWVWaMS7R6vzGB2k
34,2018-03-01,Costa Rica,SAME_POSITION,9364.0,7qiZfU4dY1lWllzX7mPBI3
35,2018-03-01,Costa Rica,SAME_POSITION,9282.0,7MHN1aCFtLXjownGhvEQlF
36,2018-03-01,Costa Rica,SAME_POSITION,8892.0,7uYgVgRSgqluZclLS7wpp4
37,2018-03-01,Costa Rica,MOVE_UP,8848.0,2ekn2ttSfGqwhhate0LSR0
38,2018-03-01,Costa Rica,SAME_POSITION,8807.0,4zWO4gvuFtw6EJZC5FFGlr
39,2018-03-01,Costa Rica,MOVE_DOWN,8775.0,1rfofaqEpACxVEHIZBJe6W
40,2018-03-01,Costa Rica,SAME_POSITION,8614.0,3VClLWqNn80Llv0PJOsKgr
41,2018-03-01,Costa Rica,MOVE_UP,8381.0,5TmZYdHW6HJ9gt7Aokuql5
42,2018-03-01,Costa Rica,MOVE_DOWN,8231.0,3GCdLUSnKSMJhs4Tj6CV3s
43,2018-03-01,Costa Rica,MOVE_UP,8176.0,2vvdTrdryjsl8DmPIMDWZU
44,2018-03-01,Costa Rica,MOVE_UP,8104.0,22eADXu8DfOAUEDw4vU8qy
45,2018-03-01,Costa Rica,MOVE_UP,8056.0,7JNh1cfm0eXjqFVOzKLyau
46,2018-03-01,Costa Rica,MOVE_DOWN,7873.0,65NwOZqoXny4JxqAPlfxRF
47,2018-03-01,Costa Rica,SAME_POSITION,7706.0,6MNGxu8MprKGkchUchkJsy
48,2018-03-01,Costa Rica,SAME_POSITION,7476.0,3xWEI23MLJrD0dpDcDUTW6
49,2018-03-01,Costa Rica,SAME_POSITION,7373.0,5zSOVwaY3sVjnmLhuEfsuf
50,2018-03-01,Costa Rica,SAME_POSITION,7193.0,6ElmxV9B2mSNscEjP27M7i
51,2018-03-01,Costa Rica,SAME_POSITION,6831.0,2iCOdoyDmWG3hWkbtH1KB2
52,2018-03-01,Costa Rica,SAME_POSITION,6263.0,1LszjjoVwDDZcWUQbzeDLG
53,2018-03-01,Costa Rica,SAME_POSITION,6015.0,2rb5MvYT7ZIxbKW5hfcHx8
54,2018-03-01,Costa Rica,MOVE_UP,5858.0,693iqPOQvhI7PobtR8CC8v
55,2018-03-01,Costa Rica,MOVE_DOWN,5843.0,1mXVgsBdtIVeCLJnSnmtdV
56,2018-03-01,Costa Rica,MOVE_UP,5572.0,3QwBODjSEzelZyVjxPOHdq
57,2018-03-01,Costa Rica,MOVE_UP,5525.0,4N1c5rmWOzRmB9SMacr5wB
58,2018-03-01,Costa Rica,SAME_POSITION,5506.0,0qYTZCo5Bwh1nsUFGZP3zn
59,2018-03-01,Costa Rica,MOVE_UP,5461.0,2FrnTVSHjgnEylKGdHRUK1
60,2018-03-01,Costa Rica,MOVE_DOWN,5380.0,0yyZN5ASdrYu0XYWFzfxUu
61,2018-03-01,Costa Rica,MOVE_UP,5371.0,49VSioK272TASR4r9vRTuP
