rank,trend,streams,track_id
1,SAME_POSITION,18391.0,14msK75pk3pA33pzPVNtBF
2,MOVE_UP,18099.0,4NzMOnvSJVNKF7nw5NkXIP
3,MOVE_DOWN,14805.0,25sgk305KZfyuqVBQIahim
4,SAME_POSITION,14240.0,1rqqCSm0Qe4I9rUvWncaom
5,SAME_POSITION,13353.0,2VxeLyX666F8uXCJ0dZF8B
6,SAME_POSITION,12905.0,7tFiyTwD0nx5a1eklYtX2J
7,SAME_POSITION,12110.0,5p7ujcrUXASCNwRaWNHR1C
8,SAME_POSITION,11286.0,6MWtB6iiXyIwun0YzU6DFP
9,SAME_POSITION,10826.0,2RSHsoi04658QL5xgQVov3
10,SAME_POSITION,10602.0,3KkXRkHbMCARz0aVfEt68P
11,SAME_POSITION,10228.0,0E9ZjEAyAwOXZ7wJC0PD33
12,MOVE_UP,9878.0,4BiiOzZCrXEzHRLYcYFiD5
13,SAME_POSITION,9778.0,2dpaYNEQHiRxtZbfNsse99
14,MOVE_UP,9243.0,6Qs4SXO9dwPj5GKvVOv8Ki
15,MOVE_UP,8933.0,5itOtNx0WxtJmi1TQ3RuRd
16,MOVE_DOWN,8640.0,27rdGxbavYJeBphck5MZAF
17,MOVE_DOWN,8593.0,0rKoRleUmhuf07uC9k79oC
18,MOVE_DOWN,8554.0,5vdp5UmvTsnMEMESIF2Ym7
19,MOVE_UP,7983.0,5JEx7HbmvHQQswJCsoo9rA
20,MOVE_DOWN,7759.0,2FY7b99s15jUprqC0M5NCT
21,MOVE_UP,7464.0,2qxmye6gAegTMjLKEBoR3d
22,MOVE_DOWN,7372.0,1HURVedroTlzswJbtfbVEh
23,MOVE_UP,7162.0,7COXchtUOMd6uIT6HvmRaI
24,MOVE_DOWN,7084.0,3EPXxR3ImUwfayaurPi3cm
25,MOVE_UP,6984.0,5T8EDUDqKcs6OSOwEsfqG7
26,MOVE_DOWN,6958.0,2fuCquhmrzHpu5xcA1ci9x
27,MOVE_DOWN,6949.0,2rPE9A1vEgShuZxxzR2tZH
28,MOVE_DOWN,6925.0,14JzyD6FlBD5z0wV5P07YI
29,MOVE_UP,6796.0,2JvzF1RMd7lE3KmFlsyZD8
30,MOVE_DOWN,6788.0,1zB4vmk8tFRmM9UULNzbLB
31,MOVE_DOWN,6699.0,2BgEsaKNfHUdlh97KmvFyo
32,MOVE_UP,6504.0,0pqnGHJpmpxLKifKRmU6WP
33,MOVE_DOWN,6383.0,7dt6x5M1jzdTEt8oCbisTK
34,MOVE_UP,6280.0,4rDbp1vnvEhieiccprPMdI
35,MOVE_UP,6204.0,3NuK5xMlSlB6K2Qp16zf3h
36,NEW_ENTRY,6186.0,2v5JTeM6hSmi5wWy7jiwrI
37,NEW_ENTRY,6001.0,1pfgsjmxVZhoZpeDx6POKv
38,SAME_POSITION,5925.0,4pbJqGIASGPr0ZpGpnWkDn
39,MOVE_DOWN,5919.0,7FGq80cy8juXBCD2nrqdWU
40,MOVE_DOWN,5850.0,5kfNriitmkNE8mUbZ7gbq8
41,MOVE_UP,5776.0,3KLygy1YWhmrQx0GRs7IOx
42,NEW_ENTRY,5699.0,0SfG57HqtBNqKN9O27fo1s
43,MOVE_UP,5592.0,4w8niZpiMy6qz1mntFA5uM
44,MOVE_DOWN,5521.0,7fa9MBXhVfQ8P8Df9OEbD8
45,MOVE_DOWN,5512.0,5dFtjSzgXl2u4MM6aWe2mh
46,MOVE_DOWN,5503.0,20ZP3Om9DvDazXrNUC7WM2
47,MOVE_DOWN,5489.0,0e7ipj03S05BNilyu5bRzt
48,MOVE_DOWN,5341.0,7GqWnsKhMtEW0nzki5o0d8
49,SAME_POSITION,5311.0,7nLZ336nDC44S0CCXcCBJm
50,MOVE_UP,5292.0,3Ol2xnObFdKV9pmRD2t9x8
51,MOVE_DOWN,5273.0,3ee8Jmje8o58CHK66QrVC2
52,MOVE_UP,5264.0,5N5k9nd479b1xpDZ4usjrg
53,MOVE_DOWN,5249.0,7qiZfU4dY1lWllzX7mPBI3
54,NEW_ENTRY,5203.0,5A6STkqg4HlSDuIvLctMC1
55,MOVE_DOWN,5178.0,7Kk3JdKFFQv1YN2hluyx1J
56,MOVE_DOWN,5000.0,0hUXtIe04neSwQVr0Sn41J
57,MOVE_DOWN,4913.0,5600nq7TiBraBX2jobyJ3l
58,MOVE_UP,4854.0,14sOS5L36385FJ3OL8hew4
59,MOVE_DOWN,4724.0,2iUXsYOEPhVqEBwsqP70rE
60,MOVE_UP,4688.0,1NJcg626wLln4pGHpiV7mf
61,MOVE_DOWN,4681.0,2rbDhOo9Fh61Bbu23T2qCk
62,MOVE_UP,4666.0,5Fla3zyOCcIRqrDoKLU0DP
63,MOVE_DOWN,4628.0,6SRWhUJcD2YKahCwHavz3X
64,MOVE_UP,4549.0,76cy1WJvNGJTj78UqeA5zr
65,MOVE_DOWN,4547.0,0kHyKhJMukHEPfeh8s7rdM
66,MOVE_UP,4505.0,0tp6mwUt99QnfY95T30Lqj
67,MOVE_UP,4488.0,7wFybC8jBH3zE139OpCtpG
68,MOVE_DOWN,4483.0,2PWcF0vZyCZNuX53BoMAUo
69,MOVE_DOWN,4452.0,2xLMifQCjDGFmkHkpNLD9h
70,MOVE_UP,4451.0,08bNPGLD8AhKpnnERrAc6G
71,MOVE_DOWN,4435.0,6Pgkp4qUoTmJIPn7ReaGxL
72,MOVE_DOWN,4408.0,6h5PAsRni4IRlxWr6uDPTP
73,MOVE_UP,4406.0,09IStsImFySgyp0pIQdqAc
74,MOVE_UP,4404.0,7K7MUBCnzgBAvMVW2RTWNs
75,MOVE_DOWN,4382.0,2TIlqbIneP0ZY1O0EzYLlc
76,MOVE_UP,4335.0,7e4KQkp5ZR1gXCAalRjX6B
77,MOVE_DOWN,4316.0,4hQ6UGyWQIGJmHSo0J88JW
78,MOVE_DOWN,4226.0,2qT1uLXPVPzGgFOx4jtEuo
79,MOVE_DOWN,4208.0,2P91MQbaiQOfbiz9VqhqKQ
80,MOVE_UP,4179.0,4kWO6O1BUXcZmaxitpVUwp
81,MOVE_DOWN,4115.0,4ofwffwvvnbSkrMSCKQDaC
82,MOVE_DOWN,4095.0,1rfofaqEpACxVEHIZBJe6W
83,MOVE_DOWN,4053.0,0JP9xo3adEtGSdUEISiszL
84,SAME_POSITION,4042.0,6Qn5zhYkTa37e91HC1D7lb
85,MOVE_UP,4011.0,1rCcsYnmqbMYdkG7kS9GC5
86,MOVE_UP,4000.0,0twbASvGKPDvbWviKZcpyy
87,MOVE_DOWN,3993.0,7ef4DlsgrMEH11cDZd32M6
88,MOVE_UP,3979.0,7t2zn6Wl0SVnMOdtZlf8qS
89,MOVE_DOWN,3907.0,2SL6oP2YAEQbqsrkOzRGO4
90,MOVE_DOWN,3891.0,4NBTZtAt1F13VvlSKe6KTl
91,MOVE_DOWN,3878.0,0FZ4Dmg8jJJAPJnvBIzD9z
92,MOVE_DOWN,3873.0,63SevszngYpZOwf63o61K4
93,MOVE_DOWN,3871.0,4jvjzW7Hm0yK4LvvE0Paz9
94,NEW_ENTRY,3862.0,2VBYFWgwIlJjyzidPTHQqp
95,MOVE_DOWN,3858.0,2IRZnDFmlqMuOrYOLnZZyc
96,MOVE_UP,3847.0,0tBbt8CrmxbjRP0pueQkyU
97,MOVE_DOWN,3826.0,6RUKPb4LETWmmr3iAEQktW
98,MOVE_DOWN,3819.0,2bzitsPcImYC6DZWvvLCQi
99,MOVE_DOWN,3801.0,5n6RDaGFSN88oRWuGtYAIN
100,MOVE_DOWN,3796.0,23OXdR7YuUBVWh5hSnYJau
101,MOVE_UP,3791.0,5tAa8Uaqr4VvA3693mbIhU
102,SAME_POSITION,3732.0,0tgVpDi06FyKpA1z0VMD4v
103,MOVE_UP,3708.0,1HvCFAUIWQsWV9zud3UhDl
104,MOVE_DOWN,3691.0,2G1tXoGBaEMJ7FKGnkf6ud
105,MOVE_UP,3647.0,6GzApXoBQiiAjak3tOQfV3
