rank,date,region,trend,streams,track_id
1,2019-07-01,Czech Republic,SAME_POSITION,32843.0,0TK2YIli7K1leLovkQiNik
2,2019-07-01,Czech Republic,SAME_POSITION,20023.0,4evmHXcjt3bTUHD1cvny97
3,2019-07-01,Czech Republic,SAME_POSITION,18774.0,2687fXBlOk6u6fiwLJ4E1l
4,2019-07-01,Czech Republic,SAME_POSITION,18505.0,2Fxmhks0bxGSBdJ92vM42m
5,2019-07-01,Czech Republic,SAME_POSITION,17311.0,3HVWdVOQ0ZA45FuZGSfvns
6,2019-07-01,Czech Republic,SAME_POSITION,16080.0,6u7jPi22kF8CTQ3rb9DHE7
7,2019-07-01,Czech Republic,SAME_POSITION,15215.0,7Feaw9WAEREY0DUOSXJLOM
8,2019-07-01,Czech Republic,SAME_POSITION,12022.0,7qEHsqek33rTcFNT9PFqLf
9,2019-07-01,Czech Republic,SAME_POSITION,11232.0,1DFD5Fotzgn6yYXkYsKiGs
10,2019-07-01,Czech Republic,SAME_POSITION,10688.0,6LsAAHotRLMOHfCsSfYCsz
11,2019-07-01,Czech Republic,MOVE_UP,10318.0,05CwHjIk71RXVU40boRMnR
12,2019-07-01,Czech Republic,MOVE_UP,10263.0,0mjAU3yKR1QnXnHtjGJqTM
13,2019-07-01,Czech Republic,MOVE_UP,10227.0,29fRTIKsJhLUJoldM89GZS
14,2019-07-01,Czech Republic,MOVE_DOWN,10054.0,53CJANUxooaqGOtdsBTh7O
15,2019-07-01,Czech Republic,MOVE_DOWN,9636.0,4vBojZr6fY5VTYJG64UNxL
16,2019-07-01,Czech Republic,MOVE_UP,9482.0,6fTt0CH2t0mdeB2N9XFG5r
17,2019-07-01,Czech Republic,MOVE_UP,9197.0,5PYQUBXc7NYeI1obMKSJK0
18,2019-07-01,Czech Republic,MOVE_DOWN,9164.0,2x0RZdkZcD8QRI53XT4GI5
19,2019-07-01,Czech Republic,MOVE_UP,9096.0,6oJ6le65B3SEqPwMRNXWjY
20,2019-07-01,Czech Republic,MOVE_UP,9059.0,4hPpVbbakQNv8YTHYaOJP4
21,2019-07-01,Czech Republic,MOVE_DOWN,8729.0,1rqqCSm0Qe4I9rUvWncaom
22,2019-07-01,Czech Republic,MOVE_UP,8131.0,22vgEDb5hykfaTwLuskFGD
23,2019-07-01,Czech Republic,MOVE_DOWN,7984.0,1fFIknTF8kfYEHNqcs46Yv
24,2019-07-01,Czech Republic,MOVE_DOWN,7812.0,3KkXRkHbMCARz0aVfEt68P
25,2019-07-01,Czech Republic,MOVE_UP,7751.0,0vrmHPfoBadXVr2n0m1aqZ
26,2019-07-01,Czech Republic,MOVE_UP,7709.0,0DiDStADDVh3SvAsoJAFMk
27,2019-07-01,Czech Republic,MOVE_DOWN,7615.0,4fUCTv421fKbSRFKuPi6ge
28,2019-07-01,Czech Republic,MOVE_DOWN,7573.0,2VxeLyX666F8uXCJ0dZF8B
29,2019-07-01,Czech Republic,MOVE_UP,7543.0,543bCW2ruMPmxUBWirQ3MR
30,2019-07-01,Czech Republic,MOVE_DOWN,7367.0,25sgk305KZfyuqVBQIahim
31,2019-07-01,Czech Republic,MOVE_UP,7334.0,49yeFC92MyOcVU8tiit4wj
32,2019-07-01,Czech Republic,MOVE_DOWN,7284.0,6Fn9OVLZ9iGRS6SLsrFemT
33,2019-07-01,Czech Republic,MOVE_UP,7284.0,5ry2OE6R2zPQFDO85XkgRb
34,2019-07-01,Czech Republic,SAME_POSITION,7161.0,0yPHAfN6d4Id9dsUeuWhJm
35,2019-07-01,Czech Republic,MOVE_UP,7151.0,56JyMaElW79S7TDWh1Zw1m
36,2019-07-01,Czech Republic,SAME_POSITION,7136.0,5w9c2J52mkdntKOmRLeM2m
37,2019-07-01,Czech Republic,MOVE_DOWN,7106.0,6MlldqBpDJty0FAqJOi8EY
38,2019-07-01,Czech Republic,MOVE_UP,7005.0,02itaCXOdC54J0ISjqqFAp
39,2019-07-01,Czech Republic,SAME_POSITION,6931.0,2dpaYNEQHiRxtZbfNsse99
40,2019-07-01,Czech Republic,MOVE_DOWN,6905.0,0E9ZjEAyAwOXZ7wJC0PD33
41,2019-07-01,Czech Republic,MOVE_DOWN,6602.0,2RSHsoi04658QL5xgQVov3
42,2019-07-01,Czech Republic,MOVE_UP,6482.0,4s4LctENLwJP4ceVDO9BKm
43,2019-07-01,Czech Republic,MOVE_UP,6373.0,4ak7xjvBeBOcJGWFDX9w5n
44,2019-07-01,Czech Republic,MOVE_DOWN,6311.0,3i8Slo4ikWN7k7536CUmez
45,2019-07-01,Czech Republic,MOVE_DOWN,6258.0,53babpnCbhRGyme9RPksyf
46,2019-07-01,Czech Republic,MOVE_UP,6081.0,5WHTFyqSii0lmT9R21abT8
47,2019-07-01,Czech Republic,MOVE_DOWN,6027.0,1HURVedroTlzswJbtfbVEh
48,2019-07-01,Czech Republic,MOVE_UP,5835.0,4cw4WeKnAjs3kSIje6T7cU
49,2019-07-01,Czech Republic,MOVE_UP,5824.0,3M9Apu4OZfylLTFKvgEtKa
50,2019-07-01,Czech Republic,MOVE_UP,5811.0,4MsUsFfWseB9M2plGJyuIw
51,2019-07-01,Czech Republic,MOVE_UP,5671.0,0qc4QlcCxVTGyShurEv1UU
52,2019-07-01,Czech Republic,MOVE_DOWN,5633.0,6xqAPowxSYTj0wtqe5H1YM
53,2019-07-01,Czech Republic,MOVE_DOWN,5571.0,4u7EnebtmKWzUH433cf5Qv
54,2019-07-01,Czech Republic,SAME_POSITION,5462.0,7qiZfU4dY1lWllzX7mPBI3
55,2019-07-01,Czech Republic,SAME_POSITION,5268.0,2qxmye6gAegTMjLKEBoR3d
56,2019-07-01,Czech Republic,MOVE_UP,5129.0,2WyRfGeHo97VC5mP1BBSzr
57,2019-07-01,Czech Republic,MOVE_UP,5120.0,7Kk3JdKFFQv1YN2hluyx1J
58,2019-07-01,Czech Republic,MOVE_DOWN,5089.0,6MWtB6iiXyIwun0YzU6DFP
59,2019-07-01,Czech Republic,MOVE_DOWN,5088.0,0twbASvGKPDvbWviKZcpyy
60,2019-07-01,Czech Republic,MOVE_UP,5087.0,7ILEWkpfdK6AjH2D7jppWk
61,2019-07-01,Czech Republic,MOVE_UP,5003.0,7J8p1kX23GFJQpPT7fagWu
62,2019-07-01,Czech Republic,MOVE_DOWN,4982.0,0uUNN1nSoUx1A4fkDCWDQ7
63,2019-07-01,Czech Republic,MOVE_DOWN,4919.0,0pqnGHJpmpxLKifKRmU6WP
64,2019-07-01,Czech Republic,MOVE_DOWN,4856.0,6CwxALXdP7YQCLQpAkJvP6
65,2019-07-01,Czech Republic,MOVE_DOWN,4760.0,4oKCcNEyYAURy8mnQhuUb0
66,2019-07-01,Czech Republic,MOVE_UP,4748.0,4NSW0Km5ZG60L8FthUebPJ
67,2019-07-01,Czech Republic,MOVE_DOWN,4731.0,1zB4vmk8tFRmM9UULNzbLB
68,2019-07-01,Czech Republic,SAME_POSITION,4717.0,2FY7b99s15jUprqC0M5NCT
69,2019-07-01,Czech Republic,MOVE_UP,4607.0,2BgEsaKNfHUdlh97KmvFyo
70,2019-07-01,Czech Republic,MOVE_DOWN,4602.0,5itOtNx0WxtJmi1TQ3RuRd
71,2019-07-01,Czech Republic,MOVE_UP,4555.0,2iUXsYOEPhVqEBwsqP70rE
72,2019-07-01,Czech Republic,MOVE_DOWN,4529.0,6ocbgoVGwYJhOv1GgI9NsF
73,2019-07-01,Czech Republic,MOVE_UP,4487.0,1f38Gx6xQz6r4H1jGVNBJo
