rank,date,region,trend,streams,track_id
1,2021-10-01,Denmark,MOVE_UP,98164.0,56Ua2ypj5HWnotoIF3lEHc
2,2021-10-01,Denmark,MOVE_UP,91909.0,2GajeoOS17ifAmYX8xxPZw
3,2021-10-01,Denmark,MOVE_DOWN,89687.0,75MNhvTCCKsST3YqqUiU9r
4,2021-10-01,Denmark,MOVE_DOWN,86941.0,5PjdY0CKGZdEuoNab3yDmX
5,2021-10-01,Denmark,SAME_POSITION,78791.0,6PQ88X9TkUIAUIZJHW2upE
6,2021-10-01,Denmark,MOVE_UP,64161.0,6zSpb8dQRaw0M1dK8PBwQz
7,2021-10-01,Denmark,MOVE_DOWN,59032.0,5Z9KJZvQzH6PFmb8SNkxuk
8,2021-10-01,Denmark,SAME_POSITION,57043.0,6UZRfqrDFYr4OfcHBXnWd0
9,2021-10-01,Denmark,SAME_POSITION,53314.0,0e8nrvls4Qqv5Rfa2UhqmO
10,2021-10-01,Denmark,SAME_POSITION,51271.0,02MWAaffLxlfxAUY7c5dvx
11,2021-10-01,Denmark,SAME_POSITION,50417.0,2Xr1dTzJee307rmrkt8c0g
12,2021-10-01,Denmark,MOVE_UP,47393.0,6BxGGPBdNexcy53euZsrga
13,2021-10-01,Denmark,MOVE_DOWN,45452.0,3uUuGVFu1V7jTQL60S1r8z
14,2021-10-01,Denmark,MOVE_DOWN,45340.0,6BrXK35IO466yYtq7iGqVh
15,2021-10-01,Denmark,MOVE_UP,44856.0,4vAReYtMpAAFK6cyTE8WkZ
16,2021-10-01,Denmark,NEW_ENTRY,42315.0,26TbwlBwd7X1ehMK7suDOr
17,2021-10-01,Denmark,MOVE_DOWN,41970.0,3e44wTPS5QF1cIUgcVqX5T
18,2021-10-01,Denmark,MOVE_DOWN,41626.0,6Uj1ctrBOjOas8xZXGqKk4
19,2021-10-01,Denmark,MOVE_DOWN,40433.0,2pSFzEqskHjtDVcu2ZpN6E
20,2021-10-01,Denmark,SAME_POSITION,40009.0,2USlegnFJLrVLpoVfPimKB
21,2021-10-01,Denmark,MOVE_DOWN,39214.0,6M3PsepEj5gyJoIi7Xvr7u
22,2021-10-01,Denmark,MOVE_UP,38682.0,5JYd771CUgV4zByGMZ8zqx
23,2021-10-01,Denmark,MOVE_UP,38385.0,29s2dhQ00vpr6eTI00Kc77
24,2021-10-01,Denmark,MOVE_DOWN,35773.0,3LbIf7PslxDzCtm9vP96oT
25,2021-10-01,Denmark,SAME_POSITION,34248.0,3FeVmId7tL5YN8B7R3imoM
26,2021-10-01,Denmark,MOVE_DOWN,33135.0,2YBJNTMuSCQKnjEBd52K6L
27,2021-10-01,Denmark,MOVE_DOWN,32881.0,40iJIUlhi6renaREYGeIDS
28,2021-10-01,Denmark,NEW_ENTRY,32352.0,6M5Jfa9SgBHQChKPaDcqJX
29,2021-10-01,Denmark,MOVE_DOWN,31908.0,4ZtFanR9U6ndgddUvNcjcG
30,2021-10-01,Denmark,MOVE_DOWN,31388.0,0WeXi2KCJCzy8DE7jVdxle
31,2021-10-01,Denmark,MOVE_DOWN,30461.0,0AEd8cP7Rf7UmcErWxt1qT
32,2021-10-01,Denmark,MOVE_UP,30366.0,6Dy1jexKYriXAVG6evyUTJ
33,2021-10-01,Denmark,MOVE_UP,30089.0,4cG7HUWYHBV6R6tHn1gxrl
34,2021-10-01,Denmark,MOVE_DOWN,29373.0,37Nqx7iavZpotJSDXZWbJ3
35,2021-10-01,Denmark,MOVE_DOWN,29197.0,3Wrjm47oTz2sjIgck11l5e
36,2021-10-01,Denmark,MOVE_DOWN,28156.0,3yx4OqEvFdkAts3WzCZdR4
37,2021-10-01,Denmark,MOVE_UP,27572.0,7f3FPKXzk0fG84G3aY5jM2
38,2021-10-01,Denmark,MOVE_UP,26822.0,5qaaQp6KvkEdB2q7SKQAcJ
39,2021-10-01,Denmark,MOVE_DOWN,26808.0,1SC5rEoYDGUK4NfG82494W
40,2021-10-01,Denmark,MOVE_DOWN,26680.0,0RbW8kWozrVSIGb4V13o0o
41,2021-10-01,Denmark,MOVE_DOWN,26392.0,1UrIsBtFnNzWh3ENHMsKqm
42,2021-10-01,Denmark,MOVE_UP,26227.0,3ly0KiqLSwqMeAdz7PSf3b
43,2021-10-01,Denmark,MOVE_DOWN,25860.0,6FPE8PdEpNUty0GIpN9Lne
44,2021-10-01,Denmark,MOVE_DOWN,25618.0,7xSUV1EdDmwYSiVV7NL9qv
45,2021-10-01,Denmark,MOVE_DOWN,25298.0,47qeWYZT369E5Aug5D5nm2
46,2021-10-01,Denmark,MOVE_DOWN,24686.0,4XvcHTUfIlWfyJTRG0aqlo
47,2021-10-01,Denmark,MOVE_DOWN,24097.0,74NyM9Ir1hjHJM4TSwVM7W
48,2021-10-01,Denmark,SAME_POSITION,23799.0,1vYyrDMXngVHa27bMdoQCx
49,2021-10-01,Denmark,SAME_POSITION,23505.0,06h2UnXLG2B0d3gRubMGNI
50,2021-10-01,Denmark,MOVE_DOWN,22921.0,4RVwu0g32PAqgUiJoXsdF8
51,2021-10-01,Denmark,MOVE_DOWN,22771.0,0k1WUmIRnG3xU6fvvDVfRG
52,2021-10-01,Denmark,NEW_ENTRY,22230.0,2oFI0kojKYLHaAV0lffebi
53,2021-10-01,Denmark,MOVE_DOWN,21947.0,02mMmj7gfNXb7Z1OuqgoYj
54,2021-10-01,Denmark,MOVE_UP,20012.0,0VjIjW4GlUZAMYd2vXMi3b
