rank,date,region,trend,streams,track_id
1,2017-02-01,Dominican Republic,SAME_POSITION,16781.0,4aWmUDTfIPGksMNLV2rQP2
2,2017-02-01,Dominican Republic,MOVE_UP,8838.0,7qiZfU4dY1lWllzX7mPBI3
3,2017-02-01,Dominican Republic,MOVE_DOWN,8832.0,5MT96Zz0ymUJNm8obKZQr0
4,2017-02-01,Dominican Republic,SAME_POSITION,8287.0,6mICuAdrwEjh6Y6lroV2Kg
5,2017-02-01,Dominican Republic,SAME_POSITION,7574.0,626rYyBfeAeleh1F5t4B70
6,2017-02-01,Dominican Republic,MOVE_UP,6972.0,3umS4y3uQDkqekNjVpiRUs
7,2017-02-01,Dominican Republic,MOVE_DOWN,6630.0,5q2JbCNi4FcnglgPfxcV65
8,2017-02-01,Dominican Republic,SAME_POSITION,6419.0,17nOaHsTn06jxuU9NpHuFU
9,2017-02-01,Dominican Republic,SAME_POSITION,6319.0,3QwBODjSEzelZyVjxPOHdq
10,2017-02-01,Dominican Republic,MOVE_UP,6087.0,2FrnTVSHjgnEylKGdHRUK1
11,2017-02-01,Dominican Republic,MOVE_DOWN,5994.0,6NSMQFKgjpQb0KkjMDYIK0
12,2017-02-01,Dominican Republic,SAME_POSITION,5788.0,3AEZUABDXNtecAOSC1qTfo
13,2017-02-01,Dominican Republic,SAME_POSITION,5440.0,20ZAJdsKB5IGbGj4ilRt2o
14,2017-02-01,Dominican Republic,MOVE_UP,5232.0,11zRKpjEZwmcBBBGzB4pMn
15,2017-02-01,Dominican Republic,MOVE_DOWN,5155.0,6rQSrBHf7HlZjtcMZ4S4bO
16,2017-02-01,Dominican Republic,SAME_POSITION,4871.0,3T0h2tXX3mQh14mse20s6M
17,2017-02-01,Dominican Republic,MOVE_UP,4669.0,3NdDpSvN911VPGivFlV5d0
18,2017-02-01,Dominican Republic,MOVE_DOWN,4616.0,3LgtCt7CVhMvNSMGoQD9i1
19,2017-02-01,Dominican Republic,MOVE_DOWN,4348.0,1lxswgIpzV6HhENRvkflES
20,2017-02-01,Dominican Republic,MOVE_UP,4305.0,72jbDTw1piOOj770jWNeaG
21,2017-02-01,Dominican Republic,MOVE_DOWN,4288.0,4pdPtRcBmOSQDlJ3Fk945m
22,2017-02-01,Dominican Republic,MOVE_DOWN,4208.0,0JoHqmlqE0W0i9prt6kcHR
23,2017-02-01,Dominican Republic,SAME_POSITION,4095.0,6041gM9Th1ViQcnzkIxnuv
24,2017-02-01,Dominican Republic,SAME_POSITION,3936.0,7BKLCZ1jbUBVqRi2FVlTVw
25,2017-02-01,Dominican Republic,SAME_POSITION,3915.0,7DM4BPaS7uofFul3ywMe46
26,2017-02-01,Dominican Republic,MOVE_UP,3894.0,5aAx2yezTd8zXrkmtKl66Z
27,2017-02-01,Dominican Republic,MOVE_UP,3819.0,1xznGGDReH1oQq0xzbwXa3
28,2017-02-01,Dominican Republic,MOVE_DOWN,3765.0,5H18gT3kawrbg83mO0MzVd
29,2017-02-01,Dominican Republic,SAME_POSITION,3764.0,6ql2L3pp9EuVEruS2BfzNp
30,2017-02-01,Dominican Republic,MOVE_DOWN,3760.0,3dQDid3IUNhZy1OehIfYfE
31,2017-02-01,Dominican Republic,MOVE_DOWN,3702.0,6b8Be6ljOzmkOmFslEb23P
32,2017-02-01,Dominican Republic,SAME_POSITION,3685.0,6stYbAJgTszHAHZMPxWWCY
33,2017-02-01,Dominican Republic,SAME_POSITION,3583.0,5GXAXm5YOmYT0kL5jHvYBt
34,2017-02-01,Dominican Republic,MOVE_UP,3501.0,6De0lHrwBfPfrhorm9q1Xl
35,2017-02-01,Dominican Republic,MOVE_DOWN,3423.0,4vlbjBSMqycZk6t4HVRpnC
36,2017-02-01,Dominican Republic,MOVE_UP,3400.0,5MFzQMkrl1FOOng9tq6R9r
37,2017-02-01,Dominican Republic,MOVE_DOWN,3389.0,343YBumqHu19cGoGARUTsd
38,2017-02-01,Dominican Republic,MOVE_UP,3325.0,6PCUP3dWmTjcTtXY02oFdT
39,2017-02-01,Dominican Republic,SAME_POSITION,3211.0,5mey7CLLuFToM2P68Qu1gF
40,2017-02-01,Dominican Republic,MOVE_DOWN,3178.0,0uRHot8ml8U8cYVwwzMwNT
41,2017-02-01,Dominican Republic,SAME_POSITION,3134.0,04DwTuZ2VBdJCCC5TROn7L
42,2017-02-01,Dominican Republic,MOVE_UP,3046.0,2twUPIYOTqVivev47pf7bU
43,2017-02-01,Dominican Republic,MOVE_DOWN,3016.0,0QetVR4wwvyiTezQeFNdeZ
44,2017-02-01,Dominican Republic,SAME_POSITION,2931.0,6DNtNfH8hXkqOX1sjqmI7p
45,2017-02-01,Dominican Republic,SAME_POSITION,2866.0,01vHGJRvJ6EZW9KO8NtZpi
46,2017-02-01,Dominican Republic,SAME_POSITION,2864.0,4Zke60QJMlW60qnXmYLdC8
47,2017-02-01,Dominican Republic,MOVE_UP,2846.0,0sXvAOmXgjR2QUqLK1MltU
48,2017-02-01,Dominican Republic,SAME_POSITION,2777.0,4pLwZjInHj3SimIyN9SnOz
49,2017-02-01,Dominican Republic,MOVE_DOWN,2759.0,1vvNmPOiUuyCbgWmtc6yfm
50,2017-02-01,Dominican Republic,SAME_POSITION,2631.0,5knuzwU65gJK7IF5yJsuaW
51,2017-02-01,Dominican Republic,SAME_POSITION,2472.0,0QsvXIfqM0zZoerQfsI9lm
52,2017-02-01,Dominican Republic,SAME_POSITION,2362.0,58IL315gMSTD37DOZPJ2hf
53,2017-02-01,Dominican Republic,SAME_POSITION,2309.0,3BY2mafsbsoKGqS380Xnuz
54,2017-02-01,Dominican Republic,SAME_POSITION,2183.0,3n58u3LOFw8mITLvfPvQBz
55,2017-02-01,Dominican Republic,MOVE_UP,2179.0,3ebXMykcMXOcLeJ9xZ17XH
56,2017-02-01,Dominican Republic,MOVE_DOWN,2066.0,7KhBQ6XFeAGrQzyT28MWvP
57,2017-02-01,Dominican Republic,SAME_POSITION,2040.0,5hEM0JchdVzQ5PwvSfITeX
58,2017-02-01,Dominican Republic,MOVE_UP,2026.0,5uCax9HTNlzGybIStD3vDh
59,2017-02-01,Dominican Republic,MOVE_DOWN,1954.0,68EMU2RD1ECNeOeJ5qAXCV
60,2017-02-01,Dominican Republic,MOVE_UP,1915.0,3EmmCZoqpWOTY1g2GBwJoR
61,2017-02-01,Dominican Republic,MOVE_DOWN,1908.0,6Nzq7iIxg5w9ipnCd15sQt
62,2017-02-01,Dominican Republic,MOVE_DOWN,1871.0,4Hf7WnR761jpxPr5D46Bcd
63,2017-02-01,Dominican Republic,MOVE_UP,1818.0,4Km5HrUvYTaSUfiSGPJeQR
64,2017-02-01,Dominican Republic,MOVE_UP,1799.0,498YWgZPJWIA4lphXtCNma
