rank,trend,streams,track_id
1,MOVE_UP,17416.0,1khmgu0pveJbkbpbkyvcQv
2,MOVE_DOWN,15778.0,4uP3pUP18ennmz0tb3GphR
3,SAME_POSITION,13912.0,116H0KvKr2Zl4RPuVBruDO
4,MOVE_UP,12339.0,2cYnZNzFRFK0H7vSNxPsUq
5,MOVE_DOWN,12263.0,7dNwJbsT0sg1le5kVugGJb
6,MOVE_UP,11394.0,4w8niZpiMy6qz1mntFA5uM
7,MOVE_DOWN,10586.0,4vCAzANUWDE24URV6wQ4ra
8,MOVE_DOWN,10511.0,278kSqsZIiYp8p3QjYAqa8
9,MOVE_UP,10394.0,6MJUCumnQsQEKbCy28tbCP
10,MOVE_UP,10091.0,1h9P5WJwyvK8OB7O2YiXgp
11,SAME_POSITION,9726.0,48zFZh27QU5qsrBjn4C2FA
12,MOVE_DOWN,9652.0,6it15CsDlkqB7N4lF0C1qM
13,MOVE_DOWN,8601.0,5jGUJXnELDaDTgiRjD9lsg
14,MOVE_UP,8109.0,2wRkBumdItthjYP9XknImg
15,SAME_POSITION,8101.0,1LiN0Z98FkR1t0m8KmLcAH
16,SAME_POSITION,7972.0,6q8Lb50EtqNeeJXXe8mMAH
17,MOVE_DOWN,7897.0,35wvL50xvKpCHEJPxLOLPI
18,MOVE_UP,7554.0,0Q8Nbwyo7EvjM7Jkhxy8KU
19,MOVE_DOWN,7520.0,2OWVCFTolecLiGZPquvWvT
20,MOVE_UP,7001.0,2mJrQM845TqwABVy6WDmIF
21,MOVE_UP,6952.0,0aDK3Wml4OJwC3WXNa82mA
22,MOVE_DOWN,6873.0,6kN06eEOblRAuWI0xUUS91
23,MOVE_UP,6795.0,59PYgzOiOjGDzjDT5N5oOX
24,SAME_POSITION,6647.0,5uvucCRBTkxv7VxIDLOqe7
25,MOVE_DOWN,6635.0,6pZHZndlo57dPCYnvlYFOE
26,MOVE_DOWN,6608.0,69ZaPBHhRMRDjRpW1ivnOU
27,MOVE_DOWN,6551.0,4UEuIEv9Wc3wtiWUplGJ7q
28,MOVE_UP,6286.0,3V8UKqhEK5zBkBb6d6ub8i
29,MOVE_DOWN,6245.0,5mj8WVFcKdGA8p9HWGTSLc
30,MOVE_DOWN,5885.0,5iwz1NiezX7WWjnCgY5TH4
31,MOVE_DOWN,5740.0,5VQpJ2AY2iMzrRZKgcvNjh
32,MOVE_UP,5707.0,6XBjCetHKdO5L9cwMDVffw
33,MOVE_DOWN,5622.0,5Q3e16qE1RE5oilN3ukasm
34,MOVE_DOWN,5530.0,6FyRXC8tJUh863JCkyWqtk
35,SAME_POSITION,5361.0,2XXMDz7SPZ4mSFN1PXfHUy
36,MOVE_DOWN,5073.0,3ao3OVxHlb3C08vAaApUlm
37,MOVE_UP,5045.0,3rPAD722s5FFNnwjC91t7Z
38,MOVE_DOWN,4854.0,0s5DNDV6LAKn2u2Ufa3VjQ
39,SAME_POSITION,4634.0,2D3z17LBMJ2HEHeBFFjTLi
40,MOVE_UP,4402.0,4v5wPNrpiFOthoorvTN8ho
41,MOVE_UP,4285.0,4joSWXgF9JfbeVtsEA3Bb4
42,MOVE_UP,4170.0,62o8KoI44JfN7aYxgTnPvh
43,MOVE_UP,4075.0,58q2HKrzhC3ozto2nDdN4z
44,MOVE_UP,4069.0,0VKkyBKCXyR99navhVRqcP
45,MOVE_DOWN,3952.0,1R2mapMAUiYqre6jcFX57g
46,SAME_POSITION,3938.0,7LeQ55Z5jPBB0ggYJtAiYO
47,MOVE_DOWN,3928.0,1mT47pKLXUwPYGwB91GcNz
48,MOVE_DOWN,3906.0,3T5QSIgoaPIh07SwixRDp7
49,MOVE_UP,3882.0,3pvVeJFCJO5N8gPhHjF268
50,MOVE_DOWN,3655.0,4KkUjFkcQvGvWekl8RATDn
51,MOVE_DOWN,3628.0,0ifLplTQxXkFZKMQpWCHii
52,MOVE_DOWN,3623.0,2rPE9A1vEgShuZxxzR2tZH
53,MOVE_UP,3550.0,5oeUvTWLikSczpfDaF1r5Q
54,MOVE_DOWN,3472.0,6oyaRUZWolTqbHKokmFWbj
55,MOVE_DOWN,3195.0,5qFeMRz4TvetPmzjre9Dq7
56,MOVE_DOWN,3174.0,0r9d60ZYPAlFHq8qnUtkXN
57,MOVE_DOWN,2923.0,33b2wX9d0kxqxhi7lcsC1A
58,MOVE_DOWN,2839.0,7rwX0O3RlxqqIjQM8evm5E
59,MOVE_DOWN,2777.0,1DcxnVNFAyVl2sDQ646pXS
60,MOVE_UP,2682.0,6VrOzFtjAylmaRV5OsCFeo
61,MOVE_DOWN,2668.0,0LQ1J0BCzA2qnAgp9MkkNE
62,MOVE_UP,2597.0,1WbXIpiGBJkCiv3hn40iPB
63,MOVE_DOWN,2559.0,2IA8cFA46DkjgbsRG7kKbp
64,MOVE_UP,2510.0,2ijef6ni2amuunRoKTlgww
65,MOVE_DOWN,2458.0,3RD0PGolM0mETGHaprwgMn
66,MOVE_DOWN,2454.0,7uQmJ1jgNzBpATSoWKSPFu
67,MOVE_DOWN,2423.0,3gu0fRSgFuc4FmrtIv0DnC
68,MOVE_UP,2419.0,6Za3190Sbw39BBC77WSS1C
69,NEW_ENTRY,2378.0,734vYzX6YKgSDHzXuLQJmg
70,MOVE_UP,2329.0,1G586ld1gbaECg4Bc6w40O
71,MOVE_DOWN,2318.0,2CRbiMK0W14l71SpDKqKZM
72,MOVE_DOWN,2294.0,675w3ACw5xZR3ODhUJlEVN
73,MOVE_UP,2260.0,1m69ELEgE6k5ZWsap40ozt
