rank,date,region,trend,streams,track_id
1,2017-01-01,Ecuador,SAME_POSITION,19272.0,3AEZUABDXNtecAOSC1qTfo
2,2017-01-01,Ecuador,SAME_POSITION,19270.0,6mICuAdrwEjh6Y6lroV2Kg
3,2017-01-01,Ecuador,SAME_POSITION,15761.0,3QwBODjSEzelZyVjxPOHdq
4,2017-01-01,Ecuador,MOVE_UP,14954.0,7DM4BPaS7uofFul3ywMe46
5,2017-01-01,Ecuador,MOVE_DOWN,14269.0,6rQSrBHf7HlZjtcMZ4S4bO
6,2017-01-01,Ecuador,MOVE_UP,12843.0,0sXvAOmXgjR2QUqLK1MltU
7,2017-01-01,Ecuador,MOVE_DOWN,10986.0,6stYbAJgTszHAHZMPxWWCY
8,2017-01-01,Ecuador,MOVE_UP,10653.0,5mey7CLLuFToM2P68Qu1gF
9,2017-01-01,Ecuador,MOVE_DOWN,9807.0,5J1c3M4EldCfNxXwrwt8mT
10,2017-01-01,Ecuador,MOVE_UP,9612.0,58IL315gMSTD37DOZPJ2hf
11,2017-01-01,Ecuador,SAME_POSITION,9611.0,3dQDid3IUNhZy1OehIfYfE
12,2017-01-01,Ecuador,MOVE_DOWN,8982.0,20ZAJdsKB5IGbGj4ilRt2o
13,2017-01-01,Ecuador,MOVE_DOWN,8834.0,4pdPtRcBmOSQDlJ3Fk945m
14,2017-01-01,Ecuador,MOVE_UP,8309.0,6YZdkObH88npeKrrkb8Ggf
15,2017-01-01,Ecuador,MOVE_UP,7822.0,1lxswgIpzV6HhENRvkflES
16,2017-01-01,Ecuador,MOVE_UP,7586.0,6DUdDIRgLqCGq1DwkNWQTN
17,2017-01-01,Ecuador,MOVE_DOWN,7472.0,1xznGGDReH1oQq0xzbwXa3
18,2017-01-01,Ecuador,MOVE_DOWN,7416.0,7BKLCZ1jbUBVqRi2FVlTVw
19,2017-01-01,Ecuador,MOVE_DOWN,7006.0,5aAx2yezTd8zXrkmtKl66Z
20,2017-01-01,Ecuador,MOVE_UP,6779.0,1pWYnQIlqxTh5bxuPmTG4E
21,2017-01-01,Ecuador,MOVE_DOWN,6582.0,5MFzQMkrl1FOOng9tq6R9r
22,2017-01-01,Ecuador,MOVE_UP,6521.0,0OMRAvrtLWE2TvcXorRiB9
23,2017-01-01,Ecuador,SAME_POSITION,6261.0,6b8Be6ljOzmkOmFslEb23P
24,2017-01-01,Ecuador,SAME_POSITION,6237.0,5hEM0JchdVzQ5PwvSfITeX
25,2017-01-01,Ecuador,MOVE_DOWN,6028.0,0JoHqmlqE0W0i9prt6kcHR
26,2017-01-01,Ecuador,MOVE_DOWN,5723.0,1vvNmPOiUuyCbgWmtc6yfm
27,2017-01-01,Ecuador,MOVE_UP,5601.0,1mSzZKMIPZIkn3jFV7v62b
28,2017-01-01,Ecuador,MOVE_DOWN,5586.0,772io14jrMTxGJbijtDccQ
29,2017-01-01,Ecuador,SAME_POSITION,5541.0,1AkTW13ysu0AJrwuM6UY0I
30,2017-01-01,Ecuador,MOVE_DOWN,5362.0,68EMU2RD1ECNeOeJ5qAXCV
31,2017-01-01,Ecuador,MOVE_UP,5259.0,3GpvoKKWZyTwgbLEM9RmWM
32,2017-01-01,Ecuador,MOVE_UP,5198.0,6JV2JOEocMgcZxYSZelKcc
33,2017-01-01,Ecuador,MOVE_DOWN,5160.0,4OaTpLJIa2harufGxfOPUu
34,2017-01-01,Ecuador,MOVE_DOWN,5025.0,17Fd6Yb7mSbinKG8LoWfFl
35,2017-01-01,Ecuador,MOVE_UP,5001.0,5Fim1gaXBgsiFfsQAfQSDS
36,2017-01-01,Ecuador,MOVE_DOWN,4933.0,6DNtNfH8hXkqOX1sjqmI7p
37,2017-01-01,Ecuador,MOVE_UP,4781.0,7AtlMCIauSQZqiXSlbBPW6
38,2017-01-01,Ecuador,MOVE_DOWN,4644.0,2SSYqDX8KTgy01NlqtUo0F
