rank,trend,streams,track_id
1,SAME_POSITION,51099.0,4aWmUDTfIPGksMNLV2rQP2
2,MOVE_UP,19047.0,7qiZfU4dY1lWllzX7mPBI3
3,MOVE_DOWN,18609.0,3AEZUABDXNtecAOSC1qTfo
4,SAME_POSITION,17663.0,3umS4y3uQDkqekNjVpiRUs
5,SAME_POSITION,16879.0,6mICuAdrwEjh6Y6lroV2Kg
6,SAME_POSITION,15278.0,3QwBODjSEzelZyVjxPOHdq
7,SAME_POSITION,13637.0,3dQDid3IUNhZy1OehIfYfE
8,SAME_POSITION,12530.0,6rQSrBHf7HlZjtcMZ4S4bO
9,SAME_POSITION,11574.0,6stYbAJgTszHAHZMPxWWCY
10,SAME_POSITION,11182.0,7DM4BPaS7uofFul3ywMe46
11,SAME_POSITION,9603.0,4pdPtRcBmOSQDlJ3Fk945m
12,SAME_POSITION,9482.0,5hEM0JchdVzQ5PwvSfITeX
13,MOVE_UP,8973.0,20ZAJdsKB5IGbGj4ilRt2o
14,MOVE_DOWN,8967.0,5J1c3M4EldCfNxXwrwt8mT
15,MOVE_UP,8454.0,1lxswgIpzV6HhENRvkflES
16,SAME_POSITION,8405.0,6De0lHrwBfPfrhorm9q1Xl
17,MOVE_DOWN,8177.0,5knuzwU65gJK7IF5yJsuaW
18,SAME_POSITION,7982.0,5MFzQMkrl1FOOng9tq6R9r
19,SAME_POSITION,7894.0,5q2JbCNi4FcnglgPfxcV65
20,MOVE_UP,7711.0,5mey7CLLuFToM2P68Qu1gF
21,MOVE_UP,7348.0,0sXvAOmXgjR2QUqLK1MltU
22,MOVE_DOWN,7314.0,7BKLCZ1jbUBVqRi2FVlTVw
23,MOVE_DOWN,7248.0,5aAx2yezTd8zXrkmtKl66Z
24,MOVE_UP,6879.0,6b8Be6ljOzmkOmFslEb23P
25,MOVE_DOWN,6870.0,1xznGGDReH1oQq0xzbwXa3
26,MOVE_DOWN,6796.0,72jbDTw1piOOj770jWNeaG
27,MOVE_UP,6652.0,5GXAXm5YOmYT0kL5jHvYBt
28,MOVE_DOWN,6562.0,1vvNmPOiUuyCbgWmtc6yfm
29,MOVE_DOWN,6552.0,3NdDpSvN911VPGivFlV5d0
30,MOVE_UP,6475.0,3BY2mafsbsoKGqS380Xnuz
31,MOVE_UP,6429.0,0JoHqmlqE0W0i9prt6kcHR
32,MOVE_DOWN,6375.0,4OaTpLJIa2harufGxfOPUu
33,SAME_POSITION,6123.0,1AkTW13ysu0AJrwuM6UY0I
34,MOVE_UP,5842.0,6DNtNfH8hXkqOX1sjqmI7p
35,MOVE_DOWN,5632.0,58IL315gMSTD37DOZPJ2hf
36,MOVE_UP,5595.0,0mwPE0lPOgnWf2bo14xedJ
37,MOVE_DOWN,5586.0,68EMU2RD1ECNeOeJ5qAXCV
38,SAME_POSITION,5568.0,04DwTuZ2VBdJCCC5TROn7L
39,MOVE_UP,5278.0,3EmmCZoqpWOTY1g2GBwJoR
40,MOVE_DOWN,5274.0,4pLwZjInHj3SimIyN9SnOz
41,SAME_POSITION,5183.0,3n58u3LOFw8mITLvfPvQBz
42,MOVE_UP,5141.0,6DUdDIRgLqCGq1DwkNWQTN
43,MOVE_UP,5031.0,1pWYnQIlqxTh5bxuPmTG4E
44,MOVE_UP,5001.0,2webQDZmtGioeu3zUUi9We
45,SAME_POSITION,4899.0,7BwJtE8KSbCQKOCTIAY3jX
46,MOVE_DOWN,4834.0,17Fd6Yb7mSbinKG8LoWfFl
47,MOVE_UP,4823.0,2FrnTVSHjgnEylKGdHRUK1
48,MOVE_DOWN,4814.0,6PCUP3dWmTjcTtXY02oFdT
49,SAME_POSITION,4795.0,2SSYqDX8KTgy01NlqtUo0F
50,MOVE_UP,4550.0,4okba5wu9mMLXx79DXLKi3
51,MOVE_DOWN,4250.0,4Hf7WnR761jpxPr5D46Bcd
52,SAME_POSITION,4014.0,6YZdkObH88npeKrrkb8Ggf
53,MOVE_UP,3889.0,6fxVffaTuwjgEk5h9QyRjy
54,MOVE_UP,3790.0,1a5Yu5L18qNxVhXx38njON
55,MOVE_UP,3678.0,3noN1TxpjbjjmKqssghvg8
56,MOVE_UP,3642.0,5QSYWruQQ7kBCHScI4xJ9g
57,MOVE_DOWN,3639.0,7AtlMCIauSQZqiXSlbBPW6
58,MOVE_UP,3568.0,0OMRAvrtLWE2TvcXorRiB9
59,MOVE_UP,3509.0,3ebXMykcMXOcLeJ9xZ17XH
60,MOVE_UP,3411.0,0s6yB0ZFl1LvYHAnGhXFga
61,MOVE_DOWN,3397.0,5MT96Zz0ymUJNm8obKZQr0
62,MOVE_DOWN,3319.0,6JV2JOEocMgcZxYSZelKcc
63,MOVE_DOWN,3187.0,78rIJddV4X0HkNAInEcYde
64,MOVE_DOWN,3153.0,5uCax9HTNlzGybIStD3vDh
65,MOVE_UP,3152.0,3H179O48ynsu9q8LOnFQZY
66,MOVE_DOWN,3112.0,0bK3jxkbq5cDKWr68KtO8G
67,MOVE_UP,3061.0,4CTjql34LKCJy5WOSgEhvA
68,MOVE_UP,3061.0,772io14jrMTxGJbijtDccQ
69,MOVE_DOWN,3047.0,1TxgZRcy3kZ7JaEp88MDbC
70,MOVE_DOWN,3020.0,5Fim1gaXBgsiFfsQAfQSDS
71,MOVE_DOWN,2973.0,2twUPIYOTqVivev47pf7bU
72,MOVE_DOWN,2962.0,6i0V12jOa3mr6uu4WYhUBr
73,MOVE_UP,2935.0,0lPXFrKyl8HkdQ2E6NmNja
74,MOVE_UP,2924.0,1Slwb6dOYkBlWal1PGtnNg
75,MOVE_UP,2889.0,0EpFfFZpCuqYFzHvxOtrZS
76,MOVE_DOWN,2886.0,6sMPwcpYtxm1mlgYbp1B0t
77,MOVE_DOWN,2847.0,0QsvXIfqM0zZoerQfsI9lm
78,MOVE_DOWN,2815.0,3kg9JvQe6QJFKUQCN1oIQz
79,SAME_POSITION,2809.0,27SdWb2rFzO6GWiYDBTD9j
80,MOVE_UP,2760.0,0aywfeIr0tmhLZJxzqOhzP
81,MOVE_DOWN,2760.0,5HABnFSYvl6mTmg8nSdzHa
82,MOVE_UP,2735.0,0JiVRyTJcJnmlwCZ854K4p
83,MOVE_DOWN,2694.0,77KHmKnBmVGTjRCeMVXpWH
84,MOVE_DOWN,2665.0,2aFiaMXmWsM3Vj72F9ksBl
85,MOVE_UP,2664.0,1iRvhKiXRElIH2Uf4gd95P
86,SAME_POSITION,2656.0,4VXejnj5WgM6H72ct2fSgQ
87,MOVE_UP,2624.0,1cG0umU5TKStygKsPFZ9pY
88,MOVE_DOWN,2624.0,7gHs73wELdeycvS48JfIos
89,MOVE_UP,2623.0,1OAiWI2oPmglaOiv9fdioU
90,MOVE_UP,2620.0,66VmioeXL4i1TCfHIO8R9t
91,MOVE_DOWN,2595.0,3GpvoKKWZyTwgbLEM9RmWM
92,MOVE_DOWN,2587.0,4vlbjBSMqycZk6t4HVRpnC
93,MOVE_UP,2582.0,6NSMQFKgjpQb0KkjMDYIK0
94,MOVE_DOWN,2574.0,1mSzZKMIPZIkn3jFV7v62b
95,MOVE_UP,2534.0,77a9893yxuz36cBUmBzA8E
96,MOVE_UP,2489.0,4COGASZEbAxmH6k5gYMo6G
97,MOVE_DOWN,2443.0,0azC730Exh71aQlOt9Zj3y
98,MOVE_DOWN,2438.0,3CRDbSIZ4r5MsZ0YwxuEkn
99,MOVE_UP,2406.0,2Zw7rSucHm0MIph9gmNiSn
100,SAME_POSITION,2402.0,2Z8WuEywRWYTKe1NybPQEW
101,MOVE_DOWN,2391.0,4iPV0gcc8keTFl6qxqP73M
102,MOVE_UP,2372.0,79Bm3DTEYuQsDpUVHbSRsL
103,MOVE_UP,2351.0,2CkHE54EH44Qj945ynQRw7
104,MOVE_DOWN,2336.0,5hYTyyh2odQKphUbMqc5gN
105,MOVE_DOWN,2285.0,3hB5DgAiMAQ4DzYbsMq1IT
106,MOVE_UP,2270.0,4QsPTKvdpgkA7mBAvclZTa
107,MOVE_DOWN,2268.0,0L7loeTIg6akW84aEQZpCT
108,MOVE_UP,2240.0,0gzcET27nREY6aD8LJU9wD
109,MOVE_UP,2228.0,1D3ODoXHBLpdxolZRHWV1j
110,MOVE_DOWN,2193.0,6VHdcVbiKLYYOcMbIqBcuK
111,MOVE_DOWN,2192.0,626rYyBfeAeleh1F5t4B70
112,MOVE_UP,2191.0,6HUnnBwYZqcED1eQztxMBN
113,MOVE_UP,2190.0,4efQTJSX6Jca1hHZNi74Zd
114,MOVE_DOWN,2176.0,35OC6rMxa8lJi8eDiUVShS
115,MOVE_DOWN,2139.0,1PSBzsahR2AKwLJgx8ehBj
116,MOVE_DOWN,2133.0,1qOLh0tI7trd1zdDKxYZTe
117,MOVE_DOWN,2102.0,4TZy1wLyHec06pwgFYDh1a
118,MOVE_DOWN,2054.0,3B21fRFqPLmTd9zAlK0I8A
119,MOVE_UP,2040.0,0uRHot8ml8U8cYVwwzMwNT
120,MOVE_UP,2029.0,6041gM9Th1ViQcnzkIxnuv
121,MOVE_DOWN,2006.0,27ebni0DfbT5Owz6W42HP8
122,MOVE_UP,1981.0,1yNyoWWWikbLhwIGWjZuDW
123,MOVE_UP,1980.0,4tCtwWceOPWzenK2HAIJSb
124,MOVE_UP,1975.0,75JFxkI2RXiU7L9VXzMkle
125,MOVE_UP,1962.0,494OU6M7NOf4ICYb4zWCf5
126,MOVE_DOWN,1955.0,6wHm04cn5HxK6pE2ITEdUS
127,MOVE_UP,1949.0,0fg8CqpjdojMyXLNzM2PaJ
128,SAME_POSITION,1947.0,71t9GoojGIMZLySI6imKFY
129,MOVE_DOWN,1945.0,1CUVN2kn7mW5FjkqXTR2W1
130,MOVE_DOWN,1945.0,0tICYNayWWhH9GPeFrfjfD
131,MOVE_DOWN,1934.0,343YBumqHu19cGoGARUTsd
132,MOVE_DOWN,1929.0,7w87IxuO7BDcJ3YUqCyMTT
133,MOVE_DOWN,1914.0,4OZEu0Vwq0RB2LAq14v99n
134,MOVE_UP,1899.0,7DhYjNLksXZhbRQeheAums
135,MOVE_UP,1881.0,09S64DUkxIX9EwIaULu6yN
136,MOVE_UP,1852.0,5jMvnSyOgGY8JpvHqeyVOg
137,MOVE_DOWN,1847.0,2rizacJSyD9S1IQUxUxnsK
138,MOVE_UP,1827.0,498YWgZPJWIA4lphXtCNma
139,MOVE_UP,1822.0,0xXhgLXfEHnWJHVgRvFvdn
140,MOVE_DOWN,1818.0,6yCjU5j6YHbux2VQCBTTE1
141,MOVE_DOWN,1811.0,1PGENMzwUy16wlpZiuLS65
142,SAME_POSITION,1798.0,6fujklziTHa8uoM5OQSfIo
143,MOVE_UP,1781.0,2q6tgiA9tpb6DMguABwCWE
144,MOVE_DOWN,1779.0,14WWzenpaEgQZlqPq2nk4v
145,MOVE_UP,1750.0,7cCRlUf8ayOJtTlWN7g8Ni
146,MOVE_DOWN,1739.0,1MpKZi1zTXpERKwxmOu1PH
147,MOVE_UP,1726.0,7BHNaG7YZHjGbAAqIHQzNf
148,MOVE_UP,1725.0,3lGMtkONrZdJ8kTCg6KIFf
149,MOVE_DOWN,1716.0,69bp2EbF7Q2rqc5N3ylezZ
150,MOVE_UP,1712.0,0A2h9QjoPdbVwa9LFiijqM
151,SAME_POSITION,1699.0,7qCAVkHWZkF44OzOUKf8Cr
152,MOVE_DOWN,1665.0,5dH7o4TP3HYLvCjo4QAhhv
153,MOVE_UP,1658.0,1HCw8XKtTgWWU3JlEUR0qQ
154,MOVE_DOWN,1657.0,3jpqMaJREkmVDYlRvW1qWC
155,MOVE_UP,1652.0,5edBgVtRD0fvWk140Sl21T
156,MOVE_UP,1650.0,3pI6VigoXHkcL3VYLJfBhq
157,MOVE_DOWN,1649.0,4WjH9Bzt3kx7z8kl0awxh4
158,MOVE_UP,1647.0,7LABrQFfRYcZUqUwng0Heb
159,MOVE_UP,1624.0,1iEwyiSLAunPR6uouANE0O
160,MOVE_DOWN,1615.0,58EQDn2K9Gyj68YIckOLrN
161,MOVE_UP,1605.0,0nfBKG11Wv2bK8cPjMU5VB
162,MOVE_UP,1602.0,7cvw9YXDn35Ra6xCrIqVNZ
163,MOVE_UP,1602.0,5Jt4zdXTd9y1zxihiNYQI1
164,MOVE_DOWN,1602.0,1WP1r7fuvRqZRnUaTi2I1Q
165,MOVE_DOWN,1600.0,2q5VkfuJpCHJiFkMqNsenl
166,MOVE_DOWN,1596.0,5KX51uLJYo1S1MmITG7lHD
167,MOVE_UP,1587.0,4ojwGTehgBRAg52jbFgzJg
168,MOVE_DOWN,1587.0,5XXxxfDWGvI6OaXPEniklV
169,MOVE_DOWN,1586.0,6qDF4wWL49CAVbgT7yuHl8
170,MOVE_DOWN,1579.0,2GJyBJWPmnM7pK961cB6iV
171,MOVE_UP,1578.0,6nxQdXa1uAL0rY72wPZu89
172,MOVE_UP,1562.0,1sXUWdKx03aP9Gmzft58rt
173,MOVE_DOWN,1549.0,1VoHrSS3QQ6TbpabLrFiYb
174,MOVE_DOWN,1547.0,1CnPYaKxTVb4LWOtiGOm0m
175,MOVE_DOWN,1540.0,3NaEzk0OFnezhFFGqZNyYz
176,NEW_ENTRY,1538.0,32lm3769IRfcnrQV11LO4E
177,MOVE_DOWN,1534.0,11KJSRSgaDxqydKYiD2Jew
178,MOVE_UP,1525.0,3jqSBJ8I20iUN0Bw8NA5xQ
179,MOVE_UP,1518.0,0fm7fJ4aZv6Wx0klIcyXPz
180,MOVE_UP,1493.0,6lanRgr6wXibZr8KgzXxBl
181,MOVE_DOWN,1480.0,7IRuf7FrdQvOGs0g9mSNGr
182,MOVE_DOWN,1477.0,7xHWNBFm6ObGEQPaUxHuKO
183,MOVE_UP,1475.0,4llK75pXNWZz6KAho2Gp16
184,MOVE_DOWN,1475.0,4Q4jmPHwu0wrJvqrld0FQ6
185,MOVE_UP,1462.0,4Km5HrUvYTaSUfiSGPJeQR
186,MOVE_UP,1451.0,1I8tHoNBFTuoJAlh4hfVVE
187,NEW_ENTRY,1445.0,5qqabIl2vWzo9ApSC317sa
188,SAME_POSITION,1442.0,5k5HXMmbU31I6cMOWnMgSQ
189,MOVE_DOWN,1440.0,43jBqV3j3Xi1g6wO0bhIMd
190,NEW_ENTRY,1435.0,2BesEfIHzUb7viZwUkSAhE
191,MOVE_UP,1430.0,5N8nNuTmIzkZOfcxXlygUw
192,SAME_POSITION,1430.0,4JnJ9ACXmtLkpH61ZvFSaM
193,NEW_ENTRY,1426.0,01vHGJRvJ6EZW9KO8NtZpi
194,NEW_ENTRY,1423.0,1AhDOtG9vPSOmsWgNW0BEY
195,MOVE_DOWN,1420.0,4YW2Fr25fHwUt6qgvM1iE1
196,MOVE_DOWN,1414.0,6OZh916QF8XNunWaP97WEZ
197,MOVE_DOWN,1412.0,17nOaHsTn06jxuU9NpHuFU
198,MOVE_DOWN,1408.0,0uVyZywUNOp6S0dU5r8TS8
199,NEW_ENTRY,1404.0,2xNZeeqmwMPVKnD7FSQfgt
200,NEW_ENTRY,1401.0,02yD6Wmpx5kLAoXLQOnuEb
1,SAME_POSITION,52357.0,4aWmUDTfIPGksMNLV2rQP2
2,SAME_POSITION,20378.0,7qiZfU4dY1lWllzX7mPBI3
3,SAME_POSITION,18827.0,3AEZUABDXNtecAOSC1qTfo
4,SAME_POSITION,18050.0,3umS4y3uQDkqekNjVpiRUs
5,SAME_POSITION,16966.0,6mICuAdrwEjh6Y6lroV2Kg
6,SAME_POSITION,15554.0,3QwBODjSEzelZyVjxPOHdq
7,SAME_POSITION,13859.0,3dQDid3IUNhZy1OehIfYfE
8,SAME_POSITION,12775.0,6rQSrBHf7HlZjtcMZ4S4bO
9,SAME_POSITION,12030.0,6stYbAJgTszHAHZMPxWWCY
10,SAME_POSITION,11510.0,7DM4BPaS7uofFul3ywMe46
11,MOVE_UP,9666.0,5hEM0JchdVzQ5PwvSfITeX
12,MOVE_UP,9475.0,5J1c3M4EldCfNxXwrwt8mT
13,MOVE_DOWN,9449.0,4pdPtRcBmOSQDlJ3Fk945m
14,MOVE_DOWN,9219.0,20ZAJdsKB5IGbGj4ilRt2o
15,SAME_POSITION,8457.0,1lxswgIpzV6HhENRvkflES
16,SAME_POSITION,8399.0,6De0lHrwBfPfrhorm9q1Xl
17,SAME_POSITION,8297.0,5knuzwU65gJK7IF5yJsuaW
18,MOVE_UP,8252.0,5q2JbCNi4FcnglgPfxcV65
19,MOVE_DOWN,7958.0,5MFzQMkrl1FOOng9tq6R9r
20,SAME_POSITION,7774.0,5mey7CLLuFToM2P68Qu1gF
21,SAME_POSITION,7581.0,0sXvAOmXgjR2QUqLK1MltU
22,SAME_POSITION,7550.0,7BKLCZ1jbUBVqRi2FVlTVw
23,MOVE_UP,7232.0,72jbDTw1piOOj770jWNeaG
24,MOVE_DOWN,7218.0,5aAx2yezTd8zXrkmtKl66Z
25,MOVE_UP,6853.0,1vvNmPOiUuyCbgWmtc6yfm
26,MOVE_UP,6751.0,5GXAXm5YOmYT0kL5jHvYBt
27,MOVE_DOWN,6713.0,6b8Be6ljOzmkOmFslEb23P
28,MOVE_UP,6694.0,3NdDpSvN911VPGivFlV5d0
29,MOVE_DOWN,6658.0,1xznGGDReH1oQq0xzbwXa3
30,MOVE_UP,6574.0,0JoHqmlqE0W0i9prt6kcHR
31,MOVE_DOWN,6437.0,3BY2mafsbsoKGqS380Xnuz
32,MOVE_UP,6319.0,1AkTW13ysu0AJrwuM6UY0I
33,MOVE_DOWN,6299.0,4OaTpLJIa2harufGxfOPUu
34,MOVE_UP,5834.0,0mwPE0lPOgnWf2bo14xedJ
35,MOVE_UP,5776.0,04DwTuZ2VBdJCCC5TROn7L
36,MOVE_DOWN,5699.0,58IL315gMSTD37DOZPJ2hf
37,SAME_POSITION,5663.0,68EMU2RD1ECNeOeJ5qAXCV
38,MOVE_DOWN,5605.0,6DNtNfH8hXkqOX1sjqmI7p
39,SAME_POSITION,5598.0,3EmmCZoqpWOTY1g2GBwJoR
40,MOVE_UP,5288.0,6DUdDIRgLqCGq1DwkNWQTN
41,MOVE_DOWN,5249.0,4pLwZjInHj3SimIyN9SnOz
42,MOVE_DOWN,5244.0,3n58u3LOFw8mITLvfPvQBz
43,SAME_POSITION,5236.0,1pWYnQIlqxTh5bxuPmTG4E
44,MOVE_UP,5127.0,2FrnTVSHjgnEylKGdHRUK1
45,MOVE_UP,5072.0,6PCUP3dWmTjcTtXY02oFdT
46,MOVE_UP,4997.0,4okba5wu9mMLXx79DXLKi3
47,MOVE_DOWN,4966.0,17Fd6Yb7mSbinKG8LoWfFl
48,MOVE_DOWN,4941.0,7BwJtE8KSbCQKOCTIAY3jX
49,MOVE_DOWN,4901.0,2webQDZmtGioeu3zUUi9We
50,MOVE_DOWN,4845.0,2SSYqDX8KTgy01NlqtUo0F
51,SAME_POSITION,4457.0,4Hf7WnR761jpxPr5D46Bcd
52,MOVE_UP,4216.0,6fxVffaTuwjgEk5h9QyRjy
53,MOVE_DOWN,4118.0,6YZdkObH88npeKrrkb8Ggf
54,MOVE_UP,3838.0,3noN1TxpjbjjmKqssghvg8
55,MOVE_UP,3743.0,7AtlMCIauSQZqiXSlbBPW6
56,MOVE_UP,3732.0,3ebXMykcMXOcLeJ9xZ17XH
57,MOVE_UP,3702.0,0OMRAvrtLWE2TvcXorRiB9
58,MOVE_DOWN,3695.0,1a5Yu5L18qNxVhXx38njON
59,MOVE_UP,3622.0,78rIJddV4X0HkNAInEcYde
60,MOVE_DOWN,3608.0,5QSYWruQQ7kBCHScI4xJ9g
61,SAME_POSITION,3583.0,5MT96Zz0ymUJNm8obKZQr0
62,MOVE_DOWN,3520.0,0s6yB0ZFl1LvYHAnGhXFga
63,MOVE_DOWN,3443.0,6JV2JOEocMgcZxYSZelKcc
64,MOVE_UP,3341.0,5Fim1gaXBgsiFfsQAfQSDS
65,SAME_POSITION,3315.0,3H179O48ynsu9q8LOnFQZY
66,MOVE_UP,3289.0,1TxgZRcy3kZ7JaEp88MDbC
67,SAME_POSITION,3256.0,4CTjql34LKCJy5WOSgEhvA
68,MOVE_DOWN,3228.0,0bK3jxkbq5cDKWr68KtO8G
69,MOVE_UP,3189.0,0lPXFrKyl8HkdQ2E6NmNja
70,MOVE_DOWN,3188.0,772io14jrMTxGJbijtDccQ
71,MOVE_DOWN,3171.0,5uCax9HTNlzGybIStD3vDh
72,MOVE_UP,3139.0,6sMPwcpYtxm1mlgYbp1B0t
73,MOVE_UP,3091.0,0EpFfFZpCuqYFzHvxOtrZS
74,MOVE_DOWN,3089.0,2twUPIYOTqVivev47pf7bU
75,MOVE_DOWN,3077.0,6i0V12jOa3mr6uu4WYhUBr
76,MOVE_DOWN,3071.0,1Slwb6dOYkBlWal1PGtnNg
77,MOVE_UP,3030.0,5HABnFSYvl6mTmg8nSdzHa
78,MOVE_UP,2872.0,0JiVRyTJcJnmlwCZ854K4p
79,MOVE_DOWN,2857.0,3kg9JvQe6QJFKUQCN1oIQz
80,MOVE_UP,2836.0,66VmioeXL4i1TCfHIO8R9t
81,MOVE_DOWN,2834.0,27SdWb2rFzO6GWiYDBTD9j
82,MOVE_DOWN,2834.0,0QsvXIfqM0zZoerQfsI9lm
83,MOVE_UP,2814.0,1iRvhKiXRElIH2Uf4gd95P
84,SAME_POSITION,2768.0,2aFiaMXmWsM3Vj72F9ksBl
85,MOVE_UP,2744.0,4VXejnj5WgM6H72ct2fSgQ
