rank,date,region,trend,streams,track_id
1,2021-04-01,Egypt,SAME_POSITION,37218.0,2lj1RNDztkIsyzhAX2soEa
2,2021-04-01,Egypt,SAME_POSITION,25547.0,45GbniNGdKE7vSgggfcBWl
3,2021-04-01,Egypt,SAME_POSITION,21085.0,4bjdKuJEtkr8IEwBiqyxAq
4,2021-04-01,Egypt,SAME_POSITION,20416.0,60Gq23sQOFobysukKlK6fb
5,2021-04-01,Egypt,SAME_POSITION,19490.0,082HYgmGx9V6hG5tpwwpp7
6,2021-04-01,Egypt,SAME_POSITION,13463.0,3VT8hOC5vuDXBsHrR53WFh
7,2021-04-01,Egypt,SAME_POSITION,9817.0,1JdRPaDFswfqCpAhBPKqUw
8,2021-04-01,Egypt,SAME_POSITION,9710.0,5zn9ZT7dKnRX5fnYvb3loq
9,2021-04-01,Egypt,SAME_POSITION,7497.0,3VLykmyUx8XKraa9SWQgKO
10,2021-04-01,Egypt,MOVE_UP,6808.0,4b4aSVwWBnwMiSwU62mIUr
11,2021-04-01,Egypt,MOVE_DOWN,6787.0,3qRGs7H1bPfshHh19syRKQ
12,2021-04-01,Egypt,MOVE_UP,6661.0,3RzrCMppvv3cYLmAI1KdGp
13,2021-04-01,Egypt,MOVE_DOWN,6551.0,1PN1vuSWAW9mlIZSgFrQ7y
14,2021-04-01,Egypt,MOVE_DOWN,6299.0,6vRHVF61iN8TnMdoFBoE8f
15,2021-04-01,Egypt,MOVE_UP,6224.0,6RpPYyGGMyDL9xfRcQfffj
16,2021-04-01,Egypt,MOVE_DOWN,6116.0,3NCZRSMdqwo5jpRdgcZxEV
17,2021-04-01,Egypt,MOVE_UP,6105.0,63uctqlwCI5AxXYmpTVO2Z
18,2021-04-01,Egypt,SAME_POSITION,5909.0,7JAPo0o6KfpKdZiGLoRCNh
19,2021-04-01,Egypt,MOVE_DOWN,5786.0,26x46Jk6rpcfkT8xttvUCc
20,2021-04-01,Egypt,MOVE_UP,5560.0,3BZEcbdtXQSo7OrvKRJ6mb
21,2021-04-01,Egypt,MOVE_DOWN,5451.0,63SfVFcA5kGYX1qJKRHhXR
22,2021-04-01,Egypt,MOVE_UP,5386.0,0sRMA5RMTncLpfZ6Uk9Wi1
23,2021-04-01,Egypt,MOVE_DOWN,5372.0,5xDaIms5HB1DTj5keH6sJc
24,2021-04-01,Egypt,MOVE_DOWN,5240.0,56nsR8Td7CWVCQIGjznu4L
25,2021-04-01,Egypt,NEW_ENTRY,4980.0,3UHPGOkUcE4hE7sqBF4Snt
26,2021-04-01,Egypt,MOVE_DOWN,4776.0,7pBr36brGBNxCk3JahhyHb
27,2021-04-01,Egypt,MOVE_UP,4747.0,4Ie7oOIUQkXvh1fHBsSlOg
28,2021-04-01,Egypt,SAME_POSITION,4601.0,1J14CdDAvBTE1AJYUOwl6C
29,2021-04-01,Egypt,MOVE_UP,4541.0,3S2aU4rUZXbVOxyVzgzXQ5
30,2021-04-01,Egypt,MOVE_UP,4493.0,1NkW18VV3QVOCuoVQsBC84
31,2021-04-01,Egypt,MOVE_DOWN,4445.0,104MRaGd2mXgZigqpsMK7o
32,2021-04-01,Egypt,MOVE_DOWN,4400.0,6tDDoYIxWvMLTdKpjFkc1B
33,2021-04-01,Egypt,MOVE_DOWN,4370.0,0kRVLXoBrU3IaKGUknzzJs
34,2021-04-01,Egypt,MOVE_UP,4325.0,0kcmuRtga0TXoKTOcfLRXr
35,2021-04-01,Egypt,MOVE_DOWN,4308.0,2w27LtQBJvauJ6vDw12ecs
36,2021-04-01,Egypt,MOVE_UP,4231.0,4iJyoBOLtHqaGxP12qzhQI
37,2021-04-01,Egypt,MOVE_DOWN,4226.0,7dTgSeAVu9EWJusdCsRyTo
38,2021-04-01,Egypt,MOVE_UP,4003.0,326wv1lze9tMWa8u4XUdaW
39,2021-04-01,Egypt,MOVE_DOWN,3992.0,27az6aDS4zWJ3yRU7gXJVH
40,2021-04-01,Egypt,SAME_POSITION,3908.0,55pEJb85n9e412CJtNugQN
41,2021-04-01,Egypt,MOVE_DOWN,3891.0,5M7EIx94YOdh1uH0qlzxuK
42,2021-04-01,Egypt,MOVE_UP,3865.0,27ErCu5vx463lPyabA87oi
