rank,trend,streams,track_id
1,SAME_POSITION,26207.0,4MzXwWMhyBbmu6hOcLVD49
2,SAME_POSITION,23118.0,1xK1Gg9SxG8fy2Ya373oqb
3,SAME_POSITION,20298.0,7vrJn5hDSXRmdXoR30KgF1
4,MOVE_UP,17436.0,2XIc1pqjXV3Cr2BQUGNBck
5,MOVE_DOWN,16870.0,4loQgPwJHocL3dFwLfjb1J
6,SAME_POSITION,15497.0,3VvA1wSxukMLsvXoXtlwWx
7,SAME_POSITION,12671.0,5RubKOuDoPn5Kj5TLVxSxY
8,SAME_POSITION,12555.0,1yoMvmasuxZfqHEipJhRbp
9,SAME_POSITION,12329.0,7ndTONDDRFGiPnnhOzOXxq
10,SAME_POSITION,11367.0,15OjBeqNX3bShsGYQbteRv
11,MOVE_UP,11207.0,26w9NTiE9NGjW1ZvIOd1So
12,SAME_POSITION,10966.0,7BIy3EGQhg98CsRdKYHnJC
13,MOVE_DOWN,10908.0,21N4Buj4xsyLb218lYle61
14,MOVE_DOWN,10651.0,4PEfJZpVjdclfzZ9XO8uDw
15,SAME_POSITION,10067.0,2bgcUk2A3jjKbCJ7KPquTi
16,MOVE_DOWN,9605.0,4HYDUMY0xSpeBr0AMY9cUz
17,MOVE_DOWN,9430.0,5y7DaS3jAc9eZzcSOoUIwU
18,MOVE_UP,9390.0,3GtnId3Cm1Xa6joCj08nzW
19,MOVE_DOWN,9378.0,35UUpTmrcFXNIVIN26ujXl
20,MOVE_UP,8375.0,7x4ASXYEKfQBCewcZhK776
21,MOVE_DOWN,8319.0,11EnQRgRMJwMAesfkB5pnu
22,MOVE_UP,8221.0,6bvfJf4KjonPMuPfGfy3S2
23,MOVE_DOWN,8097.0,4RJz8NfIe09gpKMiRUWKhJ
24,SAME_POSITION,7905.0,7D7EH7MGyNHWSkqrszerI1
25,SAME_POSITION,7860.0,68mrW6gXHgupgSiDHgaDi5
26,SAME_POSITION,7856.0,2mM3gZ0BbPwPPMelbA8vgt
27,SAME_POSITION,7855.0,6fmQjRuo7XvRFCK2qex5hQ
28,MOVE_UP,7838.0,0EhpEsp4L0oRGM0vmeaN5e
29,MOVE_DOWN,7697.0,0D75ciM842cdUMKSMfAR9y
30,SAME_POSITION,7614.0,73O30uMI7n6DuzBmbtO7kC
31,MOVE_UP,7386.0,26QApq0cuO9brJigr0C0W4
32,MOVE_DOWN,7334.0,73nAK3HgQK8dak83Y2WQ8F
33,MOVE_UP,7232.0,7lPN2DXiMsVn7XUKtOW1CS
34,MOVE_DOWN,6845.0,4G3PTss3mU33Tau7t4KbwE
35,SAME_POSITION,6519.0,0JAZWvvqttGFm4UMDsPQXC
36,MOVE_UP,6430.0,0VjIjW4GlUZAMYd2vXMi3b
37,MOVE_DOWN,6411.0,2tFwfmceQa1Y6nRPhYbEtC
38,MOVE_DOWN,6368.0,41BzKiCrKpUQHS3TP0jmdr
39,SAME_POSITION,6281.0,7LE1K0lZyRFZjSlrnm7lfD
40,SAME_POSITION,6051.0,0fea68AdmYNygeTGI4RC18
41,SAME_POSITION,6020.0,5Jm4w8jmPEBTLjI9vH4fXo
42,MOVE_UP,5737.0,1cVlW9WQiGlFdWUXFdFZGh
43,MOVE_UP,5639.0,4R8BJggjosTswLxtkw8V7P
44,MOVE_DOWN,5490.0,16ONd70tvWAaLIc6hcLzaG
45,SAME_POSITION,5232.0,69vlMrzHwATKzupwNcUPyK
46,MOVE_UP,5126.0,34LI7rwi9H8w2S5KTHnv1M
47,MOVE_DOWN,5096.0,4jcxBTrNvyqMJdMDyyjdYV
48,MOVE_UP,4918.0,5stPVcRqb4qixbafP9e8lt
49,MOVE_UP,4893.0,41wtwzCZkXwpnakmwJ239F
50,MOVE_DOWN,4831.0,7k4t7uLgtOxPwTpFmtJNTY
51,MOVE_UP,4831.0,2n7ohqg1s68ToAHh4u9mcW
52,SAME_POSITION,4794.0,57Ba26w9eoXx8BBUNgRNLV
53,SAME_POSITION,4766.0,4C6BlqqMwjFzOXzqpTeoWR
54,MOVE_UP,4690.0,78SeXVRJ7KCqVmOwTiFjnI
55,MOVE_UP,4638.0,22Sh5dlwbERqJAq1fZk5b2
56,MOVE_UP,4634.0,35wvL50xvKpCHEJPxLOLPI
