rank,date,region,trend,streams,track_id
1,2021-09-01,El Salvador,SAME_POSITION,24487.0,2JPLbjOn0wPCngEot2STUS
2,2021-09-01,El Salvador,SAME_POSITION,20041.0,2vmfvSoZBFAt9hhRoEByLi
3,2021-09-01,El Salvador,SAME_POSITION,18242.0,5fwSHlTEWpluwOM0Sxnh5k
4,2021-09-01,El Salvador,SAME_POSITION,17603.0,5RwV8BvLfX5injfqYodke9
5,2021-09-01,El Salvador,SAME_POSITION,17174.0,05bfbizlM5AX6Mf1RRyMho
6,2021-09-01,El Salvador,SAME_POSITION,15047.0,6hf0RpxTbOprT5nnwzkk8e
7,2021-09-01,El Salvador,SAME_POSITION,14745.0,0G2zPzWqVjR68iNPmx2TBe
8,2021-09-01,El Salvador,SAME_POSITION,14087.0,5PjdY0CKGZdEuoNab3yDmX
9,2021-09-01,El Salvador,SAME_POSITION,13586.0,4HzqWEdAbzcVFDv0pvxV4w
10,2021-09-01,El Salvador,SAME_POSITION,13093.0,4bF2y8rR7GUjrd5LNEvej3
11,2021-09-01,El Salvador,MOVE_UP,12555.0,27RSJHEA99Y0Vsow7nA37A
12,2021-09-01,El Salvador,MOVE_DOWN,12517.0,4MzXwWMhyBbmu6hOcLVD49
13,2021-09-01,El Salvador,SAME_POSITION,12088.0,6w8yBI2vthyN9UnwO4UBWb
14,2021-09-01,El Salvador,SAME_POSITION,11478.0,2rCbl9naJYhaxjLsfx88uM
15,2021-09-01,El Salvador,SAME_POSITION,10403.0,2MnLkFqY9Rpg9s3Zv6ZJdK
16,2021-09-01,El Salvador,SAME_POSITION,10204.0,0cOa970mzTWAxKtltpkpLc
17,2021-09-01,El Salvador,SAME_POSITION,10186.0,5jzEwSyyymBlf1fa1o39T2
18,2021-09-01,El Salvador,SAME_POSITION,9872.0,1WedZeiezCmCEOzLwhx0hV
19,2021-09-01,El Salvador,SAME_POSITION,9450.0,0eu4C55hL6x29mmeAjytzC
20,2021-09-01,El Salvador,MOVE_UP,9093.0,1xK1Gg9SxG8fy2Ya373oqb
21,2021-09-01,El Salvador,MOVE_DOWN,9022.0,7Bk0uXKk1uPT0XuQbpFzvs
22,2021-09-01,El Salvador,MOVE_UP,8990.0,0PwFN7vRvY80Hnkoew2x3f
23,2021-09-01,El Salvador,MOVE_DOWN,8906.0,2FSGUA0gFgGeQdprjtGM2M
24,2021-09-01,El Salvador,SAME_POSITION,8608.0,4HYDUMY0xSpeBr0AMY9cUz
25,2021-09-01,El Salvador,SAME_POSITION,8419.0,4OwhwvKESFtuu06dTgct7i
26,2021-09-01,El Salvador,SAME_POSITION,8162.0,43qcs9NpJhDxtG91zxFkj7
27,2021-09-01,El Salvador,MOVE_UP,7868.0,3PwRuzdphgedcWVUOVYJ7I
28,2021-09-01,El Salvador,MOVE_DOWN,7825.0,2XIc1pqjXV3Cr2BQUGNBck
29,2021-09-01,El Salvador,MOVE_DOWN,7620.0,63aj87TQG6F3RVO5nbG2VQ
30,2021-09-01,El Salvador,SAME_POSITION,7327.0,0fea68AdmYNygeTGI4RC18
31,2021-09-01,El Salvador,SAME_POSITION,7311.0,6o4Gciys1ZIOQ2kDGnvKdm
32,2021-09-01,El Salvador,MOVE_UP,7163.0,4r9jkMEnArtWGH2rL2FZl0
33,2021-09-01,El Salvador,MOVE_DOWN,7102.0,5u7twkeask1VIyDeNTElSU
34,2021-09-01,El Salvador,MOVE_UP,6858.0,5y7DaS3jAc9eZzcSOoUIwU
35,2021-09-01,El Salvador,MOVE_DOWN,6635.0,5RubKOuDoPn5Kj5TLVxSxY
36,2021-09-01,El Salvador,SAME_POSITION,6497.0,3Wrjm47oTz2sjIgck11l5e
37,2021-09-01,El Salvador,MOVE_UP,6450.0,27NovPIUIRrOZoCHxABJwK
38,2021-09-01,El Salvador,MOVE_DOWN,6205.0,1yoMvmasuxZfqHEipJhRbp
39,2021-09-01,El Salvador,MOVE_DOWN,6128.0,4loQgPwJHocL3dFwLfjb1J
40,2021-09-01,El Salvador,MOVE_UP,6048.0,4R8BJggjosTswLxtkw8V7P
41,2021-09-01,El Salvador,MOVE_UP,6013.0,3Vi5XqYrmQgOYBajMWSvCi
42,2021-09-01,El Salvador,MOVE_DOWN,6007.0,2dNhNlpZAtV4lwAFW45LIv
43,2021-09-01,El Salvador,SAME_POSITION,5924.0,3DarAbFujv6eYNliUTyqtz
44,2021-09-01,El Salvador,MOVE_UP,5888.0,3JR0ducCexKbeK47g6AHm5
45,2021-09-01,El Salvador,MOVE_DOWN,5860.0,2tFwfmceQa1Y6nRPhYbEtC
46,2021-09-01,El Salvador,MOVE_DOWN,5855.0,6Uj1ctrBOjOas8xZXGqKk4
47,2021-09-01,El Salvador,SAME_POSITION,5596.0,0EhpEsp4L0oRGM0vmeaN5e
48,2021-09-01,El Salvador,MOVE_DOWN,5561.0,35wvL50xvKpCHEJPxLOLPI
49,2021-09-01,El Salvador,MOVE_UP,5358.0,2bgTY4UwhfBYhGT4HUYStN
50,2021-09-01,El Salvador,MOVE_DOWN,5253.0,2n7ohqg1s68ToAHh4u9mcW
51,2021-09-01,El Salvador,SAME_POSITION,4843.0,21N4Buj4xsyLb218lYle61
52,2021-09-01,El Salvador,MOVE_UP,4781.0,0giiXonRhODYy4J1iy4Lb3
53,2021-09-01,El Salvador,MOVE_DOWN,4699.0,2TH65lNHgvLxCKXM3apjxI
54,2021-09-01,El Salvador,MOVE_DOWN,4605.0,69vlMrzHwATKzupwNcUPyK
55,2021-09-01,El Salvador,MOVE_UP,4598.0,6Et5KimMg3IXwD6lJPGmQw
56,2021-09-01,El Salvador,MOVE_DOWN,4585.0,41wtwzCZkXwpnakmwJ239F
57,2021-09-01,El Salvador,MOVE_UP,4566.0,66S2z95FN3nUAr9S1gUIsp
58,2021-09-01,El Salvador,MOVE_DOWN,4478.0,16ONd70tvWAaLIc6hcLzaG
59,2021-09-01,El Salvador,MOVE_UP,4455.0,59L8x0xy8njj75vzVCPMqg
60,2021-09-01,El Salvador,MOVE_DOWN,4451.0,0aZnyTWJNgdzYoOiaW8HKG
61,2021-09-01,El Salvador,MOVE_UP,4440.0,5J7teKIJGtqVypgYI6sqXj
62,2021-09-01,El Salvador,MOVE_UP,4342.0,5eXBXreN3d1zdj6Sa8dS0u
63,2021-09-01,El Salvador,MOVE_UP,4335.0,6b2HYgqcK9mvktt4GxAu72
64,2021-09-01,El Salvador,MOVE_UP,4283.0,67BtfxlNbhBmCDR2L2l8qd
65,2021-09-01,El Salvador,MOVE_DOWN,4243.0,4DHDIdeayp8xvlyg22wREO
66,2021-09-01,El Salvador,MOVE_DOWN,4221.0,2f0Ft2XdvNSMSY5TUlZgEz
67,2021-09-01,El Salvador,MOVE_DOWN,4165.0,4iJyoBOLtHqaGxP12qzhQI
68,2021-09-01,El Salvador,MOVE_DOWN,4153.0,1WvrDdouh6C51In1SdATbq
69,2021-09-01,El Salvador,MOVE_UP,4143.0,4PEfJZpVjdclfzZ9XO8uDw
70,2021-09-01,El Salvador,MOVE_DOWN,4136.0,4ZtFanR9U6ndgddUvNcjcG
71,2021-09-01,El Salvador,MOVE_UP,3997.0,5RAIMjdrCEjpjaR5tBATXU
72,2021-09-01,El Salvador,MOVE_UP,3984.0,5CZ40GBx1sQ9agT82CLQCT
73,2021-09-01,El Salvador,MOVE_UP,3926.0,26QApq0cuO9brJigr0C0W4
74,2021-09-01,El Salvador,MOVE_DOWN,3923.0,3VvA1wSxukMLsvXoXtlwWx
75,2021-09-01,El Salvador,MOVE_UP,3827.0,0bI7K9Becu2dtXK1Q3cZNB
76,2021-09-01,El Salvador,MOVE_UP,3816.0,6ifUES3keWjwXgae8pXI3o
77,2021-09-01,El Salvador,MOVE_UP,3808.0,0VjIjW4GlUZAMYd2vXMi3b
78,2021-09-01,El Salvador,SAME_POSITION,3765.0,3HgvO4B5LLmdPOT2d8cSZd
79,2021-09-01,El Salvador,MOVE_DOWN,3748.0,0EtuSDTRJYUwlPf4y6coIz
80,2021-09-01,El Salvador,MOVE_UP,3738.0,6tDDoYIxWvMLTdKpjFkc1B
81,2021-09-01,El Salvador,MOVE_DOWN,3735.0,5VzNsUnLmYcRfRfxpQsusa
82,2021-09-01,El Salvador,MOVE_UP,3707.0,47ZS1OjnJpJVfGN9yHXfMn
83,2021-09-01,El Salvador,MOVE_UP,3682.0,3PfIrDoz19wz7qK7tYeu62
84,2021-09-01,El Salvador,MOVE_DOWN,3630.0,15OjBeqNX3bShsGYQbteRv
