rank,trend,streams,track_id
1,SAME_POSITION,6212.0,7wGoVu4Dady5GV0Sv4UIsx
2,SAME_POSITION,3328.0,0ofbQMrRDsUaVKq2mGLEAb
3,SAME_POSITION,3279.0,7EmGUiUaOSGDnUUQUDrOXC
4,MOVE_UP,3167.0,1mXVgsBdtIVeCLJnSnmtdV
5,MOVE_DOWN,3074.0,1j4kHkkpqZRBwE0A4CN4Yv
6,SAME_POSITION,2712.0,7vGuf3Y35N4wmASOKLUVVU
7,SAME_POSITION,2566.0,0Zbbxnx4SGGHoIow4PpISP
8,MOVE_UP,2478.0,2ekn2ttSfGqwhhate0LSR0
9,MOVE_DOWN,2444.0,04JL2liXXV9B9coeGuUsPw
10,MOVE_DOWN,2394.0,6QgjcU0zLnzq5OrUoSZ3OK
11,MOVE_UP,2102.0,5tz69p7tJuGPeMGwNTxYuV
12,MOVE_UP,2076.0,6mrKP2jyIQmM0rw6fQryjr
13,MOVE_UP,2073.0,43ZyHQITOjhciSUUNPVRHc
14,MOVE_DOWN,2022.0,0tgVpDi06FyKpA1z0VMD4v
15,SAME_POSITION,2021.0,75ZvA4QfFiZvzhj2xkaWAh
16,MOVE_UP,1815.0,3PEgB3fkiojxms35ntsTgs
17,MOVE_DOWN,1755.0,2OALaHcDdKkjYEpAr0Qzab
18,MOVE_UP,1730.0,3B54sVLJ402zGa6Xm4YGNe
19,NEW_ENTRY,1660.0,7DsX5K72fewVGb47qj7Tbg
20,MOVE_DOWN,1649.0,5AEtlRudpgdT5FtNiuly6Y
21,MOVE_DOWN,1636.0,32DGGj6KlNuBr6WaqRxpxi
22,MOVE_UP,1528.0,2xmrfQpmS2iJExTlklLoAL
23,MOVE_DOWN,1516.0,0CokSRCu5hZgPxcZBaEzVE
24,NEW_ENTRY,1501.0,2mb6YdoavL6db22p7XKJQZ
25,SAME_POSITION,1482.0,0tKcYR2II1VCQWT79i5NrW
26,MOVE_UP,1481.0,7GX5flRQZVHRAGd6B4TmDO
