rank,date,region,trend,streams,track_id
1,2017-12-01,Estonia,SAME_POSITION,5461.0,7wGoVu4Dady5GV0Sv4UIsx
2,2017-12-01,Estonia,NEW_ENTRY,3815.0,1bhUWB0zJMIKr9yVPrkEuI
3,2017-12-01,Estonia,MOVE_DOWN,2895.0,7EmGUiUaOSGDnUUQUDrOXC
4,2017-12-01,Estonia,MOVE_DOWN,2793.0,6mrKP2jyIQmM0rw6fQryjr
5,2017-12-01,Estonia,MOVE_DOWN,2623.0,7vGuf3Y35N4wmASOKLUVVU
6,2017-12-01,Estonia,MOVE_UP,2425.0,0bYg9bo50gSsH3LtXe2SQn
7,2017-12-01,Estonia,MOVE_DOWN,2297.0,0ofbQMrRDsUaVKq2mGLEAb
8,2017-12-01,Estonia,MOVE_DOWN,2281.0,1j4kHkkpqZRBwE0A4CN4Yv
9,2017-12-01,Estonia,SAME_POSITION,2212.0,3hBBKuWJfxlIlnd9QFoC8k
10,2017-12-01,Estonia,NEW_ENTRY,2200.0,0OlnLZY4cmQzT6ZGttvWBM
11,2017-12-01,Estonia,SAME_POSITION,2136.0,43ZyHQITOjhciSUUNPVRHc
12,2017-12-01,Estonia,MOVE_UP,2115.0,42CeaId2XNlxugDvyqHfDf
13,2017-12-01,Estonia,MOVE_DOWN,2080.0,0tgVpDi06FyKpA1z0VMD4v
14,2017-12-01,Estonia,MOVE_DOWN,2056.0,2ekn2ttSfGqwhhate0LSR0
15,2017-12-01,Estonia,MOVE_DOWN,2026.0,0Zbbxnx4SGGHoIow4PpISP
16,2017-12-01,Estonia,MOVE_DOWN,1974.0,75ZvA4QfFiZvzhj2xkaWAh
17,2017-12-01,Estonia,MOVE_DOWN,1884.0,1mXVgsBdtIVeCLJnSnmtdV
18,2017-12-01,Estonia,MOVE_UP,1744.0,2FRnf9qhLbvw8fu4IBXx78
19,2017-12-01,Estonia,MOVE_UP,1738.0,2xmrfQpmS2iJExTlklLoAL
20,2017-12-01,Estonia,MOVE_DOWN,1724.0,1zsG4eaZmkA1dvjDDsAGLK
21,2017-12-01,Estonia,MOVE_DOWN,1665.0,5tz69p7tJuGPeMGwNTxYuV
22,2017-12-01,Estonia,NEW_ENTRY,1663.0,3YU6vJbjYUG0tiJyXf9x5V
23,2017-12-01,Estonia,MOVE_DOWN,1659.0,5yFSF6qQA1rcLsQRnBsZgb
24,2017-12-01,Estonia,MOVE_UP,1584.0,7iDa6hUg2VgEL1o1HjmfBn
25,2017-12-01,Estonia,MOVE_DOWN,1574.0,5AEtlRudpgdT5FtNiuly6Y
26,2017-12-01,Estonia,MOVE_DOWN,1562.0,2OALaHcDdKkjYEpAr0Qzab
27,2017-12-01,Estonia,MOVE_DOWN,1545.0,32DGGj6KlNuBr6WaqRxpxi
28,2017-12-01,Estonia,MOVE_DOWN,1510.0,7EI6Iki24tBHAMxtb4xQN2
29,2017-12-01,Estonia,MOVE_DOWN,1488.0,6QgjcU0zLnzq5OrUoSZ3OK
30,2017-12-01,Estonia,MOVE_DOWN,1455.0,3a1lNhkSLSkpJE4MSHpDu9
31,2017-12-01,Estonia,MOVE_UP,1451.0,13yU3vcrJegnuFUHDMskpq
32,2017-12-01,Estonia,MOVE_DOWN,1446.0,3PEgB3fkiojxms35ntsTgs
33,2017-12-01,Estonia,MOVE_DOWN,1415.0,3B54sVLJ402zGa6Xm4YGNe
34,2017-12-01,Estonia,MOVE_DOWN,1411.0,7GX5flRQZVHRAGd6B4TmDO
35,2017-12-01,Estonia,SAME_POSITION,1398.0,6NWl2m8asvH83xjuXVNsuG
36,2017-12-01,Estonia,MOVE_DOWN,1370.0,5Z3GHaZ6ec9bsiI5BenrbY
37,2017-12-01,Estonia,SAME_POSITION,1360.0,2Xqd0wUttjueBfdcltADOv
38,2017-12-01,Estonia,MOVE_DOWN,1332.0,2fQrGHiQOvpL9UgPvtYy6G
39,2017-12-01,Estonia,SAME_POSITION,1295.0,5yuShbu70mtHXY0yLzCQLQ
40,2017-12-01,Estonia,MOVE_DOWN,1269.0,1wjzFQodRWrPcQ0AnYnvQ9
41,2017-12-01,Estonia,NEW_ENTRY,1266.0,0OI7AFifLSoGzpb8bdBLLV
42,2017-12-01,Estonia,NEW_ENTRY,1253.0,3zxrecYFao03IrrcyFiaMU
43,2017-12-01,Estonia,MOVE_DOWN,1248.0,0tKcYR2II1VCQWT79i5NrW
44,2017-12-01,Estonia,NEW_ENTRY,1204.0,5hslUAKq9I9CG2bAulFkHN
45,2017-12-01,Estonia,NEW_ENTRY,1180.0,3T7dNA7O8c3Axj5WyDNcH3
46,2017-12-01,Estonia,MOVE_DOWN,1168.0,7qiZfU4dY1lWllzX7mPBI3
47,2017-12-01,Estonia,NEW_ENTRY,1165.0,1Qg9jWGDkKAGZXj5v2OG59
48,2017-12-01,Estonia,MOVE_DOWN,1143.0,6sn8WaooLLVhQvU96wtEAm
49,2017-12-01,Estonia,NEW_ENTRY,1119.0,2nUJvBO87SkxCViQsLc9Zr
50,2017-12-01,Estonia,NEW_ENTRY,1113.0,7inXu0Eaeg02VsM8kHNvzM
51,2017-12-01,Estonia,MOVE_DOWN,1078.0,22fRl49GSpRdu3J2EPj1i6
52,2017-12-01,Estonia,NEW_ENTRY,1060.0,2z4pcBLQXF2BXKFvd0BuB6
53,2017-12-01,Estonia,NEW_ENTRY,1059.0,5b2QnYcT9rQIkhRWt4HztQ
54,2017-12-01,Estonia,NEW_ENTRY,1053.0,0lLdorYw7lVrJydTINhWdI
55,2017-12-01,Estonia,MOVE_DOWN,1043.0,7m9OqQk4RVRkw9JJdeAw96
56,2017-12-01,Estonia,NEW_ENTRY,1042.0,68m6iwhKElLTBaGRG1LLwE
