rank,date,region,trend,streams,track_id
1,2017-07-01,Finland,SAME_POSITION,82495.0,5CtI0qwDJkDQGwXD1H1cLb
2,2017-07-01,Finland,SAME_POSITION,79712.0,5fB7KNzDNtTLWAa6D2zcBJ
3,2017-07-01,Finland,SAME_POSITION,78151.0,7CI9dousrqQ0uf4DSbaaEF
4,2017-07-01,Finland,SAME_POSITION,65226.0,3A7qX2QjDlPnazUsRk5y0M
5,2017-07-01,Finland,SAME_POSITION,63681.0,4q8PHoRsPUB52LFylX8Ulz
6,2017-07-01,Finland,MOVE_UP,61155.0,3nSiEJPNSH86D7JTFsyyly
7,2017-07-01,Finland,MOVE_DOWN,60728.0,5OFJyq8UpmRbU6fE3inXfg
8,2017-07-01,Finland,MOVE_DOWN,60338.0,3coYPmuUrK9Yr6kqsMSr7H
9,2017-07-01,Finland,MOVE_UP,58220.0,5WytJMdICvcrJF6JY0W4pl
10,2017-07-01,Finland,MOVE_DOWN,57044.0,1OAh8uOEOvTDqkKFsKksCi
11,2017-07-01,Finland,SAME_POSITION,54736.0,7MddwdpQ7sh3Pi1xHUSr4K
12,2017-07-01,Finland,SAME_POSITION,54341.0,64ccWAY1LFSlXoXsn9oNHO
13,2017-07-01,Finland,MOVE_UP,52712.0,3GPI7hYiqD6enLRobhkBm8
14,2017-07-01,Finland,SAME_POSITION,51892.0,5fMQc6FZhqvt0gtR7l7jiy
15,2017-07-01,Finland,MOVE_UP,51410.0,5bcTCxgc7xVfSaMV3RuVke
16,2017-07-01,Finland,MOVE_UP,48052.0,1PZNjZOmm3ZmaWkqvmJpaY
17,2017-07-01,Finland,MOVE_UP,47163.0,3bWAqKDWg6u1davspr5IkS
18,2017-07-01,Finland,MOVE_DOWN,46340.0,6C4Ln9FcD2GXQ8QSUQpncZ
19,2017-07-01,Finland,SAME_POSITION,44714.0,1hUMr8Hvok7DdjbISWR07r
20,2017-07-01,Finland,MOVE_UP,42242.0,4xlrALxuaCf9yZBHJeTSG6
21,2017-07-01,Finland,MOVE_UP,41687.0,4zOq1k6bo7pHOW2DSFh4xw
22,2017-07-01,Finland,MOVE_DOWN,40655.0,3btQ3ZyrZc6iZ8q31gmLu4
23,2017-07-01,Finland,SAME_POSITION,40087.0,6EpRaXYhGOB3fj4V2uDkMJ
24,2017-07-01,Finland,MOVE_UP,39032.0,1jFYy4KngiDNpG5yw6cOQA
25,2017-07-01,Finland,MOVE_DOWN,36954.0,0UMaKcS7dY70v8uupjIdaq
26,2017-07-01,Finland,MOVE_UP,36679.0,2kVHAQKVtczchKctctzbtK
27,2017-07-01,Finland,MOVE_DOWN,35612.0,4iLqG9SeJSnt0cSPICSjxv
28,2017-07-01,Finland,SAME_POSITION,35366.0,77PIgzFwxUg5F8eqRnccQZ
29,2017-07-01,Finland,SAME_POSITION,35326.0,4waYSI6TTW0guhTJc4gWzq
30,2017-07-01,Finland,MOVE_UP,35040.0,5DOP9l0x4NvCIsS1tOGrre
31,2017-07-01,Finland,MOVE_DOWN,34234.0,0tKcYR2II1VCQWT79i5NrW
32,2017-07-01,Finland,MOVE_UP,33130.0,2zWVKlOfppLl96FpttaPrK
33,2017-07-01,Finland,MOVE_UP,32608.0,7qiZfU4dY1lWllzX7mPBI3
34,2017-07-01,Finland,MOVE_DOWN,32275.0,1QKbpfbXQP1NY4xy6wpxJA
35,2017-07-01,Finland,SAME_POSITION,31627.0,3DXncPQOG4VBw3QHh3S817
36,2017-07-01,Finland,SAME_POSITION,31458.0,3Ytr1SUCUi6J3L9dRFx5iH
37,2017-07-01,Finland,SAME_POSITION,30843.0,6jA8HL9i4QGzsj6fjoxp8Y
38,2017-07-01,Finland,MOVE_UP,30046.0,5dwxmp5425KCrP32Ys6U1a
39,2017-07-01,Finland,MOVE_UP,30014.0,1vxdzyxjDxLTPxZKk4jp13
40,2017-07-01,Finland,MOVE_DOWN,29961.0,1F2HXIJrE2Xn81OzT2zZvW
41,2017-07-01,Finland,MOVE_UP,29376.0,4aWmUDTfIPGksMNLV2rQP2
