rank,date,region,trend,streams,track_id
1,2019-12-01,France,SAME_POSITION,656297.0,4TnFANpjVwVKWzkxNzIyFH
2,2019-12-01,France,MOVE_UP,287217.0,1SVuEeerYIwjCRsF5MGzX3
3,2019-12-01,France,MOVE_DOWN,285434.0,1rgnBhdG2JDFTbYkYRZAku
4,2019-12-01,France,SAME_POSITION,271355.0,18HNGxDOcshRU2Hdu8tMOM
5,2019-12-01,France,SAME_POSITION,195465.0,7rBP4bLjMLNkix1nGHjheP
6,2019-12-01,France,MOVE_UP,182616.0,5Oh8sPyFYM4gAR3KmmDH7I
7,2019-12-01,France,MOVE_DOWN,179734.0,1bWafkUCOp6luXRs1cm3w9
8,2019-12-01,France,SAME_POSITION,177982.0,0GN6DWiR9Pf2su3vJF5c0x
9,2019-12-01,France,SAME_POSITION,166708.0,47LFcy7prvEY5D08d26zOo
10,2019-12-01,France,SAME_POSITION,161791.0,47yhjEwyOgNPPLHLL8OGLV
11,2019-12-01,France,MOVE_UP,159344.0,4ZuuPLV4qYiznagLAFPHcW
12,2019-12-01,France,MOVE_UP,154583.0,30kxl4FnaEFS2qZkec3Zak
13,2019-12-01,France,MOVE_UP,148980.0,24UpsIBzHloZfiimVLUUFx
14,2019-12-01,France,MOVE_DOWN,147480.0,4e2q9avvbOM0yjPKE2X0ea
15,2019-12-01,France,MOVE_UP,144389.0,5HQw9ij3dkr7ZJYUYe82ho
16,2019-12-01,France,MOVE_DOWN,141827.0,424TSKJiIaMkTNmG5uRi85
17,2019-12-01,France,MOVE_DOWN,141653.0,6zc8CRXBNH4vwzmCEDOjkO
18,2019-12-01,France,MOVE_DOWN,140205.0,6FcipTcY8VIJsWhMo7bbsY
19,2019-12-01,France,SAME_POSITION,136888.0,2b8fOow8UzyDFAE27YhOZM
20,2019-12-01,France,SAME_POSITION,134478.0,5eFzibilHIMCdcQgtkHw1F
21,2019-12-01,France,MOVE_UP,130927.0,1R08aR16OkyUIEISNPj8vA
22,2019-12-01,France,MOVE_UP,125241.0,7FF6HRsQlc0CtfAbLmrEGX
23,2019-12-01,France,MOVE_DOWN,122245.0,0WOy0qsl5SFav0JRTXEmYj
24,2019-12-01,France,MOVE_UP,120940.0,0MtMUDO6tzHq1ux9rwSJhl
25,2019-12-01,France,MOVE_UP,119513.0,1iQDltZqI7BXnHrFy4Qo1k
26,2019-12-01,France,MOVE_DOWN,117641.0,5CTYsp5rMtReLkIBMYYXg8
27,2019-12-01,France,SAME_POSITION,116032.0,430efk5Jc5wGay4EWP4snS
28,2019-12-01,France,MOVE_UP,115017.0,2PYXOG6GdxF9sUIH2NfOAD
29,2019-12-01,France,MOVE_DOWN,114114.0,6CfGQzfXt10xyTt6QYKueh
30,2019-12-01,France,MOVE_UP,110057.0,3ebaeB2BdCEgZmwKv7p2r5
31,2019-12-01,France,MOVE_DOWN,109092.0,6cy3ki60hLwimwIje7tALf
32,2019-12-01,France,MOVE_UP,107714.0,5yYfCoMrhcuxMP9CAmA2rU
33,2019-12-01,France,MOVE_DOWN,107666.0,2vMfUIiaC26nUzfmRElv50
34,2019-12-01,France,MOVE_UP,107221.0,4NcZKLjdfTJLpaCOspAjQn
35,2019-12-01,France,MOVE_UP,104037.0,3Aq1SJ1hWlfazx8IIC6u1D
36,2019-12-01,France,MOVE_UP,103221.0,0Jh6iWjna1wk5le0Ahn7No
37,2019-12-01,France,MOVE_DOWN,101910.0,2tnVG71enUj33Ic2nFN6kZ
38,2019-12-01,France,MOVE_DOWN,101753.0,0zn7xAOp3EeemT2JwPtJW4
39,2019-12-01,France,MOVE_DOWN,98432.0,3iHZjj0VbqCP9NtmwiTIFS
40,2019-12-01,France,MOVE_DOWN,97731.0,4QFTphjQvxptMVSFxreHkl
41,2019-12-01,France,SAME_POSITION,97714.0,3WzUkExW8H0tWRnP1akU0m
42,2019-12-01,France,MOVE_DOWN,96748.0,7caqk7n1MxykH9QKOktha6
43,2019-12-01,France,MOVE_DOWN,96105.0,1G2CAJeP7rCwOZjlSJ0Zw3
44,2019-12-01,France,MOVE_UP,94302.0,3IWs9dAwTqN0EFhOIcBDfs
45,2019-12-01,France,MOVE_UP,93583.0,1XOFJ0SlG6Ky8ClUrNR7yI
46,2019-12-01,France,MOVE_UP,93277.0,6lZbLMHu98qpkOY0t3efUK
