rank,trend,streams,track_id
1,SAME_POSITION,329291.0,1bwhDrXcAtqePp8mNJ0pTe
2,SAME_POSITION,314893.0,03y045SZqaC94yfXl1cU4E
3,SAME_POSITION,291145.0,4IbDTrLxImTJfZePAX2nKB
4,SAME_POSITION,240296.0,27Z3UdqvdAhtJlWBMoDjBD
5,SAME_POSITION,220788.0,3Wrjm47oTz2sjIgck11l5e
6,SAME_POSITION,197419.0,0xfMlIW8lS40qvpsUw1l0X
7,SAME_POSITION,189377.0,14M6BbiHt2w9KHVvoIUIUF
8,SAME_POSITION,184541.0,67BtfxlNbhBmCDR2L2l8qd
9,SAME_POSITION,182177.0,6PQ88X9TkUIAUIZJHW2upE
10,MOVE_UP,181403.0,27NovPIUIRrOZoCHxABJwK
11,SAME_POSITION,175039.0,5zaiTkMn6VsJDJIOtxVa0b
12,MOVE_DOWN,170915.0,70jyIxNr3R5k3bofVYX9GS
13,MOVE_DOWN,163937.0,2vd2HEhrkafOi2uveHjzzh
14,SAME_POSITION,162007.0,2Dv1CPIgX29t816ZLscdB2
15,MOVE_UP,152478.0,5SYovWMQq0vPKMg7kzYCVy
16,MOVE_DOWN,151768.0,6EQR7Y5vVZFiPD0RUECIDv
17,SAME_POSITION,144241.0,1ZSdPeVhNy8VuSiXM3pXhv
18,SAME_POSITION,139638.0,6OufwUcCqo81guU2jAlDVP
19,SAME_POSITION,130336.0,0Ae5IeIdyaIzp43cdXXtZc
20,MOVE_UP,129357.0,5PjdY0CKGZdEuoNab3yDmX
21,MOVE_DOWN,125240.0,3M89zvwwb1jtDUDKYNsdiA
22,MOVE_DOWN,123847.0,717QGTmZdkemDaCo1vQHG0
23,MOVE_UP,123614.0,6Vcxzw4ifKqYxVrp3ckpVF
24,MOVE_DOWN,122403.0,360oH1CqXe9XXzbbi6hvyr
25,MOVE_UP,119502.0,4QoZVMhE66MDCd0igG0hd6
26,MOVE_DOWN,119189.0,7MC4XR9M9amdmKQr2iDF7i
27,MOVE_UP,112790.0,3DarAbFujv6eYNliUTyqtz
28,MOVE_DOWN,110685.0,3ieLcaMIyl1Avm7JtHSk0d
29,MOVE_DOWN,108554.0,7FdUvDkaE24o3FPIWTvzv2
30,SAME_POSITION,106398.0,5dQIouH7fnD63c0Nd7muR5
31,SAME_POSITION,106030.0,3ggtU1ZOKO8ZNiqPNyXGcm
32,MOVE_UP,100517.0,11HLDMuPD3wh88XHw4udKO
33,MOVE_UP,99311.0,5qFOdxS3v8Dny9T4p2CUIy
34,MOVE_DOWN,98472.0,6gblTHN7eKFPvm4XxnYhl8
35,MOVE_DOWN,98056.0,3bGGvbwbhq9kIMhHaXBdYL
36,SAME_POSITION,96797.0,2gmTz7pHMqAk6fpOc88qxA
37,MOVE_DOWN,96223.0,6wL9pSXJ4roDSEoBpYyQy7
38,MOVE_UP,95172.0,37BZB0z9T8Xu7U3e65qxFy
39,MOVE_DOWN,93402.0,4cG7HUWYHBV6R6tHn1gxrl
40,MOVE_DOWN,91548.0,5zFglKYiknIxks8geR8rcL
41,MOVE_UP,90142.0,66tNDqYNR2S6Svwgm3BMi9
42,SAME_POSITION,89769.0,5LYRIyhmlrDAQsYdHEvP0f
43,MOVE_DOWN,89177.0,6OYZvwKN8GaauTrJS1TuuH
44,MOVE_UP,87653.0,4iJyoBOLtHqaGxP12qzhQI
45,MOVE_UP,87593.0,0fukO3WYYUHaXOrvEohpEG
46,MOVE_DOWN,86870.0,7qezIDRM0E3WTW1lWxItug
47,MOVE_UP,86847.0,1p9dxTMtG4gZpLp7yzvT54
48,MOVE_DOWN,85365.0,6YYmoV9YbBefsspGmqFHbs
49,MOVE_UP,84404.0,6krr1QQpT7nN8fjLjdWXIC
50,MOVE_DOWN,84232.0,03SEp9sXkAOAgxJtSLuVEi
51,MOVE_UP,81009.0,1VOn2rRxe7JBweoK4SINHe
52,MOVE_DOWN,80876.0,39LLxExYz6ewLAcYrzQQyP
53,MOVE_UP,79377.0,1MPuaRAyMX7WSQZnVa4BXu
54,MOVE_DOWN,78517.0,3IR9wKWxI0TK1DLXvZq8uQ
55,MOVE_DOWN,76891.0,1p1mTphTbXkjqOXpZfAI5l
56,MOVE_UP,76448.0,4ZtFanR9U6ndgddUvNcjcG
57,MOVE_UP,75524.0,4pt5fDVTg5GhEvEtlz9dKk
58,SAME_POSITION,75524.0,0JyX9jNf4mUdp1eNUVAqyR
59,MOVE_DOWN,75249.0,2pPO9YecZimmuVQfIzfV6U
60,MOVE_DOWN,74441.0,731JjfIII1qYfeatc3zhtU
61,MOVE_UP,72129.0,4RVwu0g32PAqgUiJoXsdF8
62,MOVE_DOWN,70195.0,5uEYRdEIh9Bo4fpjDd4Na9
63,MOVE_UP,69857.0,0i5GJckWb9uCZU4jcGoBca
64,MOVE_DOWN,69834.0,4SCbD68sf3dBfaE2X8uDSP
65,MOVE_DOWN,69061.0,0VjIjW4GlUZAMYd2vXMi3b
66,MOVE_DOWN,68924.0,4rPkN1FMzQyFNP9cLUGIIB
67,MOVE_DOWN,67755.0,73oVDoxJHbqOIkZ0C9ir31
68,MOVE_DOWN,67151.0,3F1P0QzdXtBz0MXy7KIO5w
69,MOVE_UP,66031.0,0Jh6iWjna1wk5le0Ahn7No
70,MOVE_UP,65203.0,1TO85DMVoOejzq5YMMWAkl
71,MOVE_DOWN,64357.0,6FvSS3Goz7OC8oCC2eWqe8
72,MOVE_UP,64172.0,5ZjEm81TYFPfE6Ddc0memq
73,MOVE_DOWN,63082.0,7iSEs4lppLZQEPOG4e6BbF
74,MOVE_DOWN,61753.0,3cOIYXOt3tMpeNz9XOmNos
75,MOVE_UP,60394.0,3fdOkTuwYW2nyBi8vIibKc
76,MOVE_DOWN,60093.0,7xFEyavPtivXc8yFqEZJpJ
77,MOVE_UP,59878.0,3J5CNgFBHzS75oYVv9zbDc
78,MOVE_DOWN,59689.0,0b18g3G5spr4ZCkz7Y6Q0Q
79,MOVE_UP,59651.0,5nujrmhLynf4yMoMtj8AQF
80,MOVE_DOWN,57478.0,7HXBG0W8gFJwHUh5mVF9tf
81,MOVE_UP,57356.0,656vbT8JKkVx7g1yG12L89
82,MOVE_DOWN,57233.0,5RwV8BvLfX5injfqYodke9
83,MOVE_DOWN,56967.0,0XwSUpdrF7nR7hVxbDs7mb
84,MOVE_DOWN,56819.0,2N8m6CYs74qQO4mjVcXO30
85,MOVE_DOWN,56065.0,2UbVnbE5FH6008mAm6Mmgw
86,MOVE_DOWN,55865.0,6UelLqGlWMcVH1E5c4H7lY
87,MOVE_DOWN,54481.0,5QO79kh1waicV47BqGRL3g
88,MOVE_UP,53819.0,0PBLRJSxoXpxWRsKjXQw24
89,MOVE_DOWN,53269.0,3lTL4LdFKVF51lseI2nk5D
90,MOVE_UP,53189.0,0UKUfxIkDAMZz7hMdiVX3m
91,MOVE_DOWN,52659.0,3XoflnowYPFRPOh3uFvHcm
92,MOVE_DOWN,51664.0,5cZ6NaDFs0a7ZYfGpaJWEt
93,SAME_POSITION,51315.0,5HerMpAegwiAAFOIXNCxED
