rank,date,region,trend,streams,track_id
1,2017-07-01,Germany,SAME_POSITION,404431.0,5CtI0qwDJkDQGwXD1H1cLb
2,2017-07-01,Germany,MOVE_UP,372507.0,3bWAqKDWg6u1davspr5IkS
3,2017-07-01,Germany,MOVE_DOWN,372236.0,1OAh8uOEOvTDqkKFsKksCi
4,2017-07-01,Germany,MOVE_DOWN,370093.0,0tKcYR2II1VCQWT79i5NrW
5,2017-07-01,Germany,SAME_POSITION,356609.0,4xlrALxuaCf9yZBHJeTSG6
6,2017-07-01,Germany,SAME_POSITION,334779.0,3A7qX2QjDlPnazUsRk5y0M
7,2017-07-01,Germany,SAME_POSITION,313237.0,1F2HXIJrE2Xn81OzT2zZvW
8,2017-07-01,Germany,SAME_POSITION,302649.0,7fUWZUNj5qbEuoL6K9947g
9,2017-07-01,Germany,SAME_POSITION,291834.0,6EpRaXYhGOB3fj4V2uDkMJ
10,2017-07-01,Germany,SAME_POSITION,288921.0,4q8PHoRsPUB52LFylX8Ulz
11,2017-07-01,Germany,MOVE_UP,280322.0,79cuOz3SPQTuFrp8WgftAu
12,2017-07-01,Germany,MOVE_DOWN,280114.0,3DXncPQOG4VBw3QHh3S817
13,2017-07-01,Germany,SAME_POSITION,259634.0,4iLqG9SeJSnt0cSPICSjxv
14,2017-07-01,Germany,MOVE_UP,246942.0,1NDxZ7cFAo481dtYWdrUnR
15,2017-07-01,Germany,MOVE_UP,241625.0,1sBhJGPUKrdRycgKxve70v
16,2017-07-01,Germany,MOVE_UP,235893.0,7qiZfU4dY1lWllzX7mPBI3
17,2017-07-01,Germany,MOVE_DOWN,229347.0,5caMCe2gq8y72GVUEQEonQ
18,2017-07-01,Germany,MOVE_DOWN,228996.0,607TgBgbTvP8CTgIHN0R6q
19,2017-07-01,Germany,SAME_POSITION,227229.0,6kex4EBAj0WHXDKZMEJaaF
20,2017-07-01,Germany,SAME_POSITION,215161.0,7vnEuDZTbPRu5ThYoMv7G0
21,2017-07-01,Germany,MOVE_UP,213325.0,1f3flfdU4VDM2OBDD2FMia
22,2017-07-01,Germany,MOVE_DOWN,212252.0,4aWmUDTfIPGksMNLV2rQP2
23,2017-07-01,Germany,MOVE_UP,206583.0,4c2W3VKsOFoIg2SFaO6DY5
24,2017-07-01,Germany,MOVE_UP,199668.0,7nKBxz47S9SD79N086fuhn
25,2017-07-01,Germany,MOVE_UP,195925.0,3caMfJGFp53NAH2TuigdNj
26,2017-07-01,Germany,MOVE_DOWN,195528.0,6jA8HL9i4QGzsj6fjoxp8Y
27,2017-07-01,Germany,MOVE_DOWN,188382.0,39qlqpwVzRkQP6WsILfIB5
28,2017-07-01,Germany,MOVE_UP,187293.0,2KklXplRtxMsBYo474Es0w
29,2017-07-01,Germany,MOVE_UP,170092.0,0afhq8XCExXpqazXczTSve
30,2017-07-01,Germany,MOVE_UP,167902.0,6RUKPb4LETWmmr3iAEQktW
31,2017-07-01,Germany,MOVE_UP,164789.0,7abpmGpF7PGep2rDU68GBR
32,2017-07-01,Germany,MOVE_DOWN,164723.0,715uqcez2DeFYNecXSoXDm
33,2017-07-01,Germany,MOVE_UP,164541.0,07TAUihsoCBnLWWXuZYUyw
34,2017-07-01,Germany,MOVE_DOWN,163775.0,1x5sYLZiu9r5E43kMlt9f8
35,2017-07-01,Germany,MOVE_UP,160132.0,2Gl0FzuLxflY6nPifJp5Dr
36,2017-07-01,Germany,MOVE_DOWN,158171.0,0CcQNd8CINkwQfe1RDtGV6
37,2017-07-01,Germany,SAME_POSITION,156059.0,1louJpMmzEicAn7lzDalPW
38,2017-07-01,Germany,MOVE_DOWN,155606.0,1SJtlNRJDeYHioymcvsqev
39,2017-07-01,Germany,MOVE_UP,148030.0,4bPWDXpN6MlTZBedxega3X
40,2017-07-01,Germany,MOVE_UP,140566.0,3Ytr1SUCUi6J3L9dRFx5iH
41,2017-07-01,Germany,MOVE_DOWN,139270.0,6Na5uKk5SsqZimk0hAWo8y
42,2017-07-01,Germany,MOVE_UP,138485.0,0dA2Mk56wEzDgegdC6R17g
43,2017-07-01,Germany,MOVE_DOWN,135892.0,3H25ywsvlV0ZT2XSpSU7wk
44,2017-07-01,Germany,MOVE_UP,133273.0,0HlGKH64XBzPBMI9jeuzZM
45,2017-07-01,Germany,SAME_POSITION,129023.0,5fpujciVjGBhnR2XFx06E7
46,2017-07-01,Germany,SAME_POSITION,128626.0,3rOSwuTsUlJp0Pu0MkN8r8
47,2017-07-01,Germany,MOVE_DOWN,127871.0,3EB28IRRCjgvEpeOkdixlA
48,2017-07-01,Germany,MOVE_UP,125864.0,1sCxVKWImDZSZKvG0U9B23
49,2017-07-01,Germany,MOVE_UP,125545.0,3h4HDzL7ha4eYalx9Eknyj
50,2017-07-01,Germany,MOVE_DOWN,122358.0,0RCSckg7PFBBfwG73ydbOG
51,2017-07-01,Germany,MOVE_UP,121984.0,1R8eM53yWnjsfiWktgObe7
52,2017-07-01,Germany,MOVE_DOWN,121673.0,2habSXqcJGExM6JJyskY7O
53,2017-07-01,Germany,SAME_POSITION,113142.0,3eR23VReFzcdmS7TYCrhCe
54,2017-07-01,Germany,MOVE_DOWN,111540.0,05Mp2UJulSttxQ4E6hQPH3
55,2017-07-01,Germany,NEW_ENTRY,108453.0,00lNx0OcTJrS3MKHcB80HY
56,2017-07-01,Germany,MOVE_UP,107064.0,6XOYVSmNDjKUNMXooU4s4z
57,2017-07-01,Germany,MOVE_UP,105956.0,3b5Li4QKDVBx1x7fQuu54a
58,2017-07-01,Germany,MOVE_UP,102486.0,5bcTCxgc7xVfSaMV3RuVke
59,2017-07-01,Germany,MOVE_UP,100756.0,3kGfazcbVvVkuZunzlLgTD
60,2017-07-01,Germany,MOVE_DOWN,99043.0,3sgGmPQD2J6aQduN36RDBO
61,2017-07-01,Germany,MOVE_DOWN,98910.0,7KXjTSCq5nL1LoYtL7XAwS
62,2017-07-01,Germany,MOVE_DOWN,98687.0,3NwZZSfJMceF6voaxIWEoV
63,2017-07-01,Germany,MOVE_DOWN,94930.0,2eMwDehkIC1j68U6FA3Eiq
64,2017-07-01,Germany,MOVE_DOWN,94151.0,25qiaiBRyMFOktyaeQSMon
65,2017-07-01,Germany,MOVE_DOWN,92534.0,2PcREcTtGiNTUCM4g2Qg4Z
66,2017-07-01,Germany,MOVE_UP,92290.0,7tr2za8SQg2CI8EDgrdtNl
67,2017-07-01,Germany,MOVE_DOWN,91923.0,1HxvdVlvQH5NUPi1wsq5L1
68,2017-07-01,Germany,MOVE_UP,88603.0,6fTsxhIosAU6zXTAhSaemI
69,2017-07-01,Germany,MOVE_UP,85724.0,3EfugazgSddQvzZpkof5I4
70,2017-07-01,Germany,MOVE_DOWN,83700.0,6ZyLo7sln0QFP7YXqgXCU8
71,2017-07-01,Germany,MOVE_UP,78787.0,6HUnnBwYZqcED1eQztxMBN
72,2017-07-01,Germany,MOVE_UP,78583.0,167NczpNbRF7oWakJaY3Hh
73,2017-07-01,Germany,MOVE_DOWN,78082.0,1vYLKyzU47iF8UWTU5C1CQ
74,2017-07-01,Germany,MOVE_UP,77994.0,5tz69p7tJuGPeMGwNTxYuV
75,2017-07-01,Germany,MOVE_UP,77842.0,62jhFviTBtnm1Bzigve3dj
76,2017-07-01,Germany,MOVE_UP,77011.0,1iTKkkgXj8kJkGdjGGBFqL
77,2017-07-01,Germany,MOVE_UP,75565.0,78rIJddV4X0HkNAInEcYde
78,2017-07-01,Germany,MOVE_DOWN,72905.0,3a1lNhkSLSkpJE4MSHpDu9
79,2017-07-01,Germany,MOVE_DOWN,72137.0,1BRdeyNaPcblzeqaBum5TS
80,2017-07-01,Germany,MOVE_UP,71246.0,6De0lHrwBfPfrhorm9q1Xl
81,2017-07-01,Germany,MOVE_DOWN,70727.0,1Eck97uRMlprKOOJN9oO1E
82,2017-07-01,Germany,MOVE_UP,69025.0,61WbtB6ujkpNAsAf5LjF4b
83,2017-07-01,Germany,MOVE_UP,68039.0,3ebXMykcMXOcLeJ9xZ17XH
84,2017-07-01,Germany,MOVE_UP,66791.0,0lMbuWUpfTWhEmOKxppEau
85,2017-07-01,Germany,MOVE_DOWN,65590.0,6wHRm1KR8pzVDPdmR6Qovj
