rank,trend,streams,track_id
1,SAME_POSITION,457697.0,1x4MJYA9mJRph3fygU51K4
2,SAME_POSITION,360832.0,38lQ7lYhN3eSWepnZHaiBF
3,SAME_POSITION,356332.0,3r1cV21xPMkgCmxk8VqWOB
4,SAME_POSITION,342679.0,2Fxmhks0bxGSBdJ92vM42m
5,MOVE_UP,310450.0,53CJANUxooaqGOtdsBTh7O
6,MOVE_UP,299699.0,0oOPa0AlLnjCO6eci0HIdH
7,MOVE_DOWN,292086.0,0WGG3xWyW6AlXOaW6CHu4A
8,SAME_POSITION,289016.0,3ld409h4DdrdPJzEdeU1WS
9,MOVE_UP,281358.0,6u7jPi22kF8CTQ3rb9DHE7
10,MOVE_DOWN,265891.0,6BZhkqUtaFJm57Hm5TTQSH
11,MOVE_UP,262766.0,6nDKrPlXdpomGBgAlO7UdP
12,MOVE_DOWN,258555.0,5xIODxqlpUnRVA9ewZUCug
13,MOVE_UP,248479.0,200cTjC6si5Xz9af2QeHi2
14,SAME_POSITION,247331.0,5w9c2J52mkdntKOmRLeM2m
15,MOVE_UP,234956.0,5WHTFyqSii0lmT9R21abT8
16,MOVE_UP,233922.0,4cawYWrqMRz0T0hOIVxk6j
17,MOVE_DOWN,221068.0,3Zg80xruh2KHx3jXrkSz6u
18,MOVE_DOWN,215103.0,5kLUig6aFQQzY1n2TKzzYD
19,MOVE_DOWN,212050.0,1L8LtC2s161XwY6YrtnQjw
20,MOVE_UP,200340.0,1ag6DENIjtcmRFCx5JjUng
21,MOVE_DOWN,198505.0,43DtCXAz2qUJ4YiTX6ICT0
22,MOVE_UP,192626.0,0Tq0EhQpVeQJwV3E3P5Jti
23,MOVE_UP,182706.0,0geta4Y77R76wvOVlGWnsl
24,MOVE_UP,178364.0,1194zYf7UfSXP4omxVTmPa
25,MOVE_DOWN,173436.0,5lytS4eOWjLWKad2jipjc7
26,MOVE_UP,170115.0,4Sib57MmYGJzSvkW84jTwh
27,MOVE_DOWN,165176.0,7FOQJQcTDqzXZJ72hZikCl
28,MOVE_UP,164445.0,0ypCvaP431mEM6znlVHNRP
29,MOVE_UP,162091.0,2RSHsoi04658QL5xgQVov3
30,MOVE_UP,160939.0,25sgk305KZfyuqVBQIahim
31,MOVE_DOWN,159876.0,0A5gdlrpAuQqZ2iFgnqBFW
32,MOVE_DOWN,159851.0,5iIgIxtMNeogKaFUfvuAbs
33,MOVE_DOWN,150983.0,0gyO8zq1Hw5GTQ33EXcc40
34,MOVE_DOWN,146935.0,7rDQTLJHfihh90lauNKFag
