rank,date,region,trend,streams,track_id
1,2017-05-01,Global,SAME_POSITION,6360737.0,5CtI0qwDJkDQGwXD1H1cLb
2,2017-05-01,Global,NEW_ENTRY,5039594.0,72Q0FQQo32KJloivv5xge2
3,2017-05-01,Global,MOVE_DOWN,4801389.0,7qiZfU4dY1lWllzX7mPBI3
4,2017-05-01,Global,MOVE_DOWN,4371886.0,7KXjTSCq5nL1LoYtL7XAwS
5,2017-05-01,Global,SAME_POSITION,3301169.0,6RUKPb4LETWmmr3iAEQktW
6,2017-05-01,Global,MOVE_UP,3210075.0,3eR23VReFzcdmS7TYCrhCe
7,2017-05-01,Global,MOVE_DOWN,3127015.0,3rOSwuTsUlJp0Pu0MkN8r8
8,2017-05-01,Global,SAME_POSITION,3028047.0,0dA2Mk56wEzDgegdC6R17g
9,2017-05-01,Global,MOVE_UP,2867730.0,0KKkJNfGyhkQ5aFogxQAPU
10,2017-05-01,Global,MOVE_DOWN,2835999.0,4aWmUDTfIPGksMNLV2rQP2
11,2017-05-01,Global,MOVE_DOWN,2835028.0,1x5sYLZiu9r5E43kMlt9f8
12,2017-05-01,Global,SAME_POSITION,2800982.0,7hDc8b7IXETo14hHIHdnhd
13,2017-05-01,Global,SAME_POSITION,2586873.0,6kex4EBAj0WHXDKZMEJaaF
14,2017-05-01,Global,SAME_POSITION,2570164.0,6HZILIRieu8S0iqY8kIKhj
15,2017-05-01,Global,SAME_POSITION,2343701.0,79cuOz3SPQTuFrp8WgftAu
16,2017-05-01,Global,NEW_ENTRY,2201928.0,6gpcs5eMhJwax4mIfKDYQk
17,2017-05-01,Global,NEW_ENTRY,2135141.0,0KR2W3St74th8z3LS94Ffh
18,2017-05-01,Global,MOVE_UP,2078782.0,1sXUWdKx03aP9Gmzft58rt
19,2017-05-01,Global,MOVE_UP,2068058.0,2eMwDehkIC1j68U6FA3Eiq
20,2017-05-01,Global,MOVE_DOWN,2020027.0,0afhq8XCExXpqazXczTSve
21,2017-05-01,Global,SAME_POSITION,1866820.0,2EEeOnHehOozLq4aS0n6SL
22,2017-05-01,Global,SAME_POSITION,1800715.0,72jbDTw1piOOj770jWNeaG
23,2017-05-01,Global,NEW_ENTRY,1800303.0,5ELRkzdzz0HvGpMDlfZHkV
24,2017-05-01,Global,MOVE_UP,1744212.0,1Eck97uRMlprKOOJN9oO1E
25,2017-05-01,Global,NEW_ENTRY,1692347.0,6VRghJeP6I0w1KxkdWFfIh
26,2017-05-01,Global,MOVE_UP,1671538.0,0qYTZCo5Bwh1nsUFGZP3zn
27,2017-05-01,Global,MOVE_DOWN,1671153.0,7nKBxz47S9SD79N086fuhn
28,2017-05-01,Global,MOVE_UP,1658487.0,1F2HXIJrE2Xn81OzT2zZvW
29,2017-05-01,Global,MOVE_DOWN,1632641.0,5NNlUMcOEOdoOIwwaWXv0k
30,2017-05-01,Global,MOVE_UP,1602682.0,6SwRhMLwNqEi6alNPVG00n
31,2017-05-01,Global,NEW_ENTRY,1599417.0,6Zosz8w6CmdGMZM6p4JlbQ
32,2017-05-01,Global,MOVE_UP,1594941.0,4iLqG9SeJSnt0cSPICSjxv
33,2017-05-01,Global,MOVE_DOWN,1557009.0,3NdDpSvN911VPGivFlV5d0
34,2017-05-01,Global,MOVE_UP,1556414.0,6PGoSes0D9eUDeeAafB2As
35,2017-05-01,Global,MOVE_UP,1538366.0,51PIvodunv6NmX5250zxAh
36,2017-05-01,Global,MOVE_DOWN,1529193.0,5knuzwU65gJK7IF5yJsuaW
37,2017-05-01,Global,MOVE_DOWN,1526365.0,78rIJddV4X0HkNAInEcYde
38,2017-05-01,Global,MOVE_DOWN,1520917.0,152lZdxL1OR0ZMW6KquMif
39,2017-05-01,Global,NEW_ENTRY,1520861.0,4WrS6vezaPwOafKJmHqMEU
40,2017-05-01,Global,MOVE_UP,1508337.0,1EaKU4dMbesXXd3BrLCtYG
41,2017-05-01,Global,MOVE_UP,1449952.0,2Gl0FzuLxflY6nPifJp5Dr
42,2017-05-01,Global,NEW_ENTRY,1422952.0,1mDGDb2fUmUMdqV3tb8VKQ
43,2017-05-01,Global,MOVE_DOWN,1412744.0,5GXAXm5YOmYT0kL5jHvYBt
44,2017-05-01,Global,MOVE_DOWN,1318629.0,6HUnnBwYZqcED1eQztxMBN
45,2017-05-01,Global,MOVE_UP,1316847.0,3a1lNhkSLSkpJE4MSHpDu9
46,2017-05-01,Global,MOVE_DOWN,1309305.0,7BKLCZ1jbUBVqRi2FVlTVw
47,2017-05-01,Global,MOVE_UP,1305745.0,5uCax9HTNlzGybIStD3vDh
48,2017-05-01,Global,MOVE_DOWN,1303742.0,3umS4y3uQDkqekNjVpiRUs
49,2017-05-01,Global,MOVE_UP,1278033.0,1louJpMmzEicAn7lzDalPW
