rank,trend,streams,track_id
1,SAME_POSITION,7247715.0,2XW4DbS6NddZxRPm5rMCeY
2,MOVE_UP,3503086.0,7wGoVu4Dady5GV0Sv4UIsx
3,MOVE_DOWN,3476656.0,1rfofaqEpACxVEHIZBJe6W
4,SAME_POSITION,3075468.0,3Vo4wInECJQuz9BIBMOu8i
5,SAME_POSITION,2932984.0,76cy1WJvNGJTj78UqeA5zr
6,SAME_POSITION,2854374.0,5UEnHoDYpsxlfzWLZIc7LD
7,MOVE_UP,2567358.0,1zsG4eaZmkA1dvjDDsAGLK
8,MOVE_DOWN,2536793.0,4eWQlBRaTjPPUlzacqEeoQ
9,SAME_POSITION,2463202.0,6mrKP2jyIQmM0rw6fQryjr
10,SAME_POSITION,2394230.0,7EmGUiUaOSGDnUUQUDrOXC
11,SAME_POSITION,2368068.0,5k38wzpLb15YgncyWdTZE4
12,SAME_POSITION,2322694.0,2ekn2ttSfGqwhhate0LSR0
13,SAME_POSITION,2273179.0,0tgVpDi06FyKpA1z0VMD4v
14,SAME_POSITION,2242138.0,12SJpYZEdj4kzWZ8FPFg4Y
15,SAME_POSITION,2222221.0,2UVbBKQOdFAekPTRsnkzcf
16,SAME_POSITION,2143097.0,7jqDzXJS0K0Re8uphYNit0
17,MOVE_UP,2058358.0,75ZvA4QfFiZvzhj2xkaWAh
18,MOVE_DOWN,2023412.0,5AEtlRudpgdT5FtNiuly6Y
19,SAME_POSITION,1989312.0,09IStsImFySgyp0pIQdqAc
20,SAME_POSITION,1974409.0,7qiZfU4dY1lWllzX7mPBI3
21,SAME_POSITION,1948262.0,7iDa6hUg2VgEL1o1HjmfBn
22,MOVE_UP,1881991.0,1mXVgsBdtIVeCLJnSnmtdV
23,MOVE_DOWN,1833361.0,630sXRhIcfwr2e4RdNtjKN
24,SAME_POSITION,1802782.0,2xmrfQpmS2iJExTlklLoAL
25,SAME_POSITION,1776803.0,3hBBKuWJfxlIlnd9QFoC8k
26,MOVE_UP,1744403.0,4lESS6vuruP6a79KWRaQou
27,MOVE_DOWN,1737127.0,7vGuf3Y35N4wmASOKLUVVU
28,MOVE_UP,1717056.0,3Ga6eKrUFf12ouh9Yw3v2D
29,MOVE_DOWN,1663721.0,2xGjteMU3E1tkEPVFBO08U
30,SAME_POSITION,1630633.0,2DQ1ITjI0YoLFzuADN1ZBW
31,MOVE_UP,1622286.0,6tHWl8ows5JOZq9Yfaqn3M
32,MOVE_UP,1589219.0,4R55IUi2x7S5ek2SpebOiE
33,MOVE_UP,1569122.0,5hcisvFMidkMJlElTO9Qmw
34,MOVE_DOWN,1565898.0,1bhUWB0zJMIKr9yVPrkEuI
35,MOVE_UP,1558141.0,33bnxcjePIkcmNjEFTJX0l
36,MOVE_UP,1545477.0,6Za3190Sbw39BBC77WSS1C
37,MOVE_DOWN,1540906.0,0wbnC9AUenxp613TYaJsGK
38,MOVE_DOWN,1517062.0,7EI6Iki24tBHAMxtb4xQN2
39,MOVE_UP,1501244.0,75FDPwaULRdYDn4StFN2rT
40,MOVE_DOWN,1493800.0,0tKcYR2II1VCQWT79i5NrW
41,MOVE_DOWN,1477630.0,4wFjTWCunQFKtukqrNijEt
42,MOVE_DOWN,1466442.0,1j4kHkkpqZRBwE0A4CN4Yv
