rank,date,region,trend,streams,track_id
1,2018-04-01,Greece,SAME_POSITION,8957.0,1gm616Plq4ScqNi7TVkZ5N
2,2018-04-01,Greece,SAME_POSITION,6821.0,2XW4DbS6NddZxRPm5rMCeY
3,2018-04-01,Greece,SAME_POSITION,4942.0,2poOAWEj1CStqTVPgIHZ8s
4,2018-04-01,Greece,SAME_POSITION,4027.0,08bNPGLD8AhKpnnERrAc6G
5,2018-04-01,Greece,SAME_POSITION,3747.0,4qKcDkK6siZ7Jp1Jb4m0aL
6,2018-04-01,Greece,MOVE_UP,3737.0,65NwOZqoXny4JxqAPlfxRF
7,2018-04-01,Greece,MOVE_DOWN,3709.0,72TyiiduRmczEbDIEtKQdR
8,2018-04-01,Greece,SAME_POSITION,3603.0,2U7Hu2RaNQNRi7izoJyZaX
9,2018-04-01,Greece,SAME_POSITION,3548.0,56d6kYZhfhzpoC3s1dRU2V
10,2018-04-01,Greece,MOVE_UP,3472.0,45Egmo7icyopuzJN0oMEdk
11,2018-04-01,Greece,MOVE_DOWN,3466.0,3ee8Jmje8o58CHK66QrVC2
12,2018-04-01,Greece,MOVE_DOWN,3158.0,13wNEvWmBsWaWVtiLPRIW5
13,2018-04-01,Greece,SAME_POSITION,3122.0,76cy1WJvNGJTj78UqeA5zr
14,2018-04-01,Greece,MOVE_UP,2948.0,3GCdLUSnKSMJhs4Tj6CV3s
15,2018-04-01,Greece,MOVE_DOWN,2948.0,4ofvoCdXq99vpMZO4Cfp8x
16,2018-04-01,Greece,MOVE_DOWN,2885.0,79jX8RM5CgPqDKdGEKNW9K
17,2018-04-01,Greece,MOVE_UP,2808.0,1rfofaqEpACxVEHIZBJe6W
18,2018-04-01,Greece,MOVE_UP,2736.0,6n4U3TlzUGhdSFbUUhTvLP
19,2018-04-01,Greece,MOVE_DOWN,2704.0,10Igtw8bSDyyFs7KIsKngZ
20,2018-04-01,Greece,MOVE_DOWN,2667.0,26Fqtv4Aa7kyd1WWGHai6A
21,2018-04-01,Greece,MOVE_UP,2653.0,63SevszngYpZOwf63o61K4
22,2018-04-01,Greece,MOVE_UP,2549.0,2ARqIya5NAuvFVHSN3bL0m
23,2018-04-01,Greece,MOVE_DOWN,2519.0,5CLGzJsGqhCEECcpnFQA8x
24,2018-04-01,Greece,MOVE_UP,2418.0,6mAz8D1TmlTuef90dbNIiZ
25,2018-04-01,Greece,MOVE_UP,2286.0,6NFyWDv5CjfwuzoCkw47Xf
26,2018-04-01,Greece,MOVE_DOWN,2252.0,7wvYmO5QscgIDDT0eNwbYX
27,2018-04-01,Greece,SAME_POSITION,2211.0,6tHWl8ows5JOZq9Yfaqn3M
28,2018-04-01,Greece,MOVE_UP,2204.0,39N9RPD9MRb5WmoLzNzPeA
29,2018-04-01,Greece,SAME_POSITION,2173.0,5UEnHoDYpsxlfzWLZIc7LD
30,2018-04-01,Greece,SAME_POSITION,2167.0,2yUbCEiaolfSMluDo9RMmG
31,2018-04-01,Greece,SAME_POSITION,2121.0,739vCwA3EpBSkk3uDsI2wB
32,2018-04-01,Greece,MOVE_UP,2068.0,6RnkFd8Fqqgk1Uni8RgqCQ
33,2018-04-01,Greece,MOVE_UP,1955.0,3soOPBuMK8YMdWnV7xpEyf
34,2018-04-01,Greece,MOVE_UP,1939.0,4eWQlBRaTjPPUlzacqEeoQ
35,2018-04-01,Greece,MOVE_DOWN,1930.0,6tvQzeCPwOytDlBYCIOY0n
36,2018-04-01,Greece,MOVE_DOWN,1930.0,2ekn2ttSfGqwhhate0LSR0
37,2018-04-01,Greece,MOVE_UP,1913.0,3V49q9SWVR0fZn4Ox1J8Yi
38,2018-04-01,Greece,MOVE_DOWN,1874.0,7sO5G9EABYOXQKNPNiE9NR
39,2018-04-01,Greece,MOVE_DOWN,1819.0,0JP9xo3adEtGSdUEISiszL
40,2018-04-01,Greece,MOVE_DOWN,1763.0,7Izh7zLJGw1Nscd62Exxj4
41,2018-04-01,Greece,MOVE_UP,1758.0,0CZ8lquoTX2Dkg7Ak2inwA
42,2018-04-01,Greece,MOVE_DOWN,1750.0,7iDa6hUg2VgEL1o1HjmfBn
43,2018-04-01,Greece,MOVE_DOWN,1640.0,4EAV2cKiqKP5UPZmY6dejk
44,2018-04-01,Greece,MOVE_UP,1612.0,7EmGUiUaOSGDnUUQUDrOXC
45,2018-04-01,Greece,MOVE_UP,1589.0,1j4kHkkpqZRBwE0A4CN4Yv
46,2018-04-01,Greece,MOVE_DOWN,1528.0,2UVbBKQOdFAekPTRsnkzcf
47,2018-04-01,Greece,MOVE_UP,1517.0,6QgjcU0zLnzq5OrUoSZ3OK
48,2018-04-01,Greece,MOVE_UP,1515.0,7qiZfU4dY1lWllzX7mPBI3
49,2018-04-01,Greece,MOVE_DOWN,1510.0,6xTU6B6nFwKKTSZ9ySXS80
50,2018-04-01,Greece,MOVE_DOWN,1508.0,5k38wzpLb15YgncyWdTZE4
51,2018-04-01,Greece,MOVE_UP,1444.0,4QfNOZN7vrQCQKK1ZJ3XPb
52,2018-04-01,Greece,MOVE_DOWN,1430.0,71bBFbfn2OBK5QwUJSLS44
53,2018-04-01,Greece,MOVE_DOWN,1426.0,51rXHuKN8Loc4sUlKPODgH
54,2018-04-01,Greece,MOVE_DOWN,1389.0,33IOhptvC2Qoy2UhjiHXLV
55,2018-04-01,Greece,MOVE_DOWN,1356.0,26gceVsA1ybT8qsX3aYLEn
56,2018-04-01,Greece,MOVE_UP,1355.0,1LhMopPAallLeaeNutqbgS
57,2018-04-01,Greece,MOVE_DOWN,1341.0,7KXjTSCq5nL1LoYtL7XAwS
58,2018-04-01,Greece,MOVE_DOWN,1294.0,2nUJvBO87SkxCViQsLc9Zr
59,2018-04-01,Greece,MOVE_UP,1288.0,7AFASza1mXqntmGtbxXprO
60,2018-04-01,Greece,MOVE_UP,1277.0,7GX5flRQZVHRAGd6B4TmDO
61,2018-04-01,Greece,MOVE_UP,1266.0,3B54sVLJ402zGa6Xm4YGNe
62,2018-04-01,Greece,MOVE_DOWN,1257.0,3Vo4wInECJQuz9BIBMOu8i
63,2018-04-01,Greece,MOVE_DOWN,1248.0,2DQ1ITjI0YoLFzuADN1ZBW
64,2018-04-01,Greece,MOVE_DOWN,1220.0,3towKHKVOXCCcL1fHv6xFO
65,2018-04-01,Greece,MOVE_UP,1207.0,2xmrfQpmS2iJExTlklLoAL
66,2018-04-01,Greece,MOVE_UP,1181.0,11GGSyTB8cS9TgONHBOhEX
67,2018-04-01,Greece,SAME_POSITION,1155.0,3ncgNpxLoBQ65ABk4djDyd
68,2018-04-01,Greece,SAME_POSITION,1145.0,3ZYwSDF9knZI0RVlKR4PHC
69,2018-04-01,Greece,MOVE_UP,1133.0,7vGuf3Y35N4wmASOKLUVVU
70,2018-04-01,Greece,MOVE_UP,1132.0,4lTiuD1DwBKo4L7wqMkD7C
71,2018-04-01,Greece,MOVE_UP,1131.0,2z4pcBLQXF2BXKFvd0BuB6
