rank,trend,streams,track_id
1,NEW_ENTRY,20919.0,0Az2D1ByNU09je0ZtzDcHm
2,MOVE_DOWN,15754.0,0PvFJmanyNQMseIFrU708S
3,SAME_POSITION,14966.0,73d7q3kVVIgfCUK07bVIVH
4,MOVE_DOWN,14840.0,6zjzustYTCBqaUiIMY9aJ2
5,MOVE_DOWN,14823.0,1m0N54Nrd76muGR1nynZgZ
6,MOVE_UP,13712.0,1ObRO6vf0rLZJ57iT2Y3df
7,MOVE_DOWN,13510.0,7hxHWCCAIIxFLCzvDgnQHX
8,MOVE_UP,13258.0,7golvOwQUXF4LEzISx7dRF
9,MOVE_DOWN,13238.0,4Oun2ylbjFKMPTiaSbbCih
10,MOVE_DOWN,12902.0,4lRQP4PC7ZHQnkPuq8N52N
11,MOVE_DOWN,11571.0,4jVBIpuOiMj1crqd8LoCrJ
12,MOVE_DOWN,11247.0,28dgIVVQiTOZlYs3JForb7
13,MOVE_DOWN,10789.0,01Y0KGT7VzixtLyOj44x56
14,MOVE_DOWN,9687.0,3tjFYV6RSFtuktYl3ZtYcq
15,MOVE_UP,9067.0,6EDO9iiTtwNv6waLwa1UUq
16,MOVE_UP,9062.0,79s5XnCN4TJKTVMSmOx8Ep
17,MOVE_UP,8987.0,0VjIjW4GlUZAMYd2vXMi3b
18,MOVE_DOWN,8820.0,5ufgJgKMg0OkrWnlAmY3aZ
19,SAME_POSITION,8720.0,35RJhm1pEovTBwnNR0zWad
20,MOVE_UP,8679.0,3N0dH5dZKj4momer7WIhRB
21,MOVE_DOWN,8662.0,0hAdCOO7fI75HmGSXcK3wM
22,MOVE_DOWN,8604.0,5Etw2n2b9lCkTYyg0kom3a
23,MOVE_DOWN,8529.0,6UelLqGlWMcVH1E5c4H7lY
24,MOVE_DOWN,8336.0,6lcgBbZKhYBnOxOS5rNlYb
25,MOVE_DOWN,8312.0,0omM3mkVfjt8MhDKinkhcn
26,MOVE_DOWN,8014.0,7ytR5pFWmSjzHJIeQkgog4
