rank,date,region,trend,streams,track_id
1,2019-08-01,Guatemala,SAME_POSITION,43978.0,2ksOAxtIxY8yElEWw8RhgK
2,2019-08-01,Guatemala,SAME_POSITION,36037.0,2TH65lNHgvLxCKXM3apjxI
3,2019-08-01,Guatemala,SAME_POSITION,32264.0,4bTZeO72FwMa6wKOiqoynL
4,2019-08-01,Guatemala,SAME_POSITION,30700.0,0fea68AdmYNygeTGI4RC18
5,2019-08-01,Guatemala,SAME_POSITION,24973.0,1c0hsvHLELX6y8qymnpLKL
6,2019-08-01,Guatemala,SAME_POSITION,23130.0,4R8BJggjosTswLxtkw8V7P
7,2019-08-01,Guatemala,SAME_POSITION,19933.0,1Ej96GIBCTvgH7tNX1r3qr
8,2019-08-01,Guatemala,SAME_POSITION,17860.0,7KbF6AdprOXEEHlsq11Z6d
9,2019-08-01,Guatemala,SAME_POSITION,16772.0,4lzxJ4jCuFDXXGkE1LmpKR
10,2019-08-01,Guatemala,SAME_POSITION,16770.0,7g8YaUQABMal0zWe7a2ijz
11,2019-08-01,Guatemala,SAME_POSITION,16645.0,25ZAibhr3bdlMCLmubZDVt
12,2019-08-01,Guatemala,SAME_POSITION,15455.0,5jW3rF4URMdK7tO2xjS5EI
13,2019-08-01,Guatemala,SAME_POSITION,14313.0,7MRU4vOkywuhZ9kbFiPuiu
14,2019-08-01,Guatemala,MOVE_UP,13681.0,2qG5sZ7Si6sdK74qLxedYM
15,2019-08-01,Guatemala,MOVE_DOWN,13542.0,1kMUGCt7XLDc5Q64Vl0H8S
16,2019-08-01,Guatemala,SAME_POSITION,13447.0,7anSoGdgtmJTAPZBzcPhO6
17,2019-08-01,Guatemala,MOVE_UP,12847.0,56f5qnyAlZdlz8wrUDA50h
18,2019-08-01,Guatemala,MOVE_DOWN,12803.0,6v3KW9xbzN5yKLt9YKDYA2
19,2019-08-01,Guatemala,SAME_POSITION,12209.0,6v0lAdFF4haL8xjBIUjtOw
20,2019-08-01,Guatemala,SAME_POSITION,11839.0,5w9c2J52mkdntKOmRLeM2m
21,2019-08-01,Guatemala,SAME_POSITION,11677.0,7BuSE9uTIw931wtZYzvZcQ
22,2019-08-01,Guatemala,SAME_POSITION,10866.0,7fODjB7BrQTGqh0hogW6XD
23,2019-08-01,Guatemala,SAME_POSITION,10820.0,0uv14vi55Evco7lDLDj87P
24,2019-08-01,Guatemala,SAME_POSITION,10481.0,0UQwlF2pRkr1lMN6kNNUj3
25,2019-08-01,Guatemala,SAME_POSITION,10403.0,2EEmzqzM70CybVspgM7YRT
26,2019-08-01,Guatemala,SAME_POSITION,10197.0,059bcIhyc2SBwm6sw2AZzd
27,2019-08-01,Guatemala,SAME_POSITION,9798.0,4k9byIhs9ppbYWE22waJMB
28,2019-08-01,Guatemala,SAME_POSITION,9458.0,3f5lA8nnc4YYF1qf78WpHw
29,2019-08-01,Guatemala,MOVE_UP,9142.0,5KbBGUpIZd6gVFUU8tqYiQ
30,2019-08-01,Guatemala,MOVE_DOWN,9088.0,1LIqNVhaIgxXUt2eVoIQJ3
31,2019-08-01,Guatemala,SAME_POSITION,8758.0,132ALUzVLmqYB4UsBj5qD6
32,2019-08-01,Guatemala,MOVE_UP,8442.0,7mWFF4gPADjTQjC97CgFVt
33,2019-08-01,Guatemala,MOVE_UP,8419.0,5W83ErFkO3aKAIS1WMi6u0
34,2019-08-01,Guatemala,MOVE_DOWN,8372.0,3dWpRjCmaHbroNahuSeX11
35,2019-08-01,Guatemala,MOVE_UP,8283.0,5iwz1NiezX7WWjnCgY5TH4
36,2019-08-01,Guatemala,NEW_ENTRY,8206.0,6osaMSJh9NguagEDQcZaKx
37,2019-08-01,Guatemala,MOVE_DOWN,8052.0,0tJCo71s7HT9Mu5Z4juuLw
38,2019-08-01,Guatemala,MOVE_UP,7978.0,6rXxAohZzTDsP5KT3IDFIU
39,2019-08-01,Guatemala,MOVE_DOWN,7822.0,1LiN0Z98FkR1t0m8KmLcAH
40,2019-08-01,Guatemala,MOVE_UP,7535.0,7BuHdm4lQqcyG3qTwdkxus
