rank,trend,streams,track_id
1,SAME_POSITION,30433.0,4MzXwWMhyBbmu6hOcLVD49
2,SAME_POSITION,21846.0,7vrJn5hDSXRmdXoR30KgF1
3,SAME_POSITION,17555.0,2XIc1pqjXV3Cr2BQUGNBck
4,SAME_POSITION,13600.0,5RubKOuDoPn5Kj5TLVxSxY
5,SAME_POSITION,13185.0,1yoMvmasuxZfqHEipJhRbp
6,MOVE_UP,12259.0,15OjBeqNX3bShsGYQbteRv
7,MOVE_DOWN,11461.0,4loQgPwJHocL3dFwLfjb1J
8,SAME_POSITION,10822.0,4HYDUMY0xSpeBr0AMY9cUz
9,SAME_POSITION,9529.0,3VvA1wSxukMLsvXoXtlwWx
10,MOVE_UP,9484.0,21N4Buj4xsyLb218lYle61
11,MOVE_DOWN,9429.0,7ndTONDDRFGiPnnhOzOXxq
12,MOVE_DOWN,9002.0,2bgcUk2A3jjKbCJ7KPquTi
13,MOVE_UP,8737.0,7x4ASXYEKfQBCewcZhK776
14,MOVE_UP,8328.0,7D7EH7MGyNHWSkqrszerI1
15,MOVE_DOWN,8327.0,0EhpEsp4L0oRGM0vmeaN5e
16,MOVE_UP,8307.0,6bvfJf4KjonPMuPfGfy3S2
17,SAME_POSITION,8289.0,35UUpTmrcFXNIVIN26ujXl
18,MOVE_DOWN,8033.0,26QApq0cuO9brJigr0C0W4
19,MOVE_DOWN,8020.0,3GtnId3Cm1Xa6joCj08nzW
20,MOVE_UP,7820.0,73nAK3HgQK8dak83Y2WQ8F
21,MOVE_UP,7677.0,16ONd70tvWAaLIc6hcLzaG
22,SAME_POSITION,7511.0,1xK1Gg9SxG8fy2Ya373oqb
23,MOVE_DOWN,7481.0,5y7DaS3jAc9eZzcSOoUIwU
24,MOVE_DOWN,7278.0,26w9NTiE9NGjW1ZvIOd1So
25,MOVE_UP,7043.0,4jcxBTrNvyqMJdMDyyjdYV
26,MOVE_DOWN,6952.0,11EnQRgRMJwMAesfkB5pnu
27,MOVE_DOWN,6800.0,4G3PTss3mU33Tau7t4KbwE
28,MOVE_DOWN,6707.0,2tFwfmceQa1Y6nRPhYbEtC
29,MOVE_UP,6549.0,1qfoq1qvZT7VwDVeekCJ97
30,MOVE_UP,6262.0,7k4t7uLgtOxPwTpFmtJNTY
31,MOVE_DOWN,6256.0,4RJz8NfIe09gpKMiRUWKhJ
32,MOVE_UP,6187.0,4nbWX2HzrOEnX4xxvYRCyU
33,MOVE_DOWN,6139.0,6fmQjRuo7XvRFCK2qex5hQ
34,MOVE_UP,5936.0,41wtwzCZkXwpnakmwJ239F
35,MOVE_DOWN,5763.0,5fROvzNghPid8mbKNDYvpJ
36,MOVE_UP,5630.0,1cVlW9WQiGlFdWUXFdFZGh
37,MOVE_DOWN,5608.0,0JAZWvvqttGFm4UMDsPQXC
38,MOVE_UP,5583.0,2DEZmgHKAvm41k4J3R2E9Y
39,MOVE_DOWN,5489.0,0VjIjW4GlUZAMYd2vXMi3b
40,MOVE_UP,5456.0,69vlMrzHwATKzupwNcUPyK
41,MOVE_DOWN,5416.0,7kjEqI6eZ7YlFrGhxixnlN
42,MOVE_DOWN,5370.0,23XjN1s3DZC8Q9ZwuorYY4
43,MOVE_DOWN,5334.0,5jZ32WOU7sqzDYbzINwMUk
44,MOVE_DOWN,5286.0,0tjZv2hChdHZCW1zFXpy1J
45,MOVE_DOWN,5269.0,5Jm4w8jmPEBTLjI9vH4fXo
46,MOVE_DOWN,5132.0,68mrW6gXHgupgSiDHgaDi5
47,MOVE_DOWN,5122.0,2lCkncy6bIB0LTMT7kvrD1
48,MOVE_DOWN,5064.0,0fea68AdmYNygeTGI4RC18
49,MOVE_DOWN,4950.0,3KJ3opyV29269SXkPrc19l
50,MOVE_DOWN,4819.0,2n7ohqg1s68ToAHh4u9mcW
51,MOVE_UP,4441.0,1jD48pmiHMSVHHPzKLi4P3
52,MOVE_UP,4140.0,63USmok1OioBzKuWGW9wAg
53,MOVE_DOWN,4135.0,67ACYA3UI6QMNtHX6b34wX
54,NEW_ENTRY,4052.0,5PZlMcW7VUlti8IRdApRIn
55,MOVE_UP,4045.0,0SqqAgdovOE24BzxIClpjw
56,MOVE_UP,3988.0,2IwFxwCDCoNY8xN6hNZI8n
57,MOVE_DOWN,3967.0,4R8BJggjosTswLxtkw8V7P
58,MOVE_UP,3937.0,1pqnQ41XbfKjaFu6M0eGJp
59,MOVE_DOWN,3913.0,0Lsis3LB0XAK6XlTHXaJk2
60,MOVE_DOWN,3910.0,4PEfJZpVjdclfzZ9XO8uDw
61,MOVE_UP,3896.0,7paFC3FEu1WtPVP4Do6VZN
62,MOVE_UP,3850.0,6NfrH0ANGmgBXyxgV2PeXt
