rank,date,region,trend,streams,track_id
1,2021-11-01,Honduras,SAME_POSITION,15190.0,4gzsuuZypVbxs0Af1LSZyB
2,2021-11-01,Honduras,SAME_POSITION,12827.0,2JPLbjOn0wPCngEot2STUS
3,2021-11-01,Honduras,SAME_POSITION,10059.0,2vmfvSoZBFAt9hhRoEByLi
4,2021-11-01,Honduras,SAME_POSITION,9273.0,0G2zPzWqVjR68iNPmx2TBe
5,2021-11-01,Honduras,SAME_POSITION,8285.0,2B4GHvToeLTOBB4QLzW3Ni
6,2021-11-01,Honduras,SAME_POSITION,8087.0,05bfbizlM5AX6Mf1RRyMho
7,2021-11-01,Honduras,SAME_POSITION,8067.0,4MzXwWMhyBbmu6hOcLVD49
8,2021-11-01,Honduras,SAME_POSITION,7675.0,4HzqWEdAbzcVFDv0pvxV4w
9,2021-11-01,Honduras,SAME_POSITION,7562.0,3JCaq3KDSROg3TXhdiDa9n
10,2021-11-01,Honduras,SAME_POSITION,7197.0,5RwV8BvLfX5injfqYodke9
11,2021-11-01,Honduras,MOVE_UP,6032.0,3KJ3opyV29269SXkPrc19l
12,2021-11-01,Honduras,MOVE_UP,6031.0,0fea68AdmYNygeTGI4RC18
13,2021-11-01,Honduras,MOVE_DOWN,6015.0,4vv8wcnT04GHHbUCFBAiHF
14,2021-11-01,Honduras,MOVE_UP,5975.0,5PjdY0CKGZdEuoNab3yDmX
15,2021-11-01,Honduras,MOVE_UP,5870.0,0gplL1WMoJ6iYaPgMCL0gX
16,2021-11-01,Honduras,MOVE_UP,5594.0,4gvrJnKCKIPiacNsWVQwEU
17,2021-11-01,Honduras,MOVE_DOWN,5515.0,6D2TCm4nf5nxAcdGJ7w3QP
18,2021-11-01,Honduras,MOVE_UP,5495.0,46HNZY1i7O6jwTA7Slo2PI
19,2021-11-01,Honduras,MOVE_DOWN,5494.0,3PwRuzdphgedcWVUOVYJ7I
20,2021-11-01,Honduras,MOVE_DOWN,5429.0,27RSJHEA99Y0Vsow7nA37A
21,2021-11-01,Honduras,MOVE_UP,5269.0,2BEcap3xJtmiPaHKyfQi4e
22,2021-11-01,Honduras,MOVE_DOWN,5252.0,4r9jkMEnArtWGH2rL2FZl0
23,2021-11-01,Honduras,MOVE_UP,5250.0,4bF2y8rR7GUjrd5LNEvej3
24,2021-11-01,Honduras,MOVE_DOWN,5110.0,2XIc1pqjXV3Cr2BQUGNBck
25,2021-11-01,Honduras,MOVE_UP,4992.0,5Z9KJZvQzH6PFmb8SNkxuk
26,2021-11-01,Honduras,MOVE_DOWN,4985.0,6HIIuuUIEzH1meVdGbMXyf
27,2021-11-01,Honduras,MOVE_DOWN,4887.0,4HYDUMY0xSpeBr0AMY9cUz
28,2021-11-01,Honduras,MOVE_DOWN,4886.0,4knc1Fp3kbuq8bH2byOvLu
29,2021-11-01,Honduras,MOVE_DOWN,4782.0,2MnLkFqY9Rpg9s3Zv6ZJdK
30,2021-11-01,Honduras,MOVE_UP,4696.0,7hU3IHwjX150XLoTVmjD0q
31,2021-11-01,Honduras,MOVE_UP,4663.0,2rCbl9naJYhaxjLsfx88uM
32,2021-11-01,Honduras,MOVE_DOWN,4658.0,5RubKOuDoPn5Kj5TLVxSxY
33,2021-11-01,Honduras,MOVE_DOWN,4617.0,2tFwfmceQa1Y6nRPhYbEtC
34,2021-11-01,Honduras,MOVE_DOWN,4575.0,0PwFN7vRvY80Hnkoew2x3f
35,2021-11-01,Honduras,MOVE_UP,4573.0,0eu4C55hL6x29mmeAjytzC
36,2021-11-01,Honduras,MOVE_DOWN,4536.0,798ahLNEcoFER7Vywg1FMT
37,2021-11-01,Honduras,MOVE_DOWN,4363.0,35wvL50xvKpCHEJPxLOLPI
38,2021-11-01,Honduras,MOVE_UP,4345.0,6Uj1ctrBOjOas8xZXGqKk4
39,2021-11-01,Honduras,MOVE_DOWN,4340.0,7rglLriMNBPAyuJOMGwi39
40,2021-11-01,Honduras,MOVE_DOWN,4302.0,4R8BJggjosTswLxtkw8V7P
41,2021-11-01,Honduras,MOVE_UP,4197.0,2n7ohqg1s68ToAHh4u9mcW
42,2021-11-01,Honduras,MOVE_UP,4156.0,4OwhwvKESFtuu06dTgct7i
43,2021-11-01,Honduras,MOVE_UP,4121.0,5jzEwSyyymBlf1fa1o39T2
44,2021-11-01,Honduras,MOVE_DOWN,4101.0,69vlMrzHwATKzupwNcUPyK
45,2021-11-01,Honduras,MOVE_UP,4072.0,3Vi5XqYrmQgOYBajMWSvCi
46,2021-11-01,Honduras,MOVE_DOWN,4002.0,2mL37yB3f3Lfy4iiXV02Qf
47,2021-11-01,Honduras,MOVE_UP,3952.0,43qcs9NpJhDxtG91zxFkj7
48,2021-11-01,Honduras,MOVE_DOWN,3854.0,7E9GeFGfjXw9LAI4ay6rsw
49,2021-11-01,Honduras,MOVE_DOWN,3799.0,2K1CQMoG2Dy5nmeOYnhoi8
50,2021-11-01,Honduras,SAME_POSITION,3660.0,2TH65lNHgvLxCKXM3apjxI
51,2021-11-01,Honduras,MOVE_UP,3415.0,7Bk0uXKk1uPT0XuQbpFzvs
52,2021-11-01,Honduras,MOVE_UP,3397.0,3DarAbFujv6eYNliUTyqtz
53,2021-11-01,Honduras,MOVE_UP,3391.0,41wtwzCZkXwpnakmwJ239F
