rank,trend,streams,track_id
1,SAME_POSITION,20495.0,7qiZfU4dY1lWllzX7mPBI3
2,SAME_POSITION,18324.0,6RUKPb4LETWmmr3iAEQktW
3,SAME_POSITION,13579.0,3eR23VReFzcdmS7TYCrhCe
4,SAME_POSITION,12865.0,0dA2Mk56wEzDgegdC6R17g
5,MOVE_UP,11738.0,0KKkJNfGyhkQ5aFogxQAPU
6,MOVE_DOWN,11486.0,72jbDTw1piOOj770jWNeaG
7,MOVE_UP,11291.0,1x5sYLZiu9r5E43kMlt9f8
8,MOVE_DOWN,10700.0,3NdDpSvN911VPGivFlV5d0
9,MOVE_DOWN,10251.0,7hDc8b7IXETo14hHIHdnhd
10,SAME_POSITION,9821.0,0afhq8XCExXpqazXczTSve
11,SAME_POSITION,9430.0,3ebXMykcMXOcLeJ9xZ17XH
12,SAME_POSITION,9084.0,7BKLCZ1jbUBVqRi2FVlTVw
13,MOVE_UP,8134.0,5NNlUMcOEOdoOIwwaWXv0k
14,MOVE_UP,8029.0,1sXUWdKx03aP9Gmzft58rt
15,MOVE_DOWN,7812.0,7tr2za8SQg2CI8EDgrdtNl
16,MOVE_UP,7570.0,5hYTyyh2odQKphUbMqc5gN
17,SAME_POSITION,6923.0,3VSFri2BxieCG7RtuxFMXr
18,MOVE_UP,6913.0,6PCUP3dWmTjcTtXY02oFdT
19,MOVE_UP,6705.0,0CcQNd8CINkwQfe1RDtGV6
20,MOVE_UP,6601.0,5uCax9HTNlzGybIStD3vDh
21,SAME_POSITION,6494.0,78rIJddV4X0HkNAInEcYde
22,MOVE_UP,6484.0,000xQL6tZNLJzIrtIgxqSl
23,MOVE_DOWN,6399.0,0wfbD5rAksdXUzRvMfM3x5
24,MOVE_DOWN,6206.0,0tgVpDi06FyKpA1z0VMD4v
25,SAME_POSITION,6200.0,6HUnnBwYZqcED1eQztxMBN
26,MOVE_DOWN,6153.0,5knuzwU65gJK7IF5yJsuaW
27,SAME_POSITION,5622.0,4pw59ml6lY3WnP90tfyDGP
28,MOVE_UP,5601.0,0gbBzIqrECJOEPvQJIBFs5
29,MOVE_UP,5478.0,6oHNXUrt4s5JJIM1WoOwsZ
30,MOVE_UP,5470.0,6520aj0B4FSKGVuKNsOCOi
31,SAME_POSITION,5466.0,0fg8CqpjdojMyXLNzM2PaJ
32,MOVE_UP,5436.0,1KT0xdIjm7t053xByACrrg
33,MOVE_DOWN,5380.0,5GXAXm5YOmYT0kL5jHvYBt
34,MOVE_DOWN,5243.0,4F58voptx3uo1bNiJ6i1P9
35,MOVE_UP,5160.0,3E2Zh20GDCR9B1EYjfXWyv
36,MOVE_UP,5125.0,68EMU2RD1ECNeOeJ5qAXCV
37,MOVE_DOWN,5111.0,2RttW7RAu5nOAfq6YFvApB
38,MOVE_UP,5107.0,4cjQlDvr2Zy1a1pCTHQWVa
39,MOVE_UP,5102.0,7gHs73wELdeycvS48JfIos
40,MOVE_DOWN,5097.0,584dXuCRxf0IUXRDnn1Q8u
41,MOVE_DOWN,5049.0,5aAx2yezTd8zXrkmtKl66Z
42,MOVE_DOWN,5008.0,2Ce5IyMlVRVvN997ZJjJJA
43,MOVE_UP,4985.0,3rOSwuTsUlJp0Pu0MkN8r8
44,MOVE_UP,4943.0,51ChrwmUPDJvedPQnIU8Ls
45,MOVE_DOWN,4887.0,0FuTx2s3YH1ppmtiM6l0zI
46,MOVE_UP,4815.0,6NBREJ4ZZX9sOOMw2OO8Nv
47,MOVE_DOWN,4784.0,0qepAQsUGIzofBj82iP17C
48,NEW_ENTRY,4747.0,5RLv04XXxe0Nc4W7DTBJGT
49,MOVE_DOWN,4729.0,1ivCIgrYZyE0BvItL4Z8lk
50,SAME_POSITION,4648.0,6kex4EBAj0WHXDKZMEJaaF
51,MOVE_DOWN,4619.0,0WCEaydwN65cvwaW8aqptF
52,NEW_ENTRY,4599.0,78AQlcD4vmJap3xJKAFb9t
53,MOVE_DOWN,4272.0,1zlUxL11eVVjPSPSI7tIjQ
54,NEW_ENTRY,4238.0,1XfKwj1Wnmnx4xJsrg4Jxm
55,MOVE_UP,4222.0,5Ua3GXyHwiSfpNTMjq6m2z
56,MOVE_DOWN,4208.0,1EiEkNCO1maB0Rl3XQ5f6A
57,MOVE_DOWN,4182.0,152lZdxL1OR0ZMW6KquMif
58,MOVE_DOWN,4119.0,1yNyoWWWikbLhwIGWjZuDW
59,MOVE_DOWN,4023.0,2rizacJSyD9S1IQUxUxnsK
60,MOVE_DOWN,3885.0,2gug6MRv4xQFYi9LA3PJCS
61,NEW_ENTRY,3813.0,5rq0xnLBXZtNq1YYELpK4j
62,MOVE_DOWN,3786.0,0REIm8x6V87NjNrbsWnqde
63,NEW_ENTRY,3782.0,1mSrXFejuVyMxWgwWCYgtq
64,MOVE_DOWN,3740.0,00lNx0OcTJrS3MKHcB80HY
65,MOVE_DOWN,3727.0,0gKNqldG2cL6UZGCre4rAj
66,NEW_ENTRY,3708.0,66cBlqEs1viJJCE74CDfGB
67,MOVE_DOWN,3676.0,2EEeOnHehOozLq4aS0n6SL
68,MOVE_UP,3674.0,5MFzQMkrl1FOOng9tq6R9r
69,SAME_POSITION,3664.0,0QsvXIfqM0zZoerQfsI9lm
70,NEW_ENTRY,3663.0,21pfcRjH4iqUg7EliHMI4J
71,MOVE_DOWN,3630.0,77lGafvlU68CeHgB2pkHC9
72,MOVE_UP,3624.0,1PSBzsahR2AKwLJgx8ehBj
73,MOVE_DOWN,3606.0,1Us7HBNaxMEaS4W5IUK882
74,NEW_ENTRY,3603.0,1x74lJfXZ2OFVTC85pmv6R
75,MOVE_DOWN,3589.0,1qOLh0tI7trd1zdDKxYZTe
76,MOVE_UP,3573.0,4pdPtRcBmOSQDlJ3Fk945m
77,MOVE_UP,3562.0,3R560HW2KjY1ljtXwzg19y
78,MOVE_DOWN,3561.0,0Zx8khUcEfCFK2AEoIhC92
79,SAME_POSITION,3551.0,0kN8xEmgMW9mh7UmDYHlJP
80,MOVE_DOWN,3539.0,4oR1PEGsAhLCQSFPd1fQ6X
81,MOVE_DOWN,3431.0,1lntL1cI2UIWlxjL5QiN8g
82,NEW_ENTRY,3413.0,3HwoWVPdmoNVgVeCLdGIwv
83,MOVE_DOWN,3413.0,6fxVffaTuwjgEk5h9QyRjy
84,MOVE_UP,3351.0,1Eck97uRMlprKOOJN9oO1E
85,MOVE_DOWN,3334.0,0euGAAHr3mQyhVKgq0mM5d
86,MOVE_DOWN,3305.0,2wgF570uODvVSxfd8o3eRf
87,MOVE_DOWN,3293.0,6LunoYd3xpZ19sICOXS8Xd
88,MOVE_DOWN,3290.0,2pJZ1v8HezrAoZ0Fhzby92
89,MOVE_DOWN,3284.0,1FUViuNSldssMIawrOXF2i
90,MOVE_DOWN,3266.0,5V7K0PneTnNe6GRwE7EFN8
91,MOVE_DOWN,3238.0,6TNz79kvUVVQSM2EhZQVq8
92,MOVE_DOWN,3233.0,5uMkdWf1H6JEcpcdnPOSZM
93,NEW_ENTRY,3198.0,2F0jn3uY9iNOLibZj917Nc
94,SAME_POSITION,3192.0,6b8Be6ljOzmkOmFslEb23P
95,MOVE_DOWN,3167.0,3EmmCZoqpWOTY1g2GBwJoR
96,MOVE_DOWN,3148.0,0Eum5dQqpUDgwJiUucG3QU
97,MOVE_UP,3142.0,3FiE2d325mIOc4YjkSLVJR
98,MOVE_DOWN,3135.0,7LyCtbxher5m97MImn5M3l
99,MOVE_DOWN,3123.0,0JiVRyTJcJnmlwCZ854K4p
100,MOVE_DOWN,3119.0,6wV12xIUb8oFY7lBy4KuQe
101,NEW_ENTRY,3093.0,1eMujWp9h2cSEPIiO6xOhN
102,SAME_POSITION,3053.0,1HYzRuWjmS9LXCkdVHi25K
103,SAME_POSITION,3049.0,3rQjCycDV0Ibadg6A1Nq45
104,NEW_ENTRY,3048.0,5OTlZY4moBdA3UttjlZBU9
105,MOVE_UP,3015.0,4Hf7WnR761jpxPr5D46Bcd
106,MOVE_DOWN,3010.0,1eId3TVzGrwv73YAWAVQMX
107,MOVE_DOWN,2996.0,7gMJDavVEw4jDdFp0RNFP6
108,MOVE_UP,2978.0,02q0ZnV2L4XByzEvWZJqBC
109,NEW_ENTRY,2971.0,31EoIktC1iwaRUEe2QEID6
110,MOVE_DOWN,2957.0,2XlHu0HcujBCkWMdIAvrqt
111,MOVE_UP,2950.0,6cAKeFFYW2aClZSUyvqAEW
112,MOVE_DOWN,2939.0,3a1lNhkSLSkpJE4MSHpDu9
113,MOVE_DOWN,2911.0,60APt5N2NRaKWf5xzJdzyC
114,MOVE_DOWN,2884.0,3mTmGzRwgPPqLSi7Smvkxt
115,MOVE_DOWN,2861.0,46PadaCSDaywhLtTLgltbc
116,MOVE_DOWN,2861.0,0Ye5Yf1jxFArVcNwkXwUjQ
117,MOVE_DOWN,2860.0,4BEtV1oUJkEDdmiN4nYgXi
118,MOVE_DOWN,2846.0,75ZEiExjqAGBFmjlFPZPLY
119,MOVE_DOWN,2816.0,4aWmUDTfIPGksMNLV2rQP2
120,MOVE_DOWN,2810.0,0B2fMb8KALZeoFbRv7m3iE
121,NEW_ENTRY,2805.0,7KXjTSCq5nL1LoYtL7XAwS
122,MOVE_UP,2777.0,4VuS959DSpr82t3qBqCrWG
123,MOVE_DOWN,2772.0,2gZz0IObxj6NLBN3xUd75t
124,MOVE_DOWN,2763.0,7I2sj52bMH3jOqQtn2Rg3R
125,MOVE_DOWN,2758.0,7zyYmIdjqqiX6kLryb7QBx
126,MOVE_DOWN,2732.0,331aol4yMUVA93MsVBZV9R
127,MOVE_DOWN,2708.0,5HDPtsnyb3maFmPL8LLUTG
128,MOVE_DOWN,2705.0,0VqSdtXseb9khdZrnYVyM1
129,MOVE_DOWN,2701.0,1Slwb6dOYkBlWal1PGtnNg
130,MOVE_DOWN,2692.0,6PJ8FF6UR8FZXfEvpHkIVN
131,MOVE_DOWN,2683.0,3hB5DgAiMAQ4DzYbsMq1IT
132,MOVE_DOWN,2670.0,1nMbZ9OsVNSLEyijI80EST
133,MOVE_DOWN,2663.0,2kvjuJdmaUAzCTi0MbyW7t
134,MOVE_DOWN,2655.0,53lFtfrl5Of2Hkr5eiNscQ
135,MOVE_DOWN,2649.0,6DNtNfH8hXkqOX1sjqmI7p
136,MOVE_UP,2622.0,1sYSP7gKa5kdKIfhANfori
137,NEW_ENTRY,2618.0,1jWPUI9NkBpfhW2G9Oi3sX
138,NEW_ENTRY,2603.0,3pPCfLmgwwYoU85NbBFhk2
139,MOVE_UP,2577.0,6JV2JOEocMgcZxYSZelKcc
140,MOVE_DOWN,2573.0,7oPrKydZ1xLIFXzjHLUGE5
141,MOVE_DOWN,2568.0,494OU6M7NOf4ICYb4zWCf5
142,MOVE_DOWN,2555.0,0CZt1VGIieJgj2wv3mWSUn
143,NEW_ENTRY,2555.0,1gDc7lxVWieFoXN12W6iMz
144,MOVE_DOWN,2535.0,0YVsrgp4OOUhFuYMAVQazV
145,MOVE_DOWN,2478.0,2aksifNn5ph8igDOkPBA02
146,MOVE_DOWN,2474.0,7FCfMXYTIiQ9b4hDYs4Iol
147,MOVE_UP,2472.0,1P3J7jcnPj1GooZxCWInQ5
148,MOVE_DOWN,2462.0,1zAFaIAd1kek5IEi5AwPvL
149,MOVE_DOWN,2460.0,0StuO1Spn9uXwcnR8R523C
150,MOVE_DOWN,2438.0,3CE1HoJJ0FVKo7JHsWIuvC
151,MOVE_DOWN,2420.0,3eugNE3gCkZL4DXU9nKeB2
152,MOVE_DOWN,2375.0,0LtVx5vsq9nfpGsWgjUin6
153,MOVE_DOWN,2374.0,6W2tmkeuHKaedHhdTPnyVs
