rank,trend,streams,track_id
1,SAME_POSITION,23065.0,1rgnBhdG2JDFTbYkYRZAku
2,SAME_POSITION,20512.0,7FIWs0pqAYbP91WWM0vlTQ
3,SAME_POSITION,18097.0,0nbXyq5TXYPCO7pr3N8S4I
4,SAME_POSITION,14037.0,4TnjEaWOeW0eKTKIEvJyCa
5,SAME_POSITION,13341.0,6WrI0LAC5M1Rw2MnX2ZvEg
6,MOVE_UP,13086.0,0sf12qNH5qcw8qpgymFOqD
7,MOVE_DOWN,13053.0,2Fxmhks0bxGSBdJ92vM42m
8,SAME_POSITION,11689.0,3ZCTVFBt2Brf31RLEnCkWJ
9,MOVE_UP,10757.0,696DnlkuDOXcMAnKlTgXXK
10,MOVE_DOWN,10480.0,5px6upUHM3fhOP621Edp4V
11,SAME_POSITION,10441.0,2b8fOow8UzyDFAE27YhOZM
12,MOVE_DOWN,10322.0,7CHi4DtfK4heMlQaudCuHK
13,MOVE_UP,10004.0,6v3KW9xbzN5yKLt9YKDYA2
14,SAME_POSITION,9933.0,24Yi9hE78yPEbZ4kxyoXAI
15,MOVE_DOWN,9750.0,5yY9lUy8nbvjM1Uyo1Uqoc
16,MOVE_DOWN,9342.0,4FKC5sLNhKntZHZNxyHO5t
17,MOVE_UP,9029.0,3yOlyBJuViE2YSGn3nVE1K
18,MOVE_UP,8934.0,21jGcNKet2qwijlDFuPiPb
19,MOVE_UP,8883.0,0GsltzHgCGCiQvskZggDDj
20,MOVE_UP,8852.0,41L3O37CECZt3N7ziG2z7l
21,MOVE_UP,8649.0,7MYHbKllkLFFdM4LfGhkMW
22,MOVE_DOWN,8617.0,25dMOeb3nDs8BPjxrQyOjR
23,MOVE_DOWN,8048.0,6Z2iQdW2G2HCtfz6YxJsHK
24,MOVE_UP,7987.0,7lidXGPXPYLNThITAOTlkK
25,MOVE_DOWN,7876.0,2tnVG71enUj33Ic2nFN6kZ
26,SAME_POSITION,7328.0,7qEHsqek33rTcFNT9PFqLf
27,SAME_POSITION,6739.0,4wNIkl5XGiAACjFBlDWuSd
28,MOVE_UP,6721.0,285pBltuF7vW8TeWk8hdRR
29,MOVE_UP,6562.0,0hVXuCcriWRGvwMV1r5Yn9
30,MOVE_DOWN,6407.0,4l0Mvzj72xxOpRrp6h8nHi
31,SAME_POSITION,6380.0,6LcauUZjF1eXQrgqMUecHX
32,MOVE_UP,6249.0,1DFD5Fotzgn6yYXkYsKiGs
33,MOVE_DOWN,6124.0,7HMmFQsKsljwTw8bS7lu19
34,MOVE_DOWN,6118.0,6cy3ki60hLwimwIje7tALf
35,SAME_POSITION,6013.0,1iSqfoUFnQwV0QW1EfUit8
36,MOVE_UP,5952.0,51Fjme0JiitpyXKuyQiCDo
37,MOVE_UP,5873.0,70eFcWOvlMObDhURTqT4Fv
38,SAME_POSITION,5774.0,4gY9fdFTRmdyXKTmxRa4oI
39,MOVE_DOWN,5774.0,43zdsphuZLzwA9k4DJhU0I
40,MOVE_UP,5748.0,2YpeDb67231RjR0MgVLzsG
41,MOVE_DOWN,5706.0,3eekarcy7kvN4yt5ZFzltW
42,MOVE_DOWN,5646.0,1YO5hgAhxTRErZKKWyrMnu
43,SAME_POSITION,5439.0,0u2P5u6lvoDfwTYjAADbn4
44,MOVE_UP,5365.0,0AcgqhxWT7uikecp7MNT82
45,MOVE_UP,5289.0,0qaWEvPkts34WF68r8Dzx9
46,MOVE_UP,5115.0,3jjujdWJ72nww5eGnfs2E7
47,MOVE_UP,5066.0,4pM0ZrNCyFwXrQ8nPfb6v1
48,MOVE_DOWN,5001.0,2gMXnyrvIjhVBUZwvLZDMP
49,MOVE_UP,4909.0,3Dv1eDb0MEgF93GpLXlucZ
50,MOVE_UP,4819.0,6Rtnef1MG3uILFVv4NPcZf
51,MOVE_UP,4736.0,6Gg1gjgKi2AK4e0qzsR7sd
52,MOVE_DOWN,4702.0,0mjAU3yKR1QnXnHtjGJqTM
53,MOVE_UP,4696.0,25sgk305KZfyuqVBQIahim
54,MOVE_DOWN,4488.0,3cqPu20DGTGUoZtbJH2Dmi
55,MOVE_DOWN,4485.0,3oCLp8UO1RdZC4EYxgVu3v
