rank,date,region,trend,streams,track_id
1,2021-05-01,Hungary,SAME_POSITION,25220.0,67BtfxlNbhBmCDR2L2l8qd
2,2021-05-01,Hungary,SAME_POSITION,18679.0,0VcZUeaVzBil5tN3LCzkFm
3,2021-05-01,Hungary,MOVE_UP,18261.0,3VT8hOC5vuDXBsHrR53WFh
4,2021-05-01,Hungary,MOVE_DOWN,18022.0,4cG7HUWYHBV6R6tHn1gxrl
5,2021-05-01,Hungary,SAME_POSITION,16753.0,6f3Slt0GbA2bPZlz0aIFXN
6,2021-05-01,Hungary,MOVE_UP,15173.0,5nujrmhLynf4yMoMtj8AQF
7,2021-05-01,Hungary,MOVE_UP,13853.0,4iJyoBOLtHqaGxP12qzhQI
8,2021-05-01,Hungary,SAME_POSITION,13448.0,2WDRZdUzRYiv3JkdaMXU9p
9,2021-05-01,Hungary,MOVE_DOWN,12462.0,5qNh5WtzMbfpSj2jLlBkoD
10,2021-05-01,Hungary,MOVE_UP,12130.0,6ft4hAq6yde8jPZY2i5zLr
11,2021-05-01,Hungary,MOVE_DOWN,11996.0,6cx06DFPPHchuUAcTxznu9
12,2021-05-01,Hungary,MOVE_UP,11549.0,5YaskwnGDZFDRipaqzbwQx
13,2021-05-01,Hungary,MOVE_DOWN,11365.0,748mdHapucXQri7IAO8yFK
14,2021-05-01,Hungary,SAME_POSITION,11277.0,6i7zAdNhzUN2k1HcrBxPHG
15,2021-05-01,Hungary,MOVE_UP,10282.0,0VjIjW4GlUZAMYd2vXMi3b
16,2021-05-01,Hungary,SAME_POSITION,10051.0,37BZB0z9T8Xu7U3e65qxFy
17,2021-05-01,Hungary,MOVE_UP,9719.0,4jPy3l0RUwlUI9T5XHBW2m
18,2021-05-01,Hungary,MOVE_UP,9669.0,2pPO9YecZimmuVQfIzfV6U
19,2021-05-01,Hungary,MOVE_DOWN,9162.0,0853L9QuAoYUkHIA4d8aDO
20,2021-05-01,Hungary,MOVE_UP,9091.0,3iw6V4LH7yPj1ESORX9RIN
21,2021-05-01,Hungary,MOVE_DOWN,8698.0,43PGPuHIlVOc04jrZVh9L6
22,2021-05-01,Hungary,MOVE_UP,8569.0,78Jj0xPR2y4KMAtYuWpRly
23,2021-05-01,Hungary,MOVE_UP,8145.0,3H7ihDc1dqLriiWXwsc2po
24,2021-05-01,Hungary,MOVE_UP,7925.0,7a53HqqArd4b9NF4XAmlbI
25,2021-05-01,Hungary,MOVE_UP,7882.0,1KixkQVDUHggZMU9dUobgm
26,2021-05-01,Hungary,MOVE_DOWN,7846.0,5QO79kh1waicV47BqGRL3g
27,2021-05-01,Hungary,MOVE_DOWN,7791.0,1v1oIWf2Xgh54kIWuKsDf6
28,2021-05-01,Hungary,MOVE_DOWN,7639.0,7hxHWCCAIIxFLCzvDgnQHX
29,2021-05-01,Hungary,MOVE_UP,7520.0,7lPN2DXiMsVn7XUKtOW1CS
30,2021-05-01,Hungary,MOVE_UP,7415.0,0zLCBJZSiELJf02ucPP9wb
31,2021-05-01,Hungary,MOVE_UP,7341.0,51Of5p3lKZeOg6itfs4og4
32,2021-05-01,Hungary,MOVE_UP,7302.0,6UelLqGlWMcVH1E5c4H7lY
