rank,date,region,trend,streams,track_id
1,2020-09-01,Iceland,SAME_POSITION,9270.0,4Oun2ylbjFKMPTiaSbbCih
2,2020-09-01,Iceland,MOVE_UP,6212.0,5rZlwNFl01HqLWBQGryKSm
3,2020-09-01,Iceland,MOVE_DOWN,6138.0,3tjFYV6RSFtuktYl3ZtYcq
4,2020-09-01,Iceland,MOVE_UP,4956.0,1Npam5jB2EPMTCIX0ljlRL
5,2020-09-01,Iceland,MOVE_DOWN,4952.0,0PvFJmanyNQMseIFrU708S
6,2020-09-01,Iceland,SAME_POSITION,4722.0,2DQNYMRjisN3KAPj1bEwOI
7,2020-09-01,Iceland,SAME_POSITION,4706.0,2SAqBLGA283SUiwJ3xOUVI
8,2020-09-01,Iceland,SAME_POSITION,4350.0,7DRDJ5ZzU7mj7CfRxGYzOY
9,2020-09-01,Iceland,SAME_POSITION,3836.0,25zlnOAzbVoOzIeXSvQFf1
10,2020-09-01,Iceland,MOVE_UP,3625.0,1H7KnK26kc1YyellpbINEn
11,2020-09-01,Iceland,MOVE_DOWN,3612.0,78hq6WVo04puawK6nhcbTV
12,2020-09-01,Iceland,SAME_POSITION,3564.0,1xQ6trAsedVPCdbtDAmk0c
13,2020-09-01,Iceland,SAME_POSITION,3359.0,57dAeJeBWPpXoyNNjKP1wO
14,2020-09-01,Iceland,MOVE_UP,3280.0,4xqrdfXkTW4T0RauPLv3WA
15,2020-09-01,Iceland,MOVE_DOWN,3229.0,0VjIjW4GlUZAMYd2vXMi3b
16,2020-09-01,Iceland,MOVE_UP,3103.0,5dPMGUpSV58vMTW3CgGqTZ
17,2020-09-01,Iceland,MOVE_UP,3082.0,7ytR5pFWmSjzHJIeQkgog4
18,2020-09-01,Iceland,MOVE_DOWN,3041.0,6UelLqGlWMcVH1E5c4H7lY
19,2020-09-01,Iceland,MOVE_UP,2882.0,79s5XnCN4TJKTVMSmOx8Ep
20,2020-09-01,Iceland,MOVE_DOWN,2822.0,6N22FZs2ZhPBYi3b9XPajV
21,2020-09-01,Iceland,SAME_POSITION,2716.0,6wQlQrTY5mVS8EGaFZVwVF
22,2020-09-01,Iceland,MOVE_UP,2402.0,2Y0wPrPQBrGhoLn14xRYCG
23,2020-09-01,Iceland,MOVE_DOWN,2399.0,2U5WueTLIK5WJLD7mvDODv
24,2020-09-01,Iceland,MOVE_DOWN,2396.0,6ofMKJjMpfDEb48JYEAgjX
25,2020-09-01,Iceland,SAME_POSITION,2261.0,45bE4HXI0AwGZXfZtMp8JR
26,2020-09-01,Iceland,MOVE_UP,2231.0,59qrUpoplZxbIZxk6X0Bm3
27,2020-09-01,Iceland,SAME_POSITION,2206.0,2Wo6QQD1KMDWeFkkjLqwx5
28,2020-09-01,Iceland,MOVE_UP,2142.0,35RJhm1pEovTBwnNR0zWad
29,2020-09-01,Iceland,MOVE_UP,2106.0,7szuecWAPwGoV1e5vGu8tl
30,2020-09-01,Iceland,MOVE_UP,2090.0,2MbdDtCv5LUVjYy9RuGTgC
31,2020-09-01,Iceland,MOVE_DOWN,2045.0,61mHxWqjGPpUrfFnLat10J
32,2020-09-01,Iceland,MOVE_UP,2025.0,3H7ihDc1dqLriiWXwsc2po
33,2020-09-01,Iceland,MOVE_DOWN,2005.0,551xyaSJsg8hILXFq9JdST
34,2020-09-01,Iceland,MOVE_DOWN,1994.0,3DWjFSDEQ9IWz1mj449fB7
35,2020-09-01,Iceland,MOVE_UP,1911.0,2lNCEYRbreAVKpAvrPe9Dp
36,2020-09-01,Iceland,SAME_POSITION,1897.0,0IUAdvkP1zFvt07BRgTfam
37,2020-09-01,Iceland,SAME_POSITION,1866.0,5kkaSMcf4BFlhRRICCKZb6
