rank,date,region,trend,streams,track_id
1,2019-12-01,India,SAME_POSITION,125032.0,6E7P1uT2afeor2t6wR2y2r
2,2019-12-01,India,SAME_POSITION,119611.0,0WdbnNKO0Jt4BZACSDQh44
3,2019-12-01,India,SAME_POSITION,115431.0,6E9UwSfT80age2xknoMS7Y
4,2019-12-01,India,SAME_POSITION,98409.0,2b8fOow8UzyDFAE27YhOZM
5,2019-12-01,India,SAME_POSITION,97730.0,0ZHILXmUaVSLEOCWxPQ1ga
6,2019-12-01,India,SAME_POSITION,96541.0,2Fv2injs4qAm8mJBGaxVKU
7,2019-12-01,India,MOVE_UP,81435.0,6v3KW9xbzN5yKLt9YKDYA2
8,2019-12-01,India,MOVE_DOWN,79936.0,57vxBYXtHMk6H1aD29V7PU
9,2019-12-01,India,SAME_POSITION,78025.0,7lGhrfren1Zpwh0ds0zuUg
10,2019-12-01,India,MOVE_UP,67585.0,7IAJzec1UxGYmNvbPTHbxx
11,2019-12-01,India,SAME_POSITION,66917.0,0sf12qNH5qcw8qpgymFOqD
12,2019-12-01,India,MOVE_UP,66387.0,0TkquWzzuxcrwbCWlTrKYF
13,2019-12-01,India,SAME_POSITION,64603.0,1feANd8EfcDP5UqSvbheM3
14,2019-12-01,India,MOVE_DOWN,62817.0,3ZCTVFBt2Brf31RLEnCkWJ
15,2019-12-01,India,SAME_POSITION,61344.0,5QVHNa0ppJUOoqSd36ovQS
16,2019-12-01,India,MOVE_UP,61153.0,5djZm1zFGcJUSUqbBjrAZH
17,2019-12-01,India,MOVE_DOWN,60507.0,21jGcNKet2qwijlDFuPiPb
18,2019-12-01,India,SAME_POSITION,59572.0,4OcvkkpF3xmyCGGY5IBlgi
19,2019-12-01,India,MOVE_UP,57670.0,2tjWCe2W7sgvS3C8NHcdtI
20,2019-12-01,India,SAME_POSITION,57647.0,7ltu5scschhmNWp5rp8rVF
21,2019-12-01,India,MOVE_DOWN,55876.0,1HfMVBKM75vxSfsQ5VefZ5
22,2019-12-01,India,SAME_POSITION,55069.0,2IoZMG3RqiTmsy7Li3zGFg
23,2019-12-01,India,SAME_POSITION,53456.0,3f0wz6zcA7XkQiGm0qNF5r
24,2019-12-01,India,SAME_POSITION,52757.0,696DnlkuDOXcMAnKlTgXXK
25,2019-12-01,India,SAME_POSITION,50862.0,6AooRgSRDzbCYL4NZ4RCjU
