rank,date,region,trend,streams,track_id
1,2020-05-01,Indonesia,SAME_POSITION,206193.0,7eJMfftS33KTjuF7lTsMCx
2,2020-05-01,Indonesia,SAME_POSITION,157732.0,4umIPjkehX1r7uhmGvXiSV
3,2020-05-01,Indonesia,SAME_POSITION,152020.0,6Aw5k0jkFceYayaJoRupLT
4,2020-05-01,Indonesia,SAME_POSITION,143861.0,4J12uL4aNKzRco173fPyYQ
5,2020-05-01,Indonesia,MOVE_UP,142123.0,7iTF9T1jum3Km6H6WMZpDC
6,2020-05-01,Indonesia,MOVE_DOWN,140924.0,1Cv1YLb4q0RzL6pybtaMLo
7,2020-05-01,Indonesia,SAME_POSITION,139274.0,7qEHsqek33rTcFNT9PFqLf
8,2020-05-01,Indonesia,MOVE_UP,139034.0,4DpNNXFMMxQEKl7r0ykkWA
9,2020-05-01,Indonesia,MOVE_DOWN,131330.0,5drW6PGRxkE6MxttzVLNk5
10,2020-05-01,Indonesia,MOVE_DOWN,130462.0,5iFwAOB2TFkPJk8sMlxP8g
11,2020-05-01,Indonesia,MOVE_UP,129544.0,7ksK7gpPDFdY4JLHr1hKfY
12,2020-05-01,Indonesia,MOVE_DOWN,124939.0,4nK5YrxbMGZstTLbvj6Gxw
13,2020-05-01,Indonesia,MOVE_DOWN,117526.0,2rRJrJEo19S2J82BDsQ3F7
14,2020-05-01,Indonesia,SAME_POSITION,111237.0,1tS1dRfxIV9FzqdYTbJgMn
15,2020-05-01,Indonesia,SAME_POSITION,104093.0,2b8fOow8UzyDFAE27YhOZM
16,2020-05-01,Indonesia,SAME_POSITION,102378.0,4qgIQcskrvj6nlypTvBm5k
17,2020-05-01,Indonesia,SAME_POSITION,99745.0,4vh193RZbEEBanSG0719Wh
18,2020-05-01,Indonesia,SAME_POSITION,97921.0,696DnlkuDOXcMAnKlTgXXK
19,2020-05-01,Indonesia,SAME_POSITION,95111.0,5sgRYOTpFZRROlndD460KI
20,2020-05-01,Indonesia,SAME_POSITION,94789.0,3Dv1eDb0MEgF93GpLXlucZ
21,2020-05-01,Indonesia,SAME_POSITION,90936.0,3c4cBEObUsLU8O5I2yQP3l
