rank,trend,streams,track_id
1,SAME_POSITION,60757.0,7ef4DlsgrMEH11cDZd32M6
2,SAME_POSITION,51114.0,7dt6x5M1jzdTEt8oCbisTK
3,SAME_POSITION,49479.0,5SxkdsY1ufZzoq9iXceLw9
4,SAME_POSITION,46530.0,1cTZMwcBJT0Ka3UJPXOeeN
5,SAME_POSITION,41140.0,3swc6WTsr7rl9DqQKQA55C
6,MOVE_UP,36844.0,3fpVWegR6YOS1Yk5HSMYIq
7,MOVE_DOWN,36662.0,10Igtw8bSDyyFs7KIsKngZ
8,MOVE_UP,34494.0,6SFStUDQZNaGPKWOx9ZiJB
9,MOVE_DOWN,33271.0,38zwkK6TtTjIW9tpYBfZ3D
10,SAME_POSITION,30471.0,08bNPGLD8AhKpnnERrAc6G
11,MOVE_DOWN,29837.0,0e7ipj03S05BNilyu5bRzt
12,MOVE_UP,29166.0,5xzCzOAOfRi4DOttSzvznR
13,MOVE_DOWN,29042.0,4H7WNRErSbONkM06blBoGc
14,SAME_POSITION,28534.0,45Egmo7icyopuzJN0oMEdk
15,MOVE_UP,27768.0,2ARqIya5NAuvFVHSN3bL0m
16,SAME_POSITION,27520.0,2XW4DbS6NddZxRPm5rMCeY
17,MOVE_DOWN,27167.0,09IOPhEh1OMe0HD9b36FJk
18,MOVE_DOWN,27104.0,1HagMz5nWk1HmevNCBOxF3
19,SAME_POSITION,27067.0,5CLGzJsGqhCEECcpnFQA8x
20,MOVE_DOWN,25490.0,5VuxWXbt7XENQCtE9TzpTv
21,SAME_POSITION,24914.0,2VdT56BGpdqNHUgOe1j5vc
22,SAME_POSITION,23034.0,5lZZmityu9TAjNvSY6GLhR
23,SAME_POSITION,22603.0,6IaieqiCVvsNvEt6Y7yOFa
24,MOVE_UP,21521.0,58q2HKrzhC3ozto2nDdN4z
25,MOVE_DOWN,20907.0,688QpQAwqsLdBR6lr13wK1
26,MOVE_DOWN,20326.0,5ffntNJnJOeFv7b7DCd0Bw
27,MOVE_UP,20227.0,63SevszngYpZOwf63o61K4
28,MOVE_DOWN,20016.0,4qWCFTuNnmGNdY4egtb4ZY
29,MOVE_DOWN,19792.0,32lItqlMi4LBhb4k0BaSaC
30,MOVE_DOWN,19496.0,1D2L6MefbXon28PzIk9I3r
31,MOVE_UP,18671.0,6RnkFd8Fqqgk1Uni8RgqCQ
32,MOVE_DOWN,18486.0,1ZemPoaj7LBj1RAQrb89EC
33,MOVE_UP,18286.0,7iDa6hUg2VgEL1o1HjmfBn
34,MOVE_UP,18014.0,76cy1WJvNGJTj78UqeA5zr
35,MOVE_DOWN,17713.0,1gm616Plq4ScqNi7TVkZ5N
36,MOVE_UP,16772.0,6xTU6B6nFwKKTSZ9ySXS80
37,MOVE_UP,16495.0,1LhMopPAallLeaeNutqbgS
38,MOVE_DOWN,16329.0,0MrRAUcB8AZiB9ue2VOBYe
39,MOVE_DOWN,16299.0,7yotKA30dwTKNEGomV9ZsI
40,SAME_POSITION,16039.0,6QgjcU0zLnzq5OrUoSZ3OK
41,MOVE_UP,15956.0,5s9ZfQasBGM8YLNAhXx7or
42,MOVE_DOWN,15926.0,79jX8RM5CgPqDKdGEKNW9K
43,MOVE_UP,14171.0,2ekn2ttSfGqwhhate0LSR0
44,MOVE_UP,14145.0,3GCdLUSnKSMJhs4Tj6CV3s
45,MOVE_UP,13960.0,3soOPBuMK8YMdWnV7xpEyf
46,MOVE_DOWN,13631.0,6g1NlCpW7fgqDnWbCCDrHl
47,MOVE_UP,13167.0,2og9I9rQwr2XdTLJUupfT1
48,MOVE_DOWN,13059.0,0R6Jlsq25eZB3Wftpxi3oF
49,MOVE_DOWN,13050.0,1rfofaqEpACxVEHIZBJe6W
50,MOVE_UP,12510.0,43cFjTTCD9Cni4aSL0sORz
51,MOVE_UP,12195.0,3ee8Jmje8o58CHK66QrVC2
52,MOVE_UP,11282.0,4qKcDkK6siZ7Jp1Jb4m0aL
53,MOVE_UP,11148.0,6tvQzeCPwOytDlBYCIOY0n
54,MOVE_UP,11005.0,3uYDO9dPLTVrgfwg7EYXSf
55,MOVE_DOWN,10996.0,2Yl4OmDby9iitgNWZPwxkd
56,MOVE_UP,10980.0,55S2PQgSMYAhgoTCcGCDfw
57,MOVE_DOWN,10916.0,3fJaqjV813edLN5wrxUPkc
58,MOVE_UP,10563.0,2aeKv96tpmi1T3ctpAZBqB
59,SAME_POSITION,10539.0,6Hgh47WXVKtXN5zGOu0hjI
60,MOVE_UP,10409.0,5AEtlRudpgdT5FtNiuly6Y
61,MOVE_UP,10239.0,7qiZfU4dY1lWllzX7mPBI3
62,MOVE_DOWN,10237.0,4ofwffwvvnbSkrMSCKQDaC
63,SAME_POSITION,10179.0,33IOhptvC2Qoy2UhjiHXLV
64,MOVE_UP,10075.0,2xGjteMU3E1tkEPVFBO08U
65,MOVE_UP,9794.0,75ZvA4QfFiZvzhj2xkaWAh
