rank,date,region,trend,streams,track_id
1,2018-11-01,Ireland,SAME_POSITION,67386.0,2VxeLyX666F8uXCJ0dZF8B
2,2018-11-01,Ireland,SAME_POSITION,43080.0,2dpaYNEQHiRxtZbfNsse99
3,2018-11-01,Ireland,MOVE_UP,39386.0,0d2iYfpKoM0QCKvcLCkBao
4,2018-11-01,Ireland,MOVE_DOWN,38999.0,5N5k9nd479b1xpDZ4usjrg
5,2018-11-01,Ireland,SAME_POSITION,37041.0,6rrTr2HEAzlpC4KWZxF3S1
6,2018-11-01,Ireland,SAME_POSITION,36745.0,6xtcFXSo8H9BZN637BMVKS
7,2018-11-01,Ireland,SAME_POSITION,33014.0,5N4erncE7kuUccm7zEmwzk
8,2018-11-01,Ireland,MOVE_UP,31302.0,3EPXxR3ImUwfayaurPi3cm
9,2018-11-01,Ireland,SAME_POSITION,30587.0,4M8x1TR36VMQMFMbGCdoyA
10,2018-11-01,Ireland,MOVE_DOWN,29828.0,1A6OTy97kk0mMdm78rHsm8
11,2018-11-01,Ireland,SAME_POSITION,29489.0,2LskIZrCeLxRvCiGP8gxlh
12,2018-11-01,Ireland,SAME_POSITION,29476.0,2rbDhOo9Fh61Bbu23T2qCk
13,2018-11-01,Ireland,MOVE_UP,28313.0,6zeeWid2sgw4lap2jV61PZ
14,2018-11-01,Ireland,MOVE_DOWN,27236.0,0E9ZjEAyAwOXZ7wJC0PD33
15,2018-11-01,Ireland,SAME_POSITION,25255.0,5p7ujcrUXASCNwRaWNHR1C
16,2018-11-01,Ireland,SAME_POSITION,24471.0,7K7MUBCnzgBAvMVW2RTWNs
17,2018-11-01,Ireland,MOVE_UP,23985.0,4S8d14HvHb70ImctNgVzQQ
18,2018-11-01,Ireland,MOVE_UP,23383.0,7l3E7lcozEodtVsSTCkcaA
19,2018-11-01,Ireland,MOVE_UP,22781.0,4ofwffwvvnbSkrMSCKQDaC
20,2018-11-01,Ireland,MOVE_UP,22734.0,1rqqCSm0Qe4I9rUvWncaom
21,2018-11-01,Ireland,MOVE_UP,22613.0,5CpkVOosLFc83LbwqO6hnI
22,2018-11-01,Ireland,MOVE_UP,22032.0,13hvHEstJ4sNbzdroPrPI3
23,2018-11-01,Ireland,MOVE_DOWN,21966.0,4w8niZpiMy6qz1mntFA5uM
24,2018-11-01,Ireland,MOVE_UP,19806.0,2xLMifQCjDGFmkHkpNLD9h
25,2018-11-01,Ireland,MOVE_UP,18991.0,7vSm2hckpPHTrIHpqmqOze
26,2018-11-01,Ireland,MOVE_UP,18357.0,3QlF2ExmrRP0RM7ffv7y0Q
27,2018-11-01,Ireland,MOVE_UP,17892.0,14JzyD6FlBD5z0wV5P07YI
28,2018-11-01,Ireland,MOVE_UP,17639.0,25sgk305KZfyuqVBQIahim
29,2018-11-01,Ireland,MOVE_UP,17558.0,5tAa8Uaqr4VvA3693mbIhU
30,2018-11-01,Ireland,MOVE_UP,17394.0,0s3nnoMeVWz3989MkNQiRf
31,2018-11-01,Ireland,SAME_POSITION,17248.0,4OafepJy2teCjYJbvFE60J
32,2018-11-01,Ireland,MOVE_UP,16988.0,4AhSkRYioEIfGvCV19peYN
33,2018-11-01,Ireland,MOVE_DOWN,16853.0,05mAIVLkIWc2d1UBYZBCp8
