rank,trend,streams,track_id
1,SAME_POSITION,16282.0,1rgnBhdG2JDFTbYkYRZAku
2,MOVE_UP,12104.0,2WBNUsV0WH7Cmjr71viWfC
3,MOVE_DOWN,11425.0,6v3KW9xbzN5yKLt9YKDYA2
4,MOVE_UP,9801.0,67dg9xeMIRXjcQbmbWtBFW
5,MOVE_DOWN,9513.0,3eekarcy7kvN4yt5ZFzltW
6,MOVE_UP,9418.0,7Ck421SAROdN0Q6RXMbic7
7,MOVE_DOWN,9391.0,21jGcNKet2qwijlDFuPiPb
8,MOVE_DOWN,9249.0,0USBNSmk6buxHeANl7Rxnm
9,MOVE_UP,8962.0,51Fjme0JiitpyXKuyQiCDo
10,MOVE_UP,8940.0,7556sPhMiUgR8bh0WakpcG
11,MOVE_UP,8864.0,52n4gF126eIllrGuc9Zus6
12,MOVE_DOWN,8587.0,0q3yDDxPh0k5nvgh2SPcsS
13,MOVE_DOWN,8396.0,1HfMVBKM75vxSfsQ5VefZ5
14,MOVE_UP,8230.0,706pZPUcsKsREHM8RqHaY0
15,MOVE_DOWN,8019.0,2b8fOow8UzyDFAE27YhOZM
16,MOVE_UP,7875.0,2Fxmhks0bxGSBdJ92vM42m
17,MOVE_DOWN,7692.0,70eFcWOvlMObDhURTqT4Fv
18,SAME_POSITION,7640.0,0cOboDrs3BuNLNh1sAbNEP
19,MOVE_UP,7616.0,6gMor38fgBdx5EZYV3MJno
20,MOVE_UP,7387.0,1YBHjsD9R7kEgGnXBlONjy
21,SAME_POSITION,7191.0,02hXZxgl6XwtAdK9y2sb6B
22,MOVE_UP,7027.0,3UEYFJsF12eG1L0zrqlLPZ
23,MOVE_DOWN,6836.0,0hVXuCcriWRGvwMV1r5Yn9
24,MOVE_UP,6578.0,4wbwpr0XVY7QJjtkTzE2AQ
25,NEW_ENTRY,6542.0,6WrI0LAC5M1Rw2MnX2ZvEg
26,MOVE_DOWN,6380.0,7qEHsqek33rTcFNT9PFqLf
27,MOVE_DOWN,6372.0,7LzouaWGFCy4tkXDOOnEyM
