rank,date,region,trend,streams,track_id
1,2021-05-01,Israel,MOVE_UP,25943.0,66iaD8MCoVnBtqUhuzdglT
2,2021-05-01,Israel,MOVE_UP,25442.0,67BtfxlNbhBmCDR2L2l8qd
3,2021-05-01,Israel,MOVE_DOWN,25085.0,1peEkDKW4oCV3qzpuIiN3H
4,2021-05-01,Israel,SAME_POSITION,23582.0,4iJyoBOLtHqaGxP12qzhQI
5,2021-05-01,Israel,SAME_POSITION,21292.0,3VT8hOC5vuDXBsHrR53WFh
6,2021-05-01,Israel,SAME_POSITION,20507.0,7kJ3RSCzrosxxkNgJtQ53v
7,2021-05-01,Israel,SAME_POSITION,19144.0,7v63pRo1RXcYzrCxaMkGc5
8,2021-05-01,Israel,SAME_POSITION,17743.0,2qmJ2h1UdncRMPI2DMRWvK
9,2021-05-01,Israel,SAME_POSITION,16304.0,5YSXUtpMFyztO3OFY3V4hc
10,2021-05-01,Israel,MOVE_UP,14500.0,4qAHhdpiGcbzqwjqmwuXwj
11,2021-05-01,Israel,MOVE_UP,14407.0,74pfNNxGlwSyokwtqxHcDa
12,2021-05-01,Israel,MOVE_UP,14383.0,6f3Slt0GbA2bPZlz0aIFXN
13,2021-05-01,Israel,MOVE_DOWN,14298.0,1rmxF8VNLZ2gXwwzqGJ9tJ
14,2021-05-01,Israel,MOVE_DOWN,14142.0,5qNh5WtzMbfpSj2jLlBkoD
15,2021-05-01,Israel,MOVE_UP,13978.0,4L4dPjtEVEpZ0ER2deHAJA
16,2021-05-01,Israel,MOVE_DOWN,13826.0,09PZuKctf7D3RAdaegN7zu
17,2021-05-01,Israel,MOVE_UP,13385.0,7MAibcTli4IisCtbHKrGMh
18,2021-05-01,Israel,MOVE_UP,13226.0,748mdHapucXQri7IAO8yFK
19,2021-05-01,Israel,MOVE_UP,12737.0,0VjIjW4GlUZAMYd2vXMi3b
20,2021-05-01,Israel,MOVE_UP,12452.0,5nujrmhLynf4yMoMtj8AQF
21,2021-05-01,Israel,MOVE_UP,12234.0,20rg6HNd837eX34TA5tEVf
