rank,date,region,trend,streams,track_id
1,2017-11-01,Italy,SAME_POSITION,194189.0,5IKWRPO5NGaeNIXF4rkbfZ
2,2017-11-01,Italy,MOVE_UP,137031.0,70huitTbZpfifVHwVzZdtV
3,2017-11-01,Italy,MOVE_DOWN,136470.0,4f7xpneUOcob0RoRyae6ax
4,2017-11-01,Italy,MOVE_DOWN,117047.0,7wGoVu4Dady5GV0Sv4UIsx
5,2017-11-01,Italy,MOVE_UP,96194.0,1lwpe8mLgHhytakM7m6R3W
6,2017-11-01,Italy,MOVE_DOWN,94425.0,5SDCeGVT08a1RMXIBJF2O5
7,2017-11-01,Italy,MOVE_DOWN,89914.0,0ofbQMrRDsUaVKq2mGLEAb
8,2017-11-01,Italy,MOVE_DOWN,83285.0,2ekn2ttSfGqwhhate0LSR0
9,2017-11-01,Italy,MOVE_UP,82952.0,7uVq49zkZEC4hI0v2exJv8
10,2017-11-01,Italy,MOVE_DOWN,81099.0,1j4kHkkpqZRBwE0A4CN4Yv
11,2017-11-01,Italy,MOVE_UP,78921.0,7lA4RALtzRl7IrqSVm96AY
12,2017-11-01,Italy,MOVE_DOWN,75432.0,6De0lHrwBfPfrhorm9q1Xl
13,2017-11-01,Italy,MOVE_UP,71775.0,6cjyaU5VscMdHi69q2w5Fo
14,2017-11-01,Italy,MOVE_UP,70800.0,5xyExId5XWZplBvjmbIuy6
15,2017-11-01,Italy,MOVE_UP,70487.0,0tgVpDi06FyKpA1z0VMD4v
16,2017-11-01,Italy,MOVE_UP,70003.0,0YOUE1TlkgSbkNvWkZkEVp
17,2017-11-01,Italy,MOVE_DOWN,67954.0,3PEgB3fkiojxms35ntsTgs
18,2017-11-01,Italy,MOVE_UP,65544.0,1S2VLr8j9KVbroLn76RF4i
19,2017-11-01,Italy,MOVE_UP,65113.0,43ZyHQITOjhciSUUNPVRHc
20,2017-11-01,Italy,MOVE_DOWN,63212.0,6WbADFqMvR8N5u0BvtsWQE
21,2017-11-01,Italy,MOVE_DOWN,62957.0,0Qh38w01QRXK6KHIv0e3hb
22,2017-11-01,Italy,MOVE_UP,62259.0,7hH6PsrlKQdNlvESUYKz79
23,2017-11-01,Italy,MOVE_DOWN,61892.0,0CokSRCu5hZgPxcZBaEzVE
24,2017-11-01,Italy,MOVE_UP,61806.0,4nnu4hEwa5oejaEMpizXxY
25,2017-11-01,Italy,MOVE_UP,59450.0,0tKcYR2II1VCQWT79i5NrW
26,2017-11-01,Italy,MOVE_DOWN,58856.0,7nZmah2llfvLDiUjm0kiyz
27,2017-11-01,Italy,SAME_POSITION,57871.0,6pBlce4wuq7xQehbnPhXTx
28,2017-11-01,Italy,MOVE_UP,56829.0,7EmGUiUaOSGDnUUQUDrOXC
29,2017-11-01,Italy,MOVE_DOWN,56662.0,4k6PNRmrzBRezOB32uvuaC
30,2017-11-01,Italy,MOVE_DOWN,55844.0,7G8g5Zrr5rj2OoKoXGnRb1
31,2017-11-01,Italy,SAME_POSITION,54763.0,0mel2N9Ws9r4yLQn5QE21Y
