rank,trend,streams,track_id
1,SAME_POSITION,609003.0,1x3Qb8np6S1UvpSLthwEJN
2,SAME_POSITION,486186.0,4p0o4pBoJPxYMXKhYbRzzw
3,SAME_POSITION,434662.0,6qdMhG7pRFi0csRlFGvLE4
4,SAME_POSITION,380641.0,2opRyiaqpnQCH0jfCY9Wjd
5,SAME_POSITION,347830.0,4iMigesJsEKt8JczIwUrBO
6,SAME_POSITION,327532.0,3fxSSvnUS7ALxmhOckb7t6
7,MOVE_UP,310102.0,38UoVEHcZ85EGBo6k79643
8,MOVE_DOWN,302029.0,6Y3E68GAhdvbJramkIOKJK
9,SAME_POSITION,293181.0,4pt5fDVTg5GhEvEtlz9dKk
10,SAME_POSITION,278716.0,7BKGYx89QYgfdnpVo3zapq
11,SAME_POSITION,270977.0,3H6wIwh1C3GVJI0LaWQF7P
12,MOVE_UP,259827.0,43mGIsFZwISk1WWTcAK728
13,MOVE_DOWN,258678.0,0pmtvLQaPHx6nqZmi2KDbr
14,MOVE_DOWN,251481.0,5Wml9i3afqwcm8UNDD1GXw
15,SAME_POSITION,245205.0,6uS2uan3JwpHko4E8Bg0UR
16,SAME_POSITION,242419.0,7xtDBQTR47nZwpBRu6pOdO
17,SAME_POSITION,239691.0,3Wrjm47oTz2sjIgck11l5e
18,SAME_POSITION,226822.0,0xfMlIW8lS40qvpsUw1l0X
19,MOVE_UP,221576.0,1ktyKCzfI8hooCJP3X2yP5
20,MOVE_DOWN,205827.0,3WZ0y6ycgr5PpOeygirDvu
21,MOVE_DOWN,199660.0,6PQ88X9TkUIAUIZJHW2upE
22,MOVE_UP,193628.0,5PjdY0CKGZdEuoNab3yDmX
23,MOVE_UP,190934.0,71r3UlkV7sWvUYjas5paqi
24,MOVE_DOWN,189410.0,3cqu5fPwdsXZHIRpDeXPoh
25,MOVE_DOWN,188839.0,6VAdJCy8hFSxTNsxlBADSE
26,MOVE_DOWN,183402.0,2UbVnbE5FH6008mAm6Mmgw
27,SAME_POSITION,179745.0,2g7xewu0kXt7Uo3X8MBlgj
28,SAME_POSITION,177730.0,63mdY4U0KvnbMkUEc7FHN8
29,SAME_POSITION,167917.0,0k6Ru4EOidm7czaSvDjTX1
30,SAME_POSITION,166261.0,43ic0un1f9Nak0ZCQgvKjY
31,SAME_POSITION,162748.0,1stFp5p3h2svKierTqfEN6
32,SAME_POSITION,159691.0,6OYZvwKN8GaauTrJS1TuuH
33,SAME_POSITION,159669.0,3EyZw5sCXxOkE8EWsOIkB1
34,MOVE_UP,151851.0,776AftMmFFAWUIEAb3lHhw
35,MOVE_DOWN,150071.0,4cG7HUWYHBV6R6tHn1gxrl
36,MOVE_UP,149276.0,6HVRRlc2sBlkcKEkhlsp86
37,MOVE_UP,149216.0,6KLjClrXcuXiX4PWGHtmDk
38,MOVE_DOWN,148772.0,1h9HxkDH67X8cig593BBOb
39,MOVE_UP,148450.0,3c1hhyuDTsP3hqRztpg2S5
40,MOVE_DOWN,146958.0,34fqJK3MV1eToqwBm6vo33
41,MOVE_DOWN,144062.0,67BtfxlNbhBmCDR2L2l8qd
42,MOVE_UP,139012.0,1uXJYnCsXy2v50y0fDEEiV
43,MOVE_DOWN,136019.0,7MC4XR9M9amdmKQr2iDF7i
44,MOVE_DOWN,135187.0,7J4zszAZxAyowZp7gNUIUI
45,MOVE_UP,128035.0,4rstEjIOddR5CuzzLv2bhS
46,MOVE_DOWN,126391.0,5YaskwnGDZFDRipaqzbwQx
