rank,date,region,trend,streams,track_id
1,2020-10-01,Japan,SAME_POSITION,268940.0,3dPtXHP0oXQ4HCWHsOA9js
2,2020-10-01,Japan,SAME_POSITION,265451.0,0t1kP63rueHleOhQkYSXFY
3,2020-10-01,Japan,SAME_POSITION,210079.0,4Jv7U0JJpbQnOrjtDwDZTZ
4,2020-10-01,Japan,SAME_POSITION,197743.0,2iOvMtA1u9s95NF6mJDOuT
5,2020-10-01,Japan,SAME_POSITION,190219.0,4FrxgrNbNrdfq8093JaEJf
6,2020-10-01,Japan,SAME_POSITION,178397.0,1rd3RSjrOShIUG8rG9FvDI
7,2020-10-01,Japan,MOVE_UP,162772.0,6F0aYmicNttntvth7FXQEx
8,2020-10-01,Japan,MOVE_DOWN,162360.0,4pRqq3MwcqitKqNO8rOrOb
9,2020-10-01,Japan,SAME_POSITION,158680.0,15HNdxGKNCIO9pgaY4n7FU
10,2020-10-01,Japan,SAME_POSITION,154978.0,278JqkBGkjDovOYAwE8TW7
11,2020-10-01,Japan,SAME_POSITION,144639.0,1SdwlHsv8bWHbAlIw5Jfgo
12,2020-10-01,Japan,SAME_POSITION,136825.0,4wel6DQu0dMVBRVn2ZTPoy
13,2020-10-01,Japan,MOVE_UP,135986.0,7tGDXCPLpAScEwmqab9YZd
14,2020-10-01,Japan,MOVE_DOWN,135855.0,6uUtmCz8XXep7n1QmC1jJG
15,2020-10-01,Japan,MOVE_DOWN,134734.0,0T4AitQuq8IJhWBWuZwkFA
16,2020-10-01,Japan,SAME_POSITION,130763.0,2Gmyw5Vg2X5YW2lM3OC7nD
17,2020-10-01,Japan,SAME_POSITION,127785.0,4KyCrwLEWoGHJwobxc55oe
18,2020-10-01,Japan,MOVE_UP,124831.0,65e5PmFI3cqoLEJYF3TfCG
19,2020-10-01,Japan,MOVE_UP,122686.0,7HneEBTvTra2CRYsxgMOAi
20,2020-10-01,Japan,MOVE_UP,120506.0,3NP2nqAgMELIV3MAhrFNMx
21,2020-10-01,Japan,MOVE_DOWN,119503.0,0XaHPBAzPAC5ubwcRBqc1p
22,2020-10-01,Japan,MOVE_UP,118866.0,2cKiHG16JBiqHdi7Llq0r7
23,2020-10-01,Japan,SAME_POSITION,115769.0,3Ys2PYl1wyPKQIwyqhP9cQ
24,2020-10-01,Japan,MOVE_UP,114965.0,1sIIlVrnPhrvmTrHtzM7tV
25,2020-10-01,Japan,MOVE_UP,113092.0,4rvtqOGyTPZJwWtVTNdZbu
