rank,trend,streams,track_id
1,MOVE_UP,3342.0,3A7qX2QjDlPnazUsRk5y0M
2,MOVE_DOWN,3303.0,0tKcYR2II1VCQWT79i5NrW
3,SAME_POSITION,3125.0,5CtI0qwDJkDQGwXD1H1cLb
4,MOVE_UP,2964.0,6jA8HL9i4QGzsj6fjoxp8Y
5,MOVE_UP,2782.0,5bcTCxgc7xVfSaMV3RuVke
6,MOVE_UP,2765.0,1OAh8uOEOvTDqkKFsKksCi
7,MOVE_UP,2686.0,4q8PHoRsPUB52LFylX8Ulz
8,MOVE_DOWN,2615.0,1F2HXIJrE2Xn81OzT2zZvW
9,MOVE_UP,2475.0,3DXncPQOG4VBw3QHh3S817
10,SAME_POSITION,2453.0,4xlrALxuaCf9yZBHJeTSG6
11,SAME_POSITION,2343.0,4iLqG9SeJSnt0cSPICSjxv
12,MOVE_UP,2331.0,79cuOz3SPQTuFrp8WgftAu
13,MOVE_DOWN,2284.0,6Na5uKk5SsqZimk0hAWo8y
14,SAME_POSITION,2217.0,0CcQNd8CINkwQfe1RDtGV6
15,MOVE_UP,2067.0,6EpRaXYhGOB3fj4V2uDkMJ
16,MOVE_UP,2034.0,0lMbuWUpfTWhEmOKxppEau
17,MOVE_UP,2025.0,1NDxZ7cFAo481dtYWdrUnR
18,MOVE_UP,2008.0,7tr2za8SQg2CI8EDgrdtNl
19,MOVE_UP,1949.0,2eMwDehkIC1j68U6FA3Eiq
20,MOVE_DOWN,1920.0,4c2W3VKsOFoIg2SFaO6DY5
21,SAME_POSITION,1883.0,2kVHAQKVtczchKctctzbtK
22,MOVE_UP,1877.0,3Ytr1SUCUi6J3L9dRFx5iH
23,MOVE_UP,1869.0,1sCxVKWImDZSZKvG0U9B23
24,MOVE_DOWN,1866.0,167NczpNbRF7oWakJaY3Hh
25,MOVE_DOWN,1840.0,2habSXqcJGExM6JJyskY7O
26,MOVE_DOWN,1807.0,0dA2Mk56wEzDgegdC6R17g
27,MOVE_UP,1801.0,3bWAqKDWg6u1davspr5IkS
28,MOVE_DOWN,1794.0,3kxfsdsCpFgN412fpnW85Y
29,MOVE_DOWN,1742.0,6XOYVSmNDjKUNMXooU4s4z
