rank,date,region,trend,streams,track_id
1,2021-01-01,Lithuania,MOVE_UP,3473.0,6f3Slt0GbA2bPZlz0aIFXN
2,2021-01-01,Lithuania,MOVE_UP,2792.0,6zFMeegAMYQo0mt8rXtrli
3,2021-01-01,Lithuania,MOVE_DOWN,2724.0,0VjIjW4GlUZAMYd2vXMi3b
4,2021-01-01,Lithuania,MOVE_UP,2626.0,54bFM56PmE4YLRnqpW6Tha
5,2021-01-01,Lithuania,MOVE_UP,2408.0,7hxHWCCAIIxFLCzvDgnQHX
6,2021-01-01,Lithuania,MOVE_UP,2241.0,6vbbR3jddnbgawiDY5LCmv
7,2021-01-01,Lithuania,MOVE_UP,2213.0,3tjFYV6RSFtuktYl3ZtYcq
8,2021-01-01,Lithuania,MOVE_UP,2108.0,4KfmruShP5zOi9hYjM76e6
9,2021-01-01,Lithuania,MOVE_DOWN,2049.0,6cx06DFPPHchuUAcTxznu9
10,2021-01-01,Lithuania,MOVE_UP,2044.0,6ft4hAq6yde8jPZY2i5zLr
11,2021-01-01,Lithuania,SAME_POSITION,1976.0,35mvY5S1H3J2QZyna3TFe0
12,2021-01-01,Lithuania,MOVE_UP,1966.0,25xDvdW2KVCPaC7kCgVNQ3
13,2021-01-01,Lithuania,MOVE_DOWN,1957.0,6UelLqGlWMcVH1E5c4H7lY
14,2021-01-01,Lithuania,MOVE_UP,1898.0,2QjOHCTQ1Jl3zawyYOpxh6
15,2021-01-01,Lithuania,SAME_POSITION,1872.0,5nujrmhLynf4yMoMtj8AQF
16,2021-01-01,Lithuania,SAME_POSITION,1853.0,6n8I3K81Zfb54V7M96qwzm
17,2021-01-01,Lithuania,MOVE_DOWN,1829.0,0zLCBJZSiELJf02ucPP9wb
18,2021-01-01,Lithuania,MOVE_UP,1819.0,27OeeYzk6klgBh83TSvGMA
19,2021-01-01,Lithuania,MOVE_DOWN,1812.0,6Im9k8u9iIzKMrmV7BWtlF
20,2021-01-01,Lithuania,MOVE_UP,1799.0,5vGLcdRuSbUhD8ScwsGSdA
21,2021-01-01,Lithuania,MOVE_UP,1777.0,6HlE9t71z9DjGi7KqSyEpA
22,2021-01-01,Lithuania,MOVE_UP,1755.0,2kS6td1yvmpNgZTt1q5pQq
23,2021-01-01,Lithuania,MOVE_DOWN,1695.0,20McUFi8KCIVdNDLrkTDuZ
24,2021-01-01,Lithuania,MOVE_UP,1656.0,0E4Y1XIbs8GrAT1YqVy6dq
25,2021-01-01,Lithuania,MOVE_DOWN,1654.0,7uoFMmxln0GPXQ0AcCBXRq
26,2021-01-01,Lithuania,MOVE_DOWN,1640.0,2Oycxb8QbPkpHTo8ZrmG0B
27,2021-01-01,Lithuania,MOVE_DOWN,1624.0,1tkg4EHVoqnhR6iFEXb60y
28,2021-01-01,Lithuania,MOVE_UP,1604.0,5E30LdtzQTGqRvNd7l6kG5
29,2021-01-01,Lithuania,MOVE_UP,1591.0,45bE4HXI0AwGZXfZtMp8JR
30,2021-01-01,Lithuania,MOVE_UP,1559.0,4saklk6nie3yiGePpBwUoc
31,2021-01-01,Lithuania,MOVE_DOWN,1533.0,7Gpl4rvyOI9rVcOz0wjwAZ
32,2021-01-01,Lithuania,MOVE_DOWN,1529.0,6i7zAdNhzUN2k1HcrBxPHG
33,2021-01-01,Lithuania,MOVE_UP,1518.0,48q0vSHcJdhK3IiXH8C5WJ
34,2021-01-01,Lithuania,MOVE_DOWN,1504.0,4AsvGVDWs16fqIiIdDzyvX
35,2021-01-01,Lithuania,MOVE_DOWN,1500.0,0ofHAoxe9vBkTCp2UQIavz
36,2021-01-01,Lithuania,MOVE_UP,1497.0,0PvFJmanyNQMseIFrU708S
37,2021-01-01,Lithuania,SAME_POSITION,1449.0,1HbA4N1MiOsPthALesGFR1
38,2021-01-01,Lithuania,MOVE_UP,1447.0,6lBIEqVATQY9RbEHl0uHCr
39,2021-01-01,Lithuania,MOVE_DOWN,1430.0,59qrUpoplZxbIZxk6X0Bm3
40,2021-01-01,Lithuania,MOVE_UP,1422.0,4vLBnQtece15fFhqWxZvJP
41,2021-01-01,Lithuania,MOVE_DOWN,1416.0,7ytR5pFWmSjzHJIeQkgog4
42,2021-01-01,Lithuania,MOVE_DOWN,1396.0,0vWUhCPxpJOJR5urYbZypB
43,2021-01-01,Lithuania,NEW_ENTRY,1391.0,31qCy5ZaophVA81wtlwLc4
44,2021-01-01,Lithuania,MOVE_DOWN,1385.0,4Oun2ylbjFKMPTiaSbbCih
45,2021-01-01,Lithuania,MOVE_UP,1374.0,6evDsE1JN4CqOTuRgV3GqY
46,2021-01-01,Lithuania,MOVE_UP,1341.0,1ko2lVN0vKGUl9zrU0qSlT
47,2021-01-01,Lithuania,MOVE_DOWN,1305.0,3H7ihDc1dqLriiWXwsc2po
48,2021-01-01,Lithuania,MOVE_UP,1289.0,6A1LBRnievVc5EA0QRBbKN
49,2021-01-01,Lithuania,MOVE_DOWN,1275.0,45S5WTQEGOB1VHr1Q4FuPl
50,2021-01-01,Lithuania,MOVE_DOWN,1268.0,3Uo7WG0vmLQ07WB4BDwy7D
