rank,trend,streams,track_id
1,SAME_POSITION,5250.0,67BtfxlNbhBmCDR2L2l8qd
2,SAME_POSITION,4237.0,4iJyoBOLtHqaGxP12qzhQI
3,MOVE_UP,3914.0,4cG7HUWYHBV6R6tHn1gxrl
4,MOVE_DOWN,3213.0,3VT8hOC5vuDXBsHrR53WFh
5,MOVE_DOWN,2839.0,43PGPuHIlVOc04jrZVh9L6
6,MOVE_UP,2207.0,6f3Slt0GbA2bPZlz0aIFXN
7,MOVE_UP,2091.0,748mdHapucXQri7IAO8yFK
8,MOVE_DOWN,2043.0,6Vcxzw4ifKqYxVrp3ckpVF
9,SAME_POSITION,2011.0,5nujrmhLynf4yMoMtj8AQF
10,MOVE_UP,1996.0,5YaskwnGDZFDRipaqzbwQx
11,MOVE_DOWN,1950.0,5QO79kh1waicV47BqGRL3g
12,MOVE_UP,1822.0,4MzXwWMhyBbmu6hOcLVD49
13,MOVE_UP,1818.0,5uEYRdEIh9Bo4fpjDd4Na9
14,MOVE_UP,1780.0,7MAibcTli4IisCtbHKrGMh
15,MOVE_DOWN,1768.0,3iw6V4LH7yPj1ESORX9RIN
16,MOVE_DOWN,1763.0,27OeeYzk6klgBh83TSvGMA
17,NEW_ENTRY,1674.0,37BZB0z9T8Xu7U3e65qxFy
18,MOVE_UP,1603.0,360oH1CqXe9XXzbbi6hvyr
19,MOVE_DOWN,1563.0,1J14CdDAvBTE1AJYUOwl6C
20,MOVE_DOWN,1553.0,6Tio0ZoDeSQnI7EBAqWer2
21,MOVE_DOWN,1550.0,3FAJ6O0NOHQV8Mc5Ri6ENp
22,MOVE_DOWN,1550.0,0VjIjW4GlUZAMYd2vXMi3b
23,MOVE_DOWN,1546.0,7lPN2DXiMsVn7XUKtOW1CS
24,MOVE_DOWN,1544.0,2pPO9YecZimmuVQfIzfV6U
25,MOVE_UP,1503.0,5SFXOMJJ334Wn2PwBHeRZN
26,MOVE_DOWN,1501.0,1v1oIWf2Xgh54kIWuKsDf6
27,MOVE_UP,1480.0,2vBET2pmrQqafaS6zIaYta
28,MOVE_UP,1452.0,4jPy3l0RUwlUI9T5XHBW2m
29,MOVE_DOWN,1447.0,6ft4hAq6yde8jPZY2i5zLr
30,MOVE_DOWN,1386.0,6cx06DFPPHchuUAcTxznu9
31,MOVE_DOWN,1365.0,3J8EOeKLTLXORtWPpOU5bE
32,MOVE_DOWN,1350.0,3CVb6hkMrlF7eHhXi5B3PZ
33,MOVE_DOWN,1325.0,61KpQadow081I2AsbeLcsb
34,MOVE_UP,1265.0,7hxHWCCAIIxFLCzvDgnQHX
35,MOVE_DOWN,1260.0,6UelLqGlWMcVH1E5c4H7lY
36,SAME_POSITION,1246.0,6fRxMU4LWwyaSSowV441IU
37,NEW_ENTRY,1209.0,74s9JZEtZEN5gS4Lbx87wC
38,MOVE_DOWN,1204.0,4Lt6GXGzYsa1tgkv3nGSTm
39,MOVE_UP,1172.0,1KixkQVDUHggZMU9dUobgm
40,NEW_ENTRY,1165.0,1M4OcYkxAtu3ErzSgDEfoi
41,MOVE_DOWN,1162.0,1t9WgS8FN0534tLBRwbaxO
42,NEW_ENTRY,1131.0,0b18g3G5spr4ZCkz7Y6Q0Q
43,NEW_ENTRY,1129.0,02MWAaffLxlfxAUY7c5dvx
44,NEW_ENTRY,1125.0,0ZqL6UhrqydZE4DaXvCMeT
45,MOVE_DOWN,1100.0,1nahzW3kfMuwReTka28tH5
46,MOVE_DOWN,1083.0,26hbmLeqiz8loWjFshsegF
47,NEW_ENTRY,1077.0,1iAyJBksvAI6DQEnzv8l1E
48,NEW_ENTRY,1074.0,3F1P0QzdXtBz0MXy7KIO5w
49,NEW_ENTRY,1070.0,7qEHsqek33rTcFNT9PFqLf
50,NEW_ENTRY,1034.0,7ytR5pFWmSjzHJIeQkgog4
51,NEW_ENTRY,1034.0,6tDDoYIxWvMLTdKpjFkc1B
52,NEW_ENTRY,1032.0,5cpJFiNwYyWwFLH0V6B3N8
1,SAME_POSITION,5091.0,67BtfxlNbhBmCDR2L2l8qd
2,SAME_POSITION,4286.0,4iJyoBOLtHqaGxP12qzhQI
3,SAME_POSITION,3500.0,4cG7HUWYHBV6R6tHn1gxrl
4,SAME_POSITION,3169.0,3VT8hOC5vuDXBsHrR53WFh
5,SAME_POSITION,2585.0,43PGPuHIlVOc04jrZVh9L6
6,SAME_POSITION,2299.0,6f3Slt0GbA2bPZlz0aIFXN
7,MOVE_UP,2021.0,5nujrmhLynf4yMoMtj8AQF
8,MOVE_DOWN,2016.0,748mdHapucXQri7IAO8yFK
9,MOVE_UP,2002.0,5YaskwnGDZFDRipaqzbwQx
10,MOVE_UP,1975.0,5QO79kh1waicV47BqGRL3g
11,MOVE_UP,1939.0,5uEYRdEIh9Bo4fpjDd4Na9
12,SAME_POSITION,1858.0,4MzXwWMhyBbmu6hOcLVD49
13,MOVE_UP,1772.0,3iw6V4LH7yPj1ESORX9RIN
14,SAME_POSITION,1765.0,7MAibcTli4IisCtbHKrGMh
15,MOVE_DOWN,1763.0,6Vcxzw4ifKqYxVrp3ckpVF
16,SAME_POSITION,1748.0,27OeeYzk6klgBh83TSvGMA
17,MOVE_UP,1658.0,6Tio0ZoDeSQnI7EBAqWer2
18,MOVE_UP,1648.0,0VjIjW4GlUZAMYd2vXMi3b
19,MOVE_DOWN,1603.0,360oH1CqXe9XXzbbi6hvyr
20,MOVE_UP,1603.0,2vBET2pmrQqafaS6zIaYta
