rank,date,region,trend,streams,track_id
1,2019-10-01,Malaysia,SAME_POSITION,51578.0,6v3KW9xbzN5yKLt9YKDYA2
2,2019-10-01,Malaysia,SAME_POSITION,49422.0,7qEHsqek33rTcFNT9PFqLf
3,2019-10-01,Malaysia,SAME_POSITION,49294.0,21jGcNKet2qwijlDFuPiPb
4,2019-10-01,Malaysia,SAME_POSITION,46902.0,4a6q8CR2hzLk2plDkSxkfD
5,2019-10-01,Malaysia,SAME_POSITION,43464.0,6moU77g9RQyMzHNuKEaQKq
6,2019-10-01,Malaysia,SAME_POSITION,41167.0,13j4wsiG0BjaDb04YZWIXV
7,2019-10-01,Malaysia,SAME_POSITION,38418.0,6b2RcmUt1g9N9mQ3CbjX2Y
8,2019-10-01,Malaysia,SAME_POSITION,37524.0,2b8fOow8UzyDFAE27YhOZM
9,2019-10-01,Malaysia,MOVE_UP,33855.0,70eFcWOvlMObDhURTqT4Fv
10,2019-10-01,Malaysia,MOVE_DOWN,33122.0,14rWuS6yllHOdfZ8sZsZUj
11,2019-10-01,Malaysia,SAME_POSITION,32421.0,65pndcjVsNEJpwxfTgcdv0
12,2019-10-01,Malaysia,MOVE_UP,32195.0,6vBdBCoOhKHiYDDOcorfNo
13,2019-10-01,Malaysia,MOVE_DOWN,31988.0,1Hy1CBFRXYvFL7eJT5MLlG
14,2019-10-01,Malaysia,MOVE_UP,30093.0,3VK96nMFmP34P4dq2zrAWu
15,2019-10-01,Malaysia,MOVE_DOWN,28984.0,56wVfJKtnwlSZtC4NVgIrf
16,2019-10-01,Malaysia,SAME_POSITION,28660.0,5KawlOMHjWeUjQtnuRs22c
17,2019-10-01,Malaysia,SAME_POSITION,27072.0,1dGr1c8CrMLDpV6mPbImSI
18,2019-10-01,Malaysia,SAME_POSITION,26781.0,0hVXuCcriWRGvwMV1r5Yn9
19,2019-10-01,Malaysia,SAME_POSITION,26351.0,3NkJNL3WqO1Lqc3uNDxvCN
20,2019-10-01,Malaysia,SAME_POSITION,25648.0,0y675KDleCZEudjoeL1sQQ
21,2019-10-01,Malaysia,SAME_POSITION,24025.0,0Ryd8975WihbObpp5cPW1t
22,2019-10-01,Malaysia,SAME_POSITION,23566.0,3znQ9i61vfe2E7URHlOiyc
23,2019-10-01,Malaysia,SAME_POSITION,23333.0,322tcqPhma7F6hfCeLisx0
24,2019-10-01,Malaysia,SAME_POSITION,22926.0,6wo37KVqFJhtuxPTpLCcfe
25,2019-10-01,Malaysia,MOVE_UP,22055.0,7LzouaWGFCy4tkXDOOnEyM
26,2019-10-01,Malaysia,MOVE_DOWN,21912.0,6JgWlZevrjV6nr6NiNf5Ji
27,2019-10-01,Malaysia,SAME_POSITION,21325.0,72pv4E0eBIcE9z8V4tPHui
28,2019-10-01,Malaysia,SAME_POSITION,21074.0,5aqyWj7t8VP1OXfazIdVPV
29,2019-10-01,Malaysia,SAME_POSITION,20473.0,7atRIv41QhbeccbS5IuhDY
30,2019-10-01,Malaysia,MOVE_UP,20317.0,7KhHA3mzt7A3LFlOJEAKpI
31,2019-10-01,Malaysia,MOVE_UP,20019.0,1000nHvUdawXuUHgBod4Wv
32,2019-10-01,Malaysia,MOVE_DOWN,19917.0,0RiRZpuVRbi7oqRdSMwhQY
33,2019-10-01,Malaysia,SAME_POSITION,19618.0,05mDaV9Vb3wrzjF6OPZnhq
34,2019-10-01,Malaysia,MOVE_UP,18819.0,1SNiXDwSilLujcYdvfqVpT
35,2019-10-01,Malaysia,MOVE_DOWN,18499.0,2Fxmhks0bxGSBdJ92vM42m
36,2019-10-01,Malaysia,MOVE_DOWN,18359.0,0IrKOI4EEUtOcbBgJPoGfy
37,2019-10-01,Malaysia,MOVE_UP,17938.0,7aiClxsDWFRQ0Kzk5KI5ku
38,2019-10-01,Malaysia,MOVE_DOWN,17669.0,18uwL0vNUanqZH0ro2QcOP
39,2019-10-01,Malaysia,MOVE_DOWN,17499.0,1Nsxb1VpKkvNa2Wbau37e1
40,2019-10-01,Malaysia,MOVE_UP,16461.0,0lks2Kt9veMOFEAPN0fsqN
41,2019-10-01,Malaysia,MOVE_DOWN,16435.0,6Cqs92zBngMCQEmMw1DgWF
42,2019-10-01,Malaysia,MOVE_UP,16406.0,6ocbgoVGwYJhOv1GgI9NsF
43,2019-10-01,Malaysia,SAME_POSITION,16378.0,1uru26I2JKd2mQZt0MDCUe
44,2019-10-01,Malaysia,MOVE_DOWN,16372.0,4pUCKHjJ4Ijewc37rRrvHn
45,2019-10-01,Malaysia,MOVE_UP,15335.0,0uUNN1nSoUx1A4fkDCWDQ7
46,2019-10-01,Malaysia,SAME_POSITION,15162.0,0Rx0DJI556Ix5gBny6EWmn
47,2019-10-01,Malaysia,MOVE_DOWN,15124.0,5p7ujcrUXASCNwRaWNHR1C
48,2019-10-01,Malaysia,MOVE_UP,14863.0,3xaugmCyXrVkrDTXbFkMW3
49,2019-10-01,Malaysia,MOVE_UP,14631.0,5qrSlOut2rNAWv3ubArkNy
50,2019-10-01,Malaysia,MOVE_DOWN,14534.0,2bT1PH7Cw3J9p3t7nlXCdh
51,2019-10-01,Malaysia,MOVE_DOWN,13963.0,6wyr4ReB05D9sJB1Rsmcqo
52,2019-10-01,Malaysia,SAME_POSITION,13913.0,5uCax9HTNlzGybIStD3vDh
53,2019-10-01,Malaysia,MOVE_UP,13902.0,1rgnBhdG2JDFTbYkYRZAku
54,2019-10-01,Malaysia,MOVE_DOWN,13498.0,38KjN4qf4PlCiPPjdYZs0s
55,2019-10-01,Malaysia,MOVE_UP,13216.0,2Rk4JlNc2TPmZe2af99d45
56,2019-10-01,Malaysia,MOVE_DOWN,12947.0,0TMGV2zMZXOILVtQLtkI3G
57,2019-10-01,Malaysia,MOVE_DOWN,12823.0,2P91MQbaiQOfbiz9VqhqKQ
58,2019-10-01,Malaysia,MOVE_DOWN,12613.0,7COXchtUOMd6uIT6HvmRaI
59,2019-10-01,Malaysia,MOVE_UP,12585.0,2VxeLyX666F8uXCJ0dZF8B
60,2019-10-01,Malaysia,MOVE_UP,12241.0,69vToJ9BMbbLlFZo7k7A7B
61,2019-10-01,Malaysia,MOVE_DOWN,12188.0,2BgEsaKNfHUdlh97KmvFyo
62,2019-10-01,Malaysia,MOVE_DOWN,12047.0,0rKtyWc8bvkriBthvHKY8d
63,2019-10-01,Malaysia,MOVE_UP,11984.0,6V9fHiv84WlVTg7CSnIVY2
64,2019-10-01,Malaysia,MOVE_DOWN,11882.0,1BxfuPKGuaTgP7aM0Bbdwr
65,2019-10-01,Malaysia,MOVE_UP,11784.0,26wLOs3ZuHJa2Ihhx6QIE6
66,2019-10-01,Malaysia,MOVE_DOWN,11252.0,2qxmye6gAegTMjLKEBoR3d
67,2019-10-01,Malaysia,MOVE_UP,11137.0,2FXd6kKCtBIc6UfN1gH1pA
68,2019-10-01,Malaysia,MOVE_DOWN,11083.0,6DMLbqPhFrTtCjLgxKH7yy
69,2019-10-01,Malaysia,MOVE_UP,10787.0,7bkMHgu8zZ0GzXxUIPfgYs
70,2019-10-01,Malaysia,MOVE_UP,10754.0,1mXVgsBdtIVeCLJnSnmtdV
71,2019-10-01,Malaysia,SAME_POSITION,10753.0,22vgEDb5hykfaTwLuskFGD
72,2019-10-01,Malaysia,MOVE_UP,10740.0,3527pohmaz4y4tnoksEYGA
73,2019-10-01,Malaysia,MOVE_UP,10718.0,0u2P5u6lvoDfwTYjAADbn4
74,2019-10-01,Malaysia,MOVE_UP,10712.0,6Qs4SXO9dwPj5GKvVOv8Ki
75,2019-10-01,Malaysia,MOVE_DOWN,10656.0,4VUwkH455At9kENOfzTqmF
76,2019-10-01,Malaysia,MOVE_DOWN,10575.0,1iWHabUgUuuKLBa0TzTHfk
77,2019-10-01,Malaysia,MOVE_UP,10440.0,0tgVpDi06FyKpA1z0VMD4v
78,2019-10-01,Malaysia,MOVE_DOWN,10393.0,6RRNNciQGZEXnqk8SQ9yv5
79,2019-10-01,Malaysia,SAME_POSITION,10335.0,1DVHCvTwuwtZrpYDV4irH5
80,2019-10-01,Malaysia,MOVE_UP,10317.0,3e9HZxeyfWwjeyPAMmWSSQ
81,2019-10-01,Malaysia,MOVE_UP,10262.0,1ZLrDPgR7mvuTco3rQK8Pk
82,2019-10-01,Malaysia,MOVE_DOWN,10197.0,15xWRPHQMeqgdkGzInx3PY
83,2019-10-01,Malaysia,SAME_POSITION,10181.0,3BKsYn5TBpZ6BZHNgF5J6k
84,2019-10-01,Malaysia,MOVE_UP,10077.0,3yNZ5r3LKfdmjoS3gkhUCT
85,2019-10-01,Malaysia,MOVE_UP,10063.0,4fwo6czG5nvOQMzhOto1ya
86,2019-10-01,Malaysia,MOVE_DOWN,10031.0,6TqXcAFInzjp0bODyvrWEq
87,2019-10-01,Malaysia,MOVE_UP,9981.0,4jp4Z02kzzg8gK0NmDGgml
88,2019-10-01,Malaysia,MOVE_DOWN,9942.0,25sgk305KZfyuqVBQIahim
89,2019-10-01,Malaysia,MOVE_DOWN,9807.0,7FGq80cy8juXBCD2nrqdWU
90,2019-10-01,Malaysia,MOVE_UP,9744.0,7CZyCXKG6d5ALeq41sLzbw
91,2019-10-01,Malaysia,MOVE_DOWN,9708.0,2iECqZwGqfoSTjJ0Mal8Cn
92,2019-10-01,Malaysia,SAME_POSITION,9674.0,4zRZAmBQP8vhNPf9i9opXt
93,2019-10-01,Malaysia,MOVE_DOWN,9593.0,3id2EVGKc3eFAMn9nFnB0r
94,2019-10-01,Malaysia,MOVE_UP,9536.0,5PYQUBXc7NYeI1obMKSJK0
95,2019-10-01,Malaysia,MOVE_UP,9422.0,4GxgD9RR2Np2rLJ75qcTQi
96,2019-10-01,Malaysia,MOVE_UP,9274.0,6fxVffaTuwjgEk5h9QyRjy
97,2019-10-01,Malaysia,MOVE_DOWN,9271.0,2dpaYNEQHiRxtZbfNsse99
98,2019-10-01,Malaysia,MOVE_UP,8983.0,6zeeWid2sgw4lap2jV61PZ
99,2019-10-01,Malaysia,MOVE_UP,8961.0,7sWRlDoTDX8geTR8zzr2vt
100,2019-10-01,Malaysia,MOVE_DOWN,8887.0,3BBahK6YhmPosOymF45cMu
101,2019-10-01,Malaysia,MOVE_UP,8864.0,3Yj9qGguEdgRUI3wEXKvb2
102,2019-10-01,Malaysia,MOVE_DOWN,8785.0,4tNXntkAzQ5A2dfYRYGIIQ
103,2019-10-01,Malaysia,MOVE_DOWN,8635.0,2YpeDb67231RjR0MgVLzsG
104,2019-10-01,Malaysia,MOVE_UP,8607.0,2IAumRplFr0Ns09kKgt2je
