rank,trend,streams,track_id
1,SAME_POSITION,58973.0,7eJMfftS33KTjuF7lTsMCx
2,SAME_POSITION,46202.0,4umIPjkehX1r7uhmGvXiSV
3,SAME_POSITION,42607.0,3Dv1eDb0MEgF93GpLXlucZ
4,SAME_POSITION,39759.0,2rRJrJEo19S2J82BDsQ3F7
5,SAME_POSITION,39643.0,4nK5YrxbMGZstTLbvj6Gxw
6,SAME_POSITION,38835.0,3PfIrDoz19wz7qK7tYeu62
7,SAME_POSITION,36078.0,0VjIjW4GlUZAMYd2vXMi3b
8,MOVE_UP,32580.0,7qEHsqek33rTcFNT9PFqLf
9,MOVE_DOWN,31882.0,696DnlkuDOXcMAnKlTgXXK
10,MOVE_UP,31270.0,1Cv1YLb4q0RzL6pybtaMLo
11,MOVE_DOWN,31094.0,2gMXnyrvIjhVBUZwvLZDMP
12,MOVE_UP,29637.0,0nbXyq5TXYPCO7pr3N8S4I
13,MOVE_DOWN,29161.0,1rgnBhdG2JDFTbYkYRZAku
14,SAME_POSITION,29146.0,2b8fOow8UzyDFAE27YhOZM
15,SAME_POSITION,27497.0,6tCssnvTUREcperDOUTqvA
16,SAME_POSITION,27010.0,21jGcNKet2qwijlDFuPiPb
17,MOVE_UP,27003.0,69BJoXhAnVxwRlnv11qAjJ
18,MOVE_DOWN,27000.0,16wAOAZ2OkqoIDN7TpChjR
19,SAME_POSITION,25259.0,017PF4Q3l4DBUiWoXk4OWT
20,SAME_POSITION,23992.0,7szuecWAPwGoV1e5vGu8tl
21,SAME_POSITION,23721.0,5iFwAOB2TFkPJk8sMlxP8g
22,MOVE_UP,23411.0,24Yi9hE78yPEbZ4kxyoXAI
23,SAME_POSITION,22595.0,4a6q8CR2hzLk2plDkSxkfD
24,MOVE_DOWN,22310.0,3ZCTVFBt2Brf31RLEnCkWJ
25,MOVE_DOWN,22226.0,2alc8VZAzDgdAsL2QMk3hu
26,MOVE_UP,22160.0,1iIhGHzzrzqQfuNkFI2qAn
27,MOVE_DOWN,20874.0,5DqdesEfbRyOlSS3Tf6c29
28,SAME_POSITION,20429.0,2ez6qvOTHKeI3ss80NGqnI
29,MOVE_UP,19897.0,22LAwLoDA5b4AaGSkg6bKW
30,MOVE_DOWN,19867.0,58wyJLv6yH1La9NIZPl3ne
31,SAME_POSITION,19447.0,3CYH422oy1cZNoo0GTG1TK
32,SAME_POSITION,18541.0,2p8IUWQDrpjuFltbdgLOag
33,SAME_POSITION,18511.0,78qd8dvwea0Gosb6Fe6j3k
34,SAME_POSITION,17627.0,7aiClxsDWFRQ0Kzk5KI5ku
35,SAME_POSITION,17113.0,2qG81jL9UIP54uS8gYyP4k
36,MOVE_UP,17037.0,18uwL0vNUanqZH0ro2QcOP
37,SAME_POSITION,16621.0,6v3KW9xbzN5yKLt9YKDYA2
38,MOVE_DOWN,16616.0,3uc8AGNL0KbvISIrjnfRvN
39,MOVE_DOWN,16071.0,2QyuXBcV1LJ2rq01KhreMF
40,MOVE_UP,15460.0,0u2P5u6lvoDfwTYjAADbn4
41,MOVE_DOWN,15446.0,3AzjcOeAmA57TIOr9zF1ZW
42,SAME_POSITION,15356.0,2ZTYlnhhV1UAReg7wIGolx
43,MOVE_DOWN,15314.0,3cqPu20DGTGUoZtbJH2Dmi
44,MOVE_DOWN,15221.0,5KawlOMHjWeUjQtnuRs22c
45,MOVE_UP,15125.0,2W4yABdLc4Jnds67Poi5Nl
46,MOVE_DOWN,14840.0,2wLpTF8xnsSHDpFGeV43DT
47,MOVE_DOWN,14652.0,2kJwzbxV2ppxnQoYw4GLBZ
48,MOVE_DOWN,14648.0,13j4wsiG0BjaDb04YZWIXV
49,MOVE_UP,14222.0,39EXZNMxb4RBHlRjnRaOKp
50,MOVE_DOWN,14062.0,3bkkMZEAhx7rTVz1C0itRQ
51,MOVE_UP,13714.0,2wrJq5XKLnmhRXHIAf9xBa
52,MOVE_UP,13383.0,3jjujdWJ72nww5eGnfs2E7
53,MOVE_DOWN,12800.0,1eyek0KJEh2v5HQ9uQSybb
54,MOVE_UP,12638.0,1JxoK0EU5SHupbXjSwYaN7
55,MOVE_DOWN,12577.0,2Fxmhks0bxGSBdJ92vM42m
56,MOVE_DOWN,12573.0,73SpzrcaHk0RQPFP73vqVR
57,SAME_POSITION,12360.0,6JgWlZevrjV6nr6NiNf5Ji
58,MOVE_UP,11703.0,70eFcWOvlMObDhURTqT4Fv
59,MOVE_UP,11613.0,4HDCLYli2SUdkq9OjmvhSD
60,MOVE_UP,11553.0,4l0Mvzj72xxOpRrp6h8nHi
61,SAME_POSITION,11410.0,1ZMiCix7XSAbfAJlEZWMCp
62,MOVE_DOWN,11332.0,4kIpBfvK44bxqX7zo8K1oP
63,MOVE_UP,11313.0,1LdS1ULS9e18oW3M2C1MUj
64,MOVE_UP,11032.0,7lidXGPXPYLNThITAOTlkK
65,MOVE_DOWN,10841.0,3znQ9i61vfe2E7URHlOiyc
66,MOVE_UP,10757.0,08OjjtlBTzlnxNMqhDxvYf
67,MOVE_UP,10736.0,5uCax9HTNlzGybIStD3vDh
68,MOVE_DOWN,10720.0,0hVXuCcriWRGvwMV1r5Yn9
69,MOVE_UP,10702.0,0Q5ddaf0EKz5Ff9cPxiwtW
70,MOVE_UP,10599.0,3yOlyBJuViE2YSGn3nVE1K
71,MOVE_DOWN,10569.0,0s26En1JoJhVj32vizElpA
72,SAME_POSITION,10380.0,5gnKzocUoXx0FCt5BSVf4I
