rank,trend,streams,track_id
1,SAME_POSITION,540140.0,0qYTZCo5Bwh1nsUFGZP3zn
2,SAME_POSITION,515618.0,6De0lHrwBfPfrhorm9q1Xl
3,SAME_POSITION,460284.0,7MHN1aCFtLXjownGhvEQlF
4,SAME_POSITION,368030.0,2cnKEkpVUSV4wnjQiTWfH6
5,SAME_POSITION,317609.0,22eADXu8DfOAUEDw4vU8qy
6,SAME_POSITION,311488.0,209gZgcfLq2aUuu51vOWBl
7,MOVE_UP,274860.0,2rb5MvYT7ZIxbKW5hfcHx8
8,SAME_POSITION,273324.0,693iqPOQvhI7PobtR8CC8v
9,MOVE_DOWN,263134.0,7qiZfU4dY1lWllzX7mPBI3
10,MOVE_DOWN,255554.0,5CtI0qwDJkDQGwXD1H1cLb
11,MOVE_DOWN,239034.0,4okba5wu9mMLXx79DXLKi3
12,MOVE_DOWN,233520.0,6qDF4wWL49CAVbgT7yuHl8
13,MOVE_DOWN,231161.0,0Szp49tpFasIjX04Mcsydp
14,MOVE_DOWN,229245.0,4aWmUDTfIPGksMNLV2rQP2
15,MOVE_DOWN,220470.0,4qknM1pQz53QOyfDVTjcM9
16,MOVE_DOWN,209076.0,3umS4y3uQDkqekNjVpiRUs
17,MOVE_UP,192210.0,3QwBODjSEzelZyVjxPOHdq
18,MOVE_DOWN,184774.0,2Vdub5mY4lad7w64bFPUez
19,SAME_POSITION,179449.0,7nKBxz47S9SD79N086fuhn
20,SAME_POSITION,171736.0,3A7qX2QjDlPnazUsRk5y0M
21,MOVE_UP,171375.0,5q2JbCNi4FcnglgPfxcV65
22,MOVE_DOWN,168135.0,4iLqG9SeJSnt0cSPICSjxv
23,SAME_POSITION,167511.0,5hEM0JchdVzQ5PwvSfITeX
24,SAME_POSITION,165617.0,5bcTCxgc7xVfSaMV3RuVke
25,SAME_POSITION,162181.0,7abpmGpF7PGep2rDU68GBR
26,MOVE_UP,152864.0,0KKkJNfGyhkQ5aFogxQAPU
27,MOVE_UP,151930.0,3OQXAp3uGQvkPi4DAMaM5p
28,MOVE_DOWN,150617.0,0tKcYR2II1VCQWT79i5NrW
29,MOVE_DOWN,150415.0,5Ohxk2dO5COHF1krpoPigN
30,MOVE_DOWN,148980.0,0u13src3QcditRU5VPduML
31,MOVE_UP,145248.0,4yN6xPLopmTLvc27pO9LIE
32,MOVE_DOWN,144949.0,6kex4EBAj0WHXDKZMEJaaF
33,SAME_POSITION,144656.0,7lRsNbdOGykkMAgsqs4R1C
34,SAME_POSITION,143247.0,1RwoXmQ3RvIdfG8bLeX65g
35,MOVE_UP,138923.0,5i50gKdLAjjIr7UxRT5IVy
36,MOVE_DOWN,137998.0,6RUKPb4LETWmmr3iAEQktW
37,MOVE_DOWN,137092.0,3DXncPQOG4VBw3QHh3S817
38,SAME_POSITION,133175.0,13X0XdLMOdtbXVtAj2ox4h
39,MOVE_UP,131014.0,3AEZUABDXNtecAOSC1qTfo
40,MOVE_UP,130512.0,05ZXXyeZFhZtA6DAP3Aw7x
41,MOVE_UP,130482.0,5J1c3M4EldCfNxXwrwt8mT
42,MOVE_UP,129222.0,6stYbAJgTszHAHZMPxWWCY
43,MOVE_UP,128097.0,6mICuAdrwEjh6Y6lroV2Kg
44,MOVE_DOWN,126216.0,79cuOz3SPQTuFrp8WgftAu
45,MOVE_UP,123967.0,7DM4BPaS7uofFul3ywMe46
46,MOVE_DOWN,121098.0,6jA8HL9i4QGzsj6fjoxp8Y
47,SAME_POSITION,121025.0,2kVHAQKVtczchKctctzbtK
48,MOVE_DOWN,118195.0,1sCxVKWImDZSZKvG0U9B23
49,SAME_POSITION,116971.0,5vZfgeDfNhlkKeJqjzSAmg
50,MOVE_UP,115097.0,0RFFFGtPn6a58RHY3ccVYX
51,MOVE_UP,112960.0,6c5ghmeB5B3eUwO9Gr4Dgx
52,MOVE_DOWN,110284.0,6EpRaXYhGOB3fj4V2uDkMJ
53,MOVE_UP,103682.0,6DUdDIRgLqCGq1DwkNWQTN
54,MOVE_UP,98794.0,6rQSrBHf7HlZjtcMZ4S4bO
55,MOVE_DOWN,98732.0,0CcQNd8CINkwQfe1RDtGV6
56,MOVE_UP,98418.0,7jzpAD8q77nwEmSsqUeUjy
57,MOVE_DOWN,97333.0,7tr2za8SQg2CI8EDgrdtNl
58,SAME_POSITION,93521.0,2FrnTVSHjgnEylKGdHRUK1
59,MOVE_UP,90259.0,20ZAJdsKB5IGbGj4ilRt2o
60,MOVE_UP,90023.0,0ib1eHSccu3AZ9UnL4JZdc
61,MOVE_DOWN,89348.0,3dQDid3IUNhZy1OehIfYfE
62,MOVE_DOWN,84147.0,2habSXqcJGExM6JJyskY7O
63,MOVE_UP,82742.0,5MT96Zz0ymUJNm8obKZQr0
64,MOVE_DOWN,81525.0,2Gl0FzuLxflY6nPifJp5Dr
65,MOVE_UP,79853.0,1OAh8uOEOvTDqkKFsKksCi
66,MOVE_DOWN,79210.0,3eR23VReFzcdmS7TYCrhCe
67,MOVE_UP,79083.0,4UG962ViiLqoUyx0RjCcwP
68,MOVE_DOWN,78785.0,5GXAXm5YOmYT0kL5jHvYBt
69,MOVE_UP,76668.0,0sXvAOmXgjR2QUqLK1MltU
70,MOVE_UP,76201.0,4xlrALxuaCf9yZBHJeTSG6
71,MOVE_DOWN,75576.0,4q8PHoRsPUB52LFylX8Ulz
72,MOVE_UP,74463.0,4eOUnn9bKgUVx6fsbFhuZO
73,MOVE_DOWN,74312.0,2z0EshEO4XptiepEb9j3Og
74,MOVE_UP,74297.0,5mey7CLLuFToM2P68Qu1gF
75,SAME_POSITION,73794.0,7hDc8b7IXETo14hHIHdnhd
76,MOVE_UP,73257.0,3Gqj86AgnD8EiIOFIGLubs
77,MOVE_DOWN,72600.0,3Ytr1SUCUi6J3L9dRFx5iH
78,MOVE_DOWN,71744.0,4skuEIloXWuxxgekKupkEH
79,MOVE_DOWN,71468.0,0dA2Mk56wEzDgegdC6R17g
80,MOVE_UP,68982.0,2omJSQbSy5nFNVj1qAQ64M
81,MOVE_DOWN,68633.0,3a1lNhkSLSkpJE4MSHpDu9
82,MOVE_DOWN,66932.0,6VuUMo1TusnqBxLTnr3hOI
83,MOVE_UP,66266.0,2yGNkkwU2iT0doFxkxhcXH
84,MOVE_UP,65845.0,0JoHqmlqE0W0i9prt6kcHR
85,MOVE_DOWN,64934.0,46HdsiK0uR26B2dY9QPzda
86,MOVE_UP,64707.0,3BY2mafsbsoKGqS380Xnuz
87,MOVE_DOWN,64479.0,1lxswgIpzV6HhENRvkflES
88,MOVE_DOWN,64263.0,4pdPtRcBmOSQDlJ3Fk945m
89,MOVE_DOWN,62242.0,5knuzwU65gJK7IF5yJsuaW
90,MOVE_UP,61514.0,3XOirfRA6N4eBy0c0e1QdJ
91,MOVE_UP,61167.0,3VK8copXwqvAueMPhnBe6K
92,MOVE_DOWN,61117.0,7BKLCZ1jbUBVqRi2FVlTVw
93,MOVE_DOWN,60914.0,3ebXMykcMXOcLeJ9xZ17XH
94,MOVE_DOWN,60898.0,3GSMdtJphymHEsR8K9jT5Q
95,SAME_POSITION,60795.0,04f13iELcsYpY2yeLiAcfq
96,MOVE_UP,60764.0,1AkTW13ysu0AJrwuM6UY0I
97,MOVE_UP,60430.0,6vVlJvDUGiF2w6XxJtDZUC
98,MOVE_UP,60022.0,7c36pInnsI3DzAGDQcTW99
99,MOVE_DOWN,59916.0,5Fim1gaXBgsiFfsQAfQSDS
100,MOVE_UP,59109.0,6urlj8N8TL3MK0ATNGIZYW
101,MOVE_DOWN,58937.0,7ee2FbCIkLtNyAXrnXZy5G
102,SAME_POSITION,58448.0,09S64DUkxIX9EwIaULu6yN
103,MOVE_DOWN,57792.0,6VHdcVbiKLYYOcMbIqBcuK
104,MOVE_DOWN,57374.0,1xznGGDReH1oQq0xzbwXa3
105,MOVE_UP,56075.0,45RaWQq1WhTt8D03FBKHHK
106,MOVE_DOWN,55358.0,68EMU2RD1ECNeOeJ5qAXCV
107,MOVE_DOWN,55152.0,5aAx2yezTd8zXrkmtKl66Z
108,MOVE_DOWN,54872.0,17Fd6Yb7mSbinKG8LoWfFl
109,MOVE_UP,53017.0,6p3yxt0uJJshAS3CT0znQg
110,MOVE_UP,52847.0,1iEwyiSLAunPR6uouANE0O
111,MOVE_UP,52778.0,2Ef6uEWmlcCSaZD3hBpkIF
112,MOVE_UP,52256.0,7gHs73wELdeycvS48JfIos
113,SAME_POSITION,51982.0,7KXjTSCq5nL1LoYtL7XAwS
114,MOVE_UP,51700.0,48yFrzTcnTCklWL9PRVZJj
115,MOVE_UP,51538.0,1pWYnQIlqxTh5bxuPmTG4E
116,MOVE_UP,51412.0,4VXejnj5WgM6H72ct2fSgQ
117,MOVE_UP,51373.0,5nCtCCB5i1OfbADvynNw0i
